Date,Open,High,Low,Close,Volume,Change
2013-09-16,5500,5540,5420,5460,24362,
2013-09-17,5460,5540,5410,5420,23736,-0.0073260073260073
2013-09-23,5420,5440,5400,5430,16498,0.0018450184501845
2013-09-24,5410,5480,5390,5480,15897,0.0092081031307551
2013-09-25,5480,5510,5380,5450,3870,-0.0054744525547445
2013-09-26,5450,5550,5360,5550,20423,0.0183486238532109
2013-09-27,5470,5560,5390,5390,11408,-0.0288288288288288
2013-09-30,5380,5420,5330,5420,11312,0.0055658627087198
2013-10-01,5400,5420,5310,5330,6315,-0.0166051660516605
2013-10-02,5340,5340,5280,5300,15013,-0.0056285178236398
2013-10-04,5280,5320,5230,5230,6201,-0.0132075471698113
2013-10-07,5240,5300,5120,5160,14106,-0.0133843212237093
2013-10-08,5140,5170,5070,5150,8487,-0.001937984496124
2013-10-10,5150,5170,5040,5040,27465,-0.0213592233009708
2013-10-11,5100,5130,5020,5020,35812,-0.0039682539682539
2013-10-14,5040,5270,5000,5160,47840,0.0278884462151394
2013-10-15,5080,5150,5070,5110,10714,-0.0096899224806201
2013-10-16,5120,5180,5040,5100,16433,-0.0019569471624266
2013-10-17,5120,5160,5030,5100,13168,0.0
2013-10-18,5100,5170,5060,5100,6719,0.0
2013-10-21,5120,5160,5050,5110,23225,0.0019607843137254
2013-10-22,5120,5120,5010,5080,12364,-0.0058708414872798
2013-10-23,5090,5090,5020,5020,20179,-0.0118110236220472
2013-10-24,5000,5070,5000,5020,9454,0.0
2013-10-25,5020,5050,4970,5000,8909,-0.0039840637450199
2013-10-28,5020,5030,4880,5000,34407,0.0
2013-10-29,4990,5060,4970,5050,6909,0.01
2013-10-30,5050,5080,5010,5040,11484,-0.0019801980198019
2013-10-31,5040,5040,4950,4960,10713,-0.0158730158730159
2013-11-01,4970,5000,4880,4890,27240,-0.0141129032258064
2013-11-04,5000,5010,4890,5010,19394,0.0245398773006135
2013-11-05,5010,5010,4900,4920,16655,-0.0179640718562874
2013-11-06,4920,4970,4870,4870,8262,-0.0101626016260162
2013-11-07,4870,4910,4800,4860,6665,-0.002053388090349
2013-11-08,4880,4880,4630,4750,20036,-0.022633744855967
2013-11-11,4660,4730,4540,4540,30705,-0.0442105263157894
2013-11-12,4500,4640,4320,4440,27068,-0.0220264317180616
2013-11-13,4440,4610,4410,4450,17739,0.0022522522522523
2013-11-14,4450,4500,4450,4480,6118,0.0067415730337079
2013-11-15,4480,4560,4460,4560,10246,0.0178571428571427
2013-11-18,4570,4600,4520,4530,10474,-0.006578947368421
2013-11-19,4510,4570,4480,4510,8910,-0.0044150110375276
2013-11-20,4510,4550,4400,4410,24925,-0.0221729490022173
2013-11-21,4410,4460,4350,4350,9209,-0.0136054421768707
2013-11-22,4360,4540,4360,4470,9044,0.0275862068965517
2013-11-25,4600,5080,4600,4740,132688,0.0604026845637584
2013-11-26,4750,4900,4690,4770,20465,0.0063291139240506
2013-11-27,4800,4910,4710,4760,12323,-0.0020964360587002
2013-11-28,4740,4860,4670,4690,16311,-0.0147058823529411
2013-11-29,4700,4710,4600,4620,15306,-0.0149253731343284
2013-12-02,4620,4660,4500,4560,12632,-0.0129870129870129
2013-12-03,4520,4560,4370,4420,43372,-0.0307017543859648
2013-12-04,4420,4460,4360,4440,9263,0.004524886877828
2013-12-05,4440,4490,4430,4480,3509,0.0090090090090089
2013-12-06,4430,4480,4400,4450,41979,-0.0066964285714286
2013-12-09,4500,4540,4450,4520,6302,0.0157303370786516
2013-12-10,4530,4530,4340,4470,38239,-0.0110619469026548
2013-12-11,4410,4490,4300,4400,33489,-0.0156599552572707
2013-12-12,4310,4440,4310,4400,9818,0.0
2013-12-13,4400,4430,4380,4420,4669,0.0045454545454546
2013-12-16,4400,4460,4380,4430,8458,0.002262443438914
2013-12-17,4410,4440,4370,4430,8092,0.0
2013-12-18,4430,4490,4410,4460,2229,0.0067720090293452
2013-12-19,4430,4470,4400,4400,4610,-0.0134529147982063
2013-12-20,4400,4450,4320,4370,8878,-0.0068181818181818
2013-12-23,4350,4390,4320,4390,11261,0.0045766590389015
2013-12-24,4380,4380,4320,4340,12288,-0.0113895216400911
2013-12-26,4340,4390,4300,4380,8187,0.0092165898617511
2013-12-27,4380,4410,4330,4380,2256,0.0
2013-12-30,4380,4410,4290,4410,5950,0.0068493150684931
2014-01-02,4420,4480,4350,4420,29230,0.002267573696145
2014-01-03,4460,4460,4360,4440,3551,0.004524886877828
2014-01-06,4460,4470,4400,4450,18765,0.0022522522522523
2014-01-07,4470,4510,4450,4500,15756,0.0112359550561798
2014-01-08,4500,4820,4500,4750,45492,0.0555555555555555
2014-01-09,4690,4840,4690,4820,28277,0.0147368421052631
2014-01-10,4810,4900,4720,4800,16675,-0.0041493775933609
2014-01-13,4880,4880,4740,4760,29532,-0.0083333333333333
2014-01-14,4760,4790,4720,4780,19227,0.0042016806722688
2014-01-15,4760,4880,4720,4880,26256,0.0209205020920502
2014-01-16,4860,5000,4760,4900,21362,0.0040983606557376
2014-01-17,4910,5140,4880,5080,59817,0.036734693877551
2014-01-20,5090,5290,5090,5230,35302,0.029527559055118
2014-01-21,5250,5350,5160,5280,19521,0.0095602294455066
2014-01-22,5220,5300,5180,5250,15896,-0.0056818181818182
2014-01-23,5180,5300,5170,5270,26372,0.0038095238095237
2014-01-24,5270,5290,5180,5260,13046,-0.0018975332068311
2014-01-27,5120,5220,5010,5210,17984,-0.0095057034220532
2014-01-28,5210,5210,4920,5130,18167,-0.0153550863723608
2014-01-29,5130,5180,5070,5140,4759,0.0019493177387914
2014-02-03,5020,5190,5020,5170,14582,0.0058365758754863
2014-02-04,5030,5170,5000,5110,7379,-0.011605415860735
2014-02-05,5030,5190,5020,5090,10624,-0.0039138943248532
