Date,Open,High,Low,Close,Volume,Change
2023-04-04,510,515,500,508,284898,0.016
2023-04-05,509,537,505,520,613839,0.0236220472440944
2023-04-06,520,542,520,535,466879,0.0288461538461537
2023-04-07,555,555,515,525,494546,-0.0186915887850467
2023-04-10,523,523,496,513,614154,-0.0228571428571429
2023-04-11,505,510,496,507,260662,-0.0116959064327485
2023-04-12,502,530,502,520,191638,0.0256410256410255
2023-04-13,522,532,512,527,285919,0.0134615384615384
2023-04-14,527,547,523,540,433262,0.0246679316888045
2023-04-17,555,590,543,567,1336316,0.05
2023-04-18,561,737,557,737,18793673,0.2998236331569666
2023-04-19,801,891,710,710,25710771,-0.0366350067842605
2023-04-20,696,728,664,669,2954766,-0.0577464788732394
2023-04-21,677,699,632,636,1523729,-0.0493273542600897
2023-04-24,636,653,612,630,727721,-0.0094339622641509
2023-04-25,630,630,587,599,833692,-0.0492063492063492
2023-04-26,583,611,576,599,488970,0.0
2023-04-27,591,599,564,584,670419,-0.025041736227045
2023-04-28,584,590,550,570,642290,-0.023972602739726
2023-05-02,570,590,556,589,371640,0.0333333333333334
2023-05-03,584,595,567,572,336204,-0.0288624787775891
2023-05-04,567,730,567,630,13993422,0.1013986013986014
2023-05-08,654,660,605,616,1275702,-0.0222222222222222
2023-05-09,621,642,606,616,799663,0.0
2023-05-10,615,616,525,550,4001377,-0.1071428571428571
2023-05-11,547,572,547,557,765926,0.0127272727272726
2023-05-12,559,579,548,563,268234,0.0107719928186713
2023-05-15,563,564,525,530,766027,-0.0586145648312611
2023-05-16,528,551,528,544,214076,0.0264150943396226
2023-05-17,544,557,539,554,152995,0.0183823529411764
2023-05-18,554,558,545,554,172785,0.0
2023-05-19,560,561,550,554,139645,0.0
2023-05-22,559,564,547,556,190304,0.0036101083032491
2023-05-23,568,570,550,565,221117,0.0161870503597121
2023-05-24,566,575,563,571,163559,0.0106194690265486
2023-05-25,565,611,565,602,633819,0.0542907180385288
2023-05-26,617,744,562,562,17763988,-0.0664451827242524
2023-05-30,556,720,556,620,11148768,0.1032028469750889
2023-05-31,623,626,590,604,2392863,-0.0258064516129031
2023-06-01,599,599,569,576,1025775,-0.0463576158940397
2023-06-02,578,663,578,615,6608542,0.0677083333333332
2023-06-05,645,767,644,690,25964754,0.1219512195121952
2023-06-07,699,713,654,661,4053355,-0.0420289855072464
2023-06-08,655,662,637,647,1606184,-0.021180030257186
2023-06-09,645,655,623,625,1275093,-0.0340030911901081
2023-06-12,628,644,620,628,816746,0.0047999999999999
2023-06-13,631,633,608,610,978190,-0.0286624203821656
2023-06-14,608,668,596,649,3358765,0.0639344262295082
2023-06-15,642,646,614,617,1013393,-0.049306625577812
2023-06-16,628,628,612,618,643881,0.0016207455429497
2023-06-19,615,615,598,608,842813,-0.0161812297734628
2023-06-20,601,604,586,590,854338,-0.0296052631578946
2023-06-21,590,596,583,590,479836,0.0
2023-06-22,587,587,558,565,1147103,-0.0423728813559322
2023-06-23,560,579,560,560,818135,-0.0088495575221239
2023-06-26,566,568,533,549,1226003,-0.0196428571428571
2023-06-27,549,552,536,548,442819,-0.0018214936247723
2023-06-28,549,550,528,534,800750,-0.0255474452554744
2023-06-29,527,534,488,488,2653213,-0.0861423220973782
2023-06-30,494,519,461,512,952571,0.0491803278688525
2023-07-03,514,518,501,509,371120,-0.005859375
2023-07-04,511,514,491,495,458658,-0.0275049115913555
2023-07-05,603,622,539,553,13851626,0.1171717171717172
2023-07-06,541,541,520,525,1815468,-0.0506329113924051
2023-07-07,510,522,504,514,640376,-0.0209523809523809
2023-07-10,507,519,500,515,745040,0.0019455252918287
2023-07-11,519,533,512,526,703138,0.0213592233009709
2023-07-12,526,528,512,517,372835,-0.0171102661596957
2023-07-13,511,524,511,519,266518,0.0038684719535784
2023-07-14,512,524,509,514,316193,-0.0096339113680153
2023-07-17,518,524,505,518,389409,0.0077821011673151
2023-07-18,524,524,502,512,375863,-0.0115830115830115
2023-07-19,507,515,501,508,282311,-0.0078125
2023-07-20,505,508,500,501,279426,-0.013779527559055
2023-07-21,501,501,487,497,452462,-0.0079840319361277
2023-07-24,500,500,480,482,450594,-0.0301810865191146
2023-07-25,475,500,472,473,409886,-0.0186721991701245
2023-07-26,465,471,430,439,946497,-0.0718816067653277
2023-07-27,439,457,436,451,536020,0.0273348519362186
2023-07-28,455,455,437,449,723782,-0.0044345898004434
2023-07-31,450,464,442,463,307364,0.0311804008908684
2023-08-01,463,483,463,481,304412,0.0388768898488121
2023-08-02,481,483,466,468,165178,-0.0270270270270269
2023-08-03,472,488,464,484,346548,0.0341880341880342
2023-08-04,476,483,466,483,272918,-0.0020661157024793
2023-08-07,472,483,469,476,216162,-0.0144927536231883
2023-08-08,476,481,460,469,231766,-0.0147058823529411
2023-08-09,469,495,465,492,403159,0.0490405117270789
2023-08-10,495,512,489,510,605546,0.0365853658536585
2023-08-11,515,516,500,500,273887,-0.0196078431372549
2023-08-14,503,505,487,505,206983,0.01
2023-08-16,499,499,487,489,322197,-0.0316831683168317
2023-08-17,484,509,479,496,267987,0.0143149284253578
2023-08-18,499,500,486,486,239271,-0.0201612903225806
2023-08-21,496,496,480,481,230068,-0.0102880658436214
2023-08-22,484,501,480,490,178208,0.0187110187110186
2023-08-23,485,500,480,490,243435,0.0
2023-08-24,485,500,485,498,157808,0.0163265306122448
2023-08-25,498,504,496,502,129754,0.0080321285140563
2023-08-28,514,514,500,500,273962,-0.0039840637450199
2023-08-29,500,508,490,491,220740,-0.018
2023-08-30,495,505,484,497,285835,0.0122199592668024
2023-08-31,497,497,484,486,241038,-0.0221327967806841
2023-09-01,481,494,481,490,113771,0.008230452674897
2023-09-04,490,504,484,490,127512,0.0
2023-09-05,490,499,487,492,168424,0.0040816326530612
2023-09-06,484,495,483,488,200296,-0.008130081300813
2023-09-07,488,493,470,476,298561,-0.0245901639344262
2023-09-08,467,491,467,475,169625,-0.0021008403361344
2023-09-11,478,488,475,480,139440,0.0105263157894737
2023-09-12,482,492,481,483,130694,0.00625
2023-09-13,479,488,475,476,159590,-0.0144927536231883
2023-09-14,476,478,465,472,221783,-0.0084033613445377
2023-09-15,477,477,467,471,147431,-0.0021186440677966
2023-09-18,471,475,463,467,98703,-0.0084925690021231
2023-09-19,460,473,460,473,158141,0.0128479657387581
2023-09-20,475,480,466,467,69962,-0.0126849894291755
2023-09-21,460,467,451,451,245792,-0.0342612419700214
2023-09-22,452,457,440,451,119480,0.0
2023-09-25,450,455,442,450,159617,-0.0022172949002217
2023-09-26,450,465,438,438,173757,-0.0266666666666666
2023-09-27,442,449,437,448,91133,0.0228310502283104
2023-10-04,440,447,430,433,163362,-0.0334821428571429
2023-10-05,433,460,433,436,140566,0.0069284064665127
2023-10-06,430,459,425,442,316143,0.0137614678899082
2023-10-10,460,460,436,438,186557,-0.009049773755656
2023-10-11,435,450,435,441,99472,0.0068493150684931
2023-10-12,444,450,443,447,98162,0.0136054421768707
2023-10-13,447,449,436,440,126612,-0.0156599552572707
2023-10-16,444,444,423,426,242238,-0.0318181818181818
2023-10-17,423,439,423,430,123106,0.0093896713615022
2023-10-18,434,435,423,424,111542,-0.0139534883720929
2023-10-19,417,421,404,408,247494,-0.0377358490566037
2023-10-20,405,408,398,404,222451,-0.0098039215686274
2023-10-23,404,414,392,393,253483,-0.0272277227722772
2023-10-24,390,410,390,405,131128,0.0305343511450382
2023-10-25,408,429,404,429,209526,0.0592592592592593
2023-10-26,411,424,405,412,128060,-0.0396270396270396
2023-10-27,406,413,398,398,259110,-0.0339805825242718
2023-10-30,398,403,393,396,151053,-0.0050251256281407
2023-10-31,403,460,370,380,1304426,-0.0404040404040404
2023-11-01,376,389,376,382,159605,0.0052631578947368
2023-11-02,383,399,383,395,138934,0.0340314136125654
2023-11-03,392,400,390,393,95684,-0.0050632911392405
2023-11-06,393,409,393,400,153061,0.0178117048346055
2023-11-07,400,410,396,400,96069,0.0
2023-11-08,400,411,400,402,110830,0.0049999999999998
2023-11-09,409,409,396,399,41295,-0.0074626865671642
2023-11-10,407,407,391,400,78213,0.0025062656641603
2023-11-13,401,407,393,394,42277,-0.015
2023-11-14,389,404,389,394,62897,0.0
2023-11-15,395,407,394,399,76150,0.0126903553299493
2023-11-16,403,404,397,401,92163,0.0050125313283209
2023-11-17,396,403,396,403,35044,0.0049875311720697
2023-11-20,399,410,399,404,76302,0.0024813895781636
2023-11-21,405,410,405,407,104618,0.0074257425742574
2023-11-22,407,410,405,407,70911,0.0
2023-11-23,407,410,402,405,132893,-0.0049140049140049
2023-11-24,410,411,402,403,103517,-0.0049382716049383
2023-11-27,403,412,399,401,109458,-0.0049627791563275
2023-11-28,397,406,397,405,81893,0.0099750623441396
2023-11-29,397,405,391,401,287308,-0.0098765432098765
2023-11-30,404,404,396,399,91344,-0.0049875311720698
2023-12-01,399,406,399,400,70201,0.0025062656641603
2023-12-04,400,409,395,401,89410,0.0024999999999999
2023-12-05,402,403,395,398,99268,-0.0074812967581047
2023-12-06,398,402,392,401,96703,0.0075376884422111
2023-12-07,400,404,389,396,192234,-0.0124688279301745
2023-12-08,395,402,390,396,107239,0.0
2023-12-11,398,500,398,457,8350632,0.1540404040404039
2023-12-12,461,491,421,431,2227712,-0.0568927789934354
2023-12-13,431,431,388,404,1079443,-0.062645011600928
2023-12-14,406,417,381,394,766460,-0.0247524752475247
2023-12-15,391,397,382,396,183488,0.0050761421319796
2023-12-18,393,393,384,387,244165,-0.0227272727272727
2023-12-19,384,396,383,391,106853,0.0103359173126615
2023-12-20,391,400,390,390,177559,-0.0025575447570332
2023-12-21,390,394,382,386,229444,-0.0102564102564102
2023-12-22,392,394,383,388,107083,0.005181347150259
2023-12-26,388,394,381,384,136064,-0.0103092783505154
2023-12-27,384,398,382,392,199125,0.0208333333333332
2023-12-28,400,402,394,400,127911,0.0204081632653061
2024-01-02,400,414,397,412,183396,0.03
2024-01-03,412,413,407,413,109079,0.0024271844660195
2024-01-04,409,414,409,409,105233,-0.009685230024213
2024-01-05,413,413,406,412,107441,0.0073349633251833
2024-01-08,417,417,405,412,102749,0.0
2024-01-09,413,417,409,410,50542,-0.0048543689320388
2024-01-10,411,415,406,409,89856,-0.0024390243902439
2024-01-11,415,416,408,416,128928,0.0171149144254278
2024-01-12,416,416,405,412,118229,-0.0096153846153845
2024-01-15,412,415,405,405,109316,-0.0169902912621359
2024-01-16,408,411,403,407,59704,0.0049382716049382
2024-01-17,411,411,394,403,169266,-0.0098280098280097
2024-01-18,403,409,400,407,93772,0.0099255583126551
2024-01-19,409,412,395,405,149322,-0.0049140049140049
2024-01-22,404,407,396,405,87455,0.0
2024-01-23,401,408,397,401,68049,-0.0098765432098765
2024-01-24,398,400,390,396,134310,-0.0124688279301745
2024-01-25,399,404,387,393,173141,-0.0075757575757575
2024-01-26,392,400,386,393,83591,0.0
2024-01-29,399,399,387,391,158573,-0.005089058524173
2024-01-30,392,393,381,385,253948,-0.0153452685421995
2024-01-31,389,390,378,385,151316,0.0
2024-02-01,383,390,377,390,96897,0.0129870129870128
2024-02-02,390,393,385,390,80337,0.0
2024-02-05,390,391,384,388,62910,-0.0051282051282051
2024-02-06,385,394,383,394,77852,0.0154639175257731
2024-02-07,400,445,395,418,2669097,0.0609137055837563
2024-02-08,410,425,406,411,451877,-0.0167464114832536
2024-02-13,416,436,411,422,289023,0.0267639902676399
2024-02-14,422,436,417,434,449348,0.028436018957346
2024-02-15,434,435,398,423,337326,-0.0253456221198156
2024-02-16,419,428,418,426,212918,0.0070921985815601
2024-02-19,427,432,421,426,231377,0.0
2024-02-20,429,429,413,419,369862,-0.0164319248826291
2024-02-21,419,424,412,421,194692,0.0047732696897375
2024-02-22,421,421,415,420,207867,-0.002375296912114
2024-02-23,415,425,411,420,269230,0.0
2024-02-26,420,494,415,436,4085261,0.0380952380952381
2024-02-27,441,454,432,432,835233,-0.0091743119266054
2024-02-28,432,450,432,448,317361,0.0370370370370369
2024-02-29,448,452,439,445,495346,-0.0066964285714286
2024-03-04,445,452,441,450,297907,0.0112359550561798
2024-03-05,450,462,448,456,460384,0.0133333333333334
2024-03-06,456,468,451,465,377035,0.019736842105263
2024-03-07,465,501,461,501,875347,0.0774193548387096
2024-03-08,525,539,490,509,1608851,0.0159680638722554
