Date,Open,High,Low,Close,Volume,Change
2019-06-18,3160,3160,3080,3110,61500,-0.017377567140600347
2019-06-19,3110,3165,3100,3140,45421,0.009646302250803762
2019-06-20,3150,3200,3105,3175,30989,0.011146496815286566
2019-06-21,3175,3200,3145,3190,37184,0.0047244094488188
2019-06-24,3215,3215,3130,3130,28323,-0.018808777429467072
2019-06-25,3115,3175,3105,3110,34814,-0.006389776357827448
2019-06-26,3110,3115,3080,3090,33258,-0.006430868167202619
2019-06-27,3070,3205,3070,3140,59764,0.016181229773462702
2019-06-28,3140,3200,3115,3190,25955,0.015923566878981
2019-07-01,3195,3200,3140,3145,23555,-0.014106583072100332
2019-07-02,3145,3185,3110,3110,45262,-0.011128775834658211
2019-07-03,3140,3150,3075,3115,31787,0.001607717041800738
2019-07-04,3115,3115,3040,3090,38595,-0.008025682182985605
2019-07-05,3105,3115,3065,3075,30214,-0.004854368932038833
2019-07-08,3060,3095,3000,3080,91626,0.001626016260162677
2019-07-09,3355,3525,3065,3080,727854,0.0
2019-07-10,3060,3135,3040,3120,108561,0.01298701298701288
2019-07-11,3105,3135,3075,3100,55072,-0.0064102564102563875
2019-07-12,3125,3125,3075,3095,19793,-0.001612903225806428
2019-07-15,3115,3130,3000,3010,111197,-0.02746365105008075
2019-07-16,3050,3055,2985,3015,46838,0.0016611295681063787
2019-07-17,3015,3060,2995,3000,55783,-0.00497512437810943
2019-07-18,3000,3040,3000,3005,35959,0.0016666666666667052
2019-07-19,3005,3060,3000,3045,49759,0.01331114808652245
2019-07-22,3045,3075,3000,3010,39539,-0.011494252873563204
2019-07-23,3025,3035,2985,3000,58926,-0.0033222591362126463
2019-07-24,2990,3035,2970,3005,60551,0.0016666666666667052
2019-07-25,3010,3025,2895,2900,77425,-0.03494176372712143
2019-07-26,2900,2905,2805,2855,81101,-0.01551724137931032
2019-07-29,2805,2850,2650,2680,128499,-0.06129597197898429
2019-07-30,2670,2800,2670,2700,40089,0.00746268656716409
2019-07-31,2700,2775,2685,2750,22592,0.0185185185185186
2019-08-01,2775,2830,2720,2760,13095,0.0036363636363636598
2019-08-02,2745,2745,2680,2710,23748,-0.018115942028985477
2019-08-05,2710,2710,2490,2560,68155,-0.05535055350553508
2019-08-06,2355,2540,2355,2365,89498,-0.076171875
2019-08-07,2320,2500,2320,2425,66712,0.025369978858351017
2019-08-08,2420,2530,2420,2510,35670,0.035051546391752675
2019-08-09,2525,2560,2480,2510,30920,0.0
2019-08-12,2510,2540,2480,2510,24439,0.0
2019-08-13,2500,2590,2500,2540,21480,0.01195219123505975
2019-08-14,2630,2655,2545,2595,25120,0.021653543307086576
2019-08-16,2640,2640,2525,2540,33392,-0.021194605009633882
2019-08-19,2540,2670,2525,2670,21465,0.051181102362204633
2019-08-20,2650,2690,2625,2660,22419,-0.0037453183520599342
2019-08-21,2670,2700,2630,2680,19441,0.007518796992481258
2019-08-22,2680,2755,2660,2680,28008,0.0
2019-08-23,2725,2725,2635,2680,26472,0.0
2019-08-26,2610,2630,2565,2565,24212,-0.042910447761194015
2019-08-27,2565,2635,2540,2615,29235,0.01949317738791434
2019-08-28,2615,2675,2570,2615,14195,0.0
2019-08-29,2640,2680,2575,2650,23551,0.013384321223709472
2019-08-30,2650,2690,2650,2680,10435,0.01132075471698113
2019-09-02,2680,2745,2665,2715,16304,0.013059701492537323
2019-09-03,2715,2775,2655,2740,60548,0.009208103130755152
2019-09-04,2720,2730,2695,2705,20484,-0.012773722627737238
2019-09-05,2705,2850,2690,2800,99368,0.03512014787430684
2019-09-06,2800,2980,2770,2910,114882,0.03928571428571437
2019-09-09,2935,2980,2855,2900,58619,-0.0034364261168384758
2019-09-10,2960,3255,2800,2845,1303390,-0.018965517241379293
2019-09-11,2820,2880,2820,2845,32449,0.0
2019-09-16,2830,2875,2730,2860,38994,0.005272407732864748
2019-09-17,2875,2875,2785,2825,43767,-0.012237762237762184
2019-09-18,2815,2840,2775,2795,50185,-0.010619469026548645
2019-09-19,2795,2875,2780,2815,20440,0.007155635062611854
2019-09-20,2840,2850,2800,2830,22290,0.005328596802841812
2019-09-23,2830,2860,2775,2810,51790,-0.007067137809187329
2019-09-24,2840,2840,2765,2820,44753,0.003558718861210064
2019-09-25,2820,2820,2755,2795,10421,-0.00886524822695034
2019-09-26,2795,2820,2770,2795,27373,0.0
2019-09-27,2800,2800,2755,2755,36100,-0.014311270125223596
2019-09-30,2775,2775,2670,2755,21077,0.0
2019-10-01,2715,2820,2715,2770,18041,0.005444646098003547
2019-10-02,2770,2805,2760,2780,11310,0.0036101083032491488
2019-10-04,2780,2795,2730,2765,17949,-0.0053956834532373765
2019-10-07,2795,2795,2690,2695,39237,-0.025316455696202556
2019-10-08,2715,2745,2695,2710,13442,0.005565862708719838
2019-10-10,2700,2735,2695,2735,46472,0.009225092250922495
2019-10-11,2745,2745,2695,2740,12644,0.001828153564899404
2019-10-14,2740,2785,2740,2780,7049,0.014598540145985384
2019-10-15,2795,2795,2740,2775,8418,-0.0017985611510791255
2019-10-16,2775,2790,2710,2775,44691,0.0
2019-10-17,2750,2775,2725,2725,23591,-0.018018018018018056
2019-10-18,2740,2740,2710,2735,18385,0.003669724770642091
2019-10-21,2750,2775,2720,2775,33911,0.014625228519195677
2019-10-22,2800,2805,2740,2780,31790,0.0018018018018017834
2019-10-23,2780,2785,2730,2785,17839,0.0017985611510791255
2019-10-24,2780,2785,2700,2785,34770,0.0
2019-10-25,2785,2835,2760,2825,48664,0.014362657091562037
2019-10-28,2825,2850,2800,2800,46725,-0.008849557522123908
2019-10-29,2795,2805,2775,2800,32405,0.0
2019-10-30,2775,2820,2775,2800,19633,0.0
2019-10-31,2800,2835,2795,2815,15877,0.005357142857142838
2019-11-01,2815,2830,2790,2815,11973,0.0
2019-11-04,2815,2820,2750,2820,26516,0.001776198934280604
2019-11-05,2825,2830,2780,2830,48904,0.0035460992907800915
2019-11-06,2830,2900,2820,2870,79463,0.014134275618374659
2019-11-07,2895,2895,2850,2870,22216,0.0
2019-11-08,2870,2895,2870,2895,24932,0.008710801393728262
2019-11-11,2895,2930,2885,2915,41029,0.006908462867012188
2019-11-12,2915,2960,2895,2955,69597,0.013722126929674117
2019-11-13,2955,2975,2935,2965,29972,0.0033840947546530664
2019-11-14,2965,2985,2915,2950,33881,-0.005059021922428353
2019-11-15,2950,2950,2880,2930,21625,-0.006779661016949157
2019-11-18,2930,2940,2825,2825,48225,-0.03583617747440271
2019-11-19,2825,2880,2780,2780,30580,-0.015929203539822967
2019-11-20,2765,3005,2745,2875,203311,0.03417266187050361
2019-11-21,2900,2950,2740,2800,195803,-0.02608695652173909
2019-11-22,2765,2800,2700,2770,48806,-0.010714285714285676
2019-11-25,2770,2800,2740,2790,57084,0.0072202166064982976
2019-11-26,2810,2930,2760,2870,117820,0.028673835125448077
2019-11-27,2870,2930,2850,2865,66036,-0.0017421602787456303
2019-11-28,2870,3030,2845,3030,228510,0.05759162303664911
2019-11-29,3025,3050,2960,3020,204672,-0.0033003300330033403
2019-12-02,3100,3200,2960,3015,534382,-0.0016556291390728006
2019-12-03,3010,3015,2885,2970,89330,-0.014925373134328401
2019-12-04,2965,3160,2960,3160,631348,0.06397306397306401
2019-12-05,3450,3455,2910,2915,2762837,-0.07753164556962022
2019-12-06,2915,2965,2875,2915,264991,0.0
2019-12-09,2895,2930,2840,2860,455333,-0.018867924528301883
2019-12-10,2860,2915,2830,2870,86625,0.0034965034965035446
2019-12-11,2865,2895,2840,2860,62914,-0.0034843205574912606
2019-12-12,2840,2870,2840,2850,52014,-0.0034965034965035446
2019-12-13,2850,2920,2840,2915,79235,0.02280701754385972
2019-12-16,2915,2965,2880,2895,51367,-0.006861063464837058
2019-12-17,2895,2940,2885,2905,64334,0.003454231433505983
2019-12-18,2895,2955,2895,2935,50782,0.010327022375215211
2019-12-19,2935,3000,2915,2955,75507,0.006814310051107331
2019-12-20,2975,2990,2865,2940,25871,-0.005076142131979711
2019-12-23,2940,2975,2920,2960,54994,0.006802721088435382
2019-12-24,2955,2955,2890,2925,51128,-0.011824324324324342
2019-12-26,2900,2960,2880,2925,57834,0.0
2019-12-27,2925,2925,2880,2895,25066,-0.01025641025641022
2019-12-30,2915,2930,2875,2930,94535,0.012089810017271052
2020-01-02,2925,2935,2900,2920,81614,-0.0034129692832765013
2020-01-03,2920,2960,2900,2915,121102,-0.001712328767123239
2020-01-06,2920,2955,2890,2915,94121,0.0
2020-01-07,2910,2925,2870,2895,106705,-0.006861063464837058
2020-01-08,2910,3615,2905,3480,9684105,0.20207253886010368
2020-01-09,2955,3030,2910,3020,1221164,-0.13218390804597702
2020-01-10,3015,3020,2920,2920,498747,-0.0331125827814569
2020-01-13,2920,2960,2900,2920,232947,0.0
2020-01-14,2925,2995,2920,2955,200535,0.011986301369863117
2020-01-15,2975,2990,2925,2970,184923,0.0050761421319796
2020-01-16,2970,3050,2970,3020,252839,0.01683501683501687
2020-01-17,3020,3040,2995,3020,136166,0.0
2020-01-20,3020,3050,3000,3045,127403,0.008278145695364225
2020-01-21,3055,3110,2965,2985,311960,-0.019704433497536922
2020-01-22,2985,3020,2970,2980,153150,-0.0016750418760469454
2020-01-23,2975,3005,2960,2980,72994,0.0
2020-01-28,2910,2925,2850,2895,169083,-0.028523489932885893
2020-01-29,2895,3060,2885,2915,202784,0.006908462867012188
2020-01-30,2925,2945,2870,2910,77548,-0.0017152658662092923
2020-01-31,2885,2905,2800,2815,117975,-0.03264604810996563
