Date,Open,High,Low,Close,Volume,Change
2019-03-29,10300,12250,9990,10200,18466163,
2019-04-01,10450,12400,10200,11900,10083539,0.1666666666666667
2019-04-02,11800,12000,10700,10850,3440357,-0.088235294117647
2019-04-03,11250,11650,11000,11000,2558924,0.0138248847926267
2019-04-04,11100,11300,10400,10950,1463684,-0.0045454545454545
2019-04-05,11300,11650,10850,11200,1869336,0.0228310502283104
2019-04-08,11100,11300,10800,10850,899859,-0.03125
2019-04-09,10900,11600,10650,11550,1556748,0.064516129032258
2019-04-10,11300,11350,11100,11250,1003849,-0.0259740259740259
2019-04-11,11350,11550,11050,11300,896382,0.0044444444444444
2019-04-12,11250,11350,10900,10900,815325,-0.0353982300884956
2019-04-15,10950,11000,10650,10700,625049,-0.018348623853211
2019-04-16,10700,10850,10450,10500,478326,-0.0186915887850467
2019-04-17,10550,10850,10400,10500,497627,0.0
2019-04-18,10550,10650,10400,10400,361661,-0.0095238095238094
2019-04-19,10550,10600,10250,10350,326895,-0.0048076923076922
2019-04-22,10400,10450,10050,10200,386878,-0.0144927536231883
2019-04-23,10200,10550,10150,10200,468643,0.0
2019-04-24,10300,10350,9460,9490,784178,-0.0696078431372548
2019-04-25,9360,9380,8800,8920,956907,-0.0600632244467861
2019-04-26,8990,9040,8570,8780,472486,-0.015695067264574
2019-04-29,8840,9380,8840,9160,754610,0.0432801822323463
2019-04-30,9110,9240,8850,9160,353071,0.0
2019-05-02,9200,9990,9200,9770,1063484,0.0665938864628821
2019-05-03,9750,10150,9570,9860,633302,0.0092118730808596
2019-05-07,9580,9750,9360,9360,299716,-0.0507099391480729
2019-05-08,9200,9230,9010,9050,303863,-0.0331196581196581
2019-05-09,9220,10100,9000,9200,1131228,0.0165745856353591
2019-05-10,9330,11350,9330,10450,7795825,0.1358695652173913
2019-05-13,10700,11200,10050,10150,2260672,-0.0287081339712919
2019-05-14,9900,10450,9730,10450,938917,0.0295566502463053
2019-05-15,10650,10950,10350,10750,1122288,0.0287081339712917
2019-05-16,10600,10650,10200,10250,648248,-0.0465116279069767
2019-05-17,10750,11300,10550,10700,1428859,0.0439024390243902
2019-05-20,11150,11150,10650,10900,657300,0.0186915887850467
2019-05-21,10700,11150,10200,11050,835159,0.0137614678899082
2019-05-22,11300,11450,10850,11350,1090233,0.0271493212669682
2019-05-23,11300,13250,11150,12250,5254483,0.0792951541850219
2019-05-24,12050,12750,11800,12450,1965787,0.0163265306122448
2019-05-27,12450,12850,12250,12750,1195608,0.0240963855421687
2019-05-28,13100,13450,12700,12850,1075571,0.0078431372549019
2019-05-29,12550,13200,12150,13000,1189928,0.0116731517509727
2019-05-30,12950,13100,12450,12500,547435,-0.0384615384615384
2019-05-31,12500,12850,12250,12500,367893,0.0
2019-06-03,12550,13050,12350,12500,508636,0.0
2019-06-04,12750,12950,12500,12600,405809,0.008
2019-06-05,12850,13350,12600,13300,927402,0.0555555555555555
2019-06-07,13250,13350,12900,13300,538963,0.0
2019-06-10,13650,13800,13250,13350,669506,0.0037593984962405
2019-06-11,13700,13900,12700,12700,701721,-0.048689138576779
2019-06-12,12800,12950,12250,12450,685894,-0.0196850393700787
2019-06-13,12450,12750,12450,12600,323214,0.0120481927710842
2019-06-14,12650,13200,12600,13050,446544,0.0357142857142858
2019-06-17,13050,13150,11750,12050,935752,-0.0766283524904214
2019-06-18,12200,12350,11350,11700,598273,-0.0290456431535269
2019-06-19,11850,11900,11500,11650,260244,-0.0042735042735042
2019-06-20,11700,12250,11650,12200,277439,0.0472103004291846
2019-06-21,12300,12350,11800,12000,200360,-0.0163934426229508
2019-06-24,11950,11950,11350,11500,222595,-0.0416666666666666
2019-06-25,11500,11650,10450,10650,673214,-0.0739130434782608
2019-06-26,10700,11200,10200,10950,506256,0.028169014084507
2019-06-27,11000,11500,10850,11300,354402,0.0319634703196347
2019-06-28,11400,11600,11000,11500,208319,0.0176991150442478
2019-07-01,11600,11800,11050,11200,139876,-0.026086956521739
2019-07-02,11100,11100,10450,10850,310459,-0.03125
2019-07-03,10900,11000,10450,10900,212879,0.0046082949308756
2019-07-04,10850,10850,10000,10200,393767,-0.0642201834862384
2019-07-05,10150,10400,9680,10350,548147,0.0147058823529411
2019-07-08,10400,10400,9800,9800,198019,-0.0531400966183575
2019-07-09,9940,10200,9100,9900,217908,0.0102040816326529
2019-07-10,9930,10550,9930,10450,376905,0.0555555555555555
2019-07-11,10550,10600,10100,10300,176528,-0.0143540669856458
2019-07-12,10400,10500,10150,10450,138266,0.0145631067961164
2019-07-15,10550,10550,10050,10050,133293,-0.0382775119617224
2019-07-16,10100,10550,9990,10150,163227,0.0099502487562188
2019-07-17,10350,10550,10100,10450,142760,0.0295566502463053
2019-07-18,10450,10500,10150,10250,90378,-0.0191387559808612
2019-07-19,10250,10900,10250,10800,238466,0.0536585365853659
2019-07-22,10800,10950,10600,10800,108295,0.0
2019-07-23,10950,11200,10750,10900,256524,0.0092592592592593
2019-07-24,11000,11250,10550,10600,230218,-0.0275229357798164
2019-07-25,10850,11050,10600,10900,142204,0.0283018867924529
2019-07-26,10900,11300,10500,10700,294346,-0.018348623853211
2019-07-29,10650,10750,9920,9920,287636,-0.0728971962616822
2019-07-30,10000,10350,9940,10150,119480,0.0231854838709677
2019-07-31,10200,10250,9190,10150,191147,0.0
2019-08-01,10200,10250,9800,9930,97780,-0.0216748768472906
2019-08-02,9930,10000,9200,9660,199988,-0.0271903323262839
2019-08-05,9480,9670,8160,8170,490981,-0.1542443064182195
2019-08-06,7950,8140,7510,7580,303986,-0.0722154222766218
2019-08-07,7580,8710,7580,8310,287837,0.096306068601583
2019-08-08,8330,8780,8090,8570,160006,0.0312876052948254
2019-08-09,8610,8740,8500,8500,109391,-0.0081680280046674
2019-08-12,8500,8640,8250,8400,67988,-0.0117647058823529
2019-08-13,8390,9070,8290,8790,158237,0.0464285714285714
2019-08-14,8910,9030,8760,8850,92115,0.006825938566553
2019-08-16,8660,8890,8540,8770,65903,-0.0090395480225988
2019-08-19,8820,8870,8530,8650,72543,-0.0136830102622577
2019-08-20,8680,8960,8630,8910,100169,0.0300578034682081
2019-08-21,8900,8990,8760,8970,68796,0.0067340067340067
2019-08-22,9000,9060,8740,8740,68553,-0.0256410256410256
2019-08-23,8700,8710,8500,8570,58314,-0.0194508009153318
