Date,Open,High,Low,Close,Volume,Change
2015-07-31,3240,4210,2920,4210,22105692,
2015-08-03,5470,5470,4285,4370,33900678,0.0380047505938241
2015-08-04,4310,4830,4110,4390,14292360,0.0045766590389015
2015-08-05,4670,4760,4270,4325,7847088,-0.0148063781321184
2015-08-06,4335,4405,4120,4405,5315720,0.0184971098265895
2015-08-07,4285,4345,3880,3920,2855882,-0.1101021566401816
2015-08-10,3965,4240,3775,3805,3993702,-0.0293367346938775
2015-08-11,3825,3940,3620,3625,1853691,-0.0473061760840998
2015-08-12,3635,3740,3435,3710,2471515,0.0234482758620688
2015-08-13,3680,4820,3640,4820,12437547,0.2991913746630728
2015-08-17,4755,4785,4050,4155,7371733,-0.137966804979253
2015-08-18,4145,4450,3685,3750,8407402,-0.0974729241877256
2015-08-19,3905,4350,3750,3940,10046220,0.0506666666666666
2015-08-20,4020,4255,3700,3780,3837647,-0.0406091370558375
2015-08-21,3570,3675,3315,3330,2428501,-0.119047619047619
2015-08-24,3205,3560,3205,3300,2016297,-0.009009009009009
2015-08-25,3450,3790,3300,3510,3889696,0.0636363636363637
2015-08-26,3525,3680,3505,3630,2338809,0.0341880341880342
2015-08-27,3695,3880,3620,3630,2449211,0.0
2015-08-28,3670,3730,3580,3590,1763153,-0.0110192837465564
2015-08-31,3640,3855,3605,3705,3315672,0.0320334261838439
2015-09-01,3735,3820,3570,3570,1831044,-0.0364372469635627
2015-09-02,3515,3645,3475,3610,1551097,0.011204481792717
2015-09-03,3660,3810,3590,3600,2788685,-0.002770083102493
2015-09-04,3695,3800,3330,3475,2567084,-0.0347222222222222
2015-09-07,3510,3625,3410,3440,1108224,-0.0100719424460431
2015-09-08,3465,3515,3235,3240,854086,-0.0581395348837209
2015-09-09,3300,3425,3285,3365,742681,0.0385802469135803
2015-09-10,3390,3450,3355,3445,826145,0.0237741456166418
2015-09-11,3445,3445,3315,3350,493962,-0.0275761973875181
2015-09-14,3385,3385,3200,3285,625761,-0.0194029850746269
2015-09-15,3300,3300,3150,3160,790513,-0.0380517503805175
2015-09-16,3205,3240,3030,3100,845936,-0.0189873417721518
2015-09-17,3135,3235,3085,3155,650653,0.017741935483871
2015-09-18,3210,3330,3180,3330,1026909,0.0554675118858953
2015-09-21,3310,3315,3255,3290,525603,-0.0120120120120119
2015-09-22,3350,3370,3265,3345,599869,0.0167173252279635
2015-09-23,3295,3340,3200,3200,444936,-0.0433482810164425
2015-09-24,3195,3295,3185,3210,310526,0.003125
2015-09-25,3210,3235,3105,3135,356512,-0.0233644859813083
2015-09-30,3030,3155,3000,3145,393130,0.0031897926634769
2015-10-01,3160,3235,3130,3155,487049,0.0031796502384737
2015-10-02,3170,3220,3145,3155,419814,0.0
2015-10-05,3175,3300,3155,3155,402083,0.0
2015-10-06,3180,3300,3160,3300,599752,0.045958795562599
2015-10-07,3355,3375,3240,3295,638141,-0.0015151515151514
2015-10-08,3310,3310,3185,3195,315510,-0.0303490136570561
2015-10-12,3200,3235,3110,3125,365779,-0.0219092331768387
2015-10-13,3125,3155,3070,3125,221387,0.0
2015-10-14,3130,3160,3070,3070,196052,-0.0175999999999999
2015-10-15,3070,3120,3055,3070,257868,0.0
2015-10-16,3100,3140,3080,3095,291737,0.00814332247557
2015-10-19,3125,3210,3100,3145,335241,0.0161550888529886
2015-10-20,3175,3345,3135,3345,966171,0.0635930047694752
2015-10-21,3355,3360,3275,3300,484818,-0.0134529147982063
2015-10-22,3300,3330,3145,3145,407861,-0.0469696969696969
2015-10-23,3170,3245,3170,3200,238327,0.0174880763116056
2015-10-26,3215,3335,3215,3290,431567,0.0281249999999999
2015-10-27,3265,3290,3160,3195,411783,-0.0288753799392097
2015-10-28,3195,3310,3180,3245,352936,0.0156494522691705
2015-10-29,3255,3300,3240,3245,270172,0.0
2015-10-30,3250,3270,3205,3215,213209,-0.0092449922958397
2015-11-02,3225,3240,3045,3075,688096,-0.0435458786936235
2015-11-03,3105,3105,2930,2950,553033,-0.040650406504065
2015-11-04,2970,3085,2880,2925,417570,-0.0084745762711864
2015-11-05,2900,3000,2895,2945,296325,0.0068376068376068
2015-11-06,2930,2945,2850,2850,414677,-0.032258064516129
2015-11-09,2850,2865,2775,2775,255465,-0.0263157894736841
2015-11-10,2820,2820,2550,2630,528339,-0.0522522522522522
2015-11-11,2615,2730,2615,2655,184149,0.0095057034220531
2015-11-12,2655,2820,2650,2720,338423,0.0244821092278719
2015-11-13,2670,2860,2580,2840,411067,0.0441176470588235
