Date,Open,High,Low,Close,Volume,Change
2013-11-26,3477,3998,3477,3998,2085060,
2013-11-27,4071,4238,3671,3778,2572684,-0.0550275137568784
2013-11-28,3844,3884,3604,3745,624044,-0.0087347803070407
2013-11-29,3758,3904,3637,3671,580549,-0.0197596795727637
2013-12-02,3684,3744,3537,3565,254608,-0.0288749659493325
2013-12-03,3577,3637,3384,3398,270214,-0.0468443197755961
2013-12-04,3364,3424,3247,3274,238880,-0.0364920541494997
2013-12-05,3284,3364,3260,3281,110505,0.0021380574221137
2013-12-06,3290,3337,3207,3207,73467,-0.0225540993599512
2013-12-09,3214,3264,3127,3127,76555,-0.0249454318677891
2013-12-10,3133,3170,3053,3054,59188,-0.0233450591621362
2013-12-11,3067,3511,3067,3511,1023299,0.1496398166339227
2013-12-12,3738,3764,3337,3351,1166684,-0.0455710623753916
2013-12-13,3337,3370,3143,3177,253653,-0.0519247985675918
2013-12-16,3190,3220,3003,3004,113429,-0.0544538873150771
2013-12-17,3050,3350,3010,3071,416561,0.0223035952063914
2013-12-18,3103,3140,3017,3020,103104,-0.0166069684141972
2013-12-19,3070,3120,3017,3054,87153,0.0112582781456953
2013-12-20,3070,3437,3070,3271,353325,0.0710543549443352
2013-12-23,3310,3390,3207,3267,91911,-0.0012228676245796
2013-12-24,3274,3334,3247,3284,71290,0.005203550658096
2013-12-26,3284,3390,3120,3121,168585,-0.0496345919610231
2013-12-27,3163,3244,3163,3197,57036,0.024351169496956
2013-12-30,3247,3511,3214,3328,105777,0.0409759149202377
2014-01-02,3404,3437,3237,3251,124931,-0.0231370192307692
2014-01-03,3250,3430,3224,3364,160951,0.0347585358351276
2014-01-06,3344,3464,3337,3438,92819,0.0219976218787159
2014-01-07,3437,3511,3377,3404,60991,-0.0098894706224549
2014-01-08,3464,3584,3390,3565,104709,0.0472972972972973
2014-01-09,3617,3624,3491,3544,38072,-0.005890603085554
2014-01-10,3544,3584,3370,3451,60793,-0.0262415349887132
2014-01-13,3430,3524,3410,3471,28238,0.0057954216169227
2014-01-14,3504,3504,3417,3424,25684,-0.013540766349755
2014-01-15,3424,3457,3337,3364,62981,-0.0175233644859813
2014-01-16,3390,3497,3320,3491,57983,0.0377526753864447
2014-01-17,3484,3524,3390,3471,38742,-0.0057290174735032
2014-01-20,3451,3457,3390,3411,12541,-0.017286084701815
2014-01-21,3430,3557,3397,3471,32395,0.0175901495162709
2014-01-22,3491,3531,3397,3438,15213,-0.0095073465859982
2014-01-23,3430,3464,3404,3418,14862,-0.0058173356602676
2014-01-24,3410,3417,3344,3358,26630,-0.0175541252194265
2014-01-27,3304,3397,3157,3308,22567,-0.0148898153662894
2014-01-28,3390,3397,3244,3358,7889,0.0151148730350665
2014-01-29,3287,3404,3287,3314,7373,-0.0131030375223347
2014-02-03,3314,3390,3270,3314,4098,0.0
2014-02-04,3270,3370,3204,3371,6857,0.0171997585998793
2014-02-05,3390,3390,3314,3391,8673,0.0059329575793534
2014-02-06,3404,3410,3324,3391,9341,0.0
2014-02-07,3410,3504,3337,3478,20600,0.025656148628723
2014-02-10,3537,3537,3410,3484,16339,0.0017251293847038
2014-02-11,3484,3637,3424,3511,34653,0.0077497129735935
2014-02-12,3491,3671,3484,3605,35752,0.0267729991455425
2014-02-13,3571,3758,3571,3718,44775,0.0313453536754506
2014-02-14,3804,3818,3677,3711,34502,-0.0018827326519633
2014-02-17,3791,3791,3577,3578,19164,-0.0358393963891134
2014-02-18,3531,3651,3531,3571,7748,-0.0019564002235885
2014-02-19,3551,3698,3551,3671,7981,0.0280033604032483
2014-02-20,3604,3764,3604,3738,31580,0.0182511577226913
2014-02-21,3704,3791,3637,3678,58768,-0.0160513643659711
2014-02-24,3677,3738,3537,3671,31181,-0.0019032082653616
2014-02-25,3677,3698,3504,3518,37553,-0.0416780168891309
2014-02-26,3537,3657,3484,3511,16283,-0.0019897669130187
2014-02-27,3544,3557,3254,3411,197962,-0.0284819139846197
2014-02-28,3384,3424,3327,3378,56109,-0.009674582233949
2014-03-03,3337,3451,3310,3404,24347,0.0076968620485493
2014-03-04,3364,3444,3337,3358,20525,-0.0135135135135134
2014-03-05,3390,3410,3310,3371,60657,0.0038713519952353
2014-03-06,3397,3397,3327,3334,32102,-0.0109759715218036
2014-03-07,3357,3357,3297,3338,18542,0.0011997600479904
2014-03-10,3304,3370,3240,3324,33679,-0.0041941282204913
2014-03-11,3364,3364,3320,3351,20043,0.0081227436823103
2014-03-12,3350,3364,3317,3344,7415,-0.0020889286780065
2014-03-13,3337,3491,3324,3431,64258,0.0260167464114833
2014-03-14,3471,3531,3350,3504,28525,0.0212765957446807
2014-03-17,3504,3511,3370,3471,36722,-0.009417808219178
2014-03-18,3511,3511,3410,3464,12133,-0.0020167098818784
2014-03-19,3497,3504,3324,3404,26610,-0.0173210161662817
2014-03-20,3424,3424,3334,3371,20944,-0.0096944770857814
2014-03-21,3370,3491,3337,3451,69203,0.0237318303174132
2014-03-24,3497,3497,3430,3498,17051,0.0136192407997681
2014-03-25,3484,3484,3370,3398,17730,-0.028587764436821
2014-03-26,3397,3457,3350,3458,12669,0.0176574455562095
2014-03-27,3451,3657,3437,3544,39005,0.0248698669751301
2014-03-28,3631,3831,3551,3705,117696,0.0454288939051918
2014-03-31,3811,3858,3664,3858,47269,0.0412955465587043
2014-04-01,3844,3851,3744,3805,13722,-0.0137376879212026
2014-04-02,3791,3858,3671,3765,28058,-0.0105124835742443
2014-04-03,3798,3798,3624,3705,37353,-0.0159362549800796
2014-04-04,3704,3764,3671,3731,19896,0.0070175438596491
2014-04-07,3691,3691,3631,3638,15231,-0.0249262932189761
2014-04-08,3584,3657,3551,3631,26472,-0.0019241341396372
2014-04-09,3657,3698,3597,3631,13286,0.0
2014-04-10,3677,3758,3651,3685,17849,0.0148719361057561
2014-04-11,3677,3764,3604,3758,6875,0.019810040705563
2014-04-14,3764,3771,3684,3745,17999,-0.0034592868547099
2014-04-15,3744,3884,3704,3751,14428,0.0016021361815754
2014-04-16,3858,4265,3771,4265,305693,0.1370301252999199
2014-04-17,4265,4365,4058,4065,97160,-0.0468933177022273
2014-04-18,4058,4098,3958,4045,93586,-0.004920049200492
2014-04-21,4018,4131,3991,4045,60369,0.0
2014-04-22,4051,4091,4005,4085,47116,0.0098887515451173
2014-04-23,4118,4131,3985,4085,63590,0.0
2014-04-24,4111,4272,4045,4179,41823,0.0230110159118726
2014-04-25,4318,4318,4098,4119,35451,-0.0143575017946877
2014-04-28,4185,4185,4065,4125,30387,0.0014566642388929
2014-04-29,4098,4125,4045,4045,15828,-0.0193939393939394
2014-04-30,4005,4105,3991,3992,16485,-0.0131025957972805
2014-05-02,4071,4071,3711,4018,23805,0.0065130260521042
2014-05-07,4018,4045,3878,3992,8092,-0.0064708810353409
2014-05-08,4125,4125,3938,3992,14112,0.0
2014-05-09,4098,4098,3911,3952,8078,-0.0100200400801603
2014-05-12,4131,4131,3904,4005,4248,0.013410931174089
2014-05-13,3978,4011,3904,3958,6049,-0.0117353308364543
2014-05-14,3911,4091,3838,3958,7345,0.0
2014-05-15,4091,4091,3971,4005,2356,0.0118746841839312
2014-05-16,4038,4038,3738,3938,26496,-0.0167290886392009
2014-05-19,3844,3931,3798,3878,32186,-0.0152361604875571
2014-05-20,3985,3985,3657,3731,24252,-0.0379061371841155
2014-05-21,3698,3858,3698,3738,9746,0.0018761726078799
2014-05-22,3738,3764,3684,3738,14608,0.0
2014-05-23,3738,3771,3718,3718,9412,-0.005350454788657
2014-05-26,3718,3724,3671,3725,12980,0.0018827326519634
2014-05-27,3931,3931,3671,3691,10333,-0.0091275167785235
2014-05-28,3831,3831,3544,3591,21249,-0.0270929287455974
2014-05-29,3651,3651,3471,3518,10513,-0.0203285992759677
2014-05-30,3657,3657,3491,3538,12967,0.0056850483229107
2014-06-02,3537,3604,3504,3605,11982,0.0189372526851328
2014-06-03,3571,3698,3504,3665,5537,0.0166435506241331
2014-06-05,3637,3731,3504,3571,19615,-0.0256480218281036
2014-06-09,3571,3571,3497,3538,3871,-0.0092411089330719
2014-06-10,3504,3551,3471,3504,12528,-0.0096099491237987
2014-06-11,3484,3591,3471,3538,3447,0.0097031963470319
2014-06-12,3577,3637,3537,3638,6119,0.0282645562464669
2014-06-13,3671,3677,3430,3538,11105,-0.0274876305662451
2014-06-16,3537,3571,3451,3464,5484,-0.0209157716223855
2014-06-17,3471,3484,3417,3418,8365,-0.0132794457274826
2014-06-18,3384,3437,3274,3364,30120,-0.0157987126974838
2014-06-19,3344,3384,3317,3338,13151,-0.0077288941736028
2014-06-20,3344,3370,3300,3371,7825,0.0098861593768724
2014-06-23,3504,3504,3270,3287,12283,-0.0249184218332838
2014-06-24,3300,3384,3284,3304,17779,0.0051718892607239
2014-06-25,3437,3437,3207,3304,12776,0.0
2014-06-26,3437,3471,3344,3404,6447,0.0302663438256658
2014-06-27,3410,3858,3404,3798,53908,0.1157461809635722
2014-06-30,3918,3958,3771,3825,65586,0.0071090047393365
2014-07-01,3844,3898,3758,3765,16026,-0.0156862745098039
2014-07-02,3731,3884,3731,3838,22437,0.0193891102257635
2014-07-03,3838,3998,3818,3938,44378,0.0260552371026576
2014-07-04,4065,4065,3851,3932,11811,-0.0015236160487557
2014-07-07,4071,4071,3864,3898,10135,-0.008646998982706
2014-07-08,3891,3958,3744,3918,16576,0.0051308363263211
2014-07-09,4071,4071,3824,3932,11301,0.0035732516590096
2014-07-10,3978,4165,3884,4092,69217,0.0406917599186165
2014-07-11,4098,4151,4058,4078,27701,-0.0034213098729227
2014-07-14,4078,4078,4038,4065,13319,-0.0031878371750858
2014-07-15,4065,4071,3985,4005,43399,-0.014760147601476
2014-07-16,3918,4071,3918,3998,25759,-0.0017478152309613
2014-07-17,3971,4258,3965,4038,16278,0.0100050025012505
2014-07-18,3998,4038,3911,4005,20905,-0.0081723625557206
2014-07-21,4138,4272,4005,4072,19301,0.016729088639201
2014-07-22,4031,4085,3965,3972,9931,-0.0245579567779961
2014-07-23,3911,4071,3884,3885,13117,-0.0219033232628398
2014-07-24,3851,3958,3838,3878,10978,-0.0018018018018017
2014-07-25,3818,3898,3818,3872,11246,-0.001547189272821
2014-07-28,3965,3965,3811,3958,9189,0.022210743801653
2014-07-29,3971,3971,3824,3918,8252,-0.0101061141990904
2014-07-30,3965,3965,3904,3905,2797,-0.0033180193976518
2014-07-31,3824,3884,3738,3785,10891,-0.0307298335467349
2014-08-01,3784,3831,3724,3832,4815,0.0124174372523118
2014-08-04,3804,3991,3771,3832,4402,0.0
2014-08-05,3704,3844,3704,3832,5213,0.0
2014-08-06,3898,3898,3704,3738,6616,-0.0245302713987474
2014-08-07,3758,3791,3657,3691,22086,-0.012573568753344
2014-08-08,3691,3818,3591,3665,13198,-0.0070441614738553
2014-08-11,3711,3951,3637,3705,2828,0.0109140518417463
2014-08-12,3951,3951,3671,3685,1376,-0.0053981106612686
2014-08-13,3864,3864,3704,3771,2321,0.023337856173677
2014-08-14,3771,3898,3758,3805,3106,0.0090161760806151
2014-08-18,3824,3844,3704,3705,5037,-0.026281208935611
2014-08-19,3704,3798,3698,3718,14090,0.0035087719298245
2014-08-20,3724,3831,3718,3778,2621,0.0161377084454008
2014-08-21,3778,3991,3704,3791,15634,0.0034409740603493
2014-08-22,3931,3931,3751,3758,9689,-0.0087048272223687
2014-08-25,3971,3971,3711,3718,9207,-0.0106439595529537
2014-08-26,3711,3731,3657,3671,10732,-0.0126412049488973
2014-08-27,3671,3698,3591,3638,9147,-0.0089893761917733
2014-08-28,3637,3864,3611,3611,5716,-0.0074216602528861
2014-08-29,3544,3637,3497,3511,30218,-0.027693159789532
2014-09-01,3457,3604,3404,3418,26709,-0.0264881800056964
2014-09-02,3417,3524,3370,3418,29299,0.0
2014-09-03,3404,3517,3290,3398,71191,-0.0058513750731421
2014-09-04,3437,3451,3337,3384,14186,-0.0041200706297822
2014-09-05,3457,3457,3370,3418,3692,0.010047281323877
2014-09-11,3417,3504,3417,3504,12678,0.0251609128145113
2014-09-12,3577,3738,3517,3711,21036,0.0590753424657535
2014-09-15,3791,3791,3524,3598,25404,-0.0304500134734573
2014-09-16,3597,3731,3564,3605,6694,0.0019455252918287
2014-09-17,3604,3664,3557,3558,4496,-0.0130374479889042
2014-09-18,3611,3644,3537,3551,11703,-0.0019673974142776
2014-09-19,3698,3698,3484,3631,5900,0.0225288651084201
2014-09-22,3664,3664,3517,3531,14836,-0.0275406224180666
2014-09-23,3531,3584,3517,3518,1400,-0.0036816765788728
2014-09-24,3437,3637,3364,3418,12997,-0.0284252416145537
2014-09-25,3430,3517,3430,3504,9935,0.0251609128145113
2014-09-26,3557,3557,3471,3498,8879,-0.0017123287671232
2014-09-29,3477,3544,3471,3478,7333,-0.0057175528873641
2014-09-30,3477,3511,3344,3511,18993,0.0094882116158712
2014-10-01,3484,3524,3471,3484,16423,-0.0076901167758473
2014-10-02,3471,3504,3471,3471,4134,-0.003731343283582
2014-10-06,3617,3778,3471,3585,14192,0.0328435609334485
2014-10-07,3671,3864,3577,3645,69514,0.0167364016736402
2014-10-08,3698,3851,3637,3818,28216,0.0474622770919066
2014-10-10,3838,3838,3738,3811,13453,-0.001833420639078
2014-10-13,3858,3858,3544,3618,32361,-0.0506428758855943
2014-10-14,3571,3651,3571,3651,26496,0.0091210613598673
2014-10-15,3651,3838,3604,3711,23037,0.0164338537387016
2014-10-16,3758,3758,3617,3685,10244,-0.007006197790353
2014-10-17,3631,3804,3631,3758,16050,0.019810040705563
2014-10-20,3871,3871,3704,3765,8209,0.0018626929217668
2014-10-21,3791,3791,3617,3618,14859,-0.0390438247011952
2014-10-22,3624,3758,3624,3758,17603,0.0386954118297402
2014-10-23,3731,3758,3704,3751,6138,-0.0018626929217668
2014-10-24,3784,3858,3677,3678,5626,-0.0194614769394828
2014-10-27,3677,3711,3597,3598,40838,-0.0217509516041326
2014-10-28,3597,3637,3504,3578,35123,-0.0055586436909393
2014-10-29,3557,3804,3504,3738,27053,0.0447177193963108
2014-10-30,3711,3871,3671,3705,12023,-0.008828250401284
2014-10-31,3704,3771,3664,3711,2566,0.0016194331983805
2014-11-03,3704,3704,3531,3551,11708,-0.0431150633252492
2014-11-04,3551,3591,3437,3498,7275,-0.0149253731343284
2014-11-05,3497,3537,3417,3538,2430,0.0114351057747283
2014-11-06,3537,3537,3404,3438,4502,-0.0282645562464669
2014-11-07,3437,3477,3437,3471,492,0.0095986038394415
2014-11-10,3377,3457,3377,3404,9480,-0.0193027945836934
2014-11-11,3404,3404,3330,3404,43942,0.0
2014-11-12,3404,3437,3384,3438,4040,0.009988249118684
2014-11-13,3437,3464,3304,3304,21900,-0.0389761489237928
2014-11-14,3304,3364,3294,3358,12454,0.0163438256658594
2014-11-17,3357,3397,3320,3378,5589,0.0059559261465158
2014-11-18,3404,3404,3337,3344,1214,-0.0100651272942569
2014-11-19,3334,3384,3304,3331,3826,-0.0038875598086124
2014-11-20,3330,3344,3310,3344,2082,0.0039027319123385
2014-11-21,3344,3344,3324,3334,7153,-0.0029904306220095
2014-11-24,3334,3397,3304,3391,26525,0.0170965806838632
2014-11-25,3390,3451,3344,3404,8604,0.0038336773813034
2014-11-26,3430,3430,3350,3371,2216,-0.0096944770857814
2014-11-27,3370,3377,3317,3378,1655,0.0020765351527736
2014-11-28,3350,3404,3320,3404,4913,0.0076968620485493
2014-12-01,3390,3390,3304,3314,26465,-0.0264394829612221
2014-12-02,3287,3290,3247,3284,6157,-0.0090525045262522
2014-12-03,3284,3284,3204,3284,23400,0.0
2014-12-04,3270,3290,3204,3287,16516,0.0009135200974421
2014-12-05,3244,3287,3194,3194,16009,-0.028293276543961
2014-12-08,3270,3270,3180,3201,14853,0.0021916092673763
2014-12-09,3200,3337,3177,3204,11014,0.0009372071227742
2014-12-10,3204,3204,3133,3154,11477,-0.015605493133583
2014-12-11,3153,3187,3137,3157,13521,0.0009511731135065
2014-12-12,3123,3153,3100,3117,19493,-0.0126702565726956
2014-12-15,3117,3184,3117,3151,22717,0.0109079242861727
2014-12-16,3254,3254,3150,3197,38537,0.0145985401459853
2014-12-17,3227,3227,3137,3154,9269,-0.0134501094776352
2014-12-18,3153,3267,3103,3171,75389,0.0053899809765376
2014-12-19,3230,3230,3043,3137,22378,-0.010722169662567
2014-12-22,3224,3224,3120,3141,7284,0.0012751036021676
2014-12-23,3140,3174,3113,3127,8986,-0.0044571792422795
2014-12-24,3127,3227,3127,3217,20209,0.028781579788935
2014-12-26,3217,3430,3217,3431,24234,0.0665216039788623
2014-12-29,3424,3430,3327,3328,915,-0.0300204022150976
2014-12-30,3597,3824,3597,3825,122354,0.1493389423076923
2015-01-02,3844,4031,3784,3892,239045,0.017516339869281
2015-01-05,3924,3978,3738,3838,53077,-0.013874614594039
2015-01-06,3811,4025,3751,3938,59040,0.0260552371026576
2015-01-07,3904,3978,3824,3832,32513,-0.0269172168613509
2015-01-08,3831,3904,3751,3771,43219,-0.0159185803757828
2015-01-09,3811,3844,3711,3825,36218,0.0143198090692124
2015-01-12,3798,3824,3758,3811,15874,-0.0036601307189542
2015-01-13,3811,3858,3764,3805,23997,-0.0015743899239044
2015-01-14,3804,3971,3804,3972,22949,0.0438896189224704
2015-01-15,4038,4111,3965,4025,34317,0.0133434038267874
2015-01-16,4071,4071,3851,3998,16394,-0.0067080745341614
2015-01-19,3998,3998,3871,3938,12442,-0.0150075037518759
2015-01-20,3938,3938,3704,3905,50699,-0.0083798882681563
2015-01-21,3871,3904,3724,3745,70632,-0.0409731113956466
2015-01-22,3758,3884,3751,3858,20142,0.0301735647530039
2015-01-23,3858,3951,3798,3952,19643,0.0243649559357179
2015-01-26,3944,4338,3944,4185,154742,0.0589574898785425
2015-01-27,4232,4252,4111,4205,20109,0.0047789725209079
2015-01-28,4185,4305,4165,4279,46562,0.0175980975029725
2015-01-29,4278,4452,4205,4272,48903,-0.0016358962374386
2015-01-30,4318,4318,4098,4192,35673,-0.0187265917602996
2015-02-02,4178,4191,4071,4185,19850,-0.0016698473282442
2015-02-03,4185,4205,4045,4052,41123,-0.0317801672640382
2015-02-04,4051,4418,4051,4292,110915,0.0592300098716682
2015-02-05,4398,4832,4265,4599,141173,0.0715284249767007
