Date,Open,High,Low,Close,Volume,Change
2013-09-16,2638,2669,2638,2661,2413,
2013-09-17,2660,2660,2620,2634,9385,-0.0101465614430664
2013-09-23,2585,2598,2451,2598,21639,-0.0136674259681093
2013-09-24,2598,2611,2549,2581,6911,-0.0065434949961509
2013-09-25,2589,2589,2549,2581,1998,0.0
2013-09-26,2549,2589,2549,2567,4038,-0.0054242541650523
2013-09-27,2594,2594,2553,2585,4100,0.0070120763537202
2013-09-30,2540,2576,2540,2567,3215,-0.006963249516441
2013-10-01,2589,2589,2500,2527,5625,-0.0155823918971562
2013-10-02,2536,2536,2505,2527,4241,0.0
2013-10-04,2509,2571,2509,2550,25494,0.0091017016224772
2013-10-07,2536,2567,2447,2483,18420,-0.0262745098039215
2013-10-08,2482,2509,2367,2416,21863,-0.0269834877164719
2013-10-10,2402,2460,2375,2461,10954,0.0186258278145694
2013-10-11,2456,2482,2433,2461,1975,0.0
2013-10-14,2482,2491,2464,2469,4200,0.0032507110930515
2013-10-15,2464,2513,2402,2443,16885,-0.0105305791818549
2013-10-16,2478,2478,2420,2425,1578,-0.007367990176013
2013-10-17,2460,2460,2375,2403,11342,-0.0090721649484536
2013-10-18,2402,2451,2402,2443,411,0.0166458593424885
2013-10-21,2447,2447,2411,2429,1054,-0.0057306590257879
2013-10-22,2411,2447,2411,2438,601,0.0037052284890901
2013-10-23,2411,2442,2398,2407,4577,-0.012715340442986
2013-10-24,2407,2424,2389,2412,2297,0.0020772746157042
2013-10-25,2433,2433,2384,2412,1579,0.0
2013-10-28,2429,2429,2327,2367,29813,-0.0186567164179104
2013-10-29,2358,2367,2322,2363,18797,-0.0016899028305872
2013-10-30,2362,2367,2313,2345,9887,-0.0076174354633939
2013-10-31,2313,2340,2273,2318,7748,-0.0115138592750533
2013-11-01,2327,2327,2269,2318,2763,0.0
2013-11-04,2340,2367,2304,2327,12717,0.0038826574633303
2013-11-05,2367,2367,2313,2323,7007,-0.0017189514396218
2013-11-06,2318,2322,2273,2314,5157,-0.0038743004735256
2013-11-07,2291,2340,2282,2283,1687,-0.0133967156439066
