Date,Open,High,Low,Close,Volume,Change
2023-04-04,8470,9450,8390,8500,373575,-0.0173410404624277
2023-04-05,8450,8710,8410,8550,44187,0.0058823529411764
2023-04-06,8550,8550,8010,8480,34622,-0.0081871345029239
2023-04-07,8430,8500,8290,8400,20344,-0.0094339622641509
2023-04-10,8350,8400,7970,8380,46805,-0.0023809523809523
2023-04-11,8400,8600,8210,8390,15241,0.0011933174224343
2023-04-12,8390,8550,8250,8470,34330,0.0095351609058402
2023-04-13,8430,8530,8300,8450,19374,-0.0023612750885477
2023-04-14,8480,8490,8320,8450,23157,0.0
2023-04-17,8450,8500,8290,8350,24690,-0.0118343195266271
2023-04-18,0,0,0,8350,0,0.0
2023-04-19,8110,8400,7780,8380,110278,0.0035928143712575
2023-04-20,8380,8500,8000,8060,31023,-0.0381861575178997
2023-04-21,8070,8150,7900,8100,24424,0.0049627791563275
2023-04-24,8000,8330,7750,8320,50551,0.0271604938271605
2023-04-25,8070,8190,7860,8140,32630,-0.0216346153846154
2023-04-26,8000,8170,7920,8020,11397,-0.0147420147420147
2023-04-27,7900,8060,7860,8020,14162,0.0
2023-04-28,8050,8290,7900,7970,10560,-0.0062344139650872
2023-05-02,7940,8070,7780,8040,28240,0.0087829360100375
2023-05-03,8090,9400,8000,8890,923546,0.1057213930348259
2023-05-04,8560,8800,7900,8100,221772,-0.0888638920134983
2023-05-08,7900,8100,7710,7920,96280,-0.0222222222222222
2023-05-09,7870,7920,7680,7820,36251,-0.0126262626262626
2023-05-10,7710,8000,7690,7910,28828,0.0115089514066495
2023-05-11,7910,7930,7670,7710,35271,-0.0252844500632111
2023-05-12,7710,7730,7500,7640,33887,-0.0090791180285343
2023-05-15,7550,7850,7430,7600,45357,-0.0052356020942407
2023-05-16,7420,7840,7410,7830,28804,0.0302631578947367
2023-05-17,7710,7840,7640,7830,31888,0.0
2023-05-18,7880,7880,7630,7750,18669,-0.0102171136653895
2023-05-19,7700,7850,7690,7800,14614,0.0064516129032257
2023-05-22,7800,7800,7650,7780,15542,-0.0025641025641025
2023-05-23,7850,7860,7710,7750,16854,-0.0038560411311053
2023-05-24,7680,7760,7600,7680,12747,-0.0090322580645161
2023-05-25,7610,7710,7580,7580,14859,-0.0130208333333333
2023-05-26,7580,7640,7450,7590,8268,0.0013192612137202
2023-05-30,7590,7750,7550,7580,29892,-0.0013175230566534
2023-05-31,7520,7770,7520,7730,77909,0.0197889182058046
2023-06-01,7680,9490,7680,7860,6776649,0.0168175937904269
2023-06-02,7860,8030,7760,7820,193628,-0.005089058524173
2023-06-05,7830,7890,7510,7770,157164,-0.0063938618925831
2023-06-07,7770,8700,7750,8520,452026,0.0965250965250965
2023-06-08,8420,8960,8400,8550,175073,0.0035211267605634
2023-06-09,8500,8500,8150,8440,94471,-0.0128654970760233
2023-06-12,8440,8440,8220,8300,27332,-0.0165876777251184
2023-06-13,8250,8630,8020,8630,104145,0.0397590361445783
2023-06-14,8550,8740,8320,8380,58755,-0.0289687137891078
2023-06-15,8310,8500,7570,8020,157569,-0.0429594272076372
2023-06-16,8020,8230,7840,8180,87591,0.0199501246882793
2023-06-19,8120,8180,7960,8060,35266,-0.0146699266503667
2023-06-20,8060,8060,7810,7900,34985,-0.0198511166253101
2023-06-21,7900,8000,7680,7910,33046,0.0012658227848101
2023-06-22,7790,8100,7710,7980,15875,0.0088495575221239
2023-06-23,7950,7980,7780,7950,26372,-0.0037593984962406
2023-06-26,7810,8070,7750,7810,11708,-0.0176100628930817
2023-06-27,7730,8010,7730,7810,14373,0.0
2023-06-28,7850,8000,7770,7860,10441,0.0064020486555698
2023-06-29,7860,7980,7740,7840,13426,-0.0025445292620864
2023-06-30,7730,8000,7510,7920,24373,0.0102040816326529
2023-07-03,7880,8120,7880,8080,46851,0.0202020202020201
2023-07-04,8020,8250,8020,8180,23120,0.0123762376237623
2023-07-05,8180,8200,8030,8090,12128,-0.011002444987775
2023-07-06,8090,8120,7760,7880,15182,-0.0259579728059332
2023-07-07,7860,7920,7720,7880,14167,0.0
2023-07-10,7880,8100,7850,7880,17361,0.0
2023-07-11,7720,8040,7720,7940,21335,0.0076142131979695
2023-07-12,7900,8050,7700,7700,39179,-0.0302267002518891
2023-07-13,7790,7790,7650,7650,32391,-0.0064935064935064
2023-07-14,7650,7700,7500,7640,31570,-0.0013071895424836
2023-07-17,7640,7670,7310,7460,74451,-0.0235602094240837
2023-07-18,7260,7690,7190,7510,65687,0.0067024128686326
2023-07-19,7510,7740,7310,7660,31626,0.0199733688415446
2023-07-20,7660,7660,7350,7530,20479,-0.0169712793733681
2023-07-21,7500,7600,7100,7150,44363,-0.0504648074369189
2023-07-24,7220,7220,6500,6940,118079,-0.0293706293706293
2023-07-25,6900,6940,6100,6700,108274,-0.0345821325648415
2023-07-26,6690,6690,5840,6610,140722,-0.0134328358208954
2023-07-27,6400,6570,6340,6430,26687,-0.027231467473525
2023-07-28,6420,6550,6320,6450,17287,0.0031104199066873
2023-07-31,6450,6490,6230,6230,31413,-0.0341085271317829
2023-08-01,6130,6500,6120,6500,37595,0.043338683788122
2023-08-02,6500,6630,6180,6400,12985,-0.0153846153846153
2023-08-03,6400,6410,6100,6360,45229,-0.0062499999999999
2023-08-04,6340,6340,6010,6180,61485,-0.0283018867924528
2023-08-07,6180,6390,6130,6270,15658,0.0145631067961164
2023-08-08,6160,6270,6000,6010,20221,-0.0414673046251993
2023-08-09,6010,6200,5930,6000,23499,-0.0016638935108153
2023-08-10,6030,6180,5950,6120,19036,0.02
2023-08-11,6120,6170,6030,6100,20452,-0.0032679738562091
2023-08-14,6150,6160,5910,5970,16992,-0.021311475409836
2023-08-16,5940,5970,5780,5900,14566,-0.0117252931323282
2023-08-17,5870,6080,5600,6080,48135,0.0305084745762711
2023-08-18,5830,6040,5720,5970,23247,-0.0180921052631578
2023-08-21,5970,6000,5780,5920,8290,-0.0083752093802345
2023-08-22,5930,5930,5770,5780,9868,-0.0236486486486486
2023-08-23,5780,5780,5470,5590,44687,-0.032871972318339
2023-08-24,5550,5620,5480,5600,15992,0.0017889087656528
2023-08-25,5590,5620,5520,5600,8081,0.0
2023-08-28,5880,5880,5480,5490,43446,-0.0196428571428571
2023-08-29,5480,5650,5430,5580,10160,0.0163934426229508
2023-08-30,5670,5970,5610,5750,38258,0.0304659498207884
2023-08-31,5760,5830,5610,5720,9103,-0.0052173913043478
2023-09-01,5710,5900,5610,5800,22132,0.0139860139860139
2023-09-04,5800,5880,5570,5590,19182,-0.0362068965517241
2023-09-05,5590,5700,5550,5650,13977,0.0107334525939177
2023-09-06,5650,5750,5600,5740,9655,0.015929203539823
2023-09-07,5690,5770,5600,5650,7143,-0.0156794425087107
2023-09-08,5570,5840,5560,5750,20189,0.0176991150442478
2023-09-11,5750,5780,5530,5530,24633,-0.0382608695652173
2023-09-12,5460,5530,5310,5500,38140,-0.0054249547920434
2023-09-13,5370,5770,5320,5770,30913,0.049090909090909
2023-09-14,5780,5780,5510,5690,17192,-0.0138648180242634
2023-09-15,5660,5800,5500,5750,35375,0.0105448154657292
2023-09-18,5750,5850,5560,5840,46778,0.0156521739130435
2023-09-19,5750,5850,5670,5780,17613,-0.0102739726027397
2023-09-20,5820,5830,5560,5790,21523,0.0017301038062282
2023-09-21,5790,6100,5510,6040,43824,0.0431778929188255
2023-09-22,6030,6030,5470,5780,39653,-0.043046357615894
2023-09-25,5620,5720,5320,5580,61320,-0.0346020761245674
