Date,Open,High,Low,Close,Volume,Change
2013-09-16,4300,4330,4270,4300,22288,
2013-09-17,4300,4345,4295,4335,12040,0.0081395348837209
2013-09-23,4335,4370,4250,4330,36101,-0.0011534025374856
2013-09-24,4305,4380,4255,4360,30782,0.0069284064665127
2013-09-25,4310,4375,4250,4295,70484,-0.0149082568807339
2013-09-26,4245,4280,4180,4235,53023,-0.0139697322467986
2013-09-27,4230,4300,4180,4295,42904,0.0141676505312868
2013-09-30,4310,4315,4220,4270,27352,-0.0058207217694994
2013-10-01,4325,4445,4260,4355,46922,0.0199063231850116
2013-10-02,4380,4425,4250,4295,38862,-0.0137772675086107
2013-10-04,4225,4370,4225,4330,49859,0.0081490104772992
2013-10-07,4290,4380,4180,4210,62678,-0.0277136258660508
2013-10-08,4245,4245,4150,4215,18930,0.0011876484560569
2013-10-10,4170,4250,4160,4200,15893,-0.0035587188612099
2013-10-11,4200,4245,4170,4180,23666,-0.0047619047619047
2013-10-14,4180,4200,4160,4180,48191,0.0
2013-10-15,4200,4285,4180,4270,48310,0.0215311004784688
2013-10-16,4290,4305,4205,4280,20780,0.0023419203747072
2013-10-17,4285,4290,4200,4200,21010,-0.0186915887850467
2013-10-18,4265,4270,4185,4245,19250,0.0107142857142856
2013-10-21,4270,4270,4195,4250,22100,0.0011778563015312
2013-10-22,4250,4275,4205,4265,15521,0.0035294117647057
2013-10-23,4260,4315,4230,4285,35800,0.0046893317702227
2013-10-24,4280,4475,4255,4290,131916,0.0011668611435238
2013-10-25,4320,4380,4265,4325,68557,0.008158508158508
2013-10-28,4350,4380,4275,4330,65641,0.0011560693641619
2013-10-29,4360,4435,4325,4430,86782,0.0230946882217089
2013-10-30,4445,4645,4435,4520,181261,0.020316027088036
2013-10-31,4535,4645,4380,4490,138373,-0.0066371681415928
2013-11-01,4490,4490,4350,4385,76221,-0.0233853006681514
2013-11-04,4380,4380,4220,4280,105836,-0.023945267958951
2013-11-05,4250,4285,4100,4120,105501,-0.0373831775700934
2013-11-06,4110,4235,4020,4075,93379,-0.0109223300970874
2013-11-07,4145,4145,4035,4105,16132,0.007361963190184
2013-11-08,4135,4135,4020,4070,26369,-0.0085261875761266
2013-11-11,4070,4075,3950,4000,29633,-0.0171990171990171
2013-11-12,4000,4095,3970,4005,10021,0.0012499999999999
2013-11-13,3995,4045,3970,4025,7009,0.0049937578027465
2013-11-14,4005,4005,3855,3890,50016,-0.0335403726708074
2013-11-15,3880,4005,3860,3910,14600,0.0051413881748072
2013-11-18,3910,3915,3800,3845,22456,-0.0166240409207161
2013-11-19,3735,3845,3690,3690,34522,-0.0403120936280884
2013-11-20,3660,3935,3660,3910,20564,0.0596205962059621
2013-11-21,3900,4020,3850,4005,18960,0.0242966751918158
2013-11-22,3955,4015,3865,3900,8873,-0.0262172284644194
2013-11-25,3895,3990,3865,3865,69348,-0.0089743589743589
2013-11-26,3860,3920,3745,3900,20116,0.0090556274256143
2013-11-27,3930,3970,3860,3910,4382,0.0025641025641025
2013-11-28,3945,3955,3900,3900,21973,-0.0025575447570332
2013-11-29,3865,3930,3850,3905,23040,0.0012820512820512
2013-12-02,3880,3905,3810,3870,23820,-0.0089628681177976
2013-12-03,3880,3900,3825,3895,6330,0.0064599483204135
2013-12-04,3900,3900,3800,3890,15250,-0.0012836970474967
2013-12-05,3875,3900,3850,3890,5940,0.0
2013-12-06,3890,3895,3830,3890,7270,0.0
2013-12-09,3850,3925,3820,3860,8960,-0.0077120822622107
2013-12-10,3780,3815,3670,3770,30671,-0.0233160621761657
2013-12-11,3815,3815,3715,3790,4130,0.0053050397877985
2013-12-12,3790,3790,3740,3780,8260,-0.0026385224274406
2013-12-13,3755,3810,3690,3770,10830,-0.0026455026455026
2013-12-16,3770,3780,3695,3720,11840,-0.013262599469496
2013-12-17,3700,3770,3620,3690,18140,-0.0080645161290322
2013-12-18,3610,3680,3575,3630,19391,-0.0162601626016259
2013-12-19,3690,3690,3580,3680,13460,0.0137741046831956
2013-12-20,3680,3685,3615,3675,6520,-0.0013586956521739
2013-12-23,3600,3640,3580,3635,9190,-0.0108843537414965
2013-12-24,3635,3655,3580,3610,12258,-0.0068775790921595
2013-12-26,3640,3790,3640,3765,22276,0.0429362880886425
2013-12-27,3675,3850,3675,3835,18574,0.0185922974767596
2013-12-30,3850,3950,3815,3870,2800,0.0091264667535853
2014-01-02,3870,3960,3715,3785,21722,-0.0219638242894056
2014-01-03,3770,3830,3745,3785,1490,0.0
2014-01-06,3785,3785,3700,3770,8080,-0.0039630118890356
2014-01-07,3850,3850,3705,3705,3079,-0.0172413793103448
2014-01-08,3715,3725,3670,3710,16460,0.001349527665317
2014-01-09,3710,3800,3640,3740,13752,0.0080862533692722
2014-01-10,3725,3725,3590,3695,54310,-0.0120320855614973
2014-01-13,3695,3715,3630,3680,4890,-0.0040595399188092
2014-01-14,3680,3680,3590,3595,39251,-0.0230978260869565
2014-01-15,3635,3635,3550,3610,25550,0.0041724617524339
2014-01-16,3645,3645,3575,3600,5331,-0.002770083102493
2014-01-17,3600,3700,3590,3700,20050,0.0277777777777776
2014-01-20,3655,3730,3630,3675,35041,-0.0067567567567567
2014-01-21,3675,3675,3610,3640,33371,-0.0095238095238094
2014-01-22,3615,3640,3615,3625,6423,-0.0041208791208791
2014-01-23,3625,3725,3615,3720,36521,0.0262068965517241
2014-01-24,3720,3745,3650,3710,19630,-0.0026881720430107
2014-01-27,3615,3665,3510,3510,51921,-0.0539083557951483
2014-01-28,3510,3620,3480,3600,19290,0.0256410256410255
2014-01-29,3600,3605,3535,3585,23748,-0.0041666666666666
2014-02-03,3620,3620,3505,3540,22754,-0.0125523012552301
2014-02-04,3500,3540,3435,3490,24390,-0.0141242937853107
2014-02-05,3545,3620,3475,3590,8330,0.0286532951289397
2014-02-06,3600,3600,3525,3595,11133,0.0013927576601671
2014-02-07,3595,3620,3550,3590,10360,-0.0013908205841446
2014-02-10,3640,3640,3530,3565,15521,-0.0069637883008356
2014-02-11,3565,3585,3530,3585,5500,0.0056100981767182
2014-02-12,3615,3615,3540,3540,10461,-0.0125523012552301
2014-02-13,3570,3595,3525,3590,11979,0.0141242937853107
2014-02-14,3560,3655,3560,3650,16918,0.0167130919220055
2014-02-17,3680,3680,3605,3640,6420,-0.0027397260273972
2014-02-18,3660,3735,3635,3645,36060,0.0013736263736263
2014-02-19,3680,3690,3630,3660,10620,0.0041152263374486
2014-02-20,3650,3695,3615,3670,13380,0.0027322404371583
2014-02-21,3655,3675,3625,3665,13810,-0.0013623978201634
2014-02-24,3640,3770,3630,3695,21250,0.0081855388813096
2014-02-25,3695,3710,3650,3700,16823,0.0013531799729364
2014-02-26,3700,3850,3695,3800,52193,0.0270270270270269
2014-02-27,3805,3850,3805,3850,33341,0.013157894736842
2014-02-28,3850,3975,3795,3935,56201,0.0220779220779221
2014-03-03,3940,3940,3800,3850,27561,-0.0216010165184243
2014-03-04,3805,3890,3755,3870,8789,0.0051948051948051
2014-03-05,3885,3885,3810,3850,10794,-0.0051679586563307
2014-03-06,3860,3950,3800,3930,19366,0.0207792207792207
2014-03-07,3910,4080,3845,4015,30781,0.0216284987277353
2014-03-10,4015,4020,3900,3950,15304,-0.0161892901618928
2014-03-11,3950,3965,3860,3925,19721,-0.0063291139240506
2014-03-12,3860,3965,3800,3900,41963,-0.0063694267515923
2014-03-13,3885,3895,3835,3890,10845,-0.0025641025641025
2014-03-14,3885,3885,3780,3885,17203,-0.0012853470437017
2014-03-17,3880,3880,3800,3840,4472,-0.0115830115830115
2014-03-18,3805,3895,3805,3855,13910,0.00390625
2014-03-19,3830,3855,3795,3800,21050,-0.0142671854734111
2014-03-20,3735,3790,3730,3760,39726,-0.0105263157894737
2014-03-21,3780,3780,3725,3770,10580,0.002659574468085
2014-03-24,3750,3825,3730,3815,17070,0.0119363395225464
2014-03-25,3805,3805,3730,3780,21700,-0.0091743119266054
2014-03-26,3790,3880,3750,3815,67356,0.0092592592592593
2014-03-27,3800,3850,3775,3815,17760,0.0
2014-03-28,3845,3915,3800,3860,26380,0.0117955439056356
2014-03-31,3835,3865,3825,3855,10642,-0.0012953367875647
2014-04-01,3870,3915,3845,3915,14281,0.0155642023346302
2014-04-02,3910,3950,3900,3950,15912,0.0089399744572158
2014-04-03,3915,3965,3910,3955,14862,0.0012658227848101
2014-04-04,3965,4510,3965,4080,704310,0.0316055625790139
2014-04-07,4060,4090,3950,4035,78313,-0.0110294117647058
2014-04-08,3970,4050,3960,3985,38494,-0.0123915737298636
2014-04-09,3980,4000,3955,4000,16411,0.0037641154328733
