Date,Open,High,Low,Close,Volume,Change
2023-04-04,6734,6842,6554,6798,39089,0.02580353100950661
2023-04-05,6815,7004,6770,6960,54317,0.02383053839364524
2023-04-06,6968,6968,6752,6825,26264,-0.0193965517241379
2023-04-07,6806,6977,6698,6933,28392,0.015824175824175724
2023-04-10,6932,6932,6455,6501,61152,-0.06231068801384687
2023-04-11,6500,6752,6338,6690,84067,0.029072450392247262
2023-04-12,6572,6752,6572,6672,36681,-0.0026905829596413078
2023-04-13,6617,6680,6473,6636,54677,-0.0053956834532373765
2023-04-14,6680,7058,6590,7014,85619,0.05696202531645578
2023-04-17,7067,7184,6941,7185,45060,0.024379811804961404
2023-04-18,7157,7337,7004,7320,71269,0.018789144050104456
2023-04-19,7202,7481,7184,7266,53510,-0.007377049180327888
2023-04-20,7202,7247,6770,7113,69713,-0.021056977704376534
2023-04-21,6905,7112,6842,6897,40925,-0.030366933783213867
2023-04-24,6869,7022,6599,6681,38829,-0.03131796433231837
2023-04-25,6680,6698,6392,6483,50573,-0.029636281993713487
2023-04-26,6302,6527,6284,6392,35295,-0.014036711399043611
2023-04-27,6392,6572,6059,6564,50395,0.026908635794743452
2023-04-28,6752,6752,6221,6311,54233,-0.03854357099329675
2023-05-02,6392,6572,6320,6356,25372,0.007130407225479418
2023-05-03,6302,6338,6212,6293,24492,-0.009911894273127775
2023-05-04,6293,6347,6221,6347,25973,0.008580962974733763
2023-05-08,6401,6797,6401,6573,50177,0.035607373562312805
2023-05-09,6725,8265,6626,7923,1051389,0.20538566864445462
2023-05-10,8220,8238,7571,7626,256393,-0.03748580083301778
2023-05-11,7544,8004,7409,7761,132242,0.017702596380802627
2023-05-12,7725,7725,6590,6600,532004,-0.1495941244684963
2023-05-15,5582,5627,5032,5087,802005,-0.22924242424242425
2023-05-16,5068,5168,4852,5024,236183,-0.012384509534106525
2023-05-17,5032,5465,4942,5357,172760,0.06628184713375807
2023-05-18,5375,5447,5240,5420,71346,0.011760313608362827
2023-05-19,5420,5492,5258,5456,64061,0.006642066420664117
2023-05-22,5510,5510,5357,5402,37689,-0.009897360703812308
2023-05-23,5465,5609,5366,5510,61836,0.019992595335061036
2023-05-24,5510,5510,5357,5357,81489,-0.027767695099818468
2023-05-25,5312,5348,5177,5231,53269,-0.023520627216725765
2023-05-26,5186,5321,5186,5240,32449,0.0017205123303383196
2023-05-30,5267,5267,5095,5150,40709,-0.01717557251908397
2023-05-31,5140,5186,5023,5168,34293,0.0034951456310678974
2023-06-01,5168,5267,5077,5186,29986,0.0034829721362228394
2023-06-02,5177,5195,5131,5186,26149,0.0
2023-06-05,5258,5258,5086,5240,31939,0.010412649440802113
2023-06-07,5240,5321,5186,5312,33622,0.013740458015267132
2023-06-08,5303,5393,5168,5204,37387,-0.02033132530120485
2023-06-09,5204,5258,5113,5249,35767,0.008647194465795538
2023-06-12,5249,5663,5113,5474,198454,0.04286530767765284
2023-06-13,5600,5600,5375,5411,73162,-0.011508951406649648
2023-06-14,5411,5483,5150,5150,117224,-0.048235076695619994
2023-06-15,5270,5700,5150,5700,89293,0.10679611650485432
2023-06-16,5670,5700,5460,5650,62176,-0.00877192982456143
2023-06-19,5650,6390,5420,6250,292198,0.10619469026548667
2023-06-20,6160,6720,6050,6530,328460,0.04479999999999995
2023-06-21,6680,7670,6570,7150,741688,0.09494640122511488
2023-06-22,7150,7750,6690,7720,261618,0.07972027972027962
2023-06-23,7720,7720,6820,6820,322265,-0.11658031088082899
2023-06-26,6800,6980,6580,6650,56053,-0.024926686217008776
2023-06-27,6730,7490,6560,7000,455130,0.05263157894736836
2023-06-28,7000,7000,6630,6710,94079,-0.04142857142857148
2023-06-29,6710,8500,6270,6450,1111870,-0.03874813710879288
2023-06-30,6450,7640,6120,6600,780018,0.023255813953488413
2023-07-03,6850,6850,6430,6480,114334,-0.018181818181818188
2023-07-04,6490,6500,6180,6250,126638,-0.035493827160493874
2023-07-05,6330,6450,6110,6270,89172,0.0032000000000000917
2023-07-06,6330,6370,5790,6070,132936,-0.03189792663476876
2023-07-07,5980,6090,5800,5830,67989,-0.03953871499176276
2023-07-10,5910,5910,5560,5680,88246,-0.02572898799313894
2023-07-11,5690,6040,5690,5930,53422,0.04401408450704225
2023-07-12,5920,6150,5860,5880,109906,-0.00843170320404718
2023-07-13,5950,6160,5830,5950,68790,0.011904761904761862
2023-07-14,5920,5920,5530,5620,125555,-0.055462184873949605
2023-07-17,5700,5750,5300,5460,163658,-0.028469750889679735
2023-07-18,5460,5480,5170,5440,99640,-0.00366300366300365
2023-07-19,5360,5910,5220,5750,241858,0.05698529411764697
2023-07-20,5840,6240,5450,5520,515364,-0.040000000000000036
2023-07-21,5520,6580,5460,6250,646922,0.13224637681159424
2023-07-24,6230,6250,5680,5840,201970,-0.06559999999999999
2023-07-25,5740,6050,5240,5700,110349,-0.023972602739726012
2023-07-26,5700,5870,5310,5420,99906,-0.0491228070175439
