Date,Open,High,Low,Close,Volume,Change
2023-04-04,8670,8940,8670,8770,176293,0.0034324942791761
2023-04-05,8770,8860,8690,8700,108141,-0.007981755986317
2023-04-06,8750,8750,8480,8510,166493,-0.0218390804597701
2023-04-07,8540,9400,8480,9300,1487050,0.0928319623971798
2023-04-10,9290,12090,9190,12090,9144589,0.3
2023-04-11,13750,15710,13040,15710,22370700,0.2994210090984284
2023-04-12,15900,18310,14330,14440,13854795,-0.0808402291534055
2023-04-13,14070,14490,13110,14110,6188990,-0.0228531855955678
2023-04-14,14290,17100,14200,15260,17354557,0.0815024805102764
2023-04-17,15080,16330,14980,15560,6630841,0.0196592398427259
2023-04-18,15580,17850,15070,15730,13200670,0.0109254498714652
2023-04-19,16960,20300,16950,18900,27488046,0.2015257469802924
2023-04-20,17810,20500,17810,18900,1313266,0.0
2023-04-21,18940,18940,17700,18210,842581,-0.0365079365079364
2023-04-24,17900,18900,17900,18740,1014971,0.0291048874244921
2023-04-25,19380,20000,13360,13790,10870852,-0.2641408751334044
2023-04-26,13970,15740,13110,15070,12181641,0.0928208846990572
2023-04-27,14750,15680,13820,15520,5264050,0.0298606502986065
2023-04-28,15450,17700,14950,15150,8104138,-0.023840206185567
2023-05-02,16400,19690,15820,19690,17331730,0.2996699669966995
2023-05-03,20600,20650,18090,18400,8137361,-0.0655154900964957
2023-05-04,18740,19310,17520,18170,6466034,-0.0124999999999999
2023-05-08,18880,19430,17150,17180,4245720,-0.054485415520088
2023-05-09,16950,18350,16440,17770,6028813,0.0343422584400465
2023-05-10,17850,22150,17680,21350,27324109,0.201463140123804
2023-05-11,20850,22400,19610,21300,10311282,-0.0023419203747072
2023-05-12,21000,21750,19870,20500,4665137,-0.0375586854460093
2023-05-15,21600,22600,19820,22600,7091477,0.102439024390244
2023-05-16,21750,22600,20500,20750,5210564,-0.0818584070796459
2023-05-17,20750,21600,20150,20800,2836039,0.0024096385542169
2023-05-18,21100,21500,19940,20100,2374365,-0.0336538461538461
2023-05-19,19920,19950,18910,19100,2038187,-0.0497512437810945
2023-05-22,18920,19570,18390,19180,2175192,0.0041884816753927
2023-05-23,19050,19760,19000,19050,2061648,-0.0067778936392075
2023-05-24,19050,19230,17790,17810,1908145,-0.0650918635170604
2023-05-25,17520,22250,17140,21100,21430286,0.184727681078046
2023-05-26,20600,21400,18600,18640,6395728,-0.1165876777251184
2023-05-30,18870,19960,18470,18630,5241530,-0.0005364806866953
2023-05-31,18350,18740,18080,18350,1790706,-0.015029522275899
2023-06-01,18060,18660,17960,18250,1520193,-0.0054495912806539
2023-06-02,18250,18400,17890,18030,1075840,-0.0120547945205479
2023-06-05,18150,19060,18100,18330,1676054,0.016638935108153
2023-06-07,18450,18490,18010,18410,1048967,0.0043644298963447
2023-06-08,18410,18410,17850,17850,932010,-0.0304182509505703
2023-06-09,17910,18050,17500,17780,1282320,-0.0039215686274509
2023-06-12,18710,19510,18320,18480,3961454,0.0393700787401574
2023-06-13,18630,20300,18610,19030,6146607,0.0297619047619046
2023-06-14,19480,23300,19450,22500,23431894,0.1823436678928007
2023-06-15,22100,22250,20500,21950,5309250,-0.0244444444444444
2023-06-16,23750,24650,22300,23500,9820614,0.0706150341685649
2023-06-19,23000,27600,22950,26650,16128937,0.1340425531914892
2023-06-20,26000,27300,25100,26900,4968088,0.0093808630393996
2023-06-21,27050,27600,25450,26800,4297653,-0.0037174721189591
2023-06-22,26250,27800,25200,26250,4401791,-0.0205223880597015
2023-06-23,26250,26300,24700,24700,2125429,-0.059047619047619
2023-06-26,24350,24400,23250,23750,2326420,-0.0384615384615384
2023-06-27,24100,24250,22050,22350,2747947,-0.0589473684210526
2023-06-28,22450,22600,21550,21700,1676560,-0.0290827740492169
2023-06-29,21650,21900,20900,21050,1492992,-0.0299539170506912
2023-06-30,21200,21400,20600,21350,1448904,0.0142517814726841
2023-07-03,21650,21750,20750,21600,1988130,0.0117096018735363
2023-07-04,21600,21650,19740,20350,2398127,-0.0578703703703703
2023-07-05,20150,21250,20050,20700,2209588,0.0171990171990172
2023-07-06,20500,20650,19650,19700,1261154,-0.0483091787439613
2023-07-07,20300,22250,20200,22150,5975785,0.1243654822335025
2023-07-10,21650,23700,21350,23100,4784807,0.0428893905191873
2023-07-11,23000,23050,21800,22400,1968822,-0.0303030303030302
2023-07-12,22600,23300,21600,21600,1883664,-0.0357142857142857
2023-07-13,21600,22600,21250,22000,1725619,0.0185185185185186
2023-07-14,22050,22150,20600,21150,1283982,-0.0386363636363636
2023-07-17,22300,24500,21950,23400,8062667,0.1063829787234043
2023-07-18,24950,25700,23100,23450,5656501,0.0021367521367521
2023-07-19,23150,25350,22650,25100,4989033,0.070362473347548
2023-07-20,24000,24350,23200,23650,1776719,-0.0577689243027887
2023-07-21,22700,24700,22450,24150,2404464,0.0211416490486258
2023-07-24,23900,24400,23250,24100,1814655,-0.0020703933747412
2023-07-25,24300,25200,22900,23100,3138488,-0.0414937759336099
2023-07-26,22850,23050,19910,20200,2721077,-0.1255411255411255
2023-07-27,20650,20950,18850,18910,1699040,-0.0638613861386138
2023-07-28,18380,19570,18370,19500,930845,0.0312004230565838
2023-07-31,19530,20050,19250,19800,806774,0.0153846153846153
2023-08-01,19890,19970,18770,19160,781388,-0.0323232323232323
2023-08-02,18820,19060,17680,17860,1427492,-0.0678496868475991
2023-08-03,17750,17990,17200,17630,860538,-0.0128779395296751
2023-08-04,17630,17720,17300,17370,502114,-0.0147475893363584
2023-08-07,17270,17290,16880,17100,526752,-0.0155440414507772
2023-08-08,17220,17400,16740,16940,449562,-0.0093567251461987
2023-08-09,16760,17340,16720,17280,479964,0.0200708382526564
2023-08-10,17100,17280,16500,16600,507283,-0.0393518518518518
2023-08-11,16700,16940,16530,16610,342066,0.0006024096385541
2023-08-14,16590,16930,16080,16490,468539,-0.0072245635159542
2023-08-16,16340,16400,15430,15620,712996,-0.0527592480291085
2023-08-17,15620,19530,15500,17380,11526946,0.1126760563380282
2023-08-18,17030,17200,15730,15920,1768014,-0.0840046029919447
2023-08-21,15750,16810,15720,16400,1327895,0.0301507537688441
2023-08-22,16180,16660,15960,16040,650310,-0.0219512195121951
2023-08-23,16050,16280,15640,15720,2723271,-0.0199501246882792
2023-08-24,15840,15990,15040,15770,799394,0.0031806615776082
2023-08-25,15410,15500,15130,15190,507166,-0.0367786937222575
2023-08-28,15220,15370,15060,15250,349071,0.0039499670836076
2023-08-29,15340,16200,15090,15150,1013389,-0.0065573770491803
2023-08-30,15890,16390,15460,15510,1919036,0.0237623762376237
2023-08-31,16090,17040,15730,15780,3464221,0.0174081237911025
2023-09-01,15780,15890,15290,15430,999035,-0.0221799746514574
2023-09-04,15700,15920,15160,15210,1594270,-0.0142579390797148
2023-09-05,15100,15340,14920,15270,644335,0.0039447731755424
2023-09-06,15240,15260,14690,14760,859477,-0.0333988212180746
2023-09-07,14590,14690,14150,14190,709272,-0.0386178861788617
2023-09-08,14200,14820,14120,14380,816924,0.0133897110641296
2023-09-11,14330,14480,14110,14330,374264,-0.0034770514603615
2023-09-12,14380,14460,13950,13960,431346,-0.0258199581297976
2023-09-13,13900,14070,13830,14030,319181,0.0050143266475644
2023-09-14,14030,14300,13860,14000,378801,-0.0021382751247327
2023-09-15,14020,14310,13930,13930,440658,-0.005
2023-09-18,13930,14000,13540,14000,529539,0.0050251256281406
2023-09-19,13940,13990,13570,13850,238010,-0.0107142857142856
2023-09-20,13790,14040,13610,13690,303573,-0.0115523465703971
2023-09-21,13580,13710,13270,13290,295475,-0.0292184075967859
2023-09-22,13050,13400,13050,13370,239778,0.0060195635816402
2023-09-25,13120,13340,12960,13000,284580,-0.0276738967838444
2023-09-26,12970,13220,12810,12860,291951,-0.0107692307692307
2023-09-27,12620,13120,12620,13120,175885,0.0202177293934682
2023-10-04,13010,13090,12400,12500,241355,-0.0472560975609755
2023-10-05,12630,12710,12300,12300,203294,-0.016
2023-10-06,12150,12610,12150,12480,168478,0.0146341463414634
2023-10-10,12480,12720,12100,12150,230631,-0.0264423076923077
2023-10-11,12280,12590,12280,12490,182561,0.0279835390946501
2023-10-12,12490,13010,12490,12890,261463,0.0320256204963971
2023-10-13,12820,13060,12740,12950,190483,0.004654771140419
2023-10-16,12760,12830,12440,12530,146569,-0.0324324324324324
2023-10-17,12630,14020,12630,13290,1346272,0.0606544293695132
2023-10-18,13400,15330,13160,13930,4562403,0.0481565086531226
2023-10-19,13700,13920,12770,12780,908861,-0.0825556353194544
2023-10-20,12440,12500,11700,11730,915961,-0.0821596244131455
2023-10-23,11510,12000,11510,11650,398101,-0.0068201193520887
2023-10-24,11650,11890,11150,11890,400896,0.0206008583690986
2023-10-25,11910,12160,11630,11630,324848,-0.0218671152228763
2023-10-26,11300,11430,11050,11050,272785,-0.0498710232158211
2023-10-27,11050,11440,10970,11090,223383,0.0036199095022624
2023-10-30,10950,11460,10950,11350,249477,0.0234445446348061
2023-10-31,11450,11450,10780,10840,236895,-0.0449339207048458
2023-11-01,10900,11140,10780,10830,150652,-0.0009225092250922
2023-11-02,10990,11310,10990,11300,239372,0.0433979686057248
2023-11-03,11500,11830,11350,11700,335442,0.0353982300884956
2023-11-06,12210,13390,12090,12910,1631905,0.1034188034188035
2023-11-07,12790,12810,12220,12350,423028,-0.0433772269558482
2023-11-08,12500,12600,12160,12180,233282,-0.0137651821862347
2023-11-09,12180,12250,11840,11920,191855,-0.0213464696223316
2023-11-10,11700,11700,11380,11480,207475,-0.0369127516778523
2023-11-13,11620,11680,11120,11240,188090,-0.0209059233449477
2023-11-14,11400,11620,11340,11510,172845,0.0240213523131671
2023-11-15,11900,12050,11810,11850,276026,0.0295395308427455
2023-11-16,11950,12010,11760,11920,141523,0.0059071729957806
2023-11-17,11870,11870,11620,11720,121218,-0.0167785234899329
2023-11-20,11890,12330,11890,12160,291070,0.0375426621160408
2023-11-21,12210,12220,12010,12180,175726,0.0016447368421053
2023-11-22,12460,12970,11990,12060,636136,-0.0098522167487684
2023-11-23,12200,12360,12120,12200,375833,0.0116086235489221
2023-11-24,12620,12700,12170,12200,481691,0.0
2023-11-27,12490,12940,12230,12410,977064,0.0172131147540983
2023-11-28,12600,12770,12280,12370,538670,-0.0032232070910556
2023-11-29,12380,12700,12200,12420,407635,0.004042037186742
2023-11-30,12470,13250,12390,12870,1280314,0.0362318840579709
2023-12-01,12900,12900,12300,12310,640402,-0.0435120435120435
2023-12-04,12320,12440,12000,12160,407568,-0.0121852152721364
2023-12-05,12050,12280,11950,11980,291989,-0.0148026315789473
2023-12-06,11950,12150,11760,11830,214605,-0.0125208681135224
2023-12-07,11880,12070,11780,12030,196644,0.0169061707523245
2023-12-08,12130,12230,11960,12040,211982,0.0008312551953448
2023-12-11,12130,12290,12080,12240,295251,0.0166112956810631
2023-12-12,12260,12620,12150,12620,423516,0.0310457516339868
2023-12-13,12580,12860,12460,12660,442811,0.0031695721077653
2023-12-14,13030,13030,12740,12820,600880,0.0126382306477093
2023-12-15,12910,13220,12910,13220,668244,0.0312012480499219
2023-12-18,13350,13930,13050,13670,918018,0.0340393343419063
2023-12-19,13670,14350,13360,14150,1315467,0.0351133869787856
2023-12-20,14300,15990,14100,15860,3581763,0.1208480565371024
2023-12-21,15650,15960,15250,15750,1718449,-0.006935687263556
2023-12-22,15650,16640,15400,16210,1846175,0.0292063492063492
2023-12-26,16000,16280,15070,15380,1087612,-0.0512029611351018
2023-12-27,14760,16450,14760,15750,1350167,0.0240572171651496
2023-12-28,15750,15940,15090,15350,573063,-0.0253968253968254
2024-01-02,15550,16850,15350,16740,1306806,0.0905537459283387
2024-01-03,16600,17110,16330,16860,1012820,0.007168458781362
2024-01-04,16700,16700,15700,15820,730929,-0.0616844602609727
2024-01-05,15830,16340,15210,16050,666033,0.0145385587863464
2024-01-08,16050,16200,15820,16130,310388,0.0049844236760123
2024-01-09,16070,16110,15280,15320,596972,-0.0502169869807811
2024-01-10,15400,15550,15110,15320,358362,0.0
2024-01-11,15300,15390,14980,15050,316342,-0.0176240208877284
2024-01-12,14700,14730,13210,13630,1575646,-0.0943521594684385
2024-01-15,13610,14050,13500,13680,457285,0.0036683785766691
2024-01-16,13750,13770,13280,13300,308818,-0.0277777777777777
2024-01-17,13280,13360,13000,13050,258432,-0.018796992481203
2024-01-18,13110,13210,12570,12750,388534,-0.0229885057471264
2024-01-19,12900,12980,12500,12530,275053,-0.0172549019607842
2024-01-22,12430,12690,12370,12580,241145,0.0039904229848364
2024-01-23,12560,13200,12530,12940,353256,0.0286168521462639
2024-01-24,12960,14160,12960,13500,1251453,0.0432766615146831
2024-01-25,13540,13570,12690,12790,606949,-0.0525925925925926
2024-01-26,12730,13350,12600,13000,374541,0.0164190774042221
2024-01-29,13050,13340,12780,12850,227819,-0.0115384615384614
2024-01-30,13020,13200,12790,12860,197094,0.0007782101167315
2024-01-31,12830,13120,12490,12640,254576,-0.0171073094867807
2024-02-01,12600,12690,12070,12250,607316,-0.0308544303797468
2024-02-02,12220,12420,12090,12400,308476,0.0122448979591835
2024-02-05,12370,12370,12070,12280,194227,-0.0096774193548386
2024-02-06,12280,12340,12000,12150,177655,-0.010586319218241
2024-02-07,12180,12410,12160,12340,230290,0.0156378600823046
2024-02-08,12400,12500,12230,12250,175290,-0.0072933549432738
2024-02-13,12300,12550,12260,12550,208622,0.0244897959183674
2024-02-14,12350,12640,12320,12610,176461,0.0047808764940238
2024-02-15,12700,13140,12580,13110,434203,0.0396510705789057
2024-02-16,13250,13280,12890,12970,324654,-0.0106788710907703
