Date,Open,High,Low,Close,Volume,Change
2023-04-04,41650,42050,40300,40750,140071,-0.0262843488649939
2023-04-05,40700,41700,40550,41300,105927,0.0134969325153373
2023-04-06,41000,41100,39550,40200,153517,-0.0266343825665859
2023-04-07,41300,47000,41250,46900,1185888,0.1666666666666667
2023-04-10,46550,47500,45700,46300,420915,-0.0127931769722814
2023-04-11,46850,49600,46300,47450,513525,0.0248380129589633
2023-04-12,47300,47400,45500,46350,205608,-0.0231822971548999
2023-04-13,45600,46350,44600,45500,142812,-0.0183387270765911
2023-04-14,45800,46300,43950,44400,237391,-0.0241758241758242
2023-04-17,43950,44600,42950,44550,189374,0.0033783783783782
2023-04-18,43900,44000,43050,43400,139555,-0.0258136924803591
2023-04-19,43500,44650,42500,42900,148333,-0.0115207373271889
2023-04-20,43650,44950,42300,43200,321544,0.006993006993007
2023-04-21,43250,45550,43250,45350,369028,0.0497685185185186
2023-04-24,45350,45350,42700,43000,209698,-0.0518191841234839
2023-04-25,42600,43450,41250,42000,204313,-0.0232558139534884
2023-04-26,41550,44550,41550,42350,279632,0.0083333333333333
2023-04-27,42500,42800,41000,41900,200325,-0.0106257378984652
2023-04-28,42100,43250,41550,42550,151471,0.0155131264916468
2023-05-02,42650,43500,41850,42750,128913,0.0047003525264395
2023-05-03,42000,43500,41550,43250,126156,0.0116959064327486
2023-05-04,43250,43250,41700,42050,105960,-0.0277456647398843
2023-05-08,42700,43600,42250,42800,80272,0.0178359096313911
2023-05-09,42700,42700,40700,41600,138060,-0.02803738317757
2023-05-10,41550,41750,41100,41250,56623,-0.0084134615384615
2023-05-11,41700,42100,40750,41150,63901,-0.0024242424242424
2023-05-12,41500,41950,40500,41800,96224,0.0157958687727826
2023-05-15,41450,41550,39750,39900,165097,-0.0454545454545454
2023-05-16,40750,41150,39350,40050,176722,0.0037593984962405
2023-05-17,40250,40450,39450,39900,108188,-0.0037453183520599
2023-05-18,40350,41650,39500,41600,151491,0.0426065162907267
2023-05-19,43050,48300,42900,47950,864657,0.1526442307692308
2023-05-22,47350,47800,46500,46950,242367,-0.0208550573514076
2023-05-23,46800,47000,45350,46900,156912,-0.0010649627263046
2023-05-24,46300,47750,45800,46950,111387,0.0010660980810235
2023-05-25,48500,49150,46450,46900,229923,-0.0010649627263046
2023-05-26,47300,49000,46050,46500,266284,-0.0085287846481876
2023-05-30,47400,48300,46300,47350,178100,0.0182795698924731
2023-05-31,47350,47350,45650,46100,192205,-0.0263991552270327
2023-06-01,45500,46350,45150,46100,106271,0.0
2023-06-02,46600,48100,45200,45650,154989,-0.0097613882863341
2023-06-05,45650,45800,44750,45550,100347,-0.0021905805038334
2023-06-07,45550,46250,45100,45800,81132,0.0054884742041712
2023-06-08,45600,47950,44150,47750,304482,0.0425764192139737
2023-06-09,47800,51200,47350,50600,534539,0.0596858638743456
2023-06-12,50100,51000,49550,50400,157675,-0.0039525691699604
2023-06-13,51800,51900,49800,49850,203737,-0.0109126984126983
2023-06-14,50100,50200,48350,49250,183450,-0.0120361083249749
2023-06-15,49400,51600,49400,51400,278176,0.0436548223350254
2023-06-16,51100,52000,50300,51200,133865,-0.0038910505836575
2023-06-19,51700,51700,49400,50400,161114,-0.015625
2023-06-20,50400,52500,48800,51900,193700,0.0297619047619046
2023-06-21,52000,52800,50000,50600,136363,-0.02504816955684
2023-06-22,49450,51200,49450,50200,78239,-0.0079051383399209
2023-06-23,50300,51000,49350,50000,109567,-0.0039840637450199
2023-06-26,50300,51700,49300,50600,105382,0.012
2023-06-27,50500,50900,49600,50900,66759,0.0059288537549406
2023-06-28,51500,51900,50500,51400,83647,0.0098231827111985
2023-06-29,51300,52800,51300,52800,151945,0.027237354085603
2023-06-30,52600,53500,50800,52600,158006,-0.0037878787878787
2023-07-03,52700,53200,51000,51400,181720,-0.0228136882129277
2023-07-04,51400,52000,50300,51600,93621,0.0038910505836575
2023-07-05,51000,52200,50500,51000,108407,-0.0116279069767442
2023-07-06,50600,51100,48650,49000,137992,-0.0392156862745097
2023-07-07,49400,49400,47250,48100,179226,-0.0183673469387755
2023-07-10,48000,48250,46850,47100,73314,-0.0207900207900207
2023-07-11,47600,48450,47050,48150,71755,0.0222929936305733
2023-07-12,48050,48550,47250,48550,132472,0.008307372793354
2023-07-13,49250,49700,47250,47850,265765,-0.0144181256436662
2023-07-14,48500,50000,47800,48350,310461,0.0104493207941482
2023-07-17,48050,50800,46800,50100,289501,0.0361944157187177
2023-07-18,52000,52000,49200,50700,267205,0.0119760479041917
2023-07-19,50500,50800,47800,49950,276442,-0.0147928994082839
2023-07-20,49400,49700,48100,48950,222693,-0.02002002002002
2023-07-21,48000,48000,46000,46650,312449,-0.0469867211440244
2023-07-24,46500,47000,45700,46650,164989,0.0
2023-07-25,46650,47600,45700,46500,162165,-0.0032154340836012
2023-07-26,46600,46800,44650,45100,237604,-0.0301075268817204
2023-07-27,45150,47900,45050,47650,210427,0.0565410199556541
2023-07-28,48000,49100,46300,48700,153526,0.0220356768100733
2023-07-31,49500,49600,47300,48150,117431,-0.0112936344969198
2023-08-01,48150,48400,46550,47950,135868,-0.004153686396677
2023-08-02,47600,47800,45600,46100,146571,-0.0385818561001042
2023-08-03,45700,46050,44500,45600,114578,-0.0108459869848156
2023-08-04,45150,45650,44350,44950,76551,-0.0142543859649122
2023-08-07,44950,46700,44550,46100,104649,0.025583982202447
2023-08-08,47150,47250,44800,45000,137881,-0.0238611713665943
2023-08-09,45000,45550,44500,45100,69064,0.0022222222222221
2023-08-10,44650,44650,42350,43750,219215,-0.0299334811529933
2023-08-11,43400,44150,43050,43300,126511,-0.0102857142857142
2023-08-14,42950,43600,41950,43400,80112,0.0023094688221709
