Date,Open,High,Low,Close,Volume,Change
2015-06-26,27360,35569,27360,35569,818019,
2015-06-29,35612,37664,30182,30653,7565646,-0.1382102392532823
2015-06-30,32106,36339,30268,36339,3644982,0.1854957100446939
2015-07-01,37450,38006,34457,34971,2404831,-0.037645504829522
2015-07-02,35569,36338,34158,34757,1297301,-0.0061193560378599
2015-07-03,35184,36638,34799,35484,1282339,0.0209166498834767
2015-07-06,35868,39288,35654,38818,3036066,0.0939578401533085
2015-07-07,39716,41469,31636,33774,3405540,-0.129939718687207
2015-07-08,34243,34286,30823,33645,1257726,-0.0038195061289749
2015-07-09,32618,34884,32191,33987,938151,0.0101649576460098
2015-07-10,34671,36638,33260,33389,1107788,-0.0175949627798864
2015-07-13,32918,32961,31037,31978,941897,-0.0422594267573153
2015-07-14,31978,32191,30524,30610,1007819,-0.0427794108449559
2015-07-15,30610,31337,28900,29285,1055272,-0.0432865076772296
2015-07-16,29284,32020,28942,30097,1551545,0.0277275055489159
2015-07-17,30011,30011,27489,28216,940264,-0.0624979233810678
2015-07-20,28943,30696,28387,30696,809224,0.0878933938191097
2015-07-21,30353,31550,30096,31123,626564,0.0139106072452437
2015-07-22,30994,32063,28984,30011,626428,-0.0357292034829547
2015-07-23,30652,30652,29070,30097,292252,0.0028656159408217
2015-07-24,30097,32106,29926,31038,786576,0.0312655746419909
2015-07-27,30353,30653,28601,28601,466054,-0.0785166570010954
2015-07-28,27702,28600,25821,26976,457407,-0.0568161952379286
2015-07-29,27488,27574,23042,23855,590663,-0.1156954329774614
2015-07-30,23854,24795,20135,20178,1109410,-0.1541395933766506
2015-07-31,19964,22059,19536,21589,878437,0.0699276439686786
2015-08-03,21034,21803,20178,20521,243232,-0.0494696373152994
2015-08-04,20178,22316,20092,22145,339849,0.0791384435456361
2015-08-05,22316,24325,21760,22915,603793,0.0347708286294874
2015-08-06,23170,23812,22358,22957,275733,0.0018328605716779
2015-08-07,22530,27061,21974,23599,1240425,0.0279653264799406
2015-08-10,23940,25394,23341,24197,429725,0.0253400567820669
2015-08-11,24753,24753,22743,22915,227974,-0.052981774600157
2015-08-12,22358,22786,20050,21803,329976,-0.0485271656120445
2015-08-13,21546,22231,21033,21889,209730,0.0039444113195432
2015-08-17,21931,24112,21162,22744,312425,0.0390607154278404
2015-08-18,23256,23940,22572,22872,434618,0.005627857896588
2015-08-19,22102,22487,19879,20521,307749,-0.102789436866037
2015-08-20,19922,20905,19409,19409,258372,-0.054188392378539
2015-08-21,17442,18126,16672,17100,461702,-0.1189654284095007
2015-08-24,17015,17570,15903,16160,398143,-0.0549707602339181
2015-08-25,16715,20734,15860,20136,695295,0.246039603960396
2015-08-26,19579,22230,19494,20435,584346,0.0148490266189909
2015-08-27,20862,21418,19665,20563,311107,0.0062637631514559
2015-08-28,21076,22444,20862,20948,403959,0.0187229489860429
2015-08-31,21033,21033,20092,20606,152948,-0.0163261409203742
2015-09-01,20349,21631,20349,20734,196467,0.0062117829758323
2015-09-02,20092,21204,19836,20563,157720,-0.0082473232371949
2015-09-03,21033,21974,20819,21290,284380,0.0353547634100082
2015-09-04,21546,21632,19409,19623,246914,-0.0782996712071395
2015-09-07,19323,19536,17955,18639,180442,-0.0501452377312338
2015-09-08,18681,19066,16929,17613,255196,-0.055045871559633
2015-09-09,18168,18895,17869,18468,265913,0.0485436893203883
2015-09-10,18211,19066,17912,18981,163397,0.0277777777777776
2015-09-11,18768,19452,18554,18768,129820,-0.0112217480638533
2015-09-14,18895,19323,18382,18468,125844,-0.0159846547314578
2015-09-15,18468,18724,18126,18297,87986,-0.0092592592592593
2015-09-16,18639,19109,18468,18810,137758,0.0280373831775699
2015-09-17,19067,19537,18724,19067,214898,0.0136629452418925
2015-09-18,19408,20306,19152,20050,372078,0.0515550427440079
2015-09-21,20007,20050,19366,19366,149706,-0.0341147132169575
2015-09-22,19622,20264,19195,20264,189590,0.046369926675617
2015-09-23,20007,21161,19793,20178,419188,-0.0042439794709829
2015-09-24,20178,20434,19280,19323,203271,-0.0423728813559322
2015-09-25,19365,19365,18510,18810,131551,-0.0265486725663717
2015-09-30,17057,17442,16929,17143,645463,-0.0886230728335991
2015-10-01,17527,17827,17271,17656,295273,0.0299247506270781
2015-10-02,17656,17656,17314,17314,119153,-0.0193701857725419
2015-10-05,17741,18596,17613,17656,378245,0.0197528012013399
2015-10-06,18041,18212,17528,17913,212099,0.0145559583144541
2015-10-07,17955,18126,17185,17271,273042,-0.0358398928152737
2015-10-08,17356,17698,17100,17143,231996,-0.0074112674425337
2015-10-12,17527,17613,17228,17442,183437,0.0174415213206555
2015-10-13,17442,17613,17185,17314,123749,-0.007338607957803
2015-10-14,17186,17357,17058,17058,156447,-0.0147857225366755
2015-10-15,17143,17399,17057,17186,102348,0.0075038105287841
2015-10-16,17442,18596,17356,17998,444282,0.047247759804492
2015-10-19,18254,18254,17528,17528,195359,-0.0261140126680742
2015-10-20,17784,18126,17228,18041,259920,0.0292674577818348
2015-10-21,18040,18468,17784,18297,268473,0.0141899007815531
2015-10-22,18126,18254,17399,17442,224867,-0.0467289719626168
2015-10-23,17613,18597,17357,17913,383351,0.0270037839697281
2015-10-26,18297,19109,18126,18554,434810,0.0357840674370568
2015-10-27,18682,20093,18554,19281,657750,0.0391829255147138
2015-10-28,19366,20435,18981,20093,474172,0.0421139982366058
2015-10-29,20221,20435,19708,19751,188777,-0.0170208530333947
2015-10-30,19750,20049,19066,19152,175012,-0.0303275783504632
2015-11-02,18938,19067,18254,18383,202852,-0.0401524644945697
2015-11-03,18639,18810,18425,18468,161505,0.004623837240929
2015-11-04,18511,19323,18340,19238,168749,0.0416937405241499
2015-11-05,19280,19793,18938,19665,270111,0.0221956544339327
2015-11-06,20392,21247,19921,20435,615746,0.0391558606661581
