Date,Open,High,Low,Close,Volume,Change
2022-06-15,6260,7190,6260,7190,20,
2022-06-16,8260,8260,8260,8260,10,0.1488178025034769
2022-06-17,9490,9490,9490,9490,103,0.1489104116222761
2022-06-20,10900,10900,8070,10450,28918,0.101159114857745
2022-06-21,10150,10150,8900,9000,13386,-0.1387559808612439
2022-06-22,9600,9600,7650,7650,15448,-0.15
2022-06-23,8000,8000,6510,6510,7116,-0.1490196078431372
2022-06-24,6850,7300,5540,5600,39482,-0.1397849462365591
2022-06-27,6080,6370,4865,6280,17929,0.1214285714285714
2022-06-28,6340,6800,5680,6490,4307,0.0334394904458599
2022-06-29,6490,6500,5800,6300,5575,-0.0292758089368259
2022-06-30,6290,6370,5720,6110,5523,-0.0301587301587301
2022-07-01,5730,6170,5280,5280,16836,-0.1358428805237316
2022-07-04,5490,5600,4620,5230,2039,-0.009469696969697
2022-07-05,5310,5840,4610,4830,9633,-0.0764818355640535
2022-07-06,4830,5440,4120,5170,10062,0.0703933747412008
2022-07-07,4755,5440,4755,5190,15336,0.0038684719535784
2022-07-08,4910,5440,4910,5340,678,0.0289017341040462
2022-07-11,5440,5440,4900,5170,4909,-0.0318352059925093
2022-07-12,5170,5170,4600,5070,7156,-0.0193423597678916
2022-07-13,5060,5290,4830,5270,2270,0.039447731755424
2022-07-14,5200,5430,5190,5350,693,0.0151802656546489
2022-07-15,5350,6000,5350,5990,3176,0.1196261682242991
2022-07-18,6140,6450,5950,6420,5236,0.0717863105175291
2022-07-19,6450,6620,6000,6620,1183,0.0311526479750778
2022-07-20,6000,7240,5630,7240,3054,0.093655589123867
2022-07-21,7790,7790,6610,6840,7469,-0.0552486187845303
2022-07-22,7150,7150,6380,6940,4083,0.0146198830409356
2022-07-25,6700,7070,6520,7000,3084,0.0086455331412103
2022-07-26,6980,7150,6540,6900,940,-0.0142857142857142
2022-07-27,6900,7300,6820,7280,866,0.0550724637681159
2022-07-28,7300,7400,6190,6780,12820,-0.0686813186813186
2022-07-29,6850,7000,5800,6020,5533,-0.112094395280236
2022-08-01,5810,6490,5810,6070,745,0.0083056478405316
2022-08-02,5810,6370,5810,6140,997,0.0115321252059308
2022-08-03,5910,6260,5910,6230,72,0.014657980456026
2022-08-04,5920,6340,5560,6340,2124,0.0176565008025681
2022-08-05,6000,6400,6000,6400,216,0.0094637223974762
2022-08-08,6480,6540,6000,6390,1709,-0.0015625
2022-08-09,6280,6560,6200,6350,891,-0.0062597809076682
2022-08-10,6260,6550,6260,6400,2447,0.0078740157480314
2022-08-11,6560,6560,5660,6300,5743,-0.015625
2022-08-12,6300,6300,6010,6290,1401,-0.0015873015873015
2022-08-16,6050,6890,6050,6400,862,0.0174880763116056
2022-08-17,6260,6780,6260,6680,1309,0.0437499999999999
2022-08-18,6780,6780,6360,6390,751,-0.0434131736526945
2022-08-19,6260,6770,6260,6770,234,0.0594679186228481
2022-08-22,6380,7190,6380,7190,3522,0.0620384047267355
2022-08-23,7490,7600,6610,7600,1376,0.0570236439499305
2022-08-24,7990,7990,7100,7650,3038,0.006578947368421
2022-08-25,7890,7970,7200,7200,11934,-0.0588235294117647
2022-08-26,7560,7560,6810,7090,2641,-0.0152777777777777
2022-08-29,7090,7350,6620,7350,925,0.0366713681241184
2022-08-30,7210,7260,6870,7260,6860,-0.0122448979591837
2022-08-31,6900,7340,6800,7180,474,-0.0110192837465564
2022-09-01,7320,7320,6720,6980,4082,-0.0278551532033426
2022-09-02,7070,7100,6670,6850,11629,-0.0186246418338108
2022-09-05,7030,7030,6600,7030,513,0.0262773722627738
2022-09-06,6820,7000,6800,6920,6659,-0.0156472261735419
2022-09-07,6750,7170,6750,6950,1820,0.004335260115607
2022-09-08,6800,7240,6800,6980,685,0.0043165467625898
2022-09-13,7230,7230,6770,7110,2024,0.0186246418338109
2022-09-14,7100,7100,6750,6920,1222,-0.0267229254571026
2022-09-15,7090,7090,6750,6890,4018,-0.0043352601156069
2022-09-16,6990,6990,6690,6850,244,-0.0058055152394774
2022-09-19,6750,6890,6520,6850,2674,0.0
2022-09-20,6800,6840,6560,6700,2363,-0.021897810218978
2022-09-21,6750,6800,6500,6630,2587,-0.0104477611940299
2022-09-22,6500,6740,6470,6600,888,-0.004524886877828
2022-09-23,6370,7000,6370,7000,1879,0.0606060606060605
2022-09-26,7000,7290,6700,7200,17923,0.0285714285714284
2022-09-27,7580,7580,7010,7530,1334,0.0458333333333333
2022-09-28,7690,7690,7350,7670,1167,0.0185922974767596
2022-09-29,7850,8000,7540,7960,2264,0.0378096479791394
2022-09-30,8200,8200,7600,8020,2585,0.0075376884422111
2022-10-04,8020,8200,7710,8200,117,0.0224438902743142
2022-10-05,7780,8190,7780,8170,679,-0.0036585365853658
2022-10-06,8200,8600,8200,8600,1318,0.0526315789473683
2022-10-07,8800,9050,8800,9020,1339,0.0488372093023254
2022-10-11,9200,9200,9020,9160,1381,0.0155210643015522
2022-10-12,9320,9320,9010,9160,1133,0.0
2022-10-13,9190,9190,8500,8850,1488,-0.0338427947598253
2022-10-14,8890,9800,8890,9770,3877,0.103954802259887
2022-10-17,9800,10000,9700,9880,246,0.0112589559877174
2022-10-18,9890,9900,9500,9880,450,0.0
2022-10-19,9750,9890,9000,9810,956,-0.007085020242915
2022-10-20,9700,9870,9300,9710,3052,-0.0101936799184505
2022-10-21,9790,9790,9290,9400,431,-0.0319258496395468
2022-10-24,9500,9500,9000,9460,2012,0.0063829787234042
2022-10-25,9300,9950,9160,9760,1652,0.0317124735729386
2022-10-26,9600,9800,9150,9500,765,-0.026639344262295
2022-10-27,9300,9700,9150,9700,2014,0.0210526315789474
2022-10-28,10250,10250,9150,9870,457,0.0175257731958762
2022-10-31,9990,9990,9100,9380,1300,-0.0496453900709219
2022-11-01,9480,9480,8300,8830,3233,-0.0586353944562899
2022-11-02,8990,8990,7950,8870,3359,0.0045300113250283
2022-11-03,8500,8990,7800,8190,3911,-0.076662908680947
2022-11-04,7800,8290,7700,7940,1365,-0.0305250305250305
2022-11-07,7980,7980,7750,7950,796,0.0012594458438286
2022-11-08,7720,8300,7700,7970,573,0.0025157232704402
2022-11-09,7710,8000,7550,7730,518,-0.0301129234629862
2022-11-10,7750,8390,7610,8390,8204,0.0853816300129366
2022-11-11,8390,9370,8380,9370,902,0.1168057210965434
2022-11-14,9200,9500,8900,9470,108,0.0106723585912487
2022-11-15,9990,9990,9010,9650,1303,0.0190073917634636
2022-11-16,9800,9800,9590,9590,6,-0.0062176165803108
2022-11-17,9300,9730,9030,9490,876,-0.0104275286757038
2022-11-18,9090,9470,9000,9190,147,-0.0316122233930452
2022-11-21,9200,9200,8780,9080,383,-0.0119695321001087
2022-11-22,9190,9190,8750,8980,372,-0.0110132158590308
2022-11-23,8610,8990,8610,8970,651,-0.0011135857461024
2022-11-24,8970,8970,8970,8970,65,0.0
2022-11-25,8610,8990,8000,8980,2018,0.0011148272017837
2022-11-28,8700,8990,8610,8890,187,-0.010022271714922
2022-11-29,8790,8790,8000,8250,3548,-0.0719910011248593
2022-11-30,8250,8760,8000,8190,632,-0.0072727272727273
2022-12-01,8190,8190,7870,8150,1128,-0.0048840048840048
2022-12-02,8600,8600,7940,7980,2727,-0.0208588957055214
2022-12-05,8290,8290,7700,8100,4076,0.0150375939849625
2022-12-06,7850,8270,7630,7950,3357,-0.0185185185185184
2022-12-07,8080,8080,7610,7860,2071,-0.0113207547169811
2022-12-08,8210,8210,7600,7790,2745,-0.0089058524173027
2022-12-09,7710,8230,7300,7680,2671,-0.0141206675224646
2022-12-12,7680,7680,7300,7490,2860,-0.0247395833333333
2022-12-13,7400,7690,7210,7380,1583,-0.014686248331108
2022-12-14,7260,7680,7160,7620,6410,0.0325203252032519
2022-12-15,7490,7490,6960,6960,2700,-0.0866141732283464
2022-12-16,7290,7290,6900,6900,554,-0.0086206896551723
2022-12-19,6990,7240,6900,6900,586,0.0
2022-12-20,7290,7290,6800,7000,162,0.0144927536231884
2022-12-21,7230,7230,6800,6990,114,-0.0014285714285714
2022-12-22,6960,7000,6690,6790,3593,-0.0286123032904148
2022-12-23,6660,6870,6660,6760,1858,-0.0044182621502208
2022-12-26,6800,6800,6650,6760,438,0.0
2022-12-27,7670,7670,6600,6940,156,0.0266272189349112
2022-12-28,6990,6990,6700,6800,366,-0.0201729106628242
2022-12-29,6900,6950,6550,6610,1005,-0.0279411764705882
2023-01-02,6620,6800,6620,6800,545,0.0287443267776097
2023-01-03,6500,6950,6500,6810,255,0.0014705882352941
2023-01-04,6500,6870,6500,6700,790,-0.0161527165932452
2023-01-05,6970,6970,6500,6790,3,0.0134328358208954
2023-01-06,6990,6990,6600,6790,151,0.0
2023-01-09,6790,6980,6520,6680,2934,-0.01620029455081
2023-01-10,6500,6770,6500,6640,1741,-0.0059880239520958
2023-01-11,6650,6900,6330,6790,4496,0.0225903614457831
2023-01-12,6500,6950,6310,6790,33279,0.0
2023-01-13,6700,6700,6350,6610,2427,-0.0265095729013254
2023-01-16,6740,6740,6210,6440,2809,-0.0257186081694402
2023-01-17,6490,6490,6120,6380,5083,-0.0093167701863353
2023-01-18,6200,6370,6000,6250,5041,-0.0203761755485893
2023-01-19,6100,6280,5810,6210,8426,-0.0063999999999999
2023-01-20,6000,6260,5880,6130,3908,-0.0128824476650563
2023-01-25,6000,6230,6000,6200,904,0.0114192495921696
2023-01-26,6050,6190,5720,6140,4982,-0.0096774193548386
2023-01-27,6000,6100,5810,6090,3452,-0.00814332247557
2023-01-30,6160,6160,5820,6090,2416,0.0
2023-01-31,6180,6180,5850,6020,744,-0.0114942528735632
2023-02-01,5900,6120,5750,5980,6467,-0.0066445182724252
2023-02-02,6160,6160,5310,5890,6560,-0.0150501672240802
2023-02-03,5700,5960,5620,5870,5238,-0.0033955857385399
2023-02-06,5930,5930,5600,5850,9768,-0.0034071550255536
2023-02-07,5660,6040,5660,5920,4399,0.0119658119658119
2023-02-08,5990,6020,5750,5900,7782,-0.0033783783783783
2023-02-09,5760,6050,5760,5950,776,0.0084745762711864
2023-02-10,6080,6240,5730,6140,8003,0.0319327731092438
2023-02-13,6040,6300,5810,5960,7319,-0.0293159609120521
2023-02-14,6070,6510,5950,6200,3677,0.0402684563758388
