Date,Open,High,Low,Close,Volume,Change
2023-04-04,45400,45650,44400,45000,39716,-0.0044247787610619
2023-04-05,45850,45850,44800,44800,39818,-0.0044444444444444
2023-04-06,44800,44800,43600,43800,79554,-0.0223214285714286
2023-04-07,43500,44350,43250,43800,39571,0.0
2023-04-10,43250,44150,43100,43300,43965,-0.0114155251141552
2023-04-11,43100,44000,43000,43200,57074,-0.0023094688221708
2023-04-12,43050,43650,42000,43100,68025,-0.0023148148148147
2023-04-13,42900,44000,42800,44000,56386,0.0208816705336427
2023-04-14,43850,44600,43550,43550,53289,-0.0102272727272727
2023-04-17,43450,43850,42600,43100,48020,-0.0103329506314581
2023-04-18,42600,43650,42500,43200,53788,0.0023201856148491
2023-04-19,43600,43900,42900,43650,32353,0.0104166666666667
2023-04-20,43350,44550,43250,44050,51789,0.0091638029782359
2023-04-21,43600,44600,43550,43950,46033,-0.0022701475595914
2023-04-24,43750,46350,43750,46200,94424,0.0511945392491468
2023-04-25,45750,46150,44800,44800,55116,-0.0303030303030302
2023-04-26,44100,44650,43500,43650,43895,-0.0256696428571429
2023-04-27,43100,43600,40150,40350,128663,-0.0756013745704466
2023-04-28,40400,40650,39400,39550,74003,-0.0198265179677818
2023-05-02,39200,41600,39200,41200,77011,0.0417193426042983
2023-05-03,40700,41600,40200,41350,46766,0.0036407766990291
2023-05-04,40400,41850,40200,41300,55720,-0.0012091898428052
2023-05-08,39550,42000,39500,41900,52704,0.0145278450363195
2023-05-09,41500,42500,41250,41750,30866,-0.0035799522673031
2023-05-10,41150,42000,40900,40950,40381,-0.0191616766467065
2023-05-11,41400,41750,40900,41350,37638,0.0097680097680097
2023-05-12,40750,41600,40250,41450,45594,0.0024183796856105
2023-05-15,40600,41600,40600,41550,27871,0.002412545235223
2023-05-16,40750,41800,40700,41250,19496,-0.0072202166064981
2023-05-17,40850,42400,40850,41550,28664,0.0072727272727273
2023-05-18,41200,41400,40350,41200,55585,-0.0084235860409145
2023-05-19,40700,43200,40700,43000,67807,0.0436893203883494
2023-05-22,43700,44750,43000,44600,78457,0.0372093023255815
2023-05-23,45000,45100,44050,44600,46054,0.0
2023-05-24,44300,44550,43450,43900,41447,-0.015695067264574
2023-05-25,43150,43700,42250,42350,64579,-0.0353075170842824
2023-05-26,41950,42700,41750,42200,33884,-0.0035419126328217
2023-05-30,42950,52500,42250,46800,1067727,0.1090047393364928
2023-05-31,45850,52800,45550,50800,1064837,0.0854700854700853
2023-06-01,50000,50400,47000,47950,376883,-0.0561023622047244
2023-06-02,47850,48350,46300,47250,199069,-0.0145985401459853
2023-06-05,47150,49300,46850,49050,118349,0.0380952380952381
2023-06-07,48500,49550,48150,48350,124138,-0.0142711518858308
2023-06-08,48400,49350,48050,48500,144135,0.0031023784901758
2023-06-09,48750,48850,46350,47450,140222,-0.0216494845360825
2023-06-12,47850,48800,46900,48800,99878,0.0284510010537408
2023-06-13,49000,49400,47800,48350,103763,-0.0092213114754098
2023-06-14,48000,49150,47700,48450,120355,0.0020682523267838
2023-06-15,48450,49000,47800,48050,84488,-0.0082559339525283
2023-06-16,48850,51000,48000,49250,646310,0.0249739854318418
2023-06-19,49300,49900,48000,48900,72451,-0.0071065989847716
2023-06-20,48450,49700,48300,49400,70077,0.0102249488752557
2023-06-21,49400,49600,48600,49050,47121,-0.007085020242915
2023-06-22,49000,49200,48400,48750,44882,-0.0061162079510703
2023-06-23,48250,48300,46100,46250,107281,-0.0512820512820513
2023-06-26,46250,47550,45800,46800,38695,0.0118918918918919
2023-06-27,46300,47500,46250,47500,49992,0.0149572649572649
2023-06-28,47800,47850,47200,47550,26290,0.0010526315789474
2023-06-29,47150,47550,46050,46100,53923,-0.0304942166140904
2023-06-30,46550,46850,45500,46850,36595,0.0162689804772233
2023-07-03,46900,47800,46550,47750,68082,0.0192102454642475
2023-07-04,47200,47750,46600,46600,49396,-0.0240837696335078
2023-07-05,46300,47200,46200,46250,50938,-0.0075107296137338
2023-07-06,46300,46700,45400,46400,81998,0.0032432432432432
2023-07-07,45500,46200,45000,45300,50793,-0.023706896551724
2023-07-10,45900,46150,45000,45650,37775,0.0077262693156732
2023-07-11,45900,46300,45550,45700,27371,0.0010952902519167
2023-07-12,45750,46150,44550,45150,40104,-0.012035010940919
2023-07-13,45200,46000,44750,44800,99676,-0.0077519379844961
2023-07-14,45150,46550,44600,46400,77578,0.0357142857142858
2023-07-17,45950,46750,45200,46650,48698,0.0053879310344826
2023-07-18,46950,46950,45400,45550,38203,-0.0235798499464093
2023-07-19,45600,45750,44300,44750,46664,-0.0175631174533479
2023-07-20,44100,46450,44100,45600,66245,0.0189944134078212
2023-07-21,45500,46200,44700,45600,40695,0.0
2023-07-24,45150,45150,43150,43650,71465,-0.0427631578947368
2023-07-25,43500,43500,42000,42600,71730,-0.0240549828178694
2023-07-26,42000,42100,40400,41400,125789,-0.028169014084507
2023-07-27,41150,42350,40750,42350,83534,0.0229468599033817
2023-07-28,41450,42250,41250,41900,52801,-0.0106257378984652
2023-07-31,42300,42850,41550,42400,50439,0.0119331742243435
2023-08-01,41900,43500,41800,43150,48491,0.017688679245283
2023-08-02,42600,43500,42300,42600,52885,-0.0127462340672074
2023-08-03,42600,43250,42200,42500,68908,-0.0023474178403756
2023-08-04,42100,43250,42100,42950,41484,0.0105882352941175
2023-08-07,42550,44900,42550,44500,61803,0.0360884749708962
2023-08-08,45800,45850,44200,45400,86530,0.0202247191011235
2023-08-09,45400,47300,44200,47150,114804,0.0385462555066078
