Date,Open,High,Low,Close,Volume,Change
2023-04-04,1924,1992,1918,1980,875473,0.032325338894682
2023-04-05,1982,2165,1950,2120,2345601,0.0707070707070707
2023-04-06,2090,2170,2045,2065,959661,-0.025943396226415
2023-04-07,2065,2120,2005,2100,575946,0.0169491525423728
2023-04-10,2100,2125,1982,2065,777835,-0.0166666666666667
2023-04-11,2045,2080,2010,2075,466586,0.0048426150121065
2023-04-12,2045,2140,2045,2115,763192,0.0192771084337348
2023-04-13,2140,2290,2085,2100,1584725,-0.0070921985815602
2023-04-14,2100,2220,2060,2180,873924,0.0380952380952381
2023-04-17,2190,2190,2020,2020,869717,-0.073394495412844
2023-04-18,2000,2065,1999,2000,604281,-0.0099009900990099
2023-04-19,1976,2030,1945,1986,608180,-0.007
2023-04-20,1957,1990,1900,1922,617796,-0.0322255790533736
2023-04-21,1916,1961,1850,1910,574488,-0.0062434963579605
2023-04-24,1912,1925,1823,1845,410928,-0.0340314136125654
2023-04-25,1805,1853,1785,1811,447366,-0.0184281842818427
2023-04-26,1811,1845,1776,1795,347904,-0.0088348978464936
2023-04-27,1775,1795,1751,1776,302506,-0.0105849582172702
2023-04-28,1760,1823,1744,1795,458715,0.0106981981981981
2023-05-02,1807,1824,1756,1775,320680,-0.0111420612813371
2023-05-03,1740,1760,1710,1710,395444,-0.0366197183098591
2023-05-04,1712,1767,1706,1760,325612,0.0292397660818712
2023-05-08,1760,1810,1760,1795,212198,0.0198863636363635
2023-05-09,1810,1810,1758,1766,120909,-0.0161559888579386
2023-05-10,1790,1790,1726,1744,174002,-0.0124575311438278
2023-05-11,1770,1800,1741,1754,178903,0.0057339449541284
2023-05-12,1758,1783,1728,1747,249618,-0.0039908779931584
2023-05-15,1735,1741,1707,1712,186714,-0.0200343445907269
2023-05-16,1713,1737,1700,1710,153131,-0.0011682242990653
2023-05-17,1701,1734,1701,1717,137265,0.0040935672514619
2023-05-18,1747,1747,1681,1690,235183,-0.0157251019219568
2023-05-19,1691,1724,1683,1717,186486,0.0159763313609466
2023-05-22,1705,1760,1705,1755,185598,0.0221316249271985
2023-05-23,1765,1880,1765,1868,487680,0.0643874643874644
2023-05-24,1875,1875,1805,1829,220198,-0.0208779443254818
2023-05-25,1815,1829,1777,1777,191564,-0.0284308365226899
2023-05-26,1774,1792,1743,1755,158513,-0.0123804164321891
2023-05-30,1747,1763,1700,1724,273108,-0.0176638176638176
2023-05-31,1756,1756,1689,1692,216535,-0.0185614849187935
2023-06-01,1690,1747,1690,1744,166948,0.0307328605200944
2023-06-02,1761,1761,1696,1711,178065,-0.0189220183486238
2023-06-05,1695,1738,1689,1699,185739,-0.0070134424313267
2023-06-07,1721,1721,1684,1684,215265,-0.0088287227781047
2023-06-08,1671,1699,1644,1654,346644,-0.017814726840855
2023-06-09,1660,1693,1653,1653,293444,-0.0006045949214026
2023-06-12,1653,1671,1633,1635,243700,-0.0108892921960072
2023-06-13,1646,1667,1635,1646,181194,0.0067278287461773
2023-06-14,1675,1675,1613,1630,355194,-0.0097205346294045
2023-06-15,1630,1654,1618,1624,151545,-0.003680981595092
2023-06-16,1624,1666,1620,1624,187960,0.0
2023-06-19,1623,1640,1591,1595,310412,-0.0178571428571429
2023-06-20,1596,1679,1596,1625,433301,0.0188087774294671
2023-06-21,1630,1645,1570,1585,482147,-0.0246153846153845
2023-06-22,1561,1610,1561,1591,281324,0.0037854889589905
2023-06-23,1617,1617,1584,1592,242339,0.0006285355122563
2023-06-26,1592,1790,1578,1762,1912402,0.10678391959799
2023-06-27,1754,1780,1703,1720,456506,-0.0238365493757094
2023-06-28,1710,1710,1690,1691,245861,-0.016860465116279
2023-06-29,1691,1894,1686,1833,2551333,0.0839739798935541
2023-06-30,1814,1903,1800,1855,927835,0.012002182214948
2023-07-03,1860,1900,1808,1886,625517,0.016711590296496
2023-07-04,1949,1949,1800,1828,619343,-0.0307529162248144
2023-07-05,1828,1840,1791,1805,354407,-0.012582056892779
2023-07-06,1800,1830,1750,1814,278869,0.0049861495844876
2023-07-07,1800,1828,1760,1773,238371,-0.0226019845644983
2023-07-10,1768,1800,1650,1695,361286,-0.0439932318104906
2023-07-11,1690,1717,1666,1689,193766,-0.0035398230088495
2023-07-12,1695,1713,1647,1671,247936,-0.0106571936056838
2023-07-13,1673,1709,1667,1694,167852,0.0137642130460802
2023-07-14,1690,1705,1664,1686,181752,-0.0047225501770956
2023-07-17,1708,1708,1664,1683,146223,-0.001779359430605
2023-07-18,1683,1693,1625,1638,294066,-0.0267379679144385
2023-07-19,1638,1678,1616,1654,227247,0.0097680097680097
2023-07-20,1654,1676,1636,1654,170594,0.0
2023-07-21,1654,1715,1645,1680,354896,0.0157194679564691
2023-07-24,1690,1708,1607,1613,339570,-0.0398809523809523
