Date,Open,High,Low,Close,Volume,Change
2019-06-18,1511,1616,1470,1485,1505698,-0.02044854881266489
2019-06-19,1493,1514,1483,1493,315338,0.005387205387205496
2019-06-20,1506,1534,1493,1534,359734,0.027461486939048818
2019-06-21,1560,1573,1511,1511,568803,-0.014993481095176064
2019-06-24,1498,1529,1498,1521,225725,0.006618133686300487
2019-06-25,1514,1565,1501,1547,402194,0.017094017094017033
2019-06-26,1555,1624,1524,1575,1135926,0.018099547511312153
2019-06-27,1587,1601,1515,1525,415210,-0.031746031746031744
2019-06-28,1539,1557,1480,1485,283958,-0.02622950819672132
2019-07-01,1452,1514,1452,1493,150378,0.005387205387205496
2019-07-02,1496,1514,1470,1511,122411,0.012056262558606923
2019-07-03,1511,1565,1488,1521,304445,0.006618133686300487
2019-07-04,1546,1546,1474,1525,202789,0.002629848783694877
2019-07-05,1501,1537,1501,1529,144395,0.0026229508196722318
2019-07-08,1511,1547,1370,1408,341347,-0.07913669064748197
2019-07-09,1393,1438,1375,1380,154044,-0.019886363636363646
2019-07-10,1365,1460,1357,1421,227316,0.02971014492753632
2019-07-11,1434,1465,1419,1457,126154,0.025334271639690265
2019-07-12,1437,1493,1437,1493,193749,0.024708304735758357
2019-07-15,1523,1523,1447,1447,136397,-0.030810448760884124
2019-07-16,1447,1470,1421,1462,157912,0.010366275051831408
2019-07-17,1470,1470,1393,1421,117627,-0.028043775649794767
2019-07-18,1421,1442,1380,1403,97898,-0.012667135819845132
2019-07-19,1434,1434,1398,1426,137357,0.016393442622950838
2019-07-22,1434,1434,1398,1426,56428,0.0
2019-07-23,1401,1442,1391,1411,167385,-0.01051893408134641
2019-07-24,1396,1424,1360,1393,101466,-0.01275690999291279
2019-07-25,1352,1365,1275,1298,404186,-0.06819813352476667
2019-07-26,1270,1298,1216,1249,223056,-0.03775038520801233
2019-07-29,1243,1243,1099,1099,297256,-0.12009607686148915
2019-07-30,1058,1156,1058,1117,239867,0.016378525932666088
2019-07-31,1122,1184,1122,1181,241094,0.0572963294538944
2019-08-01,1161,1194,1158,1181,59658,0.0
2019-08-02,1135,1179,1120,1176,101473,-0.0042337002540220325
2019-08-05,1158,1176,1050,1050,222466,-0.1071428571428571
2019-08-06,948,1070,930,940,455808,-0.10476190476190472
2019-08-07,931,1012,931,1009,299195,0.07340425531914896
2019-08-08,1012,1079,1012,1076,156260,0.06640237859266596
2019-08-09,1075,1126,1075,1090,81920,0.013011152416356975
2019-08-12,1038,1120,1035,1076,300244,-0.012844036697247652
2019-08-13,1075,1103,1067,1095,60785,0.017657992565055736
2019-08-14,1094,1140,1066,1086,87271,-0.008219178082191747
2019-08-16,1068,1081,1035,1050,106809,-0.03314917127071826
2019-08-19,1034,1072,1021,1072,74916,0.020952380952381056
2019-08-20,1093,1139,1085,1113,134679,0.03824626865671643
2019-08-21,1112,1143,1084,1135,129408,0.01976639712488759
2019-08-22,1139,1157,1116,1131,82092,-0.0035242290748899174
2019-08-23,1130,1135,1089,1127,127395,-0.0035366931918655586
2019-08-26,1094,1094,1013,1036,155706,-0.08074534161490687
2019-08-27,1040,1063,1035,1050,94097,0.013513513513513598
