Date,Open,High,Low,Close,Volume,Change
2023-04-04,20200,20350,19360,19440,33589,-0.0447174447174447
2023-04-05,19540,20000,19150,19410,25847,-0.0015432098765432
2023-04-06,19410,19410,18470,18900,38049,-0.026275115919629
2023-04-07,18910,19380,18910,19210,31004,0.0164021164021164
2023-04-10,19700,19700,18690,18690,33924,-0.0270692347735554
2023-04-11,18700,18960,18430,18860,40557,0.0090957731407168
2023-04-12,18860,18860,18290,18300,31337,-0.0296924708377518
2023-04-13,18290,18690,17850,18560,33352,0.014207650273224
2023-04-14,18560,18660,18340,18530,15650,-0.0016163793103448
2023-04-17,18670,18670,17890,18450,20938,-0.004317323259579
2023-04-18,18450,18450,18120,18220,9126,-0.0124661246612466
2023-04-19,18320,18510,17750,18480,15995,0.0142700329308451
2023-04-20,18480,18480,17970,18030,22070,-0.0243506493506493
2023-04-21,18020,18220,17700,17900,14008,-0.0072102052135329
2023-04-24,17870,17920,17350,17520,17892,-0.0212290502793296
2023-04-25,17520,17570,16940,17220,15243,-0.0171232876712328
2023-04-26,17050,17450,16990,17180,7435,-0.0023228803716608
2023-04-27,17130,17400,16620,17170,18458,-0.0005820721769499
2023-04-28,17310,17680,16850,17500,11707,0.019219569015725
2023-05-02,17500,17500,17010,17150,11324,-0.02
2023-05-03,17150,17380,17080,17190,6193,0.0023323615160348
2023-05-04,17190,17210,16930,17060,4766,-0.0075625363583479
2023-05-08,17140,17350,17020,17030,7734,-0.0017584994138335
2023-05-09,17190,17190,16760,17020,7566,-0.0005871990604815
2023-05-10,17020,17300,16660,17300,9863,0.0164512338425382
2023-05-11,17280,17280,16800,17080,5483,-0.0127167630057803
2023-05-12,17560,17560,16700,16800,8391,-0.0163934426229508
2023-05-15,17100,17100,16410,16410,12921,-0.0232142857142857
2023-05-16,16470,16700,16210,16210,6663,-0.0121876904326629
2023-05-17,16230,16570,16230,16400,4449,0.0117211597779147
2023-05-18,16500,17030,16440,17000,11337,0.0365853658536585
