Date,Open,High,Low,Close,Volume,Change
2015-08-24,5700,6250,4000,4000,4600660,
2015-08-25,4100,4350,3785,4015,2586200,0.0037499999999999
2015-08-26,4135,4820,4085,4220,3356800,0.0510585305105852
2015-08-27,4290,4515,4130,4180,1131859,-0.0094786729857819
2015-08-28,4275,4290,4045,4085,813367,-0.0227272727272727
2015-08-31,4105,4185,3840,3840,553929,-0.0599755201958384
2015-09-01,3850,4085,3785,3805,561273,-0.0091145833333333
2015-09-02,3690,3890,3660,3765,213929,-0.0105124835742443
2015-09-03,3825,3975,3730,3730,268024,-0.0092961487383798
2015-09-04,3785,3890,3645,3675,353047,-0.0147453083109919
2015-09-07,3675,3750,3550,3585,217802,-0.0244897959183673
2015-09-08,3590,3625,3250,3250,293563,-0.0934449093444909
2015-09-09,3340,3490,3255,3395,257476,0.0446153846153847
2015-09-10,3350,3560,3335,3440,223717,0.0132547864506626
2015-09-11,3450,3570,3330,3330,201542,-0.0319767441860464
2015-09-14,3370,3385,3280,3280,115041,-0.015015015015015
2015-09-15,3310,3500,3310,3355,212040,0.0228658536585366
2015-09-16,3390,3450,3305,3380,201515,0.0074515648286139
2015-09-17,3405,3425,3340,3345,133711,-0.0103550295857988
2015-09-18,3380,3840,3335,3625,694177,0.0837070254110612
2015-09-21,3625,3725,3540,3670,171952,0.0124137931034482
2015-09-22,3715,3715,3585,3585,143024,-0.0231607629427792
2015-09-23,3565,3635,3435,3565,158998,-0.00557880055788
2015-09-24,3525,3595,3455,3485,141889,-0.0224403927068723
2015-09-25,3465,3530,3375,3515,60272,0.0086083213773313
2015-09-30,3415,3510,3415,3500,65896,-0.0042674253200568
2015-10-01,3550,3665,3500,3590,159953,0.0257142857142858
2015-10-02,3590,3670,3565,3605,100728,0.0041782729805013
2015-10-05,3660,4085,3580,3875,467621,0.0748959778085991
2015-10-06,3850,4075,3805,3915,329249,0.0103225806451612
2015-10-07,3885,3935,3785,3810,147544,-0.0268199233716475
2015-10-08,3815,3835,3670,3685,131925,-0.0328083989501312
2015-10-12,3655,3725,3600,3610,65256,-0.0203527815468114
2015-10-13,3610,3695,3590,3685,63588,0.0207756232686979
2015-10-14,3665,3725,3625,3630,55935,-0.0149253731343284
2015-10-15,3585,3630,3535,3615,77734,-0.0041322314049586
2015-10-16,3650,3685,3560,3660,52710,0.0124481327800829
2015-10-19,3705,3990,3695,3825,196948,0.0450819672131148
2015-10-20,3840,3915,3700,3720,129504,-0.0274509803921568
2015-10-21,3750,3750,3620,3620,54468,-0.0268817204301075
2015-10-22,3620,3660,3515,3580,63354,-0.011049723756906
2015-10-23,3595,3670,3560,3600,39251,0.0055865921787709
2015-10-26,3565,3645,3560,3580,34481,-0.0055555555555555
2015-10-27,3555,3625,3550,3560,36450,-0.0055865921787709
2015-10-28,3595,3620,3540,3590,38948,0.0084269662921347
2015-10-29,3630,3640,3560,3585,69373,-0.0013927576601671
2015-10-30,3590,3590,3470,3470,61620,-0.0320781032078103
2015-11-02,3450,3470,3325,3325,61280,-0.0417867435158501
2015-11-03,3425,3425,3265,3310,38226,-0.0045112781954886
2015-11-04,3270,3380,3270,3350,20555,0.012084592145015
2015-11-05,3355,3455,3325,3390,19778,0.0119402985074625
2015-11-06,3365,3405,3290,3370,28009,-0.0058997050147492
2015-11-09,3395,3400,3245,3255,47258,-0.0341246290801187
2015-11-10,3315,3315,3000,3010,107183,-0.0752688172043011
2015-11-11,3080,3080,2965,3035,41958,0.0083056478405316
2015-11-12,3080,3100,2975,3035,55195,0.0
2015-11-13,2930,3010,2730,3010,132409,-0.0082372322899505
2015-11-16,2950,3045,2870,3000,66302,-0.0033222591362126
2015-11-17,3050,3055,2955,2955,27999,-0.015
