Date,Open,High,Low,Close,Volume,Change
2023-04-04,19000,19290,18770,18960,67238,0.0010559662090812
2023-04-05,19080,19230,18960,19050,37643,0.004746835443038
2023-04-06,19100,19250,18810,19010,53066,-0.0020997375328084
2023-04-07,18820,19070,18820,18880,50766,-0.0068385060494476
2023-04-10,18900,18900,18240,18300,87166,-0.0307203389830508
2023-04-11,18300,18690,18100,18570,53597,0.0147540983606557
2023-04-12,18570,18810,18300,18590,52756,0.0010770059235325
2023-04-13,18590,19060,18280,19060,60018,0.0252824098977946
2023-04-14,19150,19570,19100,19340,113767,0.0146904512067156
2023-04-17,19440,19490,19170,19360,62105,0.0010341261633919
2023-04-18,19360,20050,19040,19850,197952,0.0253099173553719
2023-04-19,19880,21150,19650,21050,327084,0.0604534005037782
2023-04-20,21100,21350,19900,19910,298911,-0.0541567695961995
2023-04-21,19830,19940,19200,19440,109112,-0.0236062280261175
2023-04-24,19860,19860,19130,19290,54300,-0.007716049382716
2023-04-25,20050,20600,18820,18860,206861,-0.022291342664593
2023-04-26,18500,19100,18420,18690,51441,-0.0090137857900317
2023-04-27,18520,19080,18450,18800,51263,0.0058855002675226
2023-04-28,18700,19060,18700,18750,43396,-0.002659574468085
2023-05-02,18500,19200,18500,19120,48368,0.0197333333333333
2023-05-03,18770,19330,18770,19000,35326,-0.0062761506276151
2023-05-04,19010,19260,18890,18950,23145,-0.0026315789473684
2023-05-08,19180,19180,18930,19050,31437,0.0052770448548813
2023-05-09,18860,19290,18850,19280,36552,0.0120734908136483
2023-05-10,19350,20400,19170,19920,122515,0.033195020746888
2023-05-11,20100,22400,20050,21800,730646,0.0943775100401607
2023-05-12,21650,22100,21250,21800,212850,0.0
2023-05-15,21450,21550,20450,20750,137189,-0.0481651376146788
2023-05-16,20750,22350,20550,22300,326546,0.0746987951807229
2023-05-17,22450,23650,21900,23650,437832,0.0605381165919283
2023-05-18,23750,25000,19990,21400,1162637,-0.095137420718816
2023-05-19,21400,22650,21200,22500,299460,0.0514018691588784
2023-05-22,22100,22500,21200,21900,143577,-0.0266666666666666
2023-05-23,21900,22050,21000,21350,154914,-0.0251141552511415
2023-05-24,21500,22350,21050,21700,117934,0.0163934426229508
2023-05-25,21450,22250,21300,21750,83140,0.0023041474654377
2023-05-26,21750,24250,21400,23200,679540,0.0666666666666666
2023-05-30,23150,23550,22500,22800,173519,-0.0172413793103448
2023-05-31,22500,22950,22250,22600,112979,-0.0087719298245614
2023-06-01,22900,24550,22750,24150,513766,0.0685840707964602
2023-06-02,23950,24450,23600,23650,153260,-0.0207039337474119
2023-06-05,23550,24200,22900,23700,112984,0.0021141649048626
2023-06-07,23700,23800,23250,23500,78729,-0.0084388185654008
2023-06-08,23450,25300,22750,25050,365300,0.0659574468085106
2023-06-09,25050,25350,24550,25150,167515,0.0039920159680639
2023-06-12,25150,25250,24250,24750,99757,-0.0159045725646123
2023-06-13,24800,24800,23550,23800,157180,-0.0383838383838384
2023-06-14,23800,24000,21900,22250,271939,-0.065126050420168
2023-06-15,22550,22650,21400,22100,93124,-0.0067415730337078
2023-06-16,22350,23350,21400,23050,158239,0.0429864253393665
2023-06-19,22750,22850,21700,22100,109749,-0.0412147505422993
2023-06-20,21900,22500,21100,21800,110084,-0.0135746606334841
2023-06-21,21550,21800,20800,20950,89479,-0.0389908256880734
2023-06-22,20850,21000,20200,20400,76565,-0.026252983293556
2023-06-23,20400,20600,19750,19890,90419,-0.025
2023-06-26,20100,20100,19480,19680,54886,-0.0105580693815987
2023-06-27,19680,19680,19120,19500,57129,-0.0091463414634146
