Date,Open,High,Low,Close,Volume,Change
2023-04-04,1679,1702,1664,1674,1039303,-0.0029779630732579
2023-04-05,1662,1724,1662,1704,2012075,0.017921146953405
2023-04-06,1714,1724,1627,1629,1787131,-0.0440140845070422
2023-04-07,1644,1644,1599,1599,992189,-0.01841620626151
2023-04-10,1602,1617,1557,1564,1450619,-0.0218886804252658
2023-04-11,1564,1582,1547,1574,655941,0.0063938618925831
2023-04-12,1574,1592,1562,1577,762560,0.0019059720457432
2023-04-13,1604,1664,1599,1609,2550001,0.020291693088142
2023-04-14,1619,1622,1594,1607,717049,-0.0012430080795524
2023-04-17,1607,1612,1572,1584,758372,-0.014312383322962
2023-04-18,1592,1592,1557,1574,535217,-0.0063131313131312
2023-04-19,1569,1599,1562,1594,493989,0.0127064803049554
2023-04-20,1584,1594,1557,1562,504806,-0.0200752823086575
2023-04-21,1549,1567,1489,1529,890880,-0.0211267605633802
2023-04-24,1502,1527,1479,1487,651762,-0.027468933943754
2023-04-25,1499,1502,1437,1469,580530,-0.0121049092131808
2023-04-26,1439,1477,1419,1469,533096,0.0
2023-04-27,1467,1482,1439,1482,285013,0.0088495575221239
2023-04-28,1487,1494,1462,1462,389071,-0.0134952766531714
2023-05-02,1449,1494,1449,1489,275936,0.0184678522571819
2023-05-03,1472,1512,1472,1502,287186,0.0087306917394225
2023-05-04,1502,1502,1467,1489,371060,-0.0086551264980027
2023-05-08,1499,1517,1492,1517,383593,0.0188045668233713
2023-05-09,1512,1514,1469,1489,345612,-0.018457481872116
2023-05-10,1474,1514,1469,1502,466485,0.0087306917394225
2023-05-11,1514,1529,1487,1509,425327,0.0046604527296938
2023-05-12,1599,1639,1529,1542,6057239,0.0218687872763418
2023-05-15,1549,1579,1532,1549,1102887,0.0045395590142671
2023-05-16,1557,1572,1537,1567,768179,0.0116204002582311
2023-05-17,1562,1597,1549,1584,1279494,0.0108487555839182
2023-05-18,1599,1644,1592,1624,1730703,0.0252525252525253
2023-05-19,1624,1629,1599,1614,791730,-0.0061576354679803
2023-05-22,1619,1634,1599,1632,1098048,0.0111524163568772
2023-05-23,1654,1654,1604,1627,1266180,-0.003063725490196
2023-05-24,1624,1624,1584,1594,693238,-0.0202827289489858
2023-05-25,1597,1624,1574,1589,515737,-0.0031367628607277
2023-05-26,1597,1597,1557,1582,366784,-0.0044052863436123
