Date,Open,High,Low,Close,Volume,Change
2018-07-23,5525,7125,5125,6475,10000605,
2018-07-24,6425,6600,5675,5775,2609868,-0.1081081081081081
2018-07-25,5825,5875,5150,5350,1643953,-0.0735930735930735
2018-07-26,5675,6000,5325,5525,1614092,0.0327102803738317
2018-07-27,5400,5750,5325,5725,498372,0.0361990950226245
2018-07-30,5725,7425,5600,7000,4195571,0.222707423580786
2018-07-31,6925,8225,6850,7350,4607677,0.05
2018-08-01,7275,7450,7025,7300,930044,-0.0068027210884353
2018-08-02,7175,7600,6900,7600,1192380,0.0410958904109588
2018-08-03,7500,7600,7050,7050,650524,-0.0723684210526315
2018-08-06,7025,7049,6725,6725,524154,-0.0460992907801418
2018-08-07,6774,7025,6625,6750,824447,0.003717472118959
2018-08-08,6750,6750,6400,6550,395355,-0.0296296296296296
2018-08-09,6550,6600,6025,6200,632222,-0.0534351145038167
2018-08-10,6175,6225,5700,5875,468492,-0.0524193548387096
2018-08-13,5850,5875,5425,5500,357253,-0.0638297872340425
2018-08-14,5500,5675,5350,5600,510402,0.018181818181818
2018-08-16,5725,5725,5450,5700,475579,0.0178571428571427
2018-08-17,5775,6075,5675,6000,683030,0.0526315789473683
2018-08-20,5975,6100,5775,5975,311142,-0.0041666666666666
2018-08-21,6050,6250,5925,6075,452250,0.0167364016736402
2018-08-22,6400,7025,6100,6100,2270948,0.0041152263374486
2018-08-23,6125,6525,6075,6475,607121,0.0614754098360654
2018-08-24,6400,6449,6225,6325,312515,-0.0231660231660231
2018-08-27,6400,6575,6349,6475,480638,0.0237154150197629
2018-08-28,6500,6525,6100,6125,339231,-0.054054054054054
2018-08-29,6125,6175,5900,5900,220265,-0.036734693877551
2018-08-30,5925,5974,5725,5950,348819,0.0084745762711864
2018-08-31,6375,6525,6025,6175,895117,0.0378151260504202
2018-09-03,6125,6249,6025,6125,146492,-0.0080971659919028
2018-09-04,6175,6175,5925,6000,209307,-0.0204081632653061
2018-09-05,5950,6075,5900,5900,157724,-0.0166666666666667
2018-09-06,5949,6250,5925,6175,340943,0.0466101694915255
