Date,Open,High,Low,Close,Volume,Change
2023-04-04,12900,15360,12810,14370,361309,0.1011494252873563
2023-04-05,15780,18360,15150,17580,1075831,0.2233820459290187
2023-04-06,17249,17339,15752,17070,221428,-0.0290102389078498
2023-04-07,17092,18738,11943,13500,976578,-0.2091388400702988
2023-04-10,17580,17580,17520,17580,234587,0.3022222222222221
2023-04-11,19264,22800,19264,22830,1467719,0.2986348122866893
2023-04-12,24000,24900,19530,20040,1018488,-0.1222076215505912
2023-04-13,19320,21150,17400,19710,466005,-0.0164670658682635
2023-04-14,19530,20400,18660,18780,163328,-0.0471841704718417
2023-04-17,19138,19857,17491,18390,166146,-0.0207667731629392
2023-04-18,18479,18808,17880,18090,158465,-0.0163132137030994
2023-04-19,18210,23520,17700,23520,1325712,0.3001658374792704
2023-04-20,24660,30000,22020,22290,1479758,-0.0522959183673469
2023-04-21,21927,23514,20010,20070,286449,-0.0995962314939434
2023-04-24,19710,22020,18870,19140,250471,-0.046337817638266
2023-04-25,19890,23550,19020,20580,702680,0.0752351097178682
2023-04-26,21389,23036,20490,20700,283941,0.0058309037900874
2023-04-27,20701,23127,20701,21630,480126,0.0449275362318841
2023-04-28,21060,21240,19770,20160,147542,-0.0679611650485436
2023-05-02,19650,20340,19530,20010,70848,-0.0074404761904761
2023-05-03,20518,20548,19710,19740,60307,-0.0134932533733133
2023-05-04,19470,20640,18420,18690,128622,-0.0531914893617021
2023-05-08,20820,23940,20730,21450,191554,0.1476725521669342
2023-05-09,21450,24270,20550,22380,206591,0.0433566433566434
2023-05-10,22140,22170,21360,21360,46499,-0.0455764075067024
2023-05-11,21330,21750,21150,21300,40317,-0.0028089887640448
2023-05-12,21060,21900,20760,20970,46796,-0.0154929577464788
2023-05-15,20970,21510,20100,20190,48671,-0.0371959942775393
2023-05-16,20190,21090,19440,20100,61109,-0.0044576523031203
2023-05-17,20100,20880,19860,20460,35879,0.0179104477611939
2023-05-18,20520,20790,20130,20280,22281,-0.0087976539589442
2023-05-19,20310,20430,20100,20280,18507,0.0
2023-05-22,20280,20400,19650,19920,26853,-0.0177514792899408
2023-05-23,19920,20070,19560,19620,28258,-0.0150602409638553
2023-05-24,19500,19500,18720,18990,32060,-0.0321100917431192
2023-05-25,18990,19020,18090,18150,43180,-0.0442338072669826
2023-05-26,18210,18420,17370,17460,40782,-0.0380165289256198
2023-05-30,17760,18360,17370,17670,42533,0.0120274914089346
2023-05-31,17760,17970,17520,17790,18049,0.0067911714770798
2023-06-01,17850,20550,17670,18300,112600,0.0286677908937604
2023-06-02,18480,18810,18150,18480,21818,0.0098360655737705
2023-06-05,18540,18810,18540,18570,14797,0.0048701298701299
2023-06-07,18570,18780,18060,18180,22079,-0.0210016155088853
2023-06-08,18300,18360,17550,17550,22887,-0.0346534653465346
