Date,Open,High,Low,Close,Volume,Change
2023-04-04,11050,11130,10860,11070,193362,0.0018099547511312
2023-04-05,11100,11480,10980,11140,269277,0.006323396567299
2023-04-06,11130,11130,10740,10800,171717,-0.030520646319569
2023-04-07,10710,11060,10700,10800,248680,0.0
2023-04-10,10740,10740,10410,10450,196831,-0.0324074074074074
2023-04-11,10350,10490,10220,10430,168830,-0.001913875598086
2023-04-12,10440,10480,10220,10350,160033,-0.0076701821668264
2023-04-13,10350,10700,10240,10670,220111,0.0309178743961353
2023-04-14,10730,11320,10720,11080,372027,0.0384254920337394
2023-04-17,11090,11200,10990,11090,183720,0.0009025270758122
2023-04-18,11040,11180,10750,10760,182748,-0.0297565374211
2023-04-19,10990,11240,10920,11120,297259,0.0334572490706319
2023-04-20,11180,11370,11030,11120,409320,0.0
2023-04-21,11080,11090,10760,10780,155299,-0.0305755395683453
2023-04-24,10790,10920,10500,10780,135001,0.0
2023-04-25,11320,11370,10760,10950,306979,0.015769944341373
2023-04-26,11000,11280,10800,10800,237257,-0.0136986301369863
2023-04-27,10950,11080,10560,10750,96467,-0.0046296296296296
2023-04-28,10930,11250,10750,10760,215653,0.0009302325581395
2023-05-02,10900,11240,10900,11100,175501,0.0315985130111524
2023-05-03,11000,11130,10810,10810,102754,-0.026126126126126
2023-05-04,11000,11000,10560,10580,134630,-0.0212765957446808
2023-05-08,10600,10770,10540,10630,98073,0.0047258979206048
2023-05-09,10560,10690,10400,10470,84221,-0.0150517403574788
2023-05-10,10470,10540,10300,10300,108871,-0.0162368672397326
2023-05-11,10370,10420,9850,10180,136715,-0.0116504854368931
2023-05-12,10180,10190,9970,10060,199551,-0.011787819253438
2023-05-15,9980,10050,9920,10040,75050,-0.0019880715705765
2023-05-16,10040,10150,9850,9850,92475,-0.0189243027888446
2023-05-17,9860,10210,9800,10110,86817,0.0263959390862944
2023-05-18,10170,10380,10090,10230,86439,0.0118694362017803
2023-05-19,10310,10450,10180,10180,87840,-0.0048875855327468
2023-05-22,10170,10220,10030,10160,89001,-0.0019646365422396
2023-05-23,10120,10260,10070,10080,110856,-0.0078740157480314
2023-05-24,10000,10040,9930,9980,82001,-0.0099206349206348
2023-05-25,10000,10120,9870,9870,119492,-0.0110220440881763
2023-05-26,9910,10000,9800,9810,91517,-0.006079027355623
2023-05-30,9820,9980,9820,9830,101002,0.0020387359836901
2023-05-31,9830,10810,9830,9960,598771,0.0132248219735504
2023-06-01,10010,10190,9960,10070,99916,0.0110441767068272
2023-06-02,10070,10110,9950,10010,71524,-0.0059582919563058
2023-06-05,10020,11570,10020,11050,2095888,0.1038961038961039
2023-06-07,11380,11400,10810,10820,649363,-0.020814479638009
2023-06-08,10900,11170,10660,10770,318999,-0.0046210720887245
2023-06-09,10800,11110,10730,10910,370005,0.0129990714948933
2023-06-12,11100,11410,11000,11220,529334,0.0284142988084326
2023-06-13,11200,11220,10920,11090,243054,-0.0115864527629233
2023-06-14,11180,11180,10550,10780,256889,-0.0279531109107303
2023-06-15,10830,10890,10610,10740,100648,-0.0037105751391465
2023-06-16,10740,10930,10660,10740,113771,0.0
2023-06-19,10950,11200,10810,11140,307036,0.0372439478584729
2023-06-20,11150,11350,10970,11070,374884,-0.0062836624775582
2023-06-21,11100,11150,10830,10940,174300,-0.011743450767841
2023-06-22,10880,11090,10840,10900,120272,-0.0036563071297989
2023-06-23,10900,10950,10570,10640,131425,-0.0238532110091742
2023-06-26,10600,10630,10150,10280,138299,-0.0338345864661654
2023-06-27,10330,10420,10200,10230,80146,-0.0048638132295719
2023-06-28,10340,10400,10200,10200,80010,-0.002932551319648
2023-06-29,10250,10350,10030,10060,80846,-0.0137254901960783
2023-06-30,10000,10200,10000,10120,71363,0.0059642147117295
2023-07-03,10120,10320,10120,10220,68714,0.0098814229249011
2023-07-04,10200,10280,10000,10030,111073,-0.0185909980430528
2023-07-05,10060,10140,9990,10020,86535,-0.0009970089730807
2023-07-06,10050,10090,9820,9960,141251,-0.0059880239520958
2023-07-07,9800,9910,9800,9820,75302,-0.0140562248995983
2023-07-10,9810,9880,9500,9590,103759,-0.0234215885947046
2023-07-11,9530,9730,9530,9720,57984,0.0135557872784151
2023-07-12,9770,9770,9540,9590,83673,-0.0133744855967078
2023-07-13,9670,10850,9600,10850,885532,0.1313868613138686
2023-07-14,10850,10850,10220,10330,263752,-0.0479262672811059
2023-07-17,10330,10550,10150,10510,179689,0.0174249757986446
2023-07-18,10400,10490,10110,10110,111377,-0.0380589914367269
2023-07-19,10020,10140,9860,9920,159733,-0.0187932739861522
2023-07-20,9830,9980,9820,9850,75224,-0.0070564516129032
2023-07-21,9800,9920,9680,9760,96035,-0.0091370558375634
2023-07-24,9760,9770,9150,9290,225965,-0.0481557377049179
2023-07-25,9190,9690,8920,9200,207788,-0.0096878363832078
2023-07-26,9050,9200,8300,8490,367909,-0.0771739130434783
2023-07-27,8290,8680,8290,8540,163737,0.0058892815076561
2023-07-28,8400,8910,8400,8900,123892,0.0421545667447307
2023-07-31,8900,9050,8710,9030,174169,0.0146067415730337
2023-08-01,9100,9290,9060,9220,123672,0.0210409745293467
2023-08-02,9200,9330,8940,9040,118822,-0.0195227765726681
2023-08-03,8840,9020,8820,8850,106474,-0.0210176991150442
2023-08-04,8760,8960,8650,8820,58329,-0.0033898305084745
2023-08-07,8790,9000,8610,8770,77512,-0.0056689342403628
2023-08-08,8720,8870,8530,8560,102112,-0.023945267958951
2023-08-09,8560,9050,8540,8720,149076,0.0186915887850467
2023-08-10,8600,8760,8470,8640,151690,-0.0091743119266054
2023-08-11,8750,9090,8680,8900,138833,0.0300925925925925
2023-08-14,8850,9050,8710,8710,80135,-0.0213483146067415
2023-08-16,8490,8600,8300,8320,120804,-0.044776119402985
2023-08-17,8200,8400,7830,8100,95288,-0.0264423076923077
2023-08-18,7970,8160,7850,7990,63770,-0.0135802469135802
2023-08-21,7870,8280,7870,8010,64623,0.002503128911139
