Date,Open,High,Low,Close,Volume,Change
2023-04-04,2545,2745,2545,2745,276246,0.07647058823529407
2023-04-05,2715,2945,2710,2890,339723,0.052823315118396996
2023-04-06,2855,2945,2795,2845,153740,-0.01557093425605538
2023-04-07,2845,2895,2790,2895,127032,0.017574692442882345
2023-04-10,2875,2875,2710,2730,152794,-0.05699481865284972
2023-04-11,2720,2990,2670,2845,204399,0.0421245421245422
2023-04-12,2820,2980,2805,2910,253326,0.02284710017574687
2023-04-13,2965,2995,2825,2970,149910,0.020618556701030855
2023-04-14,3000,3150,2970,3135,464772,0.05555555555555558
2023-04-17,3195,3195,2955,2955,300383,-0.0574162679425837
2023-04-18,2955,3045,2890,2930,160974,-0.008460236886632777
2023-04-19,2930,2930,2825,2840,195194,-0.030716723549488067
2023-04-20,2875,3100,2785,2930,389119,0.03169014084507049
2023-04-21,2930,2935,2795,2800,133147,-0.04436860068259385
2023-04-24,2840,2870,2700,2720,122482,-0.02857142857142858
2023-04-25,2705,2755,2655,2720,97375,0.0
2023-04-26,2720,2760,2620,2645,102352,-0.02757352941176472
2023-04-27,2670,2695,2585,2630,136752,-0.005671077504725952
2023-04-28,2660,2660,2545,2560,134256,-0.026615969581749055
2023-05-02,2585,2620,2565,2580,32967,0.0078125
2023-05-03,2535,2605,2535,2605,59600,0.009689922480620172
2023-05-04,2570,2665,2555,2640,51988,0.013435700575815668
2023-05-08,2640,2715,2615,2615,69251,-0.009469696969697017
2023-05-09,2630,2695,2615,2630,50856,0.005736137667303964
2023-05-10,2630,2655,2550,2600,60736,-0.011406844106463865
2023-05-11,2650,2675,2540,2620,69235,0.007692307692307665
2023-05-12,2595,2615,2545,2575,88646,-0.01717557251908397
2023-05-15,2600,2600,2520,2535,55237,-0.01553398058252431
2023-05-16,2530,2600,2530,2560,49079,0.009861932938856066
2023-05-17,2585,2815,2540,2715,194535,0.060546875
2023-05-18,2715,2790,2640,2650,54348,-0.023941068139963217
2023-05-19,2680,2680,2600,2640,68788,-0.0037735849056603765
2023-05-22,2610,2735,2610,2710,78416,0.026515151515151603
2023-05-23,2900,3115,2740,2760,905890,0.01845018450184499
2023-05-24,2745,2825,2700,2700,141959,-0.021739130434782594
2023-05-25,2710,2725,2645,2650,65842,-0.01851851851851849
2023-05-26,2690,2715,2635,2640,84614,-0.0037735849056603765
2023-05-30,2650,2820,2590,2780,234954,0.05303030303030298
2023-05-31,2750,3155,2750,3120,2231095,0.1223021582733812
2023-06-01,3100,3160,2995,3115,460534,-0.0016025641025640969
2023-06-02,3115,3205,3040,3040,372667,-0.024077046548956704
2023-06-05,3000,3255,2890,3080,499559,0.013157894736842035
2023-06-07,3065,3110,2950,2975,174294,-0.03409090909090906
2023-06-08,2960,3065,2920,2960,165544,-0.005042016806722671
2023-06-09,2985,3040,2945,3030,95178,0.023648648648648685
2023-06-12,3015,3065,2960,2995,111393,-0.011551155115511524
2023-06-13,2970,3150,2935,3000,191266,0.0016694490818029983
2023-06-14,2990,2990,2830,2840,224173,-0.053333333333333344
2023-06-15,2840,2865,2765,2825,112886,-0.005281690140845119
2023-06-16,2840,3670,2810,3670,3630433,0.2991150442477877
2023-06-19,3990,4225,3445,3580,6578039,-0.02452316076294281
2023-06-20,3675,3795,3520,3695,2819085,0.032122905027933024
