Date,Open,High,Low,Close,Volume,Change
2015-06-29,22016,28253,22016,25135,7825967,
2015-06-30,24253,24950,20621,23483,2059212,-0.0657250845434652
2015-07-01,24547,25537,23923,24437,1132656,0.0406251330749904
2015-07-02,24217,24767,23923,24217,659441,-0.0090027417440765
2015-07-03,24437,26639,24254,25465,1202621,0.0515340463310898
2015-07-06,24951,26676,24584,25722,955463,0.0100922835264087
2015-07-07,26491,27592,22051,23593,1283097,-0.0827696135603763
2015-07-08,23593,23850,21208,22566,552264,-0.0435298605518585
2015-07-09,21685,22346,20914,21869,507958,-0.0308871753966143
2015-07-10,22015,22529,20621,20658,483142,-0.0553751886231652
2015-07-13,20694,20768,18640,19484,608859,-0.0568302836673443
2015-07-14,19483,20841,19483,19667,525532,0.009392321905153
2015-07-15,19704,20328,19410,19741,399252,0.0037626480907102
2015-07-16,19924,21245,19557,21062,530421,0.0669165695760092
2015-07-17,21061,21061,19851,19851,304154,-0.0574969138733263
2015-07-20,19814,19924,19080,19704,217103,-0.0074051685053649
2015-07-21,19997,20107,19630,19814,153249,0.005582622817702
2015-07-22,19704,19814,19117,19117,173593,-0.0351771474714848
2015-07-23,19190,19410,18493,18750,138031,-0.0191975728409269
2015-07-24,18750,19447,18273,18787,253453,0.0019733333333333
2015-07-27,18932,18932,17905,17979,128930,-0.0430084632990898
2015-07-28,17502,17685,16548,17062,240670,-0.0510039490516713
2015-07-29,16878,16878,14457,14604,965848,-0.1440628296799906
2015-07-30,14603,14933,13612,13723,440512,-0.0603259380991508
2015-07-31,13869,15961,13649,15154,735080,0.1042774903446768
2015-08-03,14823,14970,14273,14310,200161,-0.0556948660419691
2015-08-04,14089,14640,13833,14567,204142,0.017959468902865
2015-08-05,14750,15300,14309,15007,262070,0.0302052584609047
2015-08-06,15080,15190,14603,14677,173278,-0.0219897381222096
2015-08-07,14529,14640,14163,14640,90968,-0.0025209511480547
2015-08-10,14786,14860,14383,14750,112705,0.0075136612021857
2015-08-11,14823,15630,14713,14860,310346,0.0074576271186441
2015-08-12,14713,14823,13686,14200,223464,-0.044414535666218
2015-08-13,13943,14493,13943,14310,122070,0.0077464788732395
2015-08-17,14419,14419,13906,14053,107510,-0.0179594689028651
2015-08-18,14089,14089,12988,13172,163025,-0.0626912403045613
2015-08-19,12988,13025,11557,11998,257290,-0.0891284542969936
2015-08-20,11704,12291,11594,11741,131970,-0.0214202367061177
2015-08-21,10641,11301,10641,11008,214327,-0.062430798058087
2015-08-24,10750,11337,10457,10714,150681,-0.0267078488372093
2015-08-25,10971,11594,10714,11448,187780,0.0685084935598283
2015-08-26,11411,13099,11301,12439,345284,0.0865653389238294
2015-08-27,12915,13208,12438,12842,185577,0.032398102741378
2015-08-28,13209,14199,13099,13833,244180,0.0771686653169287
2015-08-31,13722,14015,13428,13539,77355,-0.0212535241813055
2015-09-01,13356,13576,13099,13136,106847,-0.0297658615850505
2015-09-02,12731,12915,12548,12842,114659,-0.0223812423873325
2015-09-03,12989,13172,12659,12916,63068,0.0057623423142811
2015-09-04,13135,13135,12071,12475,76186,-0.0341436977392382
2015-09-07,12254,12731,11814,12475,79635,0.0
2015-09-08,12621,12695,11704,11888,70049,-0.0470541082164328
2015-09-09,12218,13098,12108,12952,133592,0.0895020188425301
2015-09-10,12658,13062,12144,13062,85069,0.0084928968499073
2015-09-11,12879,13062,12658,12769,61040,-0.0224314806308375
2015-09-14,12768,12952,12328,12622,66089,-0.0115122562455948
2015-09-15,12438,12805,12328,12622,63734,0.0
2015-09-16,12805,12878,12621,12732,66453,0.0087149421644747
2015-09-17,12841,13649,12585,13062,209005,0.0259189443920828
