Date,Open,High,Low,Close,Volume,Change
2019-06-18,76600,77400,74700,76500,24500,-0.0026075619295958807
2019-06-19,76400,76500,72800,74000,25030,-0.0326797385620915
2019-06-20,73300,78100,73300,75900,24955,0.025675675675675746
2019-06-21,75900,76600,72200,72200,30394,-0.0487483530961792
2019-06-24,71500,75000,71500,72800,25659,0.008310249307479145
2019-06-25,72300,74400,71700,72900,17972,0.0013736263736263687
2019-06-26,73000,73300,71600,72300,9394,-0.008230452674897082
2019-06-27,72300,74600,72300,72900,16741,0.008298755186721962
2019-06-28,72900,73500,72100,72900,6910,0.0
2019-07-01,73900,73900,69300,70700,21113,-0.03017832647462282
2019-07-02,69900,71300,69000,71000,16941,0.004243281471004279
2019-07-03,71000,71400,69600,71100,11437,0.0014084507042253502
2019-07-04,70800,71300,70500,71100,4287,0.0
2019-07-05,70600,71400,69800,70000,11726,-0.015471167369901506
2019-07-08,70400,70400,68300,68500,16873,-0.021428571428571463
2019-07-09,68500,72100,68500,71400,17847,0.04233576642335768
2019-07-10,71000,73300,70500,72500,18071,0.01540616246498594
2019-07-11,72800,72800,69600,71000,12505,-0.020689655172413834
2019-07-12,71000,78000,69900,77600,52293,0.09295774647887334
2019-07-15,77600,79800,76400,79500,29322,0.02448453608247414
2019-07-16,79300,80000,77600,79800,21733,0.0037735849056603765
2019-07-17,78700,80600,77200,79000,20208,-0.010025062656641603
2019-07-18,79000,79300,76500,77800,17969,-0.015189873417721489
2019-07-19,77200,78300,76400,77700,7933,-0.0012853470437017567
2019-07-22,77800,78500,76400,78300,6680,0.007722007722007707
2019-07-23,78200,78200,74400,76700,23730,-0.020434227330779042
2019-07-24,76300,77300,74100,74100,9638,-0.03389830508474578
2019-07-25,74000,75700,72100,73500,15371,-0.0080971659919028
2019-07-26,73400,73400,70300,71200,9245,-0.03129251700680269
2019-07-29,71200,72400,66000,72200,20363,0.014044943820224809
2019-07-30,72300,73200,69700,72300,6839,0.0013850415512466352
2019-07-31,72300,72300,70000,71100,19872,-0.016597510373444035
2019-08-01,71500,71700,67300,68900,18804,-0.030942334739803123
2019-08-02,67200,72800,67200,70500,18910,0.023222060957909907
2019-08-05,71200,71800,66500,67500,25654,-0.04255319148936165
2019-08-06,67800,68900,63000,65200,16561,-0.034074074074074034
2019-08-07,67000,68200,65900,67600,9822,0.036809815950920255
2019-08-08,68500,71200,67300,71000,16301,0.050295857988165604
2019-08-09,71600,72000,69000,71700,14265,0.009859154929577452
2019-08-12,72200,72200,69500,69900,7831,-0.025104602510460206
2019-08-13,69900,69900,68200,68500,9641,-0.02002861230329045
2019-08-14,68900,69800,68100,68900,8241,0.005839416058394109
2019-08-16,68700,71700,67000,71200,8992,0.03338171262699574
2019-08-19,70800,71200,69400,69700,8005,-0.021067415730337102
2019-08-20,69200,71200,68100,68400,6873,-0.0186513629842181
2019-08-21,68400,69600,67400,68200,5589,-0.0029239766081871066
2019-08-22,70200,70200,66700,67400,13498,-0.011730205278592365
2019-08-23,67200,68000,66000,66900,8737,-0.007418397626112738
2019-08-26,66000,66800,64800,64800,7567,-0.03139013452914796
2019-08-27,65500,66700,64000,64100,9473,-0.010802469135802517
2019-08-28,65100,65600,61600,63900,18222,-0.0031201248049922414
2019-08-29,64200,64300,62500,63000,5201,-0.014084507042253502
2019-08-30,63500,67400,63400,66600,13607,0.05714285714285716
2019-09-02,66200,67400,65000,66900,8959,0.0045045045045044585
2019-09-03,66900,69300,65800,69000,11483,0.03139013452914807
2019-09-04,68900,70500,68000,69900,8579,0.01304347826086949
2019-09-05,69400,71000,68100,69900,7095,0.0
2019-09-06,69400,70000,68000,69200,7975,-0.010014306151645225
2019-09-09,69000,69000,66300,67300,8694,-0.027456647398843903
2019-09-10,68300,68300,65600,67500,41651,0.002971768202080227
2019-09-11,67600,67600,63700,64500,35319,-0.0444444444444444
2019-09-16,64300,65400,63400,64600,11583,0.0015503875968991832
2019-09-17,65000,66000,64500,65800,7413,0.018575851393188847
2019-09-18,65800,67800,65800,66900,7793,0.016717325227963542
