Date,Open,High,Low,Close,Volume,Change
2019-06-18,39800,39800,35875,38655,139688,-0.028768844221105483
2019-06-19,38410,39800,37625,39800,71817,0.02962100633811926
2019-06-20,39740,41315,39260,41010,91697,0.030402010050251338
2019-06-21,41070,41735,40345,41070,91425,0.001463057790782818
2019-06-24,41070,41675,39320,41130,124437,0.0014609203798392478
2019-06-25,41315,42155,39260,40345,112203,-0.019085825431558456
2019-06-26,40345,40950,37145,38655,133263,-0.041888709877308195
2019-06-27,38655,39260,36845,37930,114480,-0.018755659035053718
2019-06-28,38655,38655,36420,36905,73495,-0.027023464276298426
2019-07-01,36905,38410,36905,37625,97346,0.019509551551280424
2019-07-02,36965,37745,36300,37685,63543,0.001594684385382017
2019-07-03,37505,37990,36600,37865,66620,0.004776436247843963
2019-07-04,37265,38350,36845,37745,131937,-0.003169153571900174
2019-07-05,36540,37205,35635,37205,116677,-0.014306530666313377
2019-07-08,36480,36480,26090,26090,547581,-0.29875016798817366
2019-07-09,20350,27145,18265,27145,4306592,0.040436949022613966
2019-07-10,27510,28960,24820,25485,1294474,-0.06115306686314237
2019-07-11,21225,24940,17845,18180,1886284,-0.28663919952913475
2019-07-12,17515,20140,16155,17090,1317943,-0.05995599559956
2019-07-15,17180,17210,14885,15275,1513561,-0.10620245757753077
2019-07-16,14915,15670,12405,13345,1673931,-0.12635024549918172
2019-07-17,13890,16485,13130,15095,4213135,0.1311352566504309
2019-07-18,15065,19200,14490,17090,5194078,0.1321629678701557
2019-07-19,15820,17815,15580,15820,1245357,-0.07431246342890574
2019-07-22,15670,16395,15215,15400,524704,-0.026548672566371723
2019-07-23,15310,15400,13345,13710,1219170,-0.1097402597402597
2019-07-24,13650,15335,13255,14885,1294373,0.08570386579139311
2019-07-25,15975,16575,14855,14855,711451,-0.0020154517971111563
2019-07-26,14915,15760,14040,14220,463689,-0.04274654998317062
2019-07-29,13980,14465,12740,12740,240445,-0.1040787623066104
2019-07-30,12985,15155,12710,14550,872643,0.14207221350078503
2019-07-31,14730,15940,14100,14975,350501,0.029209621993127044
2019-08-01,15760,15760,13890,14220,261535,-0.050417362270450794
2019-08-02,13890,15520,13465,13890,306311,-0.02320675105485237
2019-08-05,13890,13890,13890,13890,0,0.0
2019-08-06,12075,13555,10505,11595,293750,-0.16522678185745143
2019-08-07,11625,13165,11625,12680,250952,0.09357481673134971
2019-08-08,12405,12865,12105,12345,180745,-0.026419558359621398
2019-08-09,12620,13735,12560,13195,273584,0.06885378695828281
2019-08-12,13225,15035,13225,13920,356583,0.05494505494505497
2019-08-13,14065,14825,13435,13590,177913,-0.023706896551724088
2019-08-14,13710,13860,12865,13070,108838,-0.038263428991905823
2019-08-16,12865,14945,12830,14490,582149,0.10864575363427686
2019-08-19,14550,17270,14550,16275,567810,0.12318840579710155
2019-08-20,16485,18205,16275,16970,1169966,0.04270353302611363
2019-08-21,16970,17270,15700,16730,422894,-0.01414260459634653
2019-08-22,17060,18720,16730,18145,762888,0.08457860131500294
2019-08-23,18630,18995,17210,17635,440817,-0.02810691650592445
2019-08-26,16970,17420,15795,16275,226492,-0.0771193648993479
2019-08-27,16730,16970,12770,14005,970639,-0.13947772657450075
2019-08-28,14100,14855,13710,14400,382274,0.028204212781149485
2019-08-29,14795,14885,14100,14310,151720,-0.006249999999999978
2019-08-30,14130,14550,13830,14130,168072,-0.012578616352201255
2019-09-02,14130,14465,13590,13890,116530,-0.01698513800424628
2019-09-03,13890,14130,13465,13675,127938,-0.015478761699064036
2019-09-04,13675,13770,13405,13590,75329,-0.006215722120658129
2019-09-05,13830,14310,13590,14005,124744,0.030537159676232495
2019-09-06,14040,14490,13130,13255,192153,-0.05355230274901823
2019-09-09,13675,13980,13315,13980,99143,0.05469634100339493
2019-09-10,14065,14190,13615,13710,54410,-0.01931330472102999
2019-09-11,13615,13830,13435,13770,45200,0.004376367614879584
2019-09-16,13770,14730,13710,14220,73426,0.03267973856209161
2019-09-17,13980,14100,13590,13890,77211,-0.02320675105485237
2019-09-18,13770,13890,13465,13675,68025,-0.015478761699064036
2019-09-19,13650,13735,13375,13530,82570,-0.010603290676416854
2019-09-20,13555,13555,12260,13010,139088,-0.03843311160384333
2019-09-23,13105,13105,12530,12985,77843,-0.0019215987701768356
2019-09-24,12985,13465,12590,13195,168401,0.016172506738544534
2019-09-25,13130,13195,12075,12225,154407,-0.0735126942023494
2019-09-26,11955,13045,11740,12320,136949,0.007770961145194377
2019-09-27,12345,12465,11775,12165,91929,-0.012581168831168776
2019-09-30,12260,12260,11385,12135,103129,-0.002466091245376112
2019-10-01,11835,12200,11625,12075,72281,-0.0049443757725586845
2019-10-02,11895,14040,11715,12590,357238,0.04265010351966869
2019-10-04,12680,15065,12560,14130,1102460,0.12231930103256561
2019-10-07,13920,15490,13650,14005,916073,-0.008846426043878308
2019-10-08,14005,15065,13495,14765,502326,0.054266333452338555
2019-10-10,14400,14705,12925,13195,347773,-0.1063325431764307
2019-10-11,13195,14250,12260,12800,456474,-0.029935581659719546
2019-10-14,12800,13345,12560,12620,125231,-0.014062499999999978
2019-10-15,12440,13405,11835,12465,247345,-0.01228209191759111
2019-10-16,12560,12620,12225,12405,108951,-0.004813477737665495
2019-10-17,12500,12500,11985,12015,88353,-0.03143893591293834
2019-10-18,14400,15065,12950,12950,1728091,0.0778193924261339
2019-10-21,13195,13195,12465,12590,206481,-0.027799227799227832
2019-10-22,12740,12800,11895,12075,258734,-0.04090548054011123
2019-10-23,11865,12045,11470,11505,197947,-0.047204968944099424
2019-10-24,11530,11530,10265,10840,348634,-0.05780095610604086
2019-10-25,10685,11385,10625,10745,128122,-0.008763837638376404
2019-10-28,10685,10780,9960,10055,189597,-0.06421591437878083
2019-10-29,10080,10720,9900,10265,151252,0.0208851317752361
2019-10-30,10080,10175,9390,9750,172050,-0.050170482221139845
2019-10-31,9660,9750,9355,9415,95248,-0.03435897435897439
2019-11-01,9570,10865,9265,10295,477177,0.0934678704195433
2019-11-04,10175,10355,9810,10115,94184,-0.01748421563865954
2019-11-05,9995,10020,9630,9750,84918,-0.036085022244191745
2019-11-06,9750,10200,9630,10200,92727,0.04615384615384621
2019-11-07,10265,10625,10115,10625,77625,0.04166666666666674
2019-11-08,10685,11170,10660,10900,110694,0.025882352941176467
2019-11-11,10900,10900,10445,10600,69134,-0.02752293577981646
2019-11-12,10660,11680,10660,11505,313680,0.08537735849056594
2019-11-13,11505,11625,11020,11170,110881,-0.029117774880486724
2019-11-14,11140,11140,10265,10625,98447,-0.04879140555058192
2019-11-15,10660,10720,10385,10685,43444,0.005647058823529338
2019-11-18,10805,10805,10325,10325,78277,-0.03369209171736076
2019-11-19,11170,12260,10865,11050,612922,0.07021791767554486
2019-11-20,10960,11110,10565,10565,86732,-0.04389140271493208
2019-11-21,10505,11110,10235,10415,75477,-0.014197823000473231
2019-11-22,10385,10780,10235,10445,40142,0.002880460873739832
2019-11-25,10565,10660,10265,10625,53724,0.017233125897558654
2019-11-26,10625,10865,10505,10685,45309,0.005647058823529338
2019-11-27,10685,10900,10600,10900,61669,0.020121665886757123
2019-11-28,10805,10960,10355,10385,55755,-0.047247706422018365
2019-11-29,10325,10565,9995,9995,56835,-0.03755416466056816
2019-12-02,10115,10265,9720,9960,44123,-0.0035017508754376925
2019-12-03,9930,10115,9720,9900,35218,-0.0060240963855421326
2019-12-04,9780,10080,9630,9630,49632,-0.027272727272727226
2019-12-05,9535,9780,9355,9660,40270,0.0031152647975076775
2019-12-06,9630,9840,9570,9660,25696,0.0
2019-12-09,9475,10200,9330,10080,70398,0.04347826086956519
2019-12-10,9995,10080,9600,9720,36761,-0.0357142857142857
2019-12-11,9720,9960,9600,9660,31923,-0.006172839506172867
2019-12-12,9660,9995,9600,9750,53881,0.009316770186335477
2019-12-13,9750,10200,9630,10200,76920,0.04615384615384621
2019-12-16,10355,10600,10080,10295,33425,0.009313725490196045
2019-12-17,10235,11080,10235,10475,121605,0.01748421563865965
2019-12-18,10475,10685,10235,10385,37548,-0.008591885441527447
2019-12-19,10445,10685,10200,10685,58424,0.028887818969667745
2019-12-20,10685,10685,10265,10265,72087,-0.03930744033692091
2019-12-23,10080,10200,9780,9840,56015,-0.04140282513395033
2019-12-24,9720,11110,9720,10295,400881,0.046239837398373895
2019-12-26,10385,10900,10385,10565,114606,0.026226323457989364
2019-12-27,10600,10745,10385,10415,53284,-0.014197823000473231
2019-12-30,10415,10625,9840,10140,120794,-0.026404224675948162
2020-01-02,10140,10385,10080,10355,28124,0.021203155818540376
2020-01-03,10355,11895,10265,11020,464611,0.06422018348623859
2020-01-06,10900,11655,10660,10745,307851,-0.02495462794918335
2020-01-07,10565,10840,10325,10745,142227,0.0
2020-01-08,11350,12345,11170,11925,1437482,0.10981852024197303
2020-01-09,11230,12680,10840,12105,473592,0.015094339622641506
2020-01-10,12105,12950,12075,12405,293124,0.024783147459727317
2020-01-13,12285,12500,11895,12465,166738,0.0048367593712213
2020-01-14,12465,12800,11865,12075,279460,-0.03128760529482555
2020-01-15,12200,12680,11895,12650,160254,0.04761904761904767
2020-01-16,12710,12770,11445,11470,426813,-0.09328063241106721
2020-01-17,11170,11985,11110,11895,176546,0.037053182214472624
2020-01-20,11715,12015,11565,11680,88118,-0.018074821353509907
2020-01-21,11715,11955,11445,11445,70842,-0.020119863013698613
2020-01-22,11265,11625,11265,11445,57276,0.0
2020-01-23,11350,11505,10265,11290,158172,-0.013543031891655732
2020-01-28,10930,11050,9145,9180,514574,-0.1868910540301152
2020-01-29,9180,9600,8695,9450,232970,0.02941176470588225
2020-01-30,9355,9720,9265,9475,64983,0.002645502645502562
2020-01-31,9415,9570,8455,8695,139128,-0.08232189973614779
2020-02-03,8635,9085,8120,8845,123729,0.017251293847038607
2020-02-04,9085,9240,8270,9240,222432,0.04465799886941779
2020-02-05,9240,10565,6490,6490,1117505,-0.29761904761904767
2020-02-06,6975,7875,6940,7455,975147,0.14869029275808932
2020-02-07,7305,9000,6940,8270,1301104,0.10932260228034885
2020-02-10,9660,10355,9240,9535,1615657,0.15296251511487302
2020-02-11,9450,9660,8935,9600,310373,0.0068169900367067715
2020-02-12,9300,10355,8875,9995,575060,0.04114583333333344
2020-02-13,10020,11140,9630,10565,745884,0.057028514257128515
2020-02-14,10930,11470,10175,10865,556851,0.028395646000946462
2020-02-17,10900,10960,9780,9840,216016,-0.09433962264150941
2020-02-18,10055,10355,8755,9265,219152,-0.05843495934959353
2020-02-19,9300,10080,8755,9390,197289,0.013491635186184459
2020-02-20,9355,9355,8815,8845,90571,-0.05804046858359957
2020-02-21,8665,8845,8030,8210,113064,-0.07179197286602601
2020-02-24,8210,8210,7395,7635,137609,-0.07003654080389765
2020-02-25,7695,8210,7635,8030,83203,0.05173542894564509
2020-02-26,7850,8030,7635,7910,41565,-0.01494396014943955
2020-02-27,7910,7970,7395,7755,61523,-0.01959544879898867
2020-02-28,7365,7605,7125,7245,78903,-0.06576402321083175
2020-03-02,7210,7395,6940,7210,50999,-0.004830917874396157
2020-03-03,7330,7575,7330,7485,27191,0.038141470180305115
2020-03-04,7425,8150,7425,8090,66337,0.08082832331329315
2020-03-05,8030,8480,7910,8090,44808,0.0
2020-03-06,7910,8030,7695,7790,19877,-0.037082818294190356
2020-03-09,7545,7755,7125,7330,38154,-0.05905006418485237
2020-03-10,7305,7425,7000,7425,30296,0.012960436562073685
2020-03-11,7425,7455,6915,7065,47036,-0.048484848484848464
2020-03-12,7125,7125,6430,6700,41958,-0.05166312809624907
2020-03-13,5140,6820,5140,6820,84989,0.017910447761193993
2020-03-16,7210,7210,6370,6730,45081,-0.01319648093841641
2020-03-17,5775,6670,5775,6610,41907,-0.017830609212481474
2020-03-18,6610,6670,6035,6035,35473,-0.08698940998487137
2020-03-19,6035,6215,4825,5280,76503,-0.12510356255178123
2020-03-20,5550,5560,5185,5500,33618,0.04166666666666674
2020-03-23,5530,5530,4980,5035,35042,-0.08454545454545459
2020-03-24,5040,5230,4825,5085,49640,0.009930486593842991
2020-03-25,5020,5480,5020,5465,52478,0.07472959685349068
2020-03-26,5470,6430,5430,6215,59892,0.13723696248856365
2020-03-27,6275,6580,5810,6130,50781,-0.013676588897827857
2020-03-30,6130,6190,5810,6155,28413,0.004078303425774976
2020-03-31,6275,7125,6275,6730,74488,0.09341998375304628
2020-04-01,6880,7030,6335,6640,39902,-0.013372956909361022
2020-04-02,6640,7245,6490,6820,36784,0.027108433734939652
2020-04-03,7245,7245,6640,6940,41197,0.017595307917888547
2020-04-06,6975,7065,6730,7030,45464,0.012968299711815456
2020-04-07,7065,7365,7000,7330,53408,0.04267425320056906
2020-04-08,7330,7425,6730,7425,29550,0.012960436562073685
2020-04-09,7425,7575,6940,7210,48299,-0.028956228956228958
2020-04-10,7395,7395,6820,7090,32777,-0.01664355062413314
2020-04-13,7030,7150,6640,6760,44071,-0.046544428772919644
2020-04-14,6940,7850,6760,7305,95392,0.08062130177514804
2020-04-16,7245,7635,7030,7515,52724,0.028747433264887157
2020-04-17,7575,7790,7425,7695,36238,0.0239520958083832
2020-04-20,7755,8240,7575,7935,138329,0.031189083820662766
2020-04-21,8000,9180,7545,7875,785150,-0.007561436672967825
2020-04-22,7605,8150,7305,7425,111071,-0.05714285714285716
2020-04-23,7485,7665,7125,7305,42278,-0.016161616161616155
2020-04-24,7425,7850,7330,7695,114256,0.05338809034907599
2020-04-27,7730,8060,7575,7695,118926,0.0
2020-04-28,7755,8965,7575,8695,1102180,0.1299545159194282
2020-04-29,8600,9450,8120,8180,716126,-0.05922944220816562
2020-05-04,7395,7850,6975,7515,211444,-0.08129584352078245
2020-05-06,7485,7790,7245,7330,109751,-0.02461743180306053
2020-05-07,7330,7545,7305,7365,67526,0.004774897680764001
2020-05-08,7395,7545,7330,7425,38381,0.008146639511201537
2020-05-11,7455,7485,7185,7185,80731,-0.03232323232323231
2020-05-12,7185,7270,6880,7030,62580,-0.021572720946416157
2020-05-13,7030,7185,6915,6940,56243,-0.012802275960170695
2020-05-14,6940,6975,6670,6760,63915,-0.025936599423631135
2020-05-15,6795,6820,6335,6430,67308,-0.04881656804733725
2020-05-18,6370,6520,6095,6520,54633,0.013996889580093264
2020-05-19,6640,6700,6215,6520,43703,0.0
2020-05-20,6550,6940,6490,6940,75417,0.0644171779141105
2020-05-21,7245,7245,6880,6975,47519,0.005043227665705974
2020-05-22,7065,7090,6550,6760,50098,-0.03082437275985661
2020-05-25,6795,6915,6580,6670,33001,-0.013313609467455634
2020-05-26,6670,6855,6640,6820,34746,0.022488755622188883
2020-05-27,6915,6940,6730,6820,27069,0.0
2020-05-28,6855,7515,6730,6760,301467,-0.008797653958944274
2020-05-29,6760,6855,6550,6640,74715,-0.017751479289940808
2020-06-01,6700,6820,6580,6820,27934,0.027108433734939652
2020-06-02,6855,7330,6760,7210,95432,0.05718475073313778
