Date,Open,High,Low,Close,Volume,Change
2015-06-16,2179,2227,2168,2179,2116259,
2015-06-17,2184,2195,2168,2190,371571,0.0050481872418539
2015-06-18,2190,2216,2173,2212,438540,0.0100456621004565
2015-06-19,2206,2222,2190,2222,219428,0.0045207956600361
2015-06-22,2222,2233,2206,2222,69600,0.0
2015-06-23,2243,2243,2211,2222,46242,0.0
2015-06-24,2222,2227,2211,2217,59689,-0.0022502250225022
2015-06-25,2227,2227,2200,2212,24247,-0.002255299954894
2015-06-26,2211,2243,2211,2244,47949,0.0144665461121158
2015-06-29,2243,2249,2233,2239,73335,-0.0022281639928698
2015-06-30,2249,2394,2233,2303,90769,0.0285841893702545
2015-07-01,2281,2341,2281,2314,39440,0.0047763786365611
2015-07-02,2287,2330,2281,2303,18861,-0.0047536732929991
2015-07-03,2303,2319,2270,2309,25282,0.002605297438124
2015-07-06,2297,2297,2270,2282,62931,-0.0116933737548722
2015-07-07,2303,2303,2281,2287,22981,0.0021910604732691
2015-07-08,2292,2292,2270,2292,9662,0.0021862702229995
2015-07-09,2292,2297,2270,2282,22959,-0.0043630017452006
2015-07-10,2292,2314,2281,2309,31378,0.0118317265556529
2015-07-13,2297,2324,2292,2325,28913,0.0069294066695539
2015-07-14,2319,2330,2314,2314,22951,-0.0047311827956989
2015-07-15,2314,2314,2308,2309,2908,-0.0021607605877268
2015-07-16,2308,2314,2276,2298,6025,-0.0047639670853183
2015-07-17,2297,2314,2281,2303,9307,0.0021758050478677
2015-07-20,2292,2319,2292,2319,17342,0.0069474598349978
2015-07-21,2319,2346,2319,2336,22709,0.0073307460112117
2015-07-22,2351,2368,2341,2357,26572,0.0089897260273972
2015-07-23,2368,2373,2330,2357,35098,0.0
2015-07-24,2357,2394,2351,2379,13853,0.0093338990241833
2015-07-27,2373,2378,2324,2352,26126,-0.0113493064312736
2015-07-28,2346,2378,2335,2368,22895,0.0068027210884353
2015-07-29,2373,2378,2357,2363,11620,-0.0021114864864865
2015-07-30,2362,2394,2351,2395,13412,0.0135421074904782
2015-07-31,2421,2421,2373,2417,11978,0.0091858037578287
2015-08-03,2416,2427,2416,2427,15116,0.0041373603640877
2015-08-04,2416,2427,2416,2417,5419,-0.0041203131437989
2015-08-05,2394,2427,2394,2427,8226,0.0041373603640877
2015-08-06,2427,2470,2421,2444,42516,0.007004532344458
2015-08-07,2470,2470,2427,2460,12615,0.0065466448445172
2015-08-10,2470,2470,2427,2427,9712,-0.0134146341463414
2015-08-11,2427,2459,2427,2454,2078,0.011124845488257
2015-08-12,2416,2427,2405,2427,21750,-0.011002444987775
2015-08-13,2411,2427,2411,2427,7728,0.0
2015-08-17,2421,2421,2373,2400,9240,-0.011124845488257
2015-08-18,2378,2416,2373,2395,10760,-0.0020833333333333
2015-08-19,2373,2394,2362,2379,17983,-0.0066805845511481
2015-08-20,2378,2389,2357,2390,11251,0.0046237915090374
2015-08-21,2351,2373,2330,2341,63732,-0.0205020920502092
2015-08-24,2341,2341,2314,2319,11914,-0.0093976932934642
2015-08-25,2319,2357,2319,2346,15409,0.0116429495472185
2015-08-26,2357,2368,2335,2336,4126,-0.0042625745950554
2015-08-27,2378,2421,2341,2341,18418,0.002140410958904
2015-08-28,2341,2357,2335,2357,4451,0.0068346860316104
2015-08-31,2351,2357,2335,2336,21283,-0.0089096308867203
2015-09-01,2335,2335,2281,2314,55551,-0.009417808219178
2015-09-02,2314,2330,2287,2309,16403,-0.0021607605877268
2015-09-03,2292,2324,2292,2319,18132,0.0043308791684713
2015-09-04,2330,2330,2292,2298,28405,-0.0090556274256144
2015-09-07,2303,2314,2292,2314,8900,0.0069625761531766
2015-09-08,2314,2314,2308,2314,4303,0.0
2015-09-09,2287,2314,2287,2314,2680,0.0
2015-09-10,2308,2319,2287,2309,10428,-0.0021607605877268
2015-09-11,2308,2308,2297,2303,1330,-0.0025985275010826
2015-09-14,2297,2319,2276,2319,7190,0.0069474598349978
2015-09-15,2270,2303,2260,2303,4293,-0.006899525657611
2015-09-16,2276,2287,2265,2271,14910,-0.0138949196699956
2015-09-17,2297,2297,2265,2266,11892,-0.0022016732716865
2015-09-18,2276,2297,2260,2271,15958,0.0022065313327448
2015-09-21,2265,2297,2260,2266,36697,-0.0022016732716865
2015-09-22,2292,2292,2233,2287,11722,0.0092674315975287
2015-09-23,2265,2276,2243,2276,4032,-0.004809794490599
2015-09-24,2254,2270,2254,2271,3601,-0.0021968365553602
2015-09-25,2254,2276,2254,2276,6734,0.0022016732716865
2015-09-30,2281,2281,2243,2266,19483,-0.0043936731107205
2015-10-01,2265,2276,2265,2276,845,0.0044130626654899
2015-10-02,2265,2276,2265,2266,13492,-0.0043936731107205
2015-10-05,2265,2287,2265,2287,832,0.0092674315975287
2015-10-06,2270,2297,2270,2292,3450,0.0021862702229995
2015-10-07,2270,2292,2265,2287,20949,-0.0021815008726003
2015-10-08,2287,2287,2287,2287,19,0.0
2015-10-12,2287,2287,2270,2271,724,-0.0069960647135985
2015-10-13,2270,2276,2270,2276,4452,0.0022016732716865
2015-10-14,2254,2276,2254,2276,4518,0.0
2015-10-15,2265,2281,2265,2282,11513,0.0026362038664322
2015-10-16,2270,2287,2265,2287,2902,0.0021910604732691
2015-10-19,2287,2292,2287,2292,251,0.0021862702229995
2015-10-20,2265,2281,2265,2282,843,-0.0043630017452006
2015-10-21,2265,2276,2260,2276,4409,-0.0026292725679228
2015-10-22,2265,2276,2265,2266,4344,-0.0043936731107205
2015-10-23,2276,2276,2276,2276,4,0.0044130626654899
2015-10-26,2270,2270,2260,2266,9845,-0.0043936731107205
2015-10-27,2260,2265,2260,2266,882,0.0
2015-10-28,2265,2265,2265,2266,7619,0.0
2015-10-29,2265,2281,2265,2271,29342,0.0022065313327448
2015-10-30,2249,2314,2222,2266,2330,-0.0022016732716865
2015-11-02,2260,2260,2260,2260,3090,-0.0026478375992938
2015-11-03,2260,2260,2238,2239,2114,-0.00929203539823
2015-11-04,2254,2254,2222,2228,3342,-0.0049129075480125
2015-11-05,2222,2233,2211,2233,13411,0.0022441651705564
2015-11-06,2211,2233,2190,2206,32527,-0.0120913569189431
2015-11-09,2206,2216,2200,2217,6161,0.0049864007252946
2015-11-10,2216,2216,2173,2185,9364,-0.0144339197113215
2015-11-11,2184,2200,2184,2190,8112,0.0022883295194509
2015-11-12,2184,2200,2184,2201,9320,0.0050228310502282
2015-11-13,2200,2200,2190,2195,26320,-0.0027260336210813
2015-11-16,2168,2190,2163,2168,19054,-0.0123006833712984
2015-11-17,2168,2179,2168,2179,9180,0.0050738007380073
2015-11-18,2179,2184,2168,2185,513,0.0027535566773748
2015-11-19,2168,2168,2163,2163,2565,-0.0100686498855835
2015-11-20,2168,2168,2163,2163,4600,0.0
2015-11-23,2163,2168,2157,2168,5217,0.0023116042533517
2015-11-24,2168,2168,2163,2168,2050,0.0
2015-11-25,2168,2168,2163,2168,4662,0.0
2015-11-26,2157,2173,2157,2163,12120,-0.0023062730627306
2015-11-27,2163,2168,2163,2163,1224,0.0
2015-11-30,2163,2168,2157,2168,8180,0.0023116042533517
2015-12-01,2163,2168,2157,2168,4691,0.0
2015-12-02,2168,2168,2157,2163,21239,-0.0023062730627306
2015-12-03,2157,2163,2157,2158,3297,-0.0023116042533518
2015-12-04,2157,2157,2157,2158,2000,0.0
2015-12-07,2157,2179,2157,2179,2168,0.0097312326227989
2015-12-08,2163,2179,2157,2158,2438,-0.0096374483708122
2015-12-09,2157,2157,2157,2158,5176,0.0
2015-12-10,2157,2157,2157,2158,2897,0.0
2015-12-11,2157,2157,2157,2158,1489,0.0
2015-12-14,2157,2157,2152,2152,19129,-0.0027803521779425
2015-12-15,2157,2157,2157,2158,0,0.0027881040892192
2015-12-16,2152,2157,2152,2158,469,0.0
2015-12-17,2152,2152,2152,2152,164,-0.0027803521779425
2015-12-18,2152,2157,2152,2152,3100,0.0
2015-12-21,2152,2163,2152,2152,6006,0.0
2015-12-22,2157,2163,2152,2158,4314,0.0027881040892192
2015-12-23,2146,2157,2146,2158,665,0.0
2015-12-24,2157,2157,2152,2158,3872,0.0
2015-12-28,2152,2163,2152,2158,2351,0.0
2015-12-29,2157,2157,2157,2158,0,0.0
2015-12-30,2157,2157,2146,2158,22,0.0
2016-01-04,2184,2184,2179,2179,6009,0.0097312326227989
2016-01-05,2157,2157,2146,2158,25780,-0.0096374483708122
2016-01-06,2168,2168,2157,2158,4000,0.0
2016-01-07,2152,2152,2152,2152,19245,-0.0027803521779425
2016-01-08,2152,2173,2152,2152,3374,0.0
2016-01-11,2163,2163,2152,2163,4539,0.0051115241635688
2016-01-12,2163,2163,2163,2163,290,0.0
2016-01-13,2163,2168,2163,2168,23,0.0023116042533517
2016-01-14,2163,2163,2152,2152,2005,-0.007380073800738
2016-01-15,2163,2184,2163,2185,108,0.0153345724907063
2016-01-18,2146,2146,2146,2147,203,-0.017391304347826
2016-01-19,2146,2146,2146,2147,353,0.0
2016-01-20,2146,2163,2141,2163,1704,0.0074522589659991
2016-01-21,2157,2157,2157,2158,519,-0.0023116042533518
2016-01-22,2152,2168,2152,2158,2141,0.0
2016-01-25,2152,2152,2136,2136,2714,-0.010194624652456
2016-01-26,2152,2152,2152,2152,9,0.0074906367041198
2016-01-27,2146,2157,2141,2152,1377,0.0
2016-01-28,2152,2157,2152,2158,715,0.0027881040892192
2016-01-29,2168,2168,2168,2168,1100,0.0046339202965708
2016-02-01,2168,2168,2168,2168,0,0.0
2016-02-02,2157,2157,2146,2152,1286,-0.007380073800738
2016-02-03,2157,2157,2157,2158,600,0.0027881040892192
2016-02-04,2146,2157,2146,2158,7539,0.0
2016-02-05,2146,2152,2141,2141,712,-0.0078776645041704
2016-02-11,2146,2146,2146,2147,336,0.0028024287716019
2016-02-12,2157,2184,2152,2152,5421,0.0023288309268747
2016-02-15,2157,2157,2157,2158,830,0.0027881040892192
2016-02-16,2157,2157,2152,2158,2179,0.0
2016-02-17,2152,2152,2146,2147,437,-0.005097312326228
2016-02-18,2152,2157,2152,2158,450,0.0051234280391243
2016-02-19,2152,2157,2146,2158,6,0.0
2016-02-22,2146,2157,2146,2158,2702,0.0
2016-02-23,2146,2146,2146,2147,14,-0.005097312326228
2016-02-24,2146,2146,2146,2147,0,0.0
2016-02-25,2146,2157,2141,2158,488,0.0051234280391243
2016-02-26,2136,2157,2136,2158,504,0.0
2016-02-29,2136,2157,2136,2147,494,-0.005097312326228
2016-03-02,2146,2157,2146,2158,2211,0.0051234280391243
2016-03-03,2146,2146,2130,2136,657,-0.010194624652456
2016-03-04,2146,2157,2114,2120,125164,-0.0074906367041198
2016-03-07,2146,2146,2114,2136,6228,0.0075471698113207
2016-03-08,2136,2141,2119,2141,1711,0.0023408239700375
2016-03-09,2141,2141,2141,2141,3,0.0
2016-03-10,2141,2141,2119,2136,3775,-0.0023353573096683
2016-03-11,2136,2136,2125,2131,2308,-0.0023408239700374
2016-03-14,2146,2146,2119,2120,24,-0.0051618958235569
2016-03-15,2146,2146,2119,2131,6297,0.0051886792452831
2016-03-16,2130,2130,2114,2120,1016,-0.0051618958235569
2016-03-17,2119,2130,2119,2131,6127,0.0051886792452831
2016-03-18,2136,2136,2125,2125,4527,-0.002815579540122
2016-03-21,2114,2114,2114,2114,63,-0.0051764705882353
2016-03-22,2103,2114,2103,2114,15450,0.0
2016-03-23,2109,2114,2109,2109,5,-0.0023651844843898
2016-03-24,2109,2141,2109,2141,16,0.0151730678046466
2016-03-25,2141,2152,2125,2125,2619,-0.0074731433909388
2016-03-28,2157,2157,2146,2152,2683,0.0127058823529411
2016-03-29,2157,2157,2114,2125,861,-0.0125464684014869
2016-03-30,2141,2141,2119,2120,48,-0.0023529411764705
2016-03-31,2136,2136,2114,2136,54,0.0075471698113207
2016-04-01,2114,2152,2114,2152,3655,0.0074906367041198
2016-04-04,2152,2152,2125,2125,6,-0.0125464684014869
2016-04-05,2125,2146,2125,2147,3340,0.0103529411764706
2016-04-06,2152,2157,2125,2152,1979,0.0023288309268747
2016-04-07,2152,2152,2152,2152,0,0.0
2016-04-08,2152,2152,2114,2120,1996,-0.0148698884758364
2016-04-11,2136,2136,2119,2131,154,0.0051886792452831
2016-04-12,2136,2136,2136,2136,1,0.0023463162834349
