Date,Open,High,Low,Close,Volume,Change
2023-04-04,6640,6870,6550,6840,22521,0.0301204819277107
2023-04-05,6780,7000,6770,6840,14843,0.0
2023-04-06,6770,7180,6610,6950,38222,0.0160818713450292
2023-04-07,6950,7160,6800,6820,17059,-0.0187050359712229
2023-04-10,6820,6820,6550,6630,11688,-0.0278592375366568
2023-04-11,6540,6780,6450,6700,19965,0.0105580693815987
2023-04-12,6670,6920,6640,6870,21079,0.0253731343283583
2023-04-13,6870,6880,6680,6740,10051,-0.0189228529839883
2023-04-14,6740,6870,6700,6870,12932,0.0192878338278932
2023-04-17,6870,6920,6700,6710,19350,-0.0232896652110625
2023-04-18,6710,6770,6620,6680,16150,-0.0044709388971684
2023-04-19,6680,7300,6610,7000,33138,0.0479041916167664
2023-04-20,6950,7190,6690,6710,23315,-0.0414285714285714
2023-04-21,6550,6900,6550,6650,20080,-0.0089418777943368
2023-04-24,6640,7000,6580,6660,19643,0.0015037593984963
2023-04-25,6660,6660,6310,6320,27801,-0.051051051051051
2023-04-26,6300,6310,6000,6050,22560,-0.0427215189873417
2023-04-27,6040,6120,5920,6120,15049,0.0115702479338843
2023-04-28,6130,6260,5900,5990,21548,-0.0212418300653595
2023-05-02,5990,6200,5950,6080,13560,0.0150250417362269
2023-05-03,6090,6090,5950,6020,5670,-0.0098684210526315
2023-05-04,5960,6050,5900,5980,13832,-0.0066445182724252
2023-05-08,5920,6190,5920,5990,8418,0.0016722408026756
2023-05-09,6020,6120,5500,5780,23513,-0.035058430717863
2023-05-10,5800,5840,5710,5820,10925,0.0069204152249136
2023-05-11,5820,5860,5500,5820,16588,0.0
2023-05-12,5850,5850,5710,5740,12399,-0.0137457044673539
2023-05-15,5670,5730,5620,5660,9424,-0.0139372822299651
2023-05-16,5610,5770,5560,5770,12733,0.0194346289752649
2023-05-17,5820,6180,5820,5940,19435,0.0294627383015597
2023-05-18,6160,6200,5980,6000,14818,0.0101010101010101
2023-05-19,6060,6060,5940,5970,14522,-0.005
2023-05-22,5970,6140,5940,6000,7076,0.0050251256281406
2023-05-23,6090,6090,5960,6000,5112,0.0
2023-05-24,6000,6150,5830,5830,16242,-0.0283333333333333
2023-05-25,5860,7000,5860,5980,130026,0.0257289879931388
2023-05-26,6020,6270,5750,5810,42324,-0.0284280936454849
2023-05-30,5810,7200,5810,5970,463255,0.027538726333907
2023-05-31,6000,6130,5910,5910,54877,-0.0100502512562814
2023-06-01,5910,5910,5700,5840,39560,-0.0118443316412859
2023-06-02,5870,6050,5870,5910,14454,0.0119863013698631
2023-06-05,5910,6020,5870,5980,18017,0.0118443316412859
2023-06-07,6040,6210,5930,6000,23732,0.0033444816053511
2023-06-08,6000,6020,5880,5910,10256,-0.015
2023-06-09,5910,5950,5870,5940,9952,0.0050761421319796
2023-06-12,5940,5940,5660,5810,14818,-0.0218855218855218
2023-06-13,5830,5880,5760,5840,7682,0.0051635111876076
2023-06-14,5840,5860,5700,5720,14002,-0.0205479452054794
2023-06-15,5660,5710,5520,5590,16355,-0.0227272727272727
2023-06-16,5550,5670,5480,5670,10805,0.0143112701252237
2023-06-19,5690,5890,5690,5710,11620,0.0070546737213403
2023-06-20,5710,5710,5620,5650,10858,-0.0105078809106829
2023-06-21,5660,5770,5600,5770,6688,0.0212389380530972
2023-06-22,5650,5800,5580,5790,9494,0.0034662045060658
2023-06-23,5730,5800,5670,5800,8501,0.0017271157167531
2023-06-26,5760,5800,5610,5740,5308,-0.0103448275862069
2023-06-27,5740,5840,5740,5770,5896,0.005226480836237
2023-06-28,5770,5770,5620,5620,13219,-0.0259965337954939
2023-06-29,5510,5700,5510,5560,11591,-0.0106761565836298
2023-06-30,5560,5900,5560,5600,11015,0.0071942446043165
2023-07-03,5620,5790,5620,5700,13050,0.0178571428571427
2023-07-04,5720,5800,5660,5700,8922,0.0
2023-07-05,5730,5850,5660,5740,10977,0.0070175438596491
2023-07-06,5740,5740,5560,5610,14681,-0.0226480836236934
2023-07-07,5520,5520,5390,5520,15595,-0.016042780748663
2023-07-10,5460,5480,5130,5480,16430,-0.0072463768115942
2023-07-11,5430,5430,5310,5340,13818,-0.0255474452554744
2023-07-12,5340,5450,5200,5240,13042,-0.0187265917602996
2023-07-13,5270,5490,5270,5420,12392,0.0343511450381679
2023-07-14,5450,5990,5450,5510,63712,0.0166051660516606
2023-07-17,5600,5750,5530,5530,10276,0.0036297640653357
2023-07-18,5550,5670,5380,5380,16984,-0.0271247739602169
2023-07-19,5380,5380,5180,5200,15664,-0.0334572490706319
2023-07-20,6760,6760,6760,6760,202743,0.3
2023-07-21,5810,8300,5700,6070,2723695,-0.1020710059171597
2023-07-24,6320,7480,6100,6460,915682,0.0642504118616145
2023-07-25,6600,7250,6000,6100,393026,-0.0557275541795665
2023-07-26,6120,6140,5210,5240,187900,-0.140983606557377
2023-07-27,5290,5460,5260,5360,65323,0.0229007633587785
2023-07-28,5630,5760,5460,5560,51720,0.0373134328358208
2023-07-31,5640,6870,5580,6300,368439,0.1330935251798561
2023-08-01,6450,6550,6210,6370,110767,0.011111111111111
2023-08-02,6260,6460,6200,6450,51005,0.0125588697017269
2023-08-03,6360,6370,6000,6310,31339,-0.0217054263565891
2023-08-04,6240,6370,6120,6350,25229,0.0063391442155309
2023-08-07,6300,6490,6240,6380,30770,0.0047244094488188
2023-08-08,6320,6350,6100,6240,31992,-0.0219435736677116
2023-08-09,6230,6550,6180,6500,38838,0.0416666666666667
2023-08-10,6530,6700,6440,6590,30814,0.0138461538461538
2023-08-11,6590,6730,6510,6700,31406,0.0166919575113808
2023-08-14,6900,6900,6240,6280,32328,-0.062686567164179
2023-08-16,6210,6280,5900,6050,19121,-0.0366242038216561
2023-08-17,5960,6400,5800,6390,31152,0.056198347107438
2023-08-18,6390,6810,6280,6660,50968,0.0422535211267605
2023-08-21,6640,6690,6230,6300,21832,-0.054054054054054
2023-08-22,6400,6450,6150,6150,18107,-0.0238095238095238
2023-08-23,6140,6360,6040,6110,16244,-0.0065040650406503
2023-08-24,6110,6380,6040,6260,15104,0.0245499181669395
2023-08-25,6260,6460,6150,6270,14375,0.0015974440894568
2023-08-28,6240,6520,6240,6350,12887,0.0127591706539074
2023-08-29,6360,6480,6220,6420,13409,0.0110236220472441
2023-08-30,6380,6680,6330,6420,19599,0.0
2023-08-31,6420,6440,6270,6350,18024,-0.0109034267912772
2023-09-01,6220,6560,6160,6410,13539,0.0094488188976378
2023-09-04,6350,6670,6350,6600,27274,0.0296411856474259
2023-09-05,6600,7980,6550,7900,294294,0.196969696969697
2023-09-06,8020,8450,7350,7980,258854,0.010126582278481
2023-09-07,7900,8900,7820,8670,282139,0.0864661654135339
2023-09-08,8710,11000,8710,10600,555786,0.2226066897347174
2023-09-11,11030,11700,10020,10700,266650,0.009433962264151
2023-09-12,11050,11500,10120,11160,194577,0.0429906542056075
2023-09-13,11160,11590,10400,10410,69231,-0.0672043010752688
2023-09-14,10320,10780,9500,10000,59703,-0.0393852065321805
2023-09-15,10070,12080,9860,11000,285992,0.1
2023-09-18,11900,12510,7700,7700,610993,-0.3
2023-09-19,7870,8600,7500,7980,156932,0.0363636363636363
2023-09-20,8400,8460,7720,8160,78697,0.0225563909774435
2023-09-21,8200,8290,7750,7900,44355,-0.0318627450980392
2023-09-22,7900,8200,7680,7910,40592,0.0012658227848101
2023-09-25,7850,8290,7850,8130,34004,0.0278128950695322
2023-09-26,7900,8400,7850,7870,24322,-0.031980319803198
2023-09-27,7650,7930,7180,7680,33030,-0.0241423125794154
2023-10-04,7680,7900,7250,7660,20874,-0.0026041666666666
2023-10-05,7550,7770,7350,7450,15547,-0.0274151436031331
2023-10-06,7500,7770,7410,7770,7907,0.042953020134228
2023-10-10,7770,8140,7650,7980,37093,0.0270270270270269
2023-10-11,8300,8300,7920,8100,28979,0.0150375939849625
2023-10-12,8100,8770,7500,7600,120131,-0.0617283950617284
2023-10-13,7680,9280,7200,7690,499969,0.0118421052631578
2023-10-16,7500,7650,7300,7340,53203,-0.0455136540962288
2023-10-17,7340,8200,7340,7530,27008,0.0258855585831063
2023-10-18,7690,7700,7220,7280,32122,-0.0332005312084993
2023-10-19,7280,7450,6790,6790,55120,-0.0673076923076922
2023-10-20,6760,8400,6620,7510,168239,0.1060382916053019
2023-10-23,7750,7980,7100,7120,85444,-0.051930758988016
2023-10-24,7120,7320,6600,7170,20858,0.0070224719101124
2023-10-25,7010,7450,6700,6850,23434,-0.0446304044630404
2023-10-26,7190,7200,6580,6700,21162,-0.021897810218978
2023-10-27,6700,6730,6200,6360,33667,-0.0507462686567163
2023-10-30,6420,6460,5900,6100,18335,-0.040880503144654
2023-10-31,5560,6310,5560,5790,71395,-0.0508196721311475
2023-11-01,5790,5820,5600,5660,28917,-0.0224525043177893
2023-11-02,5730,5960,5530,5560,25817,-0.0176678445229682
2023-11-03,5710,5850,5620,5790,15763,0.0413669064748201
2023-11-06,5900,6090,5750,5800,20180,0.0017271157167531
2023-11-07,5860,5870,5430,5540,34629,-0.0448275862068965
2023-11-08,5570,5660,5390,5400,21759,-0.0252707581227437
2023-11-09,5530,5530,5160,5410,20860,0.0018518518518517
2023-11-10,5410,5590,5340,5410,6615,0.0
2023-11-13,5390,5440,5170,5420,26403,0.0018484288354898
2023-11-14,5340,5640,5300,5410,8363,-0.0018450184501844
2023-11-15,5570,5580,5330,5420,33759,0.0018484288354898
2023-11-16,5440,5710,5380,5600,38254,0.033210332103321
2023-11-17,5530,7200,5510,6970,555564,0.2446428571428571
2023-11-20,7240,7250,6620,6830,64587,-0.0200860832137733
2023-11-21,6870,7100,6750,6830,19128,0.0
2023-11-22,6860,7010,6310,6480,31391,-0.0512445095168374
2023-11-23,6480,6510,6110,6310,20967,-0.0262345679012345
2023-11-24,6250,6580,6180,6180,15646,-0.0206022187004754
2023-11-27,6220,6220,5910,6000,10010,-0.0291262135922329
2023-11-28,5910,6030,5690,5740,14034,-0.0433333333333333
2023-11-29,5740,5880,5620,5660,8421,-0.0139372822299651
2023-11-30,5660,6150,5660,5800,12248,0.0247349823321554
2023-12-01,5810,5820,5510,5600,28598,-0.0344827586206896
2023-12-04,5600,5620,5460,5510,12848,-0.0160714285714286
2023-12-05,5500,5590,5470,5530,11264,0.0036297640653357
2023-12-06,5530,5760,5480,5670,8748,0.0253164556962024
2023-12-07,5720,5720,5380,5520,19696,-0.0264550264550265
2023-12-08,5500,5700,5450,5600,12496,0.0144927536231884
2023-12-11,5680,7280,5640,6740,1075818,0.2035714285714285
2023-12-12,6740,7200,6380,6770,277105,0.0044510385756677
2023-12-13,6560,7720,6400,7020,210661,0.036927621861152
2023-12-14,7350,8080,6670,6950,323072,-0.0099715099715099
2023-12-15,6950,7150,6530,7000,63169,0.0071942446043165
2023-12-18,6880,7100,6690,6990,38427,-0.0014285714285714
2023-12-19,7130,7310,6800,6990,64979,0.0
2023-12-20,6920,7060,6800,6800,18615,-0.0271816881258941
2023-12-21,6900,7300,6780,6970,26406,0.0249999999999999
2023-12-22,7010,7020,6480,6480,25214,-0.0703012912482066
2023-12-26,6480,6650,5990,6060,36905,-0.0648148148148147
2023-12-27,6180,7000,5980,6020,89752,-0.0066006600660065
2023-12-28,6090,6620,6090,6250,23528,0.0382059800664451
