Date,Open,High,Low,Close,Volume,Change
2023-04-04,6213,6348,6161,6193,398230,0.001779359430605032
2023-04-05,6275,6451,6172,6358,341772,0.026642984014209503
2023-04-06,6322,6524,6311,6353,250777,-0.0007864108210129395
2023-04-07,6399,6493,6260,6421,125237,0.010703604596253635
2023-04-10,6575,6606,6322,6322,170114,-0.015418159165239032
2023-04-11,6275,6524,6234,6503,176832,0.02863018032268272
2023-04-12,6451,6746,6405,6669,290498,0.025526679993848944
2023-04-13,6731,6741,6399,6628,145093,-0.006147848253111432
2023-04-14,6731,6953,6622,6799,314006,0.025799637899818872
2023-04-17,6938,7217,6632,6638,693270,-0.023679952934255066
2023-04-18,6648,6767,6472,6550,325207,-0.013257005122024657
2023-04-19,6510,6880,6210,6230,363483,-0.04885496183206106
2023-04-20,6390,6390,5880,5910,172120,-0.051364365971107495
2023-04-21,5900,5980,5750,5840,88515,-0.011844331641285955
2023-04-24,5790,5840,5610,5670,62783,-0.02910958904109584
2023-04-25,5720,5750,5470,5700,49461,0.005291005291005346
2023-04-26,5590,5700,5530,5660,49884,-0.007017543859649145
2023-04-27,5660,5660,5460,5590,49237,-0.012367491166077715
2023-04-28,5560,5680,5490,5510,30407,-0.014311270125223596
2023-05-02,5700,5880,5560,5820,41017,0.056261343012704135
2023-05-03,5820,5880,5500,5740,52304,-0.013745704467353903
2023-05-04,5740,6040,5590,5890,57557,0.026132404181184565
2023-05-08,5890,6020,5750,5860,41043,-0.005093378607809895
2023-05-09,5860,5970,5680,5950,36532,0.015358361774743923
2023-05-10,5950,6000,5830,5940,26514,-0.001680672268907557
2023-05-11,5600,6040,5380,5900,135331,-0.006734006734006703
2023-05-12,5840,5930,5680,5880,54453,-0.003389830508474523
2023-05-15,5530,5690,5170,5170,371866,-0.12074829931972786
2023-05-16,5120,5200,4720,4785,379487,-0.07446808510638303
2023-05-17,4715,4830,4715,4805,132510,0.004179728317659448
2023-05-18,4810,4860,4640,4855,136890,0.010405827263267442
2023-05-19,4825,4895,4665,4715,118834,-0.028836251287332693
2023-05-22,4690,4830,4680,4820,70179,0.022269353128313796
2023-05-23,4940,4955,4775,4900,60408,0.016597510373443924
2023-05-24,4905,5030,4870,4925,82031,0.005102040816326481
2023-05-25,4945,5060,4940,4960,99762,0.007106598984771617
2023-05-26,4940,5070,4900,4995,43568,0.007056451612903247
2023-05-30,5000,5020,4860,4945,63083,-0.010010010010010006
2023-05-31,4890,4980,4890,4890,31238,-0.011122345803842304
2023-06-01,4855,4920,4775,4835,39290,-0.011247443762781195
2023-06-02,4775,4920,4775,4775,48782,-0.012409513960703222
2023-06-05,4780,4880,4715,4825,42579,0.010471204188481575
2023-06-07,4790,4840,4735,4735,81177,-0.01865284974093262
2023-06-08,4735,4740,4575,4625,120254,-0.023231256599788752
2023-06-09,4675,4760,4625,4690,50123,0.014054054054054133
2023-06-12,4690,4695,4520,4540,112676,-0.031982942430703654
2023-06-13,4600,4615,4485,4510,57182,-0.0066079295154185536
2023-06-14,4510,4550,4360,4430,114176,-0.0177383592017738
2023-06-15,4405,4485,4235,4340,100004,-0.020316027088036148
2023-06-16,4300,4500,4300,4500,67826,0.03686635944700467
2023-06-19,4455,4560,4370,4410,59818,-0.020000000000000018
2023-06-20,4400,4410,4315,4345,46309,-0.01473922902494329
2023-06-21,4345,4355,4245,4280,81361,-0.014959723820483273
2023-06-22,4230,4375,4210,4235,96372,-0.010514018691588745
2023-06-23,4225,4285,4225,4265,62873,0.007083825265643551
2023-06-26,4275,4355,4185,4290,44265,0.0058616647127784915
2023-06-27,4345,4345,4170,4245,92551,-0.010489510489510523
2023-06-28,4255,4385,4240,4295,72815,0.011778563015312216
2023-06-29,4290,4335,4130,4180,100112,-0.0267753201396973
2023-06-30,4140,4355,4110,4355,76582,0.04186602870813405
2023-07-03,4385,4390,4295,4335,80426,-0.004592422502870286
2023-07-04,4325,4340,4245,4260,39788,-0.01730103806228378
2023-07-05,4300,4300,4175,4175,35173,-0.0199530516431925
2023-07-06,4115,4165,3965,4030,114225,-0.03473053892215572
2023-07-07,3950,4010,3900,3915,87154,-0.028535980148883366
2023-07-10,3890,4275,3890,4015,155550,0.025542784163473886
2023-07-11,4100,4225,4035,4145,51434,0.03237858032378571
2023-07-12,4125,4185,4105,4130,41991,-0.003618817852834688
2023-07-13,4130,4350,4130,4300,72876,0.041162227602905554
2023-07-14,4310,4325,4235,4300,56474,0.0
2023-07-17,4300,4385,4260,4340,55235,0.009302325581395321
2023-07-18,4345,4355,4220,4290,42646,-0.011520737327188946
2023-07-19,4270,4340,4215,4265,45673,-0.005827505827505797
2023-07-20,4265,4365,4235,4300,54537,0.008206330597889888
2023-07-21,4230,4730,4230,4305,525514,0.0011627906976743319
2023-07-24,4350,4480,4130,4170,126575,-0.03135888501742157
2023-07-25,4150,4150,3970,4005,90154,-0.03956834532374098
2023-07-26,4005,4055,3800,3900,162130,-0.02621722846441943
2023-07-27,3740,4160,3740,4105,98451,0.0525641025641026
2023-07-28,4030,4305,4030,4235,49172,0.03166869671132755
2023-07-31,4200,4410,4185,4395,85281,0.037780401416765086
2023-08-01,4400,4500,4275,4400,113572,0.0011376564277587597
2023-08-02,4395,4440,4200,4200,71643,-0.045454545454545414
2023-08-03,4195,4550,4190,4390,200102,0.0452380952380953
2023-08-04,4465,4480,4210,4435,80493,0.010250569476081939
2023-08-07,4480,4480,4320,4395,76339,-0.009019165727170209
2023-08-08,4355,4430,4250,4290,64120,-0.023890784982935176
2023-08-09,4315,4495,4250,4485,106646,0.045454545454545414
2023-08-10,4500,4540,4440,4530,49216,0.010033444816053505
2023-08-11,4530,4570,4420,4435,80722,-0.020971302428256067
2023-08-14,4480,4480,4320,4365,60066,-0.015783540022547893
2023-08-16,4355,4460,4260,4400,98386,0.008018327605956443
2023-08-17,4355,4475,4280,4330,61742,-0.015909090909090873
2023-08-18,4335,4475,4300,4400,71016,0.01616628175519641
2023-08-21,4400,4475,4320,4400,40187,0.0
2023-08-22,4495,4545,4385,4440,42898,0.009090909090909038
2023-08-23,4550,4550,4365,4420,64288,-0.0045045045045044585
2023-08-24,4420,4500,4375,4500,42171,0.018099547511312153
2023-08-25,4485,4550,4420,4465,79535,-0.007777777777777772
2023-08-28,4465,4545,4430,4455,30067,-0.002239641657334812
2023-08-29,4435,4495,4435,4490,29258,0.007856341189674598
2023-08-30,4490,4555,4490,4520,60637,0.006681514476614803
2023-08-31,4500,4560,4500,4530,57676,0.0022123893805310324
2023-09-01,4540,4545,4420,4460,69362,-0.015452538631346546
2023-09-04,4495,4495,4330,4375,56817,-0.01905829596412556
2023-09-05,4370,4465,4320,4390,48563,0.0034285714285713365
2023-09-06,4385,4515,4350,4460,65117,0.015945330296127658
2023-09-07,4460,4495,4420,4430,20046,-0.006726457399103158
2023-09-08,4425,4530,4425,4530,47522,0.02257336343115135
2023-09-11,4530,4610,4495,4565,42939,0.007726269315673218
2023-09-12,4545,4640,4490,4530,57049,-0.00766703176341732
2023-09-13,4530,4545,4420,4435,49083,-0.020971302428256067
2023-09-14,4470,4470,4405,4430,14041,-0.0011273957158962622
2023-09-15,4415,4450,4360,4375,60559,-0.01241534988713322
2023-09-18,4345,4445,4310,4310,47107,-0.014857142857142902
2023-09-19,4295,4350,4265,4265,36153,-0.01044083526682138
2023-09-20,4265,4280,4225,4235,26494,-0.007033997655334079
2023-09-21,4235,4245,4170,4225,16874,-0.0023612750885477762
2023-09-22,4125,4270,4095,4130,49638,-0.022485207100591764
2023-09-25,4130,4295,4130,4135,45037,0.001210653753026536
2023-09-26,4135,4210,4100,4100,36951,-0.008464328899637219
2023-09-27,4045,4235,4045,4100,29441,0.0
2023-10-04,4065,4120,3850,4050,48464,-0.012195121951219523
2023-10-05,4090,4090,3915,4000,43238,-0.012345679012345734
2023-10-06,3980,4090,3850,4090,33260,0.022499999999999964
2023-10-10,4050,4090,3895,3970,33701,-0.02933985330073352
2023-10-11,3985,4045,3950,4010,28178,0.010075566750629816
2023-10-12,4030,4095,3980,4050,16582,0.009975062344139696
2023-10-13,4045,4055,3905,3985,33365,-0.016049382716049387
2023-10-16,3995,3995,3850,3870,52914,-0.02885821831869506
2023-10-17,3840,3995,3840,3930,34289,0.015503875968992276
2023-10-18,3930,3935,3835,3840,28984,-0.022900763358778664
2023-10-19,3900,3940,3730,3840,43311,0.0
2023-10-20,3760,3900,3720,3810,46227,-0.0078125
2023-10-23,3890,3895,3730,3775,31785,-0.009186351706036766
2023-10-24,3750,3820,3650,3770,34911,-0.0013245033112583293
2023-10-25,3800,3875,3775,3830,17819,0.01591511936339529
2023-10-26,3800,3800,3680,3700,23901,-0.03394255874673624
2023-10-27,3750,3850,3665,3785,50571,0.02297297297297307
2023-10-30,3800,3840,3690,3785,14328,0.0
2023-10-31,3725,3785,3620,3685,35842,-0.026420079260237816
2023-11-01,3540,3685,3540,3565,61746,-0.0325644504748982
2023-11-02,3575,3715,3575,3700,27792,0.03786816269284721
2023-11-03,3760,3775,3660,3730,13818,0.008108108108108025
2023-11-06,3740,3810,3715,3775,35260,0.012064343163538771
2023-11-07,3780,4765,3740,4510,3547687,0.19470198675496686
2023-11-08,4230,4555,4015,4065,1139887,-0.09866962305986693
2023-11-09,4045,4110,3885,3950,234406,-0.028290282902828978
2023-11-10,3905,4100,3855,3880,223575,-0.017721518987341756
2023-11-13,3900,4075,3840,3955,166100,0.019329896907216426
2023-11-14,3955,4070,3930,4000,73323,0.011378002528444897
2023-11-15,4030,4140,3995,4090,109856,0.022499999999999964
2023-11-16,4080,4125,4015,4090,47406,0.0
2023-11-17,4070,4165,4060,4075,69946,-0.003667481662591676
2023-11-20,4085,4140,4015,4110,60115,0.008588957055214674
2023-11-21,4140,4140,4070,4130,31780,0.0048661800486617945
2023-11-22,4130,4130,4065,4095,23655,-0.008474576271186418
2023-11-23,4110,4155,4080,4095,27708,0.0
2023-11-24,4095,4135,4035,4100,26023,0.0012210012210012167
2023-11-27,4145,4145,4030,4060,24105,-0.009756097560975618
2023-11-28,4030,4080,3940,3945,40789,-0.02832512315270941
2023-11-29,3945,4050,3895,3965,33657,0.005069708491761693
2023-11-30,4020,4020,3900,3900,28783,-0.016393442622950838
2023-12-01,3950,3950,3830,3905,43997,0.0012820512820512775
2023-12-04,3940,3940,3800,3855,29077,-0.012804097311139517
2023-12-05,3855,3955,3855,3945,31715,0.023346303501945442
2023-12-06,3975,3980,3865,3905,17243,-0.010139416983523497
2023-12-07,3910,3940,3860,3910,35965,0.001280409731113874
2023-12-08,3905,3940,3800,3800,47494,-0.02813299232736577
2023-12-11,3805,3850,3750,3805,44239,0.001315789473684159
2023-12-12,3770,3830,3755,3800,19979,-0.0013140604467805073
2023-12-13,3800,3810,3730,3735,39013,-0.017105263157894735
2023-12-14,3740,3800,3720,3740,23131,0.0013386880856760541
2023-12-15,3800,3800,3635,3645,151253,-0.025401069518716568
2023-12-18,3635,3695,3600,3650,25788,0.00137174211248281
2023-12-19,3650,3695,3630,3630,26086,-0.005479452054794498
2023-12-20,3620,3810,3610,3760,65584,0.03581267217630857
2023-12-21,3760,3770,3670,3695,30720,-0.017287234042553168
2023-12-22,3695,3760,3600,3695,54030,0.0
2023-12-26,3700,3760,3675,3735,33610,0.010825439783491264
2023-12-27,3685,3810,3685,3790,54035,0.014725568942436373
2023-12-28,3790,3995,3790,3835,66147,0.01187335092348274
