Date,Open,High,Low,Close,Volume,Change
2015-10-08,2403,2410,2398,2408,1994919,
2015-10-12,2412,2423,2406,2425,111872,0.0070598006644517
2015-10-13,2415,2415,2403,2408,41312,-0.0070103092783505
2015-10-14,2403,2410,2403,2408,42499,0.0
2015-10-15,2403,2410,2403,2408,17108,0.0
2015-10-16,2403,2736,2403,2408,242031,0.0
2015-10-19,2434,2434,2405,2413,20352,0.0020764119601328
2015-10-20,2421,2421,2410,2419,7993,0.002486531288852
2015-10-21,2423,2423,2412,2413,15125,-0.0024803637866886
2015-10-22,2412,2412,2405,2413,16027,0.0
2015-10-23,2417,2417,2405,2413,23919,0.0
2015-10-26,2410,2415,2410,2419,14663,0.002486531288852
2015-10-27,2404,2415,2404,2419,30686,0.0
2015-10-28,2405,2412,2405,2413,13363,-0.0024803637866886
2015-10-29,2404,2421,2404,2419,22621,0.002486531288852
2015-10-30,2417,2417,2405,2413,22165,-0.0024803637866886
2015-11-02,2417,2417,2405,2413,15048,0.0
2015-11-03,2405,2412,2400,2413,31722,0.0
2015-11-04,2405,2405,2388,2402,17998,-0.0045586406962287
2015-11-05,2400,2405,2394,2402,8381,0.0
2015-11-06,2399,2399,2387,2396,6651,-0.0024979184013321
2015-11-09,2337,2341,2324,2332,113633,-0.026711185308848
2015-11-10,2325,2354,2319,2350,69412,0.0077186963979416
2015-11-11,2320,2341,2320,2327,899,-0.0097872340425532
2015-11-12,2319,2348,2313,2321,31624,-0.0025784271594327
2015-11-13,2320,2323,2313,2315,10365,-0.0025850926324859
2015-11-16,2313,2341,2313,2315,36524,0.0
2015-11-17,2313,2313,2301,2310,10706,-0.0021598272138229
2015-11-18,2301,2313,2295,2310,4204,0.0
2015-11-19,2290,2306,2290,2310,8603,0.0
2015-11-20,2295,2295,2295,2298,1345,-0.0051948051948051
2015-11-23,2297,2303,2285,2304,37499,0.0026109660574411
2015-11-24,2290,2301,2290,2298,8507,-0.0026041666666666
2015-11-25,2303,2303,2292,2304,15772,0.0026109660574411
2015-11-26,2301,2301,2295,2298,6417,-0.0026041666666666
2015-11-27,2296,2301,2292,2292,23781,-0.0026109660574412
2015-11-30,2292,2303,2292,2304,8348,0.0052356020942407
2015-12-01,2292,2296,2232,2292,13745,-0.0052083333333333
2015-12-02,2285,2292,2285,2292,14826,0.0
2015-12-03,2285,2292,2285,2292,53886,0.0
2015-12-04,2285,2292,2285,2292,4188,0.0
2015-12-07,2292,2292,2285,2292,581,0.0
2015-12-08,2292,2292,2286,2287,2253,-0.0021815008726003
2015-12-09,2286,2292,2178,2287,32315,0.0
2015-12-10,2290,2290,2274,2281,1848,-0.0026235242675994
2015-12-11,2284,2284,2274,2281,8893,0.0
2015-12-14,2278,2278,2278,2281,3964,0.0
2015-12-15,2285,2292,2285,2292,10122,0.0048224462954844
2015-12-16,2292,2292,2286,2287,4385,-0.0021815008726003
2015-12-17,2285,2292,2285,2292,2600,0.0021862702229995
2015-12-18,2292,2292,2286,2287,4038,-0.0021815008726003
2015-12-21,2292,2292,2286,2287,3054,0.0
2015-12-22,2292,2296,2292,2292,3819,0.0021862702229995
2015-12-23,2290,2295,2290,2298,50,0.0026178010471205
2015-12-24,2292,2296,2292,2292,271,-0.0026109660574412
2015-12-28,2292,2292,2286,2287,16237,-0.0021815008726003
2015-12-29,2292,2292,2292,2292,45716,0.0021862702229995
2015-12-30,2274,2292,2268,2292,13286,0.0
2016-01-04,2301,2301,2278,2281,26008,-0.0047993019197207
2016-01-05,2279,2292,2279,2292,5101,0.0048224462954844
2016-01-06,2280,2303,2280,2304,20900,0.0052356020942407
2016-01-07,2301,2301,2292,2292,14253,-0.0052083333333333
2016-01-08,2292,2292,2286,2287,1027,-0.0021815008726003
2016-01-11,2283,2295,2283,2298,1145,0.0048097944905989
2016-01-12,2292,2292,2286,2287,2115,-0.004786771105309
2016-01-13,2286,2286,2286,2287,530,0.0
2016-01-14,2292,2292,2275,2275,616,-0.0052470485351989
2016-01-15,2298,2298,2268,2287,609,0.0052747252747251
2016-01-18,2275,2275,2275,2275,5102,-0.0052470485351989
2016-01-19,2266,2266,2266,2270,15,-0.0021978021978021
2016-01-20,2257,2284,2257,2264,13263,-0.0026431718061673
2016-01-21,2268,2292,2268,2292,2415,0.0123674911660778
2016-01-22,2292,2296,2292,2292,1738,0.0
2016-01-25,2290,2290,2244,2270,6308,-0.0095986038394415
2016-01-26,2286,2286,2286,2287,2000,0.007488986784141
2016-01-27,2292,2292,2286,2287,722,0.0
2016-01-28,2285,2292,2285,2292,2300,0.0021862702229995
2016-01-29,2292,2292,2274,2292,2599,0.0
2016-02-01,2292,2292,2292,2292,1502,0.0
2016-02-02,2292,2292,2275,2275,665,-0.0074171029668411
2016-02-03,2286,2286,2275,2275,1899,0.0
2016-02-04,2268,2292,2257,2292,12328,0.0074725274725275
2016-02-05,2290,2290,2259,2270,3206,-0.0095986038394415
2016-02-11,2283,2295,2283,2298,21,0.0123348017621145
2016-02-12,2292,2296,2279,2292,1904,-0.0026109660574412
2016-02-15,2292,2292,2261,2292,918,0.0
2016-02-16,2292,2292,2285,2292,1001,0.0
2016-02-17,2292,2292,2285,2292,802,0.0
2016-02-18,2292,2292,2279,2292,8,0.0
2016-02-19,2292,2292,2285,2292,20,0.0
2016-02-22,2275,2292,2268,2287,1679,-0.0021815008726003
2016-02-23,2292,2292,2275,2287,654,0.0
2016-02-24,2278,2278,2278,2281,2,-0.0026235242675994
2016-02-25,2278,2290,2274,2281,44,0.0
2016-02-26,2290,2290,2266,2270,50772,-0.0048224462954844
2016-02-29,2268,2280,2268,2275,3040,0.002202643171806
2016-03-02,2259,2284,2259,2270,975,-0.0021978021978021
2016-03-03,2267,2279,2244,2247,13921,-0.0101321585903083
2016-03-04,2284,2284,2227,2281,108714,0.0151312861593235
2016-03-07,2266,2266,2256,2270,2157,-0.0048224462954844
2016-03-08,2268,2268,2239,2252,9414,-0.0079295154185021
2016-03-09,2244,2256,2239,2247,20524,-0.0022202486678507
2016-03-10,2244,2250,2244,2247,2860,0.0
2016-03-11,2246,2257,2240,2241,18770,-0.0026702269692924
2016-03-14,2233,2250,2233,2252,3474,0.0049085229808121
2016-03-15,2245,2261,2245,2264,179,0.0053285968028418
2016-03-16,2256,2256,2244,2258,67,-0.0026501766784452
2016-03-17,2256,2256,2244,2247,9952,-0.0048715677590788
2016-03-18,2256,2261,2256,2258,4943,0.0048954161103693
2016-03-21,2256,2256,2244,2247,1320,-0.0048715677590788
2016-03-22,2250,2250,2244,2247,2800,0.0
2016-03-23,2245,2257,2245,2252,571,0.0022251891410769
2016-03-24,2257,2261,2257,2264,894,0.0053285968028418
2016-03-25,2292,2292,2261,2292,3031,0.0123674911660778
2016-03-28,2268,2286,2268,2287,11,-0.0021815008726003
2016-03-29,2256,2279,2244,2247,11886,-0.0174901617839965
2016-03-30,2291,2291,2244,2247,10072,0.0
2016-03-31,2261,2280,2245,2264,335,0.0075656430796617
2016-04-01,2245,2257,2245,2252,1325,-0.0053003533568904
2016-04-04,2250,2268,2250,2252,26,0.0
2016-04-05,2256,2266,2256,2270,2495,0.0079928952042629
2016-04-06,2259,2266,2256,2270,788,0.0
2016-04-07,2266,2266,2266,2270,12,0.0
2016-04-08,2250,2266,2250,2270,779,0.0
2016-04-11,2266,2266,2250,2270,87,0.0
2016-04-12,2268,2268,2250,2252,2445,-0.0079295154185021
2016-04-14,2250,2266,2250,2270,101,0.0079928952042629
2016-04-15,2256,2266,2256,2270,1254,0.0
2016-04-18,2257,2261,2250,2252,506,-0.0079295154185021
2016-04-19,2244,2256,2244,2247,677,-0.0022202486678507
2016-04-20,2232,2250,2228,2247,50159,0.0
2016-04-21,2244,2244,2232,2247,569,0.0
2016-04-22,2250,2250,2222,2230,51941,-0.0075656430796617
2016-04-25,2245,2245,2222,2230,17425,0.0
2016-04-26,2229,2240,2229,2241,7820,0.0049327354260089
2016-04-27,2234,2240,2229,2241,123,0.0
2016-04-28,2244,2244,2244,2247,1,0.0026773761713521
2016-04-29,2244,2244,2216,2247,48096,0.0
2016-05-02,2239,2244,2232,2247,801,0.0
2016-05-03,2244,2244,2232,2247,1045,0.0
2016-05-04,2244,2244,2239,2247,328,0.0
2016-05-09,2233,2250,2233,2252,7468,0.0022251891410769
2016-05-10,2256,2256,2244,2258,970,0.0026642984014209
2016-05-11,2279,2279,2233,2258,484,0.0
2016-05-12,2257,2257,2240,2241,521,-0.0075287865367581
2016-05-13,2240,2274,2240,2241,5878,0.0
2016-05-16,2246,2246,2234,2241,2652,0.0
2016-05-17,2244,2266,2244,2270,6497,0.0129406514948684
2016-05-18,2259,2266,2256,2270,16259,0.0
2016-05-19,2268,2275,2261,2275,108,0.002202643171806
2016-05-20,2256,2278,2256,2281,4281,0.0026373626373625
2016-05-23,2278,2278,2266,2270,6538,-0.0048224462954844
2016-05-24,2284,2284,2266,2270,15,0.0
2016-05-25,2267,2278,2267,2281,10225,0.0048458149779735
2016-05-26,2280,2280,2261,2264,32683,-0.0074528715475669
2016-05-27,2244,2267,2244,2258,993,-0.0026501766784452
2016-05-30,2257,2257,2229,2230,30870,-0.012400354295837
2016-05-31,2257,2257,2229,2230,4957,0.0
2016-06-01,2229,2257,2229,2230,44593,0.0
2016-06-02,2244,2244,2232,2235,2101,0.0022421524663676
2016-06-03,2239,2257,2227,2252,80419,0.0076062639821028
2016-06-07,2250,2250,2159,2230,672211,-0.0097690941385435
2016-06-08,2239,2239,2204,2230,23430,0.0
2016-06-09,2232,2232,2214,2224,26623,-0.0026905829596413
2016-06-10,2220,2427,2202,2224,165715,0.0
2016-06-13,2337,2634,2245,2292,681634,0.0305755395683453
2016-06-14,2308,2331,2244,2258,187705,-0.0148342059336823
2016-06-15,2257,2479,2250,2315,436993,0.0252435783879538
2016-06-16,2290,2320,2274,2281,57364,-0.0146868250539956
2016-06-17,2274,2307,2267,2281,19680,0.0
2016-06-20,2279,2296,2274,2292,16414,0.0048224462954844
2016-06-21,2301,2301,2272,2298,3264,0.0026178010471205
2016-06-22,2291,2313,2266,2315,43439,0.0073977371627502
2016-06-23,2284,2393,2284,2361,20117,0.0198704103671705
2016-06-24,2325,2372,2286,2350,75455,-0.0046590427784837
2016-06-27,2338,2354,2297,2350,17719,0.0
2016-06-28,2324,2352,2301,2344,23175,-0.0025531914893617
2016-06-29,2353,2497,2302,2361,174137,0.0072525597269623
2016-06-30,2359,2485,2359,2448,198100,0.036848792884371
2016-07-01,0,0,0,2448,0,0.0
2016-07-04,0,0,0,2448,0,0.0
2016-07-05,0,0,0,2448,0,0.0
2016-07-06,0,0,0,2448,0,0.0
2016-07-07,0,0,0,2448,0,0.0
2016-07-08,0,0,0,2448,0,0.0
2016-07-11,0,0,0,2448,0,0.0
2016-07-12,0,0,0,2448,0,0.0
2016-07-13,0,0,0,2448,0,0.0
2016-07-14,0,0,0,2448,0,0.0
2016-07-15,0,0,0,2448,0,0.0
2016-07-18,0,0,0,2448,0,0.0
2016-07-19,0,0,0,2448,0,0.0
2016-07-20,0,0,0,2448,0,0.0
2016-07-21,0,0,0,2448,0,0.0
2016-07-22,0,0,0,2448,0,0.0
2016-07-25,0,0,0,2448,0,0.0
2016-07-26,0,0,0,2448,0,0.0
2016-07-27,0,0,0,2448,0,0.0
2016-07-28,0,0,0,2448,0,0.0
2016-07-29,0,0,0,2448,0,0.0
2016-08-01,0,0,0,2448,0,0.0
2016-08-02,0,0,0,2448,0,0.0
2016-08-03,0,0,0,2448,0,0.0
2016-08-04,0,0,0,2448,0,0.0
2016-08-05,0,0,0,2448,0,0.0
2016-08-08,0,0,0,2448,0,0.0
2016-08-09,0,0,0,2448,0,0.0
2016-08-10,0,0,0,2448,0,0.0
2016-08-11,0,0,0,2448,0,0.0
2016-08-12,0,0,0,2448,0,0.0
2016-08-16,0,0,0,2448,0,0.0
2016-08-17,0,0,0,2448,0,0.0
2016-08-18,0,0,0,2448,0,0.0
2016-08-19,0,0,0,2448,0,0.0
2016-08-22,0,0,0,2448,0,0.0
2016-08-23,0,0,0,2448,0,0.0
2016-08-24,0,0,0,2448,0,0.0
2016-08-25,0,0,0,2448,0,0.0
2016-08-26,0,0,0,2448,0,0.0
