Date,Open,High,Low,Close,Volume,Change
2019-06-18,3782,4147,3777,3935,909239,0.030104712041884918
2019-06-19,3990,4062,3820,3969,731340,0.008640406607369755
2019-06-20,3922,4011,3880,3893,409541,-0.019148400100781005
2019-06-21,3934,4125,3866,3990,816429,0.024916516825070678
2019-06-24,3990,4380,3947,4109,1641602,0.029824561403508865
2019-06-25,4088,4279,4016,4254,1131961,0.03528839133609152
2019-06-26,4321,4695,3999,4186,3004758,-0.015984955336154183
2019-06-27,4168,4584,4053,4457,3113235,0.06473960821786906
2019-06-28,4525,4610,4364,4585,1466447,0.028718869194525487
2019-07-01,4618,4644,4338,4415,1015223,-0.037077426390403456
2019-07-02,4414,4440,4202,4296,1073688,-0.02695356738391841
2019-07-03,4287,4287,4087,4215,847030,-0.0188547486033519
2019-07-04,4202,4491,4173,4466,999815,0.059549228944246746
2019-07-05,4440,4533,4329,4440,514675,-0.00582176444245408
2019-07-08,4601,4627,4206,4330,1059054,-0.024774774774774744
2019-07-09,4244,4440,4223,4440,327573,0.025404157043879882
2019-07-10,4422,4473,4329,4372,250962,-0.01531531531531527
2019-07-11,4372,4576,4330,4415,899205,0.00983531564501372
2019-07-12,4456,5203,4372,4771,4439321,0.08063420158550394
2019-07-15,4805,4966,4720,4839,1279220,0.01425277719555651
2019-07-16,4898,5093,4542,4627,2310440,-0.04381070469105186
2019-07-17,4465,4847,4465,4797,602830,0.03674086881348604
2019-07-18,4788,5017,4729,4848,625148,0.010631644777986171
2019-07-19,4796,5043,4796,5043,716539,0.0402227722772277
2019-07-22,5094,5280,4941,5213,1215760,0.03371009319849305
2019-07-23,5187,5578,5187,5570,2281658,0.0684826395549587
2019-07-24,5561,5612,5009,5230,1731617,-0.06104129263913827
2019-07-25,5178,5212,4949,5009,824981,-0.042256214149139604
2019-07-26,5009,5451,4958,5154,1058761,0.028947893791175794
2019-07-29,4992,5094,4746,4755,892810,-0.0774155995343423
2019-07-30,4754,4873,4499,4610,846436,-0.030494216614090464
2019-07-31,4541,4669,4244,4474,733183,-0.02950108459869849
2019-08-01,4406,4525,4296,4364,371083,-0.024586499776486415
2019-08-02,4164,4592,4159,4440,647642,0.01741521539871682
2019-08-05,4440,4465,3998,4173,718040,-0.06013513513513513
2019-08-06,4070,4457,3727,4177,874456,0.0009585430146177298
2019-08-07,4160,4389,4160,4364,428790,0.04476897294709126
2019-08-08,4329,4686,4287,4593,1304256,0.05247479376718611
2019-08-09,4525,4593,4279,4415,782017,-0.03875462660570428
2019-08-12,4414,5025,4414,4941,2389097,0.11913929784824462
2019-08-13,4916,4984,4687,4687,864405,-0.051406597854685265
2019-08-14,4797,4916,4457,4551,784347,-0.029016428419031404
2019-08-16,4465,4533,4253,4389,543857,-0.03559657218193801
2019-08-19,4346,4414,4244,4338,378392,-0.011619958988380086
2019-08-20,4355,4405,4287,4389,225675,0.011756569847856113
2019-08-21,4406,4507,4346,4406,281045,0.003873319662793362
2019-08-22,4414,4507,4244,4321,349271,-0.01929187471629601
2019-08-23,4254,4338,4181,4271,247411,-0.01157139551029851
2019-08-26,4117,4296,4075,4296,331342,0.005853430110044577
2019-08-27,4313,4397,4240,4364,253825,0.01582867783985109
2019-08-28,4372,4584,4329,4542,397202,0.04078826764436294
2019-08-29,4575,4702,3718,3820,2631864,-0.15896081021576403
2019-08-30,3862,3879,3395,3421,3231068,-0.10445026178010475
2019-09-02,3353,3676,3277,3511,2368675,0.026308097047646806
2019-09-03,3498,3587,3455,3566,547427,0.015665052691540948
2019-09-04,3544,3676,3518,3676,840113,0.03084688726864826
2019-09-05,3710,3735,3523,3566,772140,-0.02992383025027201
2019-09-06,3620,3642,3429,3468,576974,-0.027481772293886708
2019-09-09,3467,3590,3455,3455,475593,-0.003748558246828182
2019-09-10,3429,3527,3429,3451,229879,-0.0011577424023154759
2019-09-11,3446,3488,3446,3472,192808,0.006085192697768749
2019-09-16,3471,3480,3374,3404,285571,-0.019585253456221197
2019-09-17,3361,3510,3277,3502,375492,0.028789659224441877
2019-09-18,3506,3599,3455,3583,378562,0.023129640205596713
2019-09-19,3586,3773,3552,3625,641502,0.01172202065308392
2019-09-20,3566,3642,3549,3600,360849,-0.006896551724137945
2019-09-23,3591,3591,3502,3511,406809,-0.0247222222222222
2019-09-24,3481,3532,3447,3477,266150,-0.00968385075477074
2019-09-25,3476,3489,3124,3192,1064927,-0.08196721311475408
2019-09-26,3170,3276,3170,3226,819830,0.01065162907268169
2019-09-27,3183,3493,3183,3404,862713,0.05517668939863607
2019-09-30,3408,3463,3246,3370,474116,-0.0099882491186839
2019-10-01,3375,3434,3260,3303,440462,-0.019881305637982183
2019-10-02,3302,3358,3124,3252,338145,-0.015440508628519534
