Date,Open,High,Low,Close,Volume,Change
2023-04-04,21850,22950,21400,22950,148562,0.0551724137931035
2023-04-05,23050,24100,22400,22750,239815,-0.008714596949891
2023-04-06,23000,23800,22800,23200,155200,0.0197802197802197
2023-04-07,23500,23600,22350,22650,140078,-0.023706896551724
2023-04-10,22700,22700,21650,22450,100751,-0.0088300220750552
2023-04-11,22450,22900,21950,22350,79946,-0.0044543429844098
2023-04-12,22400,23500,21950,23200,156698,0.0380313199105144
2023-04-13,23200,23450,22500,23300,105445,0.0043103448275862
2023-04-14,23600,24750,23300,23850,222416,0.0236051502145921
2023-04-17,23850,24100,22500,22650,120885,-0.050314465408805
2023-04-18,22850,23200,22500,22500,77172,-0.0066225165562914
2023-04-19,22550,22550,21950,22100,129432,-0.0177777777777777
2023-04-20,22800,22800,21900,21900,105778,-0.009049773755656
2023-04-21,22200,22350,21750,22050,60620,0.0068493150684931
2023-04-24,22100,22350,21700,22000,48680,-0.0022675736961451
2023-04-25,22050,22150,21250,21600,66460,-0.0181818181818181
2023-04-26,21000,21900,20850,21100,62351,-0.0231481481481481
2023-04-27,21000,21150,20550,20900,60639,-0.0094786729857819
2023-04-28,21900,22050,20850,21150,94627,0.0119617224880381
2023-05-02,21400,21450,21150,21200,38125,0.0023640661938533
2023-05-03,21000,21050,20600,20750,50646,-0.0212264150943396
2023-05-04,20750,21300,20650,21200,33125,0.0216867469879518
2023-05-08,21450,22200,21100,21250,77639,0.0023584905660376
2023-05-09,21200,21600,21050,21450,29232,0.0094117647058824
2023-05-10,21350,21550,21000,21000,27057,-0.0209790209790209
2023-05-11,20800,21100,20650,20650,41879,-0.0166666666666667
2023-05-12,20650,20850,19930,19930,83935,-0.0348668280871671
2023-05-15,19800,19800,18950,19210,55672,-0.0361264425489212
2023-05-16,19260,19500,19010,19100,31473,-0.0057261842790213
2023-05-17,19010,19400,19010,19090,37566,-0.0005235602094241
2023-05-18,19130,19960,19110,19860,44811,0.040335254059717
2023-05-19,19980,20050,19550,19990,27423,0.0065458207452164
2023-05-22,19990,20750,19850,20400,56197,0.0205102551275637
2023-05-23,20100,20550,20100,20300,18394,-0.0049019607843137
2023-05-24,20600,20600,19970,19970,20148,-0.0162561576354679
2023-05-25,19970,20050,19740,19820,25181,-0.0075112669003505
2023-05-26,19940,19940,19550,19740,31203,-0.0040363269424823
2023-05-30,19740,19800,19190,19220,51864,-0.0263424518743667
2023-05-31,19220,19750,19050,19230,37509,0.0005202913631634
2023-06-01,19410,19890,19410,19640,38742,0.0213208528341133
2023-06-02,19900,20250,19810,20250,34664,0.0310590631364562
2023-06-05,20200,20400,19850,20200,26219,-0.0024691358024691
2023-06-07,20200,20400,19800,19800,30355,-0.0198019801980198
2023-06-08,20050,20200,19710,19750,23158,-0.0025252525252524
2023-06-09,19750,20100,19750,19990,28243,0.0121518987341773
2023-06-12,20100,20150,19470,19470,33572,-0.0260130065032516
2023-06-13,19520,19590,19340,19340,27744,-0.0066769388803287
2023-06-14,19300,19300,18190,18280,145064,-0.0548086866597724
2023-06-15,18300,19300,17830,18900,97048,0.0339168490153172
2023-06-16,19200,19200,18140,18300,87909,-0.0317460317460317
2023-06-19,18580,18580,18000,18040,41425,-0.014207650273224
2023-06-20,18040,18380,17850,18220,27482,0.0099778270509978
2023-06-21,18340,18340,17700,17720,49435,-0.0274423710208562
2023-06-22,17850,17870,17420,17420,27376,-0.0169300225733634
2023-06-23,17440,17590,17090,17280,44786,-0.0080367393800229
2023-06-26,17120,17480,16620,16990,40607,-0.0167824074074074
2023-06-27,17390,17390,16460,16590,64222,-0.0235432607416127
2023-06-28,16640,16840,16470,16500,26527,-0.0054249547920434
2023-06-29,16300,16450,15950,16200,49447,-0.0181818181818181
2023-06-30,16200,17050,15850,17010,66412,0.05
2023-07-03,17010,17300,16200,16350,62018,-0.0388007054673721
2023-07-04,16360,16360,15620,15650,64585,-0.0428134556574923
2023-07-05,15650,15770,15240,15470,50568,-0.0115015974440894
2023-07-06,15450,15450,14650,15070,95267,-0.0258564964447317
2023-07-07,15070,15400,14840,15100,45818,0.001990710019907
2023-07-10,14910,15240,14400,14600,76969,-0.0331125827814569
2023-07-11,14880,15020,14560,14960,42846,0.0246575342465753
2023-07-12,15050,15070,14600,14810,37065,-0.0100267379679144
2023-07-13,14810,15430,14810,15400,58352,0.0398379473328831
2023-07-14,15430,15430,14810,14840,72151,-0.0363636363636363
2023-07-17,15120,15310,14650,15260,44756,0.0283018867924529
2023-07-18,15360,15600,14780,15290,56699,0.0019659239842726
2023-07-19,15180,17010,15090,16120,221821,0.0542838456507521
2023-07-20,16200,16350,15700,16090,47392,-0.0018610421836228
2023-07-21,16090,18830,15920,17600,467062,0.093847110006215
2023-07-24,17610,17680,16660,16660,114316,-0.0534090909090909
2023-07-25,16550,16660,15500,15800,95526,-0.0516206482593036
2023-07-26,15690,15700,14130,14580,194057,-0.0772151898734176
2023-07-27,14310,14900,14310,14610,73241,0.0020576131687242
2023-07-28,14620,14900,14440,14800,34950,0.0130047912388775
2023-07-31,14810,15070,14710,14810,26337,0.0006756756756756
2023-08-01,14710,15390,14710,15100,43822,0.0195813639432815
2023-08-02,15020,15500,14540,14710,59606,-0.0258278145695364
2023-08-03,14710,15300,14380,15270,48877,0.0380693405846364
2023-08-04,15200,15290,14790,14960,47998,-0.02030124426981
2023-08-07,14850,15520,14700,15100,41578,0.0093582887700534
2023-08-08,15100,15100,14460,14540,55765,-0.0370860927152317
2023-08-09,14550,16480,14540,16000,199995,0.1004126547455295
2023-08-10,16000,16780,15580,16620,112974,0.03875
2023-08-11,16440,16700,16050,16450,47453,-0.0102286401925391
2023-08-14,16450,16560,15660,15660,46917,-0.0480243161094224
2023-08-16,15320,16130,15230,15460,50621,-0.0127713920817369
2023-08-17,15400,15560,15010,15470,35187,0.000646830530401
2023-08-18,15300,15300,14810,14950,39239,-0.0336134453781512
2023-08-21,15100,15750,14870,15380,36777,0.02876254180602
2023-08-22,15140,15540,15140,15260,34870,-0.0078023407022106
2023-08-23,15430,16380,15210,16040,97825,0.0511140235910878
2023-08-24,15910,16180,15760,16050,37891,0.0006234413965087
2023-08-25,16000,16500,15820,15900,37459,-0.0093457943925233
2023-08-28,15910,16100,15720,15830,33821,-0.0044025157232704
2023-08-29,15370,15600,14960,15460,96918,-0.0233733417561592
2023-08-30,15470,19740,15470,19000,875241,0.2289780077619663
2023-08-31,19190,21100,18850,19560,829730,0.0294736842105263
2023-09-01,19360,19400,17900,17900,269379,-0.0848670756646217
2023-09-04,18400,19390,17640,19030,396770,0.0631284916201118
2023-09-05,19030,20450,18990,19410,341877,0.0199684708355227
2023-09-06,20550,25200,19920,23750,4216497,0.2235960844925295
2023-09-07,23550,23950,22450,23600,744521,-0.0063157894736841
2023-09-08,23600,25950,23600,25050,1267698,0.0614406779661016
2023-09-11,24850,25550,22850,23100,477678,-0.0778443113772454
2023-09-12,23700,24200,20950,22050,537006,-0.0454545454545454
2023-09-13,21700,24100,19640,19970,1382029,-0.0943310657596372
2023-09-14,20200,20700,19420,20350,233985,0.0190285428142213
2023-09-15,20800,21100,19430,19600,205628,-0.0368550368550368
2023-09-18,19550,20400,18930,19040,173930,-0.0285714285714285
2023-09-19,19040,19190,18180,18530,177490,-0.0267857142857143
2023-09-20,19000,19560,17710,17850,332330,-0.036697247706422
2023-09-21,17640,17840,17000,17100,164853,-0.042016806722689
2023-09-22,17010,17290,16500,16500,123679,-0.0350877192982456
2023-09-25,16500,16710,15560,16200,69827,-0.0181818181818181
2023-09-26,16180,16330,15590,15600,98242,-0.037037037037037
2023-09-27,15500,16180,15060,16050,71317,0.0288461538461537
2023-10-04,16150,16200,15430,15560,69148,-0.0305295950155762
2023-10-05,15560,15800,15160,15430,73767,-0.0083547557840617
2023-10-06,15450,16970,15450,16970,163602,0.0998055735580039
2023-10-10,16930,16930,15800,15800,105315,-0.0689451974071891
2023-10-11,15910,16350,15900,16200,76948,0.0253164556962024
2023-10-12,16600,17090,16380,16510,109996,0.0191358024691357
2023-10-13,16490,16570,15950,16070,53844,-0.0266505148394912
2023-10-16,15810,16070,15420,15700,45287,-0.0230242688238954
2023-10-17,16000,16550,16000,16290,54324,0.037579617834395
2023-10-18,16280,16280,15610,15670,58602,-0.0380601596071209
2023-10-19,15950,16900,15320,16000,264118,0.0210593490746648
2023-10-20,15910,15920,14790,15060,105757,-0.0587499999999999
2023-10-23,14810,15060,14250,14330,79077,-0.0484727755644089
2023-10-24,14430,14610,13240,14250,110245,-0.0055826936496859
2023-10-25,14260,14260,13600,13670,50294,-0.0407017543859649
2023-10-26,13330,13550,12900,13290,59842,-0.0277980980248719
2023-10-27,13170,13660,12930,13250,41852,-0.0030097817908201
2023-10-30,12950,13600,12950,13430,24080,0.0135849056603774
2023-10-31,13520,13690,12930,12930,40665,-0.0372300819061801
2023-11-01,12960,13610,12960,13300,51291,0.0286156225831399
2023-11-02,13330,13930,13310,13750,41292,0.0338345864661653
2023-11-03,13750,14200,13540,14120,44356,0.0269090909090909
2023-11-06,14180,14430,13900,14300,61146,0.0127478753541077
2023-11-07,14500,14500,13910,14040,42647,-0.0181818181818181
2023-11-08,14120,14590,14050,14100,77627,0.0042735042735042
2023-11-09,14050,14260,13640,13670,63858,-0.0304964539007092
2023-11-10,13670,13860,13100,13640,88398,-0.0021945866861741
2023-11-13,13450,13590,12990,12990,67585,-0.0476539589442814
2023-11-14,13010,13500,13010,13320,20660,0.0254041570438798
2023-11-15,13490,13800,13450,13700,32444,0.0285285285285286
2023-11-16,13800,14000,13600,13830,41852,0.0094890510948906
2023-11-17,13950,13950,13530,13600,20391,-0.0166305133767172
2023-11-20,13600,14080,13600,14030,41114,0.0316176470588236
2023-11-21,14030,14140,13970,14100,23775,0.0049893086243764
2023-11-22,14100,14100,13800,13900,28293,-0.0141843971631205
2023-11-23,13830,14430,13730,14350,53508,0.0323741007194244
2023-11-24,14370,14370,13920,14120,37385,-0.0160278745644599
2023-11-27,13950,14980,13800,14380,67247,0.0184135977337109
2023-11-28,14380,14380,13950,14100,23124,-0.019471488178025
2023-11-29,14100,14100,13500,13570,107928,-0.0375886524822695
2023-11-30,13570,13840,13570,13750,24785,0.013264554163596
2023-12-01,13750,14000,13700,13890,24510,0.0101818181818182
2023-12-04,13890,13890,13430,13450,42006,-0.0316774658027357
2023-12-05,13600,13600,13170,13380,41468,-0.0052044609665427
2023-12-06,13380,13510,13200,13260,25007,-0.0089686098654708
2023-12-07,13190,13790,13160,13660,93145,0.0301659125188535
2023-12-08,13710,14050,13200,13340,63108,-0.0234260614934114
2023-12-11,13360,13630,13190,13200,51554,-0.0104947526236881
2023-12-12,13210,13290,13080,13230,34163,0.0022727272727272
2023-12-13,13290,13450,13000,13230,43045,0.0
2023-12-14,13380,13450,13050,13150,28954,-0.0060468631897203
2023-12-15,13160,13270,13080,13260,34179,0.0083650190114068
2023-12-18,13280,13450,13090,13190,70217,-0.0052790346907993
2023-12-19,13190,13930,13100,13930,83672,0.0561031084154661
2023-12-20,13950,14040,13520,13770,58134,-0.0114860014357501
2023-12-21,13770,14840,13610,14440,133550,0.0486564996368918
2023-12-22,14410,14830,14110,14830,74539,0.0270083102493075
2023-12-26,14680,15120,14050,14290,102974,-0.0364126770060687
2023-12-27,14440,15020,14350,14640,91904,0.0244926522043387
2023-12-28,14700,14800,14300,14580,64412,-0.0040983606557376
2024-01-02,14530,15210,14200,15190,74571,0.041838134430727
2024-01-03,15040,15490,15030,15340,66289,0.0098749177090191
2024-01-04,15330,15340,14290,14320,83522,-0.0664928292046935
2024-01-05,15750,16950,15200,15840,543486,0.1061452513966481
2024-01-08,15980,16460,15500,16450,104128,0.0385101010101009
2024-01-09,16440,16730,16020,16230,77800,-0.0133738601823708
2024-01-10,16500,16800,16200,16700,139603,0.028958718422674
