Date,Open,High,Low,Close,Volume,Change
2016-12-28,12500,12500,10650,10650,833,
2016-12-29,12200,12200,9100,9100,237,-0.1455399061032863
2017-01-02,10450,10450,7740,7740,10560,-0.1494505494505494
2017-01-03,6580,6600,6580,6580,5651,-0.1498708010335917
2017-01-04,5600,7150,5600,7100,15584,0.0790273556231002
2017-01-05,6060,7090,6040,6040,6491,-0.1492957746478873
2017-01-06,5200,6920,5140,5140,14114,-0.1490066225165562
2017-01-09,4370,4985,4370,4745,23797,-0.0768482490272373
2017-01-10,5430,5430,4035,4945,29655,0.042149631190727
2017-01-11,4400,5190,4205,4205,5721,-0.1496461071789686
2017-01-12,3575,3800,3575,3575,52766,-0.1498216409036861
2017-01-13,3045,3800,3040,3350,62825,-0.0629370629370629
2017-01-16,3000,3850,3000,3850,15817,0.1492537313432835
2017-01-17,4425,4425,4000,4425,6067,0.1493506493506493
2017-01-18,4425,5080,4425,5080,24746,0.1480225988700565
2017-01-19,5700,5830,5200,5700,14366,0.1220472440944882
2017-01-20,5850,6540,5500,6540,10700,0.1473684210526316
2017-01-23,6600,6700,6200,6580,5103,0.0061162079510703
2017-01-24,6580,6580,5650,6000,3960,-0.0881458966565349
2017-01-25,5310,5500,5100,5100,3883,-0.15
2017-01-26,4340,5250,4340,4340,12062,-0.1490196078431372
2017-01-31,4550,4585,3690,4000,24686,-0.0783410138248847
2017-02-01,4500,4500,4250,4250,2110,0.0625
2017-02-02,4740,4740,3615,4100,20762,-0.0352941176470588
2017-02-03,4100,4600,3955,4475,1231,0.0914634146341464
2017-02-06,4480,4480,3805,3805,12799,-0.1497206703910614
2017-02-07,3255,3545,3235,3250,35940,-0.1458607095926413
2017-02-08,3600,3600,3230,3600,7102,0.1076923076923077
2017-02-09,3595,3980,3060,3215,47376,-0.1069444444444444
2017-02-10,3005,3200,3005,3055,27,-0.0497667185069984
2017-02-13,3055,3180,2860,3000,17841,-0.0180032733224222
2017-02-14,3080,3400,3050,3120,5215,0.04
2017-02-15,3120,3380,3120,3350,3480,0.0737179487179486
2017-02-16,3670,3670,3010,3140,4116,-0.062686567164179
2017-02-17,2900,3500,2690,2850,41522,-0.0923566878980891
2017-02-20,2835,2845,2730,2750,1548,-0.0350877192982456
2017-02-21,2700,2855,2700,2700,8277,-0.0181818181818181
2017-02-22,2450,2700,2295,2325,31850,-0.1388888888888888
2017-02-23,2450,2450,2350,2350,11687,0.010752688172043
2017-02-24,2500,2500,2300,2300,1215,-0.0212765957446808
2017-02-27,2300,2400,1955,2100,58856,-0.0869565217391304
2017-02-28,1950,2300,1855,2170,3433,0.0333333333333334
2017-03-02,2170,2350,1850,2350,68542,0.0829493087557604
2017-03-03,2350,2700,2275,2700,12299,0.148936170212766
2017-03-06,2895,2895,2700,2890,7937,0.0703703703703704
2017-03-07,2980,3105,2975,3010,4459,0.0415224913494809
2017-03-08,3050,3120,2850,3075,3216,0.021594684385382
2017-03-09,2850,3070,2850,3050,1744,-0.008130081300813
2017-03-10,3170,3170,2595,2680,17551,-0.1213114754098361
2017-03-13,2650,2920,2650,2800,4862,0.0447761194029849
2017-03-14,2520,3110,2520,2620,6823,-0.0642857142857142
2017-03-15,2620,2750,2620,2740,1024,0.0458015267175573
2017-03-16,2740,3100,2700,3000,417,0.0948905109489051
2017-03-17,3000,3295,2550,2690,11919,-0.1033333333333333
2017-03-20,2375,2630,2290,2340,20460,-0.1301115241635687
2017-03-21,2590,2590,2050,2460,20845,0.0512820512820513
2017-03-22,2400,2400,2095,2095,68084,-0.1483739837398373
2017-03-23,2200,2400,2200,2210,2940,0.0548926014319808
2017-03-24,2540,2540,2045,2540,2509,0.1493212669683257
2017-03-27,2895,2900,2700,2700,6901,0.062992125984252
2017-03-28,2945,2945,2800,2890,1937,0.0703703703703704
2017-03-29,2975,2980,2895,2965,2664,0.0259515570934256
2017-03-30,2965,2980,2600,2870,5208,-0.0320404721753794
2017-03-31,2965,3000,2950,2990,8574,0.0418118466898955
2017-04-03,3090,3090,2700,2970,7416,-0.0066889632107023
2017-04-04,3125,3125,2900,3050,8010,0.026936026936027
2017-04-05,2900,3100,2775,2950,5878,-0.0327868852459016
2017-04-06,3045,3045,2760,2775,4718,-0.059322033898305
2017-04-07,2920,2920,2360,2645,49350,-0.0468468468468468
2017-04-10,2640,2685,2590,2640,1743,-0.0018903591682419
2017-04-11,2895,2895,2700,2780,1894,0.0530303030303029
2017-04-12,3045,3045,2655,2890,5185,0.0395683453237409
2017-04-13,2890,2985,2720,2940,5283,0.0173010380622837
2017-04-14,2700,3000,2675,2835,9600,-0.0357142857142857
2017-04-17,2460,2950,2460,2860,1052,0.0088183421516754
2017-04-18,2850,2890,2500,2585,11166,-0.0961538461538461
2017-04-19,2580,2690,2360,2455,8565,-0.0502901353965183
2017-04-20,2435,2590,2310,2590,697,0.054989816700611
2017-04-21,2500,2775,2340,2655,11,0.0250965250965251
2017-04-24,2335,2650,2335,2390,2822,-0.0998116760828625
2017-04-25,2740,2740,2250,2500,1482,0.0460251046025104
2017-04-26,2645,2645,2335,2355,1762,-0.058
2017-04-27,2650,2650,2120,2395,737,0.0169851380042462
2017-04-28,2395,2395,2330,2330,15,-0.0271398747390396
2017-05-02,2480,2495,2300,2400,4486,0.0300429184549355
2017-05-04,2395,2395,2200,2200,206,-0.0833333333333333
2017-05-08,2350,2350,2050,2300,1276,0.0454545454545454
2017-05-10,2350,2350,2125,2170,1315,-0.0565217391304347
2017-05-11,2285,2285,2170,2200,1329,0.0138248847926267
2017-05-12,2245,2245,2055,2055,15,-0.0659090909090909
2017-05-15,2200,2350,2200,2350,728,0.143552311435523
2017-05-16,2350,2500,2350,2500,17,0.0638297872340425
2017-05-17,2690,2690,2450,2450,315,-0.02
2017-05-18,2430,2595,2400,2495,4664,0.0183673469387755
2017-05-19,2400,2400,2400,2400,437,-0.0380761523046092
2017-05-22,2645,2645,2135,2300,3252,-0.0416666666666666
2017-05-23,2200,2500,2100,2490,3881,0.0826086956521738
2017-05-24,2300,2390,2150,2335,1558,-0.0622489959839357
2017-05-25,2280,2280,2185,2185,1374,-0.0642398286937901
2017-05-26,2340,2340,2340,2340,1,0.0709382151029749
2017-05-29,2100,2250,2050,2130,2441,-0.0897435897435897
2017-05-30,2290,2290,2065,2200,3650,0.0328638497652582
2017-05-31,2190,2200,2190,2200,548,0.0
2017-06-01,2100,2200,2100,2200,1829,0.0
