Date,Open,High,Low,Close,Volume,Change
2015-12-15,4000,4600,3400,4600,8405,
2015-12-16,5200,5200,4610,5200,966,0.1304347826086955
2015-12-17,5980,5980,5980,5980,44,0.1499999999999999
2015-12-18,5980,6600,5090,6600,8014,0.1036789297658862
2015-12-21,6410,7000,6410,7000,202,0.0606060606060605
2015-12-22,6600,6600,6600,6600,100,-0.0571428571428571
2015-12-23,6600,6600,6410,6600,153,0.0
2015-12-24,6410,6410,6410,6410,200,-0.0287878787878788
2015-12-28,6600,6600,6600,6600,1,0.0296411856474259
2015-12-29,6410,6600,6410,6600,202,0.0
2015-12-30,6410,6600,6410,6600,201,0.0
2016-01-04,6410,6800,6410,6800,702,0.0303030303030302
2016-01-05,6800,6800,6800,6800,0,0.0
2016-01-06,6610,7000,6610,7000,202,0.0294117647058822
2016-01-07,7500,7500,7500,7500,10,0.0714285714285714
2016-01-08,8000,8000,8000,8000,1,0.0666666666666666
2016-01-11,7410,7410,7410,7410,0,-0.0737499999999999
2016-01-12,8100,8100,8100,8100,3,0.0931174089068826
2016-01-13,7410,7410,7410,7410,0,-0.0851851851851851
2016-01-14,7310,7310,7310,7310,0,-0.0134952766531714
2016-01-15,7000,7000,7000,7000,200,-0.042407660738714
2016-01-18,7000,7000,7000,7000,0,0.0
2016-01-19,7000,7000,7000,7000,0,0.0
2016-01-20,6800,6800,6420,6420,15,-0.0828571428571428
2016-01-21,6420,6420,6420,6420,0,0.0
2016-01-22,6420,6420,6420,6420,0,0.0
2016-01-25,6420,6420,6420,6420,0,0.0
2016-01-26,6420,6420,6420,6420,0,0.0
2016-01-27,6420,6420,6420,6420,0,0.0
2016-01-28,7380,7380,7380,7380,3,0.1495327102803738
2016-01-29,7380,7380,7380,7380,0,0.0
2016-02-01,8480,8480,8480,8480,1,0.1490514905149051
2016-02-02,7400,7400,7400,7400,200,-0.1273584905660377
2016-02-03,7400,7400,7400,7400,0,0.0
2016-02-04,7400,7400,7400,7400,0,0.0
2016-02-05,7400,7400,7400,7400,0,0.0
2016-02-11,7400,7400,7400,7400,0,0.0
2016-02-12,7400,7400,7400,7400,0,0.0
