Date,Open,High,Low,Close,Volume,Change
2023-04-04,6720,6720,5620,6420,4188,-0.0257966616084976
2023-04-05,6600,6600,6210,6460,2413,0.0062305295950155
2023-04-06,6590,6590,6230,6450,2169,-0.001547987616099
2023-04-07,6540,6540,6200,6240,5054,-0.0325581395348837
2023-04-10,6400,6400,5800,6050,11152,-0.0304487179487179
2023-04-11,6060,6210,5600,5930,13710,-0.0198347107438016
2023-04-12,5970,5970,5750,5890,10165,-0.0067453625632377
2023-04-13,5990,6190,5910,6100,8282,0.0356536502546689
2023-04-14,6470,6490,5350,6000,38028,-0.0163934426229508
2023-04-17,5980,6090,5750,5790,28671,-0.035
2023-04-18,5960,5960,5770,5880,9713,0.0155440414507772
2023-04-19,5870,5890,5750,5850,5647,-0.0051020408163264
2023-04-20,5850,5900,5600,5730,15728,-0.0205128205128205
2023-04-21,5700,5700,4900,5140,39605,-0.1029668411867364
2023-04-24,5020,5020,4370,4440,136318,-0.1361867704280155
2023-04-25,4495,4580,4360,4470,22483,0.0067567567567567
2023-04-26,4595,4595,4350,4495,8037,0.005592841163311
2023-04-27,4495,5090,4315,4530,5985,0.0077864293659621
2023-04-28,4660,4900,4455,4700,18110,0.0375275938189845
2023-05-02,4980,4980,4620,4890,9321,0.0404255319148936
2023-05-03,4900,4990,4560,4645,8932,-0.0501022494887525
2023-05-04,4680,4680,4400,4455,12654,-0.0409041980624327
2023-05-08,4585,4585,4320,4415,1669,-0.0089786756453422
2023-05-09,4500,4500,4295,4380,6606,-0.0079275198187995
2023-05-10,4340,4400,4265,4385,9045,0.0011415525114155
2023-05-11,4495,4600,4320,4370,8179,-0.0034207525655644
2023-05-12,4350,4350,4230,4300,1652,-0.0160183066361555
2023-05-15,3655,3655,3655,3655,22828,-0.15
2023-05-16,3110,4090,3110,3605,46859,-0.0136798905608754
2023-05-17,3800,3985,3500,3765,7966,0.044382801664355
2023-05-18,3800,3990,3325,3470,6302,-0.0783532536520584
2023-05-19,3780,3780,3500,3610,2713,0.0403458213256484
2023-05-22,3700,3700,3400,3445,3879,-0.0457063711911357
2023-05-23,3590,3590,3440,3495,714,0.0145137880986938
2023-05-24,3585,3600,3415,3565,805,0.0200286123032904
2023-05-25,3595,3680,3430,3600,2865,0.0098176718092566
2023-05-26,3680,3680,3450,3550,3626,-0.0138888888888888
2023-05-30,3400,3675,3320,3490,1778,-0.0169014084507042
2023-05-31,3425,3520,3400,3520,2258,0.0085959885386819
2023-06-01,3520,3600,3430,3600,3344,0.0227272727272727
2023-06-02,3505,3895,3500,3640,17250,0.011111111111111
2023-06-05,3780,3780,3500,3545,3229,-0.0260989010989011
2023-06-07,3500,3600,3500,3525,11921,-0.005641748942172
2023-06-08,3525,3600,3450,3520,544,-0.001418439716312
2023-06-09,3690,3690,3465,3465,2918,-0.015625
2023-06-12,3670,3980,3325,3980,30759,0.1486291486291486
2023-06-13,4395,4575,4300,4575,62641,0.1494974874371859
2023-06-14,4600,5260,4600,5250,83210,0.1475409836065573
2023-06-15,5660,5730,4735,5240,48438,-0.0019047619047618
2023-06-16,5400,5580,5240,5430,40491,0.0362595419847329
2023-06-19,6000,6000,5150,5790,48957,0.0662983425414365
2023-06-20,6200,6650,6190,6650,55793,0.1485319516407599
2023-06-21,7630,7630,6800,6990,105778,0.0511278195488722
2023-06-22,7050,7420,6810,7280,67562,0.0414878397711016
2023-06-23,7300,7380,6900,7140,42335,-0.0192307692307692
2023-06-26,7690,7690,6840,7300,64766,0.022408963585434
2023-06-27,7300,7420,6210,7100,174981,-0.0273972602739726
2023-06-28,7210,7700,6770,7570,144193,0.0661971830985914
2023-06-29,8940,11800,7600,9150,68468756,0.2087186261558784
2023-06-30,8340,9780,7680,7720,29361170,-0.1562841530054645
2023-07-03,8150,8450,7080,7280,8214442,-0.0569948186528497
2023-07-04,7400,7720,6820,7160,10729663,-0.0164835164835165
2023-07-05,7010,7120,6390,6390,3280475,-0.1075418994413407
2023-07-06,6250,6320,5310,5310,3655564,-0.1690140845070422
2023-07-07,5820,6560,5660,5710,12149290,0.0753295668549904
2023-07-10,5630,5870,5180,5250,1566730,-0.0805604203152364
2023-07-11,5210,5580,5210,5340,2654836,0.0171428571428571
2023-07-12,5650,5950,5400,5410,3063313,0.0131086142322096
2023-07-13,5500,5550,5190,5240,1165634,-0.0314232902033271
2023-07-14,5260,5350,5000,5040,2121491,-0.0381679389312976
2023-07-17,5040,5100,4735,4760,1245872,-0.0555555555555555
2023-07-18,4775,4835,4410,4425,1074842,-0.0703781512605041
2023-07-19,4380,4410,4090,4120,963937,-0.0689265536723163
2023-07-20,4010,4215,4010,4185,509405,0.0157766990291261
2023-07-21,4130,4165,3995,4010,419145,-0.041816009557945
2023-07-24,4000,4000,3605,3640,844218,-0.0922693266832918
2023-07-25,3615,3720,3500,3510,485600,-0.0357142857142857
2023-07-26,3515,3560,3005,3100,691443,-0.1168091168091167
2023-07-27,3055,3145,3050,3080,361243,-0.0064516129032258
2023-07-28,3120,3800,3080,3500,5170822,0.1363636363636364
2023-07-31,3395,4150,3310,3785,6534593,0.0814285714285714
2023-08-01,3780,4040,3680,3740,1649181,-0.0118890356671069
2023-08-02,3745,3930,3520,3545,615408,-0.052139037433155
2023-08-03,3440,3565,3370,3405,397771,-0.0394922425952045
2023-08-04,3300,3585,3290,3415,421735,0.0029368575624082
2023-08-07,3385,4030,3385,3710,3841086,0.0863836017569545
2023-08-08,3710,3710,3460,3480,595100,-0.0619946091644204
2023-08-09,3500,3560,3460,3495,311689,0.0043103448275862
2023-08-10,3510,3515,3380,3405,269128,-0.0257510729613733
2023-08-11,3420,3610,3415,3500,309945,0.0279001468428781
2023-08-14,3495,3545,3440,3470,264392,-0.0085714285714285
2023-08-16,3430,3460,3305,3310,259697,-0.0461095100864553
2023-08-17,3280,3335,3115,3240,197055,-0.0211480362537764
2023-08-18,3270,3350,3180,3220,176492,-0.0061728395061728
2023-08-21,3200,3260,3130,3135,141424,-0.0263975155279503
2023-08-22,3185,3230,3080,3090,181064,-0.0143540669856458
2023-08-23,3100,3820,3070,3700,5642938,0.1974110032362459
2023-08-24,4015,4565,3695,3755,6998745,0.0148648648648648
2023-08-25,3700,3925,3610,3645,772837,-0.0292942743009321
2023-08-28,3640,3690,3500,3645,495232,0.0
2023-08-29,3675,4735,3650,4735,8549960,0.2990397805212619
2023-08-30,5540,5660,4950,4950,14787731,0.0454065469904962
2023-08-31,4880,5040,4730,4730,2165896,-0.0444444444444444
2023-09-01,4765,4770,4245,4245,1355919,-0.1025369978858351
2023-09-04,4240,4280,4050,4065,634021,-0.0424028268551236
2023-09-05,4025,4615,3925,4230,5302885,0.0405904059040589
2023-09-06,4550,5160,4230,4640,11879013,0.0969267139479905
2023-09-07,4420,5930,4200,5190,18066177,0.1185344827586207
2023-09-08,4975,5960,4715,5350,20918600,0.0308285163776493
2023-09-11,5290,5540,5050,5320,3429960,-0.0056074766355139
2023-09-12,5540,5690,5050,5050,5595705,-0.0507518796992481
2023-09-13,4995,5050,4550,4550,1111955,-0.0990099009900989
2023-09-14,4645,5100,4580,4770,2172636,0.0483516483516484
2023-09-15,4790,5460,4740,5150,6374269,0.079664570230608
2023-09-18,5100,5340,4935,4950,2386863,-0.0388349514563106
2023-09-19,4950,4980,4700,4710,768680,-0.0484848484848484
2023-09-20,4720,5300,4655,5030,4908031,0.0679405520169851
2023-09-21,4930,5130,4740,4740,1555991,-0.0576540755467196
2023-09-22,4735,4735,4350,4350,860717,-0.0822784810126582
2023-09-25,4330,4450,3935,3955,753906,-0.0908045977011494
2023-09-26,3940,4045,3725,3805,472110,-0.0379266750948167
2023-09-27,3785,3955,3700,3900,226061,0.0249671484888305
2023-10-04,3710,3740,3400,3405,720335,-0.1269230769230769
2023-10-05,3450,3750,3390,3435,693193,0.0088105726872247
2023-10-06,3495,3980,3465,3680,1856853,0.0713245997088791
2023-10-10,3700,4480,3680,3995,5754811,0.0855978260869565
2023-10-11,4010,4305,4000,4055,1561411,0.0150187734668334
2023-10-12,4150,4235,4000,4080,590900,0.0061652281134401
2023-10-13,4050,4140,3855,4095,477466,0.0036764705882352
2023-10-16,4030,4045,3800,3805,291704,-0.0708180708180707
2023-10-17,3860,3975,3860,3890,184590,0.0223390275952692
2023-10-18,3840,3900,3700,3720,176904,-0.0437017994858611
2023-10-19,3670,3670,3530,3580,201717,-0.0376344086021505
2023-10-20,3570,3940,3555,3645,488401,0.0181564245810055
2023-10-23,3600,3730,3570,3605,137677,-0.0109739368998628
2023-10-24,3675,3950,3645,3835,457678,0.0638002773925103
2023-10-25,3855,4015,3830,3840,399538,0.0013037809647979
2023-10-26,3700,3840,3640,3690,179340,-0.0390625
2023-10-27,3665,3745,3580,3610,171112,-0.021680216802168
2023-10-30,3620,3775,3620,3725,126647,0.0318559556786703
2023-10-31,3825,3910,3670,3830,159568,0.0281879194630871
2023-11-01,3840,3930,3820,3880,201571,0.0130548302872062
2023-11-02,3890,4040,3890,3930,236931,0.0128865979381442
2023-11-03,3970,4000,3845,3870,147585,-0.0152671755725191
2023-11-06,3870,3930,3655,3885,233253,0.003875968992248
2023-11-07,3885,3925,3805,3850,141867,-0.009009009009009
2023-11-08,3850,3920,3750,3765,122767,-0.022077922077922
2023-11-09,3820,3820,3660,3725,83593,-0.0106241699867197
2023-11-10,3725,3740,3560,3640,130208,-0.0228187919463087
2023-11-13,3610,3785,3600,3720,120013,0.0219780219780219
2023-11-14,3670,3790,3670,3720,58906,0.0
2023-11-15,3780,3780,3690,3695,104062,-0.0067204301075268
2023-11-16,3695,3720,3675,3695,62102,0.0
2023-11-17,3680,3700,3560,3580,157514,-0.0311231393775371
2023-11-20,3580,3730,3565,3655,79080,0.020949720670391
2023-11-21,3665,3700,3635,3660,56390,0.0013679890560875
2023-11-22,3660,3660,3570,3640,85143,-0.0054644808743169
2023-11-23,3640,3685,3600,3645,79148,0.0013736263736263
2023-11-24,3645,3680,3575,3595,83201,-0.0137174211248285
2023-11-27,3685,3990,3620,3725,791688,0.0361613351877607
2023-11-28,3725,3740,3585,3620,189543,-0.0281879194630872
2023-11-29,3610,3675,3585,3595,105747,-0.0069060773480662
2023-11-30,3620,3780,3610,3725,157417,0.0361613351877607
2023-12-01,3730,3965,3730,3860,407041,0.036241610738255
2023-12-04,3825,3930,3825,3890,197036,0.0077720207253886
2023-12-05,3850,3970,3760,3830,307342,-0.0154241645244216
2023-12-06,3830,3940,3805,3925,196127,0.0248041775456919
2023-12-07,3945,3955,3885,3915,115905,-0.0025477707006369
2023-12-08,3930,4395,3930,4125,1045704,0.053639846743295
2023-12-11,4135,4320,3960,4205,453279,0.0193939393939392
2023-12-12,4150,4240,4000,4050,232601,-0.0368608799048751
2023-12-13,4000,4030,3790,3945,297563,-0.0259259259259259
2023-12-14,3970,4110,3960,3990,101974,0.0114068441064638
