Date,Open,High,Low,Close,Volume,Change
2023-04-04,13667,13701,13532,13566,13518,-0.0074626865671642
2023-04-05,13566,13768,13532,13769,11505,0.0149638802889577
2023-04-06,13735,13803,13491,13519,13340,-0.0181567288837243
2023-04-07,13519,13668,13492,13526,17549,0.0005177897773502
2023-04-10,13505,13735,13140,13147,29409,-0.0280201094188969
2023-04-11,13262,13424,12890,13154,21234,0.0005324408610329
2023-04-12,13153,13153,12991,13032,19753,-0.0092747453246161
2023-04-13,13024,13024,12909,12991,17738,-0.003146101903008
2023-04-14,12990,13410,12990,13248,17993,0.019782926641521
2023-04-17,13248,13248,13024,13052,24033,-0.0147946859903381
2023-04-18,13018,13106,12862,12944,25404,-0.0082745939319645
2023-04-19,12970,13038,12842,12903,22522,-0.0031674907292954
2023-04-20,12903,12903,12761,12775,23180,-0.009920173603038
2023-04-21,12774,12774,12584,12612,21968,-0.0127592954990215
2023-04-24,12611,12659,12287,12287,22844,-0.0257691087852838
2023-04-25,12287,12382,12179,12247,18635,-0.0032554732644257
2023-04-26,12348,12368,12253,12308,7247,0.0049808116273373
2023-04-27,12307,12307,12171,12199,11363,-0.008856028599285
2023-04-28,12199,12348,12185,12233,6731,0.0027871136978441
2023-05-02,12233,12254,12179,12254,8163,0.0017166680291016
2023-05-03,12254,12517,12193,12457,12054,0.0165660192590175
2023-05-04,12456,12544,12429,12463,9684,0.000481656899735
2023-05-08,12463,12510,12381,12497,8444,0.0027280751023028
2023-05-09,12503,12503,12253,12294,16130,-0.0162438985356485
2023-05-10,12300,12442,12253,12287,10120,-0.0005693834390759
2023-05-11,12442,12442,12321,12382,11222,0.0077317490030113
2023-05-12,12436,12436,12247,12281,11474,-0.0081570020998222
2023-05-15,12287,12395,12199,12247,14803,-0.0027685041934696
2023-05-16,12375,12375,12240,12342,8777,0.0077570017147057
2023-05-17,12369,12369,12254,12342,8611,0.0
2023-05-18,12368,12422,12294,12416,13566,0.0059957867444497
2023-05-19,12328,12443,12314,12416,7006,0.0
2023-05-22,12327,12564,12327,12551,11072,0.0108730670103092
2023-05-23,12564,12564,12510,12558,9711,0.0005577244841048
2023-05-24,12577,12577,12402,12402,10473,-0.0124223602484472
2023-05-25,12409,12409,12321,12369,7968,-0.0026608611514271
2023-05-26,12483,12483,12307,12355,11407,-0.0011318619128466
2023-05-30,12476,12476,12320,12436,9987,0.0065560501821124
2023-05-31,12476,12585,12409,12470,12785,0.002733998070119
2023-06-01,12469,12578,12402,12578,9303,0.0086607858861267
2023-06-02,12706,12706,12462,12693,8610,0.0091429480044522
2023-06-05,12693,12720,12632,12673,8850,-0.0015756716300322
2023-06-07,12598,12855,12598,12680,11048,0.0005523554012467
2023-06-08,12679,12733,12564,12673,15155,-0.000552050473186
2023-06-09,12673,12734,12558,12619,16498,-0.0042610273810462
2023-06-12,12618,12618,12483,12605,13897,-0.0011094381488232
2023-06-13,12517,12646,12497,12592,18659,-0.0010313367711225
2023-06-14,12537,12551,12348,12355,17880,-0.0188214739517154
2023-06-15,12253,12409,12240,12301,7519,-0.0043707001214083
2023-06-16,12300,12402,12300,12355,12819,0.0043898870010568
2023-06-19,12354,12354,12192,12267,14678,-0.0071226224200728
2023-06-20,12213,12517,12213,12423,15672,0.012717045732453
2023-06-21,12355,12720,12341,12558,17178,0.0108669403525718
2023-06-22,12558,12822,12558,12660,16181,0.0081223124701386
2023-06-23,12598,12767,12246,12382,24742,-0.0219589257503949
2023-06-26,12382,12382,12254,12254,24415,-0.0103375868195768
2023-06-27,12185,12490,12178,12233,22295,-0.0017137261302432
2023-06-28,12274,12294,12179,12227,17694,-0.0004904765797433
2023-06-29,12233,12266,11982,12003,21494,-0.0183201112292467
2023-06-30,12070,12084,11935,12084,14456,0.0067483129217695
2023-07-03,11955,12111,11955,12091,13497,0.0005792783846407
2023-07-04,12145,12145,11868,12044,20354,-0.0038871888181292
2023-07-05,11929,11996,11841,11929,16448,-0.0095483228163401
2023-07-06,11847,11854,11569,11624,30977,-0.0255679436666945
2023-07-07,11576,11637,11333,11333,17424,-0.0250344115622849
2023-07-10,11313,11469,11164,11469,13179,0.0120003529515573
2023-07-11,11475,11698,11434,11455,12488,-0.001220681837998
2023-07-12,11380,11468,11285,11367,19061,-0.007682234831951
2023-07-13,11299,11367,11245,11320,21845,-0.0041347761062725
2023-07-14,11239,11367,11232,11327,23038,0.0006183745583039
2023-07-17,11299,11299,11150,11225,22921,-0.0090050322238898
2023-07-18,11252,11252,11001,11117,33852,-0.0096213808463251
2023-07-19,10994,11238,10866,11225,36392,0.0097148511289015
2023-07-20,11164,11164,10968,11063,16596,-0.0144320712694877
2023-07-21,11096,11096,10880,11090,23708,0.0024405676579588
2023-07-24,11130,11130,10784,10812,28964,-0.0250676284941389
2023-07-25,10812,11096,10589,11029,43108,0.0200702922678506
2023-07-26,11028,11028,10149,10995,69216,-0.0030827817571855
2023-07-27,10994,11150,10757,11069,19368,0.0067303319690767
2023-07-28,11184,11265,10730,11245,12495,0.0159002619929533
2023-07-31,11245,11272,11036,11185,17826,-0.00533570475767
2023-08-01,11205,11502,11205,11469,25444,0.0253911488600804
2023-08-02,11495,11718,11373,11685,26564,0.0188333769291133
2023-08-03,11597,11604,11320,11327,23728,-0.03063756953359
2023-08-04,11326,11489,11029,11239,17274,-0.007769047408846
2023-08-07,11326,11326,11130,11252,10390,0.0011566865379482
2023-08-08,11164,11326,10893,11164,23501,-0.0078208318521151
2023-08-09,11170,11536,10994,11279,24865,0.0103009673951988
2023-08-10,11523,11834,11232,11618,47333,0.0300558560156041
2023-08-11,11739,11841,11611,11611,20249,-0.0006025133413668
2023-08-14,11611,11611,11394,11503,9637,-0.0093015244165015
2023-08-16,11503,11570,11286,11503,23622,0.0
2023-08-17,11407,11482,11137,11232,11635,-0.0235590715465531
2023-08-18,11272,11272,11041,11272,9640,0.0035612535612534
2023-08-21,11137,11259,11137,11212,7976,-0.0053229240596167
2023-08-22,11231,11231,11049,11137,11212,-0.0066892615055298
2023-08-23,11164,11299,11049,11144,7053,0.0006285355122563
2023-08-24,11110,11252,11062,11198,5961,0.0048456568557071
2023-08-25,11231,11231,11042,11144,3094,-0.0048222896945883
2023-08-28,11218,11265,11049,11178,9483,0.0030509691313711
2023-08-29,11177,11333,11177,11320,8743,0.0127035247808193
2023-08-30,11319,11448,11252,11374,13005,0.0047703180212013
2023-08-31,11373,11380,11231,11252,8216,-0.0107262176894672
2023-09-01,11251,11387,11170,11272,9057,0.0017774617845716
2023-09-04,11279,11340,11171,11171,11741,-0.0089602555003548
2023-09-05,11097,11306,11063,11300,9533,0.011547757586608
2023-09-06,11191,11502,11191,11428,13475,0.0113274336283186
2023-09-07,11427,11481,11305,11448,8392,0.0017500875043752
2023-09-08,11462,11462,11306,11442,6382,-0.000524109014675
2023-09-11,11313,11435,11245,11435,7473,-0.0006117811571403
2023-09-12,11272,11489,11272,11489,6564,0.004722343681679
2023-09-13,11414,11671,11245,11509,10285,0.0017407955435633
2023-09-14,11475,11536,11441,11482,5874,-0.0023459900947084
2023-09-15,11421,11536,11421,11469,6078,-0.0011322069325901
2023-09-18,11468,11468,11306,11381,3876,-0.0076728572674165
2023-09-19,11245,11421,11245,11367,5209,-0.0012301203760654
2023-09-20,11367,11367,11232,11300,10710,-0.005894255300431
2023-09-21,11265,11394,11096,11178,18644,-0.010796460176991
2023-09-22,11151,11151,10494,10894,14058,-0.0254070495616389
2023-09-25,10893,10893,10589,10806,30240,-0.0080778410134019
2023-09-26,10805,10805,10575,10623,7924,-0.0169350360910605
2023-09-27,10189,10690,10189,10623,12368,0.0
2023-10-04,10460,10460,10236,10406,14622,-0.0204273745646239
2023-10-05,10291,10419,10216,10386,11200,-0.0019219680953296
2023-10-06,10156,10420,10149,10373,19887,-0.0012516849605237
2023-10-10,10399,10399,10101,10149,19598,-0.0215945242456376
2023-10-11,10155,10311,10155,10271,5667,0.012020888757513
2023-10-12,10277,10351,10182,10257,8605,-0.0013630610456625
2023-10-13,10183,10257,10101,10217,17416,-0.0038997757628936
2023-10-16,10217,10217,9885,10082,18736,-0.0132132719976509
2023-10-17,10013,10155,9946,10149,11183,0.0066455068438802
2023-10-18,10149,10277,9817,10183,13695,0.0033500837520938
2023-10-19,10183,10183,9858,9953,15063,-0.0225866640479229
2023-10-20,9865,11097,9588,9852,315068,-0.010147694162564
2023-10-23,9851,10095,9587,9784,20817,-0.0069021518473406
2023-10-24,9600,9891,9600,9885,16439,0.0103229762878167
2023-10-25,9811,9939,9811,9933,11555,0.004855842185129
2023-10-26,9804,9817,9587,9723,16354,-0.0211416490486258
2023-10-27,9709,9709,9493,9527,30429,-0.0201583873290136
2023-10-30,9533,9540,9439,9500,16633,-0.0028340505930513
2023-10-31,9581,9581,9317,9473,15836,-0.0028421052631578
2023-11-01,9459,9472,9289,9459,8961,-0.0014778845138815
2023-11-02,9473,9615,9459,9473,12745,0.001480071889206
2023-11-03,9473,9608,9473,9473,13872,0.0
2023-11-06,9682,9682,9472,9588,26835,0.0121397656497412
2023-11-07,9540,9648,9472,9493,13503,-0.0099082186065915
2023-11-08,9512,10027,9512,9858,28265,0.0384493837564521
2023-11-09,9885,9885,9668,9784,7377,-0.0075065936295394
2023-11-10,9614,9715,9567,9655,10585,-0.0131847914963205
2023-11-13,9742,9783,9539,9594,6629,-0.0063179699637493
2023-11-14,9600,9749,9337,9716,10327,0.0127162810089638
2023-11-15,9716,10007,9716,9980,20091,0.0271716755866611
2023-11-16,9952,10196,9898,10176,14700,0.0196392785571142
2023-11-17,10224,10224,9946,10082,21009,-0.0092374213836478
2023-11-20,10081,10223,10020,10122,14020,0.0039674667724658
2023-11-21,10122,10277,10122,10244,11395,0.0120529539616676
2023-11-22,10244,10285,10183,10285,4405,0.0040023428348301
2023-11-23,10351,10351,10162,10176,7180,-0.010597958191541
2023-11-24,10176,10243,10081,10149,10803,-0.0026533018867924
2023-11-27,10176,10345,10115,10285,9349,0.0134003350083751
2023-11-28,10183,10339,10183,10339,6017,0.0052503646086534
2023-11-29,10338,10359,10189,10359,10571,0.0019344230583229
2023-11-30,10366,10677,10359,10657,13139,0.0287672555265952
2023-12-01,10690,11752,10622,11367,136168,0.0666228769822652
2023-12-04,11387,11671,11028,11448,85336,0.007125890736342
2023-12-05,11340,12111,11340,11503,86174,0.0048043326345212
2023-12-06,11502,12179,11435,12132,69903,0.0546813874641398
2023-12-07,12131,12876,11942,12876,194538,0.0613254203758655
2023-12-08,14209,14209,13025,13871,409076,0.0772755514134824
2023-12-11,13802,13938,12537,13309,240836,-0.0405161848460817
2023-12-12,13296,15224,13187,15123,653972,0.1362987452100081
2023-12-13,15495,16679,15156,15935,750996,0.0536930503207035
2023-12-14,16577,17356,16307,17356,289003,0.0891747725133353
2023-12-15,17220,17355,16239,16645,205379,-0.0409656602903895
2023-12-18,16949,17220,16306,16307,181513,-0.0203063983178131
2023-12-19,16543,17253,15291,15968,600332,-0.0207886183847427
2023-12-20,16069,18133,15900,17829,693739,0.1165455911823647
2023-12-21,17457,19081,16983,18574,676798,0.0417858545067024
2023-12-22,18743,19521,17626,18168,505297,-0.0218585118983525
2023-12-26,17930,18133,16848,17897,419533,-0.0149163364156759
2023-12-27,17727,18506,17254,17525,343755,-0.0207856065262334
2023-12-28,17761,19182,17761,18066,554534,0.030870185449358
2024-01-02,18539,19283,17997,19182,360210,0.0617734971770176
2024-01-03,18742,19080,17084,17863,294635,-0.0687623813992284
2024-01-04,17422,17896,16949,17389,301197,-0.0265352964227733
2024-01-05,17119,18235,17085,17965,157646,0.03312438898154
2024-01-08,18370,18539,17253,17592,185718,-0.0207625939326467
2024-01-09,18235,18777,17491,18777,223062,0.0673601637107776
2024-01-10,18945,19520,18471,19250,253174,0.0251903925014644
2024-01-11,19317,19926,18235,19250,389389,0.0
2024-01-12,18945,19114,18066,18269,148159,-0.0509610389610389
2024-01-15,18099,18505,17456,18404,106519,0.0073895670261097
2024-01-16,18167,18167,16713,16713,235380,-0.091882199521843
2024-01-17,16644,17118,16205,16442,157753,-0.0162149225154071
2024-01-18,16307,17254,16239,16713,93617,0.0164821797834813
2024-01-19,16408,17119,16307,16341,72566,-0.0222581224196732
2024-01-22,16340,17491,15901,16341,243463,0.0
2024-01-23,16340,16679,15562,15732,172896,-0.0372682210391041
2024-01-24,15731,16780,14885,15833,317668,0.0064200355962369
2024-01-25,15833,15833,15088,15258,122384,-0.0363165540327165
2024-01-26,15257,16340,15257,15799,89025,0.0354568095425351
2024-01-29,15765,16036,14615,15089,135775,-0.0449395531362744
2024-01-30,15562,15562,14615,14886,43458,-0.013453509178872
2024-01-31,15427,16442,15156,15258,174241,0.0249899234179766
2024-02-01,15258,15901,14480,14717,91422,-0.035456809542535
2024-02-02,14919,15697,14649,15292,53466,0.0390704627301758
2024-02-05,15630,15630,13803,13905,125985,-0.0907010201412503
2024-02-06,13836,13836,12740,13336,271473,-0.0409205321826681
2024-02-07,13491,13803,13397,13634,114434,0.0223455308938211
2024-02-08,13667,13667,13078,13363,136302,-0.0198767786416311
2024-02-13,13532,13566,12937,13005,171942,-0.0267903913791812
2024-02-14,12842,13566,12659,13411,158079,0.0312187620146098
2024-02-15,13565,15934,13308,15359,712558,0.1452538960554767
2024-02-16,15866,16035,14987,15021,173961,-0.0220066410573605
2024-02-19,15190,15765,14683,14886,206627,-0.0089874176153385
2024-02-20,15223,15832,14615,14818,177184,-0.0045680505172644
2024-02-21,14817,14817,13904,14006,165749,-0.0547982183830476
2024-02-22,14006,14141,13600,13871,164692,-0.0096387262601742
2024-02-23,13803,14073,13566,13871,136448,0.0
2024-02-26,13870,14005,13532,13735,50909,-0.0098046283613293
2024-02-27,13769,14581,13600,14412,134338,0.0492901346923917
2024-02-28,14445,15223,14073,15156,266915,0.0516236469608659
2024-02-29,15494,15629,14682,14953,147568,-0.0133940353655318
2024-03-04,15122,15122,14445,14581,102416,-0.0248779509128602
2024-03-05,14716,16137,14276,14581,392652,0.0
2024-03-06,14581,15055,14040,14074,140467,-0.0347712776901447
2024-03-07,14310,14310,13139,13160,257063,-0.0649424470655108
2024-03-08,13363,13837,12862,13702,98417,0.0411854103343465
2024-03-11,13362,13802,13349,13532,51882,-0.0124069478908188
2024-03-12,13566,14378,13397,13668,104311,0.0100502512562814
2024-03-13,13938,14581,13803,14006,211588,0.0247292947029558
2024-03-14,14445,14784,13837,13837,136197,-0.0120662573182921
2024-03-15,13870,14006,13038,13228,150997,-0.0440124304401242
2024-03-18,13140,13356,13004,13316,45079,0.006652555185969
2024-03-19,13362,13383,12862,13072,111239,-0.0183238209672574
2024-03-20,13072,13112,12409,12470,178175,-0.0460526315789473
2024-03-21,12490,12855,12490,12727,50860,0.0206094627105051
2024-03-22,12808,12808,12449,12592,33226,-0.010607370157932
