Date,Open,High,Low,Close,Volume,Change
2016-09-08,2065,2075,2029,2050,1014265,
2016-09-09,2060,2065,2055,2060,125778,0.0048780487804878
2016-09-12,2055,2065,2055,2055,9771,-0.0024271844660194
2016-09-13,2060,2060,2055,2055,7442,0.0
2016-09-19,2055,2060,2049,2055,38055,0.0
2016-09-20,2055,2060,2050,2060,38206,0.002433090024331
2016-09-21,2055,2055,2055,2055,1505,-0.0024271844660194
2016-09-22,2055,2055,2049,2055,219,0.0
2016-09-23,2050,2055,2050,2050,5308,-0.0024330900243308
2016-09-26,2055,2060,2055,2055,11072,0.0024390243902439
2016-09-27,2049,2055,2049,2055,4271,0.0
2016-09-28,2060,2060,2060,2060,1,0.002433090024331
2016-09-29,2044,2060,2044,2055,376,-0.0024271844660194
2016-09-30,2055,2060,2044,2055,6943,0.0
2016-10-04,2055,2055,2049,2055,745,0.0
2016-10-05,2055,2055,2044,2055,3748,0.0
2016-10-06,2055,2060,2049,2055,2819,0.0
2016-10-07,2055,2055,2050,2050,1067,-0.0024330900243308
2016-10-10,0,0,0,2050,0,0.0
2016-10-11,0,0,0,2050,0,0.0
2016-10-12,0,0,0,2050,0,0.0
2016-10-13,0,0,0,2050,0,0.0
2016-10-14,0,0,0,2050,0,0.0
2016-10-17,0,0,0,2050,0,0.0
2016-10-18,0,0,0,2050,0,0.0
2016-10-19,0,0,0,2050,0,0.0
2016-10-20,0,0,0,2050,0,0.0
2016-10-21,0,0,0,2050,0,0.0
2016-10-24,0,0,0,2050,0,0.0
2016-10-25,0,0,0,2050,0,0.0
2016-10-26,0,0,0,2050,0,0.0
2016-10-27,0,0,0,2050,0,0.0
2016-10-28,0,0,0,2050,0,0.0
2016-10-31,0,0,0,2050,0,0.0
2016-11-01,0,0,0,2050,0,0.0
2016-11-02,0,0,0,2050,0,0.0
2016-11-03,0,0,0,2050,0,0.0
2016-11-04,0,0,0,2050,0,0.0
2016-11-07,0,0,0,2050,0,0.0
2016-11-08,0,0,0,2050,0,0.0
2016-11-09,0,0,0,2050,0,0.0
2016-11-10,0,0,0,2050,0,0.0
2016-11-11,0,0,0,2050,0,0.0
2016-11-14,0,0,0,2050,0,0.0
2016-11-15,0,0,0,2050,0,0.0
2016-11-16,0,0,0,2050,0,0.0
2016-11-17,0,0,0,2050,0,0.0
2016-11-18,0,0,0,2050,0,0.0
2016-11-21,0,0,0,2050,0,0.0
2016-11-22,0,0,0,2050,0,0.0
2016-11-23,0,0,0,2050,0,0.0
2016-11-24,0,0,0,2050,0,0.0
2016-11-25,0,0,0,2050,0,0.0
2016-11-28,0,0,0,2050,0,0.0
2016-11-29,0,0,0,2050,0,0.0
2016-11-30,0,0,0,2050,0,0.0
2016-12-01,0,0,0,2050,0,0.0
2016-12-02,0,0,0,2050,0,0.0
2016-12-05,0,0,0,2050,0,0.0
2016-12-06,0,0,0,2050,0,0.0
2016-12-07,0,0,0,2050,0,0.0
2016-12-08,0,0,0,2050,0,0.0
2016-12-09,0,0,0,2050,0,0.0
2016-12-12,0,0,0,2050,0,0.0
2016-12-13,0,0,0,2050,0,0.0
2016-12-14,0,0,0,2050,0,0.0
2016-12-15,2050,2050,2010,2020,303218,-0.0146341463414634
2016-12-16,1990,2020,1990,2010,79680,-0.0049504950495049
2016-12-19,2000,2015,1995,2005,50081,-0.0024875621890547
2016-12-20,2000,2010,1995,2005,68961,0.0
2016-12-21,2000,2000,1995,1995,106451,-0.0049875311720698
2016-12-22,1995,2000,1990,1990,18214,-0.0025062656641604
2016-12-23,1985,2000,1985,2000,31259,0.0050251256281406
2016-12-26,2005,2005,1995,2005,88275,0.0024999999999999
2016-12-27,2000,2010,2000,2000,56199,-0.0024937655860348
2016-12-28,2000,2000,1990,1990,517,-0.005
2016-12-29,1995,2000,1990,2000,24767,0.0050251256281406
2017-01-02,1990,2080,1990,1990,6765,-0.005
2017-01-03,1990,2010,1990,2000,13407,0.0050251256281406
2017-01-04,2005,2010,2000,2005,905,0.0024999999999999
2017-01-05,2005,2005,1990,2005,13584,0.0
2017-01-06,2005,2005,1995,2005,2848,0.0
2017-01-09,1995,2000,1995,2000,4504,-0.0024937655860348
2017-01-10,1995,2000,1995,1995,24536,-0.0024999999999999
2017-01-11,1995,2000,1995,2000,6210,0.0025062656641603
2017-01-12,1995,2000,1995,2000,7059,0.0
2017-01-13,2000,2000,1995,1995,2274,-0.0024999999999999
2017-01-16,1995,2000,1995,2000,8632,0.0025062656641603
2017-01-17,1995,1995,1990,1995,3420,-0.0024999999999999
2017-01-18,1990,2000,1990,1995,3478,0.0
2017-01-19,1990,2025,1990,2010,226283,0.0075187969924812
2017-01-20,2020,2080,1990,2035,444354,0.0124378109452736
2017-01-23,2035,2045,1990,2015,211858,-0.0098280098280097
2017-01-24,2000,2005,1990,2005,47429,-0.0049627791563275
2017-01-25,1990,2005,1945,2005,88173,0.0
2017-01-26,2005,2005,1900,1935,193053,-0.0349127182044888
2017-01-31,1910,1995,1910,1975,127135,0.0206718346253229
2017-02-01,1955,2005,1955,1980,22623,0.0025316455696202
2017-02-02,1985,2000,1955,1980,17781,0.0
2017-02-03,1965,1980,1900,1955,57132,-0.0126262626262626
2017-02-06,1910,1980,1910,1965,27571,0.0051150895140665
2017-02-07,1925,1980,1925,1940,47186,-0.0127226463104325
2017-02-08,1930,1950,1920,1950,19357,0.0051546391752577
2017-02-09,1950,1975,1940,1975,38940,0.0128205128205127
2017-02-10,1980,1980,1950,1960,24146,-0.0075949367088608
2017-02-13,1960,1995,1950,1990,9762,0.0153061224489796
2017-02-14,1955,1995,1955,1975,34344,-0.007537688442211
2017-02-15,1950,1990,1930,1940,53197,-0.0177215189873417
2017-02-16,1930,1975,1930,1935,23866,-0.0025773195876288
2017-02-17,1935,1950,1935,1945,6551,0.0051679586563306
2017-02-20,1940,1965,1940,1955,10239,0.0051413881748072
2017-02-21,1945,1975,1940,1955,6260,0.0
2017-02-22,1970,1970,1895,1920,77037,-0.0179028132992327
