Date,Open,High,Low,Close,Volume,Change
2017-09-20,14292,17569,11645,11797,5426872,
2017-09-21,12250,12905,10687,11419,1296978,-0.032042044587607
2017-09-22,11292,11494,10309,10839,675768,-0.0507925387512041
2017-09-25,11469,11670,10359,10889,669631,0.0046129716763538
2017-09-26,10637,11242,10359,11091,498869,0.0185508311139681
2017-09-27,11166,11216,10158,10183,500356,-0.081868181408349
2017-09-28,10183,10284,9376,9503,413445,-0.0667779632721201
2017-09-29,9502,9679,9099,9579,240175,0.0079974744817425
2017-10-10,9654,9805,9099,9780,357375,0.0209834011901033
2017-10-11,9754,10385,9603,9982,400500,0.0206543967280163
2017-10-12,10007,10007,9402,9452,258769,-0.0530955720296534
2017-10-13,9452,9628,9099,9125,212396,-0.0345958527295809
2017-10-16,9150,9200,8368,8469,263214,-0.0718904109589041
2017-10-17,8444,8746,8368,8469,169519,0.0
2017-10-18,8469,8570,7940,8091,284234,-0.0446333687566419
2017-10-19,8192,9099,8015,8419,793342,0.0405388703497713
2017-10-20,8318,8368,8066,8142,293031,-0.0329017698063902
2017-10-23,8343,8696,8292,8520,318920,0.0464259395725865
2017-10-24,8595,8998,8494,8545,351154,0.0029342723004694
2017-10-25,8645,8923,8469,8923,199910,0.044236395552955
2017-10-26,8923,9099,8645,8721,247620,-0.022638126190743
2017-10-27,8746,8822,8570,8671,153396,-0.0057332874670336
2017-10-30,8746,8771,8494,8520,110825,-0.0174143697382078
2017-10-31,8595,8595,8292,8444,109275,-0.0089201877934271
2017-11-01,8570,10838,8494,9730,3972969,0.1522974893415443
2017-11-02,9654,9830,9276,9831,793428,0.0103802672147996
2017-11-03,9780,10057,9301,9730,694028,-0.010273624249822
2017-11-06,9704,10561,9628,10032,1006693,0.03103802672148
2017-11-07,10158,10964,10032,10688,1193188,0.065390749601276
2017-11-08,10738,10788,10057,10133,519380,-0.0519273952095807
2017-11-09,10082,10511,9830,10385,414585,0.0248692391197078
2017-11-10,10511,10611,9981,10083,343801,-0.0290804044294655
2017-11-13,10133,10284,9981,10057,233832,-0.0025785976395913
2017-11-14,10057,10208,9931,10108,258583,0.0050710947598686
2017-11-15,10107,10133,9578,9654,349826,-0.0449149188761377
2017-11-16,9704,10334,9578,10234,440630,0.0600787238450384
2017-11-17,10259,10536,10107,10259,365023,0.0024428376001564
2017-11-20,10435,10561,10183,10436,241507,0.0172531435812457
2017-11-21,10637,11141,10511,10889,774049,0.0434074357991567
2017-11-22,11040,11922,10914,11847,1217644,0.0879786940949582
2017-11-23,12300,12678,11494,11797,775401,-0.0042204777580822
2017-11-24,11796,12200,11620,11872,348212,0.006357548529287
2017-11-27,12023,12653,11922,12654,526245,0.0658692722371967
2017-11-28,12653,12729,11947,11948,457730,-0.0557926347400031
2017-11-29,11771,12023,11065,11671,340503,-0.0231837964512888
2017-11-30,11544,11620,11065,11091,276674,-0.049695827264159
2017-12-01,11267,11821,10914,11822,197766,0.0659092958254441
2017-12-04,11847,12225,11418,12225,239725,0.034088986635087
2017-12-05,12099,12477,11897,12074,215891,-0.0123517382413087
2017-12-06,12124,12401,11418,11595,352138,-0.0396720225277456
2017-12-07,11469,11595,10738,11091,296297,-0.0434670116429495
2017-12-08,11242,11242,10561,10637,165941,-0.0409340907041745
2017-12-11,10637,10738,10208,10587,141944,-0.0047005734699633
2017-12-12,10637,10864,10359,10788,120916,0.01898554831397
2017-12-13,10864,10990,10511,10587,96191,-0.0186318131256951
2017-12-14,10536,10788,10460,10536,82440,-0.0048172286766789
2017-12-15,10687,11317,10410,11091,198701,0.0526765375854214
2017-12-18,11166,11317,10889,10965,99244,-0.0113605626183391
2017-12-19,11065,11065,10334,10536,139205,-0.0391244870041039
2017-12-20,10561,10637,10107,10183,106262,-0.0335041761579346
2017-12-21,10007,10133,9477,9579,206107,-0.0593145438475891
2017-12-22,9326,9729,9301,9579,98821,0.0
2017-12-26,9477,9805,9376,9679,123997,0.0104395030796533
2017-12-27,9628,10284,9628,10234,111834,0.057340634363054
2017-12-28,10233,10536,10183,10461,59917,0.0221809654094196
2018-01-02,10637,10662,10435,10536,63741,0.0071694866647546
2018-01-03,10536,10813,10284,10814,104060,0.0263857251328778
2018-01-04,10838,11191,10738,10788,125789,-0.0024042907342334
2018-01-05,11065,11317,10864,11066,145531,0.0257693733778272
2018-01-08,11166,11216,10864,10889,93894,-0.0159949394541839
