Date,Open,High,Low,Close,Volume,Change
2023-04-04,15700,17990,15540,16990,3643937,0.1281540504648075
2023-04-05,16970,16970,16000,16320,701077,-0.0394349617422012
2023-04-06,16240,16900,16100,16380,417519,0.0036764705882352
2023-04-07,16380,16860,16110,16640,463633,0.0158730158730158
2023-04-10,17060,17380,16500,16740,566906,0.0060096153846154
2023-04-11,17490,18230,17230,17630,1207260,0.0531660692951014
2023-04-12,17600,17600,16450,16460,520751,-0.0663641520136131
2023-04-13,16720,17280,16690,16960,470707,0.0303766707168893
2023-04-14,17250,17260,16550,16880,296110,-0.0047169811320755
2023-04-17,16750,17200,16420,16990,276215,0.0065165876777251
2023-04-18,17270,17780,16990,17720,767851,0.0429664508534433
2023-04-19,18000,21350,17850,19810,5024809,0.1179458239277653
2023-04-20,19830,19830,18050,18240,1013630,-0.0792529025744573
2023-04-21,17910,17940,16910,16910,614090,-0.0729166666666666
2023-04-24,16910,17030,16100,16120,403376,-0.0467179183914843
2023-04-25,16230,16270,15450,15680,356318,-0.0272952853598015
2023-04-26,15640,15780,15160,15180,222849,-0.0318877551020407
2023-04-27,15110,15730,14840,15580,270483,0.0263504611330698
2023-04-28,15720,15840,15020,15220,200014,-0.0231065468549421
2023-05-02,15020,16030,15020,15780,176180,0.0367936925098555
2023-05-03,15700,16140,15580,15730,127987,-0.003168567807351
2023-05-04,15540,15990,15490,15830,136215,0.0063572790845518
2023-05-08,16410,16410,15790,15800,124190,-0.0018951358180669
2023-05-09,15800,15810,15090,15430,220035,-0.0234177215189873
2023-05-10,15380,15870,15220,15490,116433,0.0038885288399221
2023-05-11,16300,16650,15930,16390,371565,0.0581020012911555
2023-05-12,16450,17130,16360,16780,307926,0.0237949969493593
2023-05-15,16820,17280,16510,16890,304698,0.0065554231227651
2023-05-16,17000,17080,16640,16760,150427,-0.0076968620485494
2023-05-17,16770,16840,16610,16800,116516,0.0023866348448686
2023-05-18,17000,17360,16890,16970,227060,0.0101190476190475
2023-05-19,17020,17140,16110,16310,271966,-0.0388921626399528
2023-05-22,16270,16660,16000,16570,161872,0.0159411404046596
2023-05-23,16600,17070,16600,16900,206051,0.019915509957755
2023-05-24,16830,16940,16600,16730,87205,-0.0100591715976331
2023-05-25,16810,17480,16750,17010,327312,0.0167364016736402
2023-05-26,17010,17210,16710,16910,148161,-0.0058788947677836
2023-05-30,17140,17140,16400,16830,210610,-0.0047309284447072
2023-05-31,16920,17080,16800,16990,107466,0.0095068330362448
2023-06-01,17110,17110,16750,17020,116027,0.0017657445556209
2023-06-02,17030,17210,16810,16900,176631,-0.0070505287896591
2023-06-05,16990,17430,16880,17210,192589,0.0183431952662722
2023-06-07,17210,17360,17090,17360,177615,0.0087158628704242
2023-06-08,17360,17460,16850,16950,201091,-0.0236175115207373
2023-06-09,17130,17360,17100,17260,175127,0.0182890855457227
2023-06-12,17540,18220,17360,18140,558630,0.0509849362688297
2023-06-13,18370,18610,17890,17990,432384,-0.0082690187431091
2023-06-14,18010,18180,17070,17300,340268,-0.0383546414674819
2023-06-15,17320,17780,17130,17470,144708,0.0098265895953757
2023-06-16,17470,17520,17120,17420,118422,-0.0028620492272467
2023-06-19,17340,17400,16860,16890,172939,-0.0304247990815155
2023-06-20,16700,16890,16570,16660,131126,-0.0136175251628182
2023-06-21,16920,16980,16600,16660,111048,0.0
2023-06-22,16660,16780,16490,16490,96775,-0.010204081632653
2023-06-23,16500,16590,15970,16000,134678,-0.0297149787750151
2023-06-26,16220,16740,16190,16270,143151,0.0168749999999999
2023-06-27,16390,17170,16380,17100,259118,0.0510141364474492
2023-06-28,17240,17380,17000,17000,196930,-0.0058479532163743
2023-06-29,17000,17020,16550,16730,115615,-0.0158823529411764
2023-06-30,16850,17180,16500,17020,110750,0.0173341303048415
2023-07-03,17300,17950,17210,17740,306169,0.0423031727379552
2023-07-04,18500,20200,18150,19500,2388121,0.0992108229988726
2023-07-05,19280,19600,18450,19060,762673,-0.0225641025641025
2023-07-06,19150,19900,19110,19450,680334,0.0204616998950681
2023-07-07,19350,19450,18670,18720,294676,-0.0375321336760925
2023-07-10,18730,19690,18050,18940,476557,0.0117521367521367
2023-07-11,19390,19940,19030,19600,520415,0.0348468848996832
