Date,Open,High,Low,Close,Volume,Change
2018-11-20,3785,3850,3055,3115,17144386,
2018-11-21,3015,3040,2815,2830,2806248,-0.0914927768860353
2018-11-22,2850,2880,2635,2665,1706154,-0.058303886925795
2018-11-23,2665,2925,2630,2670,4726628,0.0018761726078799
2018-11-26,2705,2775,2560,2585,2024792,-0.0318352059925093
2018-11-27,2595,2610,2500,2520,700498,-0.0251450676982591
2018-11-28,2540,2565,2435,2473,705140,-0.0186507936507936
2018-11-29,2505,2520,2400,2400,872230,-0.0295188030731904
2018-11-30,2420,2475,2385,2400,645136,0.0
2018-12-03,2425,2465,2400,2418,398096,0.0075
2018-12-04,2422,2565,2402,2478,1288194,0.0248138957816377
2018-12-05,2420,2475,2400,2428,438178,-0.0201775625504438
2018-12-06,2427,2447,2270,2270,558800,-0.0650741350906095
2018-12-07,2297,2322,2190,2205,381232,-0.0286343612334801
2018-12-10,2195,2260,2137,2180,194564,-0.0113378684807256
2018-12-11,2210,2500,2192,2253,2341524,0.0334862385321101
2018-12-12,2260,2267,2177,2233,270106,-0.0088770528184642
2018-12-13,2252,2280,2187,2195,344444,-0.0170174652933273
2018-12-14,2182,2212,2072,2073,325236,-0.0555808656036446
2018-12-17,2075,2222,2072,2155,397288,0.039556198745779
2018-12-18,2135,2135,2055,2063,320470,-0.042691415313225
2018-12-19,2080,2110,2052,2065,142354,0.0009694619486184
2018-12-20,2050,2170,2035,2065,267340,0.0
2018-12-21,2065,2172,2050,2150,299744,0.0411622276029055
2018-12-24,2150,2227,2095,2155,501202,0.0023255813953488
2018-12-26,2125,2142,2060,2110,289246,-0.0208816705336426
2018-12-27,2167,2167,2070,2085,158806,-0.0118483412322274
2018-12-28,2085,2157,2060,2158,340850,0.0350119904076737
2019-01-02,2165,2165,2082,2090,192590,-0.031510658016682
2019-01-03,2100,2125,2027,2045,147476,-0.0215311004784688
2019-01-04,2012,2062,2005,2035,133594,-0.0048899755501222
2019-01-07,2055,2245,2052,2185,1329860,0.0737100737100737
2019-01-08,2190,2232,2165,2218,366274,0.0151029748283753
2019-01-09,2217,2235,2175,2215,216872,-0.0013525698827773
2019-01-10,2205,2457,2190,2313,2790118,0.0442437923250564
2019-01-11,2312,2340,2242,2248,322824,-0.0281020319930825
2019-01-14,2252,2267,2210,2228,182818,-0.0088967971530249
2019-01-15,2227,2295,2202,2295,320508,0.0300718132854578
2019-01-16,2270,2292,2237,2273,424422,-0.0095860566448802
2019-01-17,2280,2287,2210,2233,172606,-0.0175978882534095
2019-01-18,2222,2255,2187,2203,175292,-0.0134348410210479
2019-01-21,2225,2250,2167,2168,168910,-0.0158874262369496
2019-01-22,2170,2200,2142,2183,154510,0.0069188191881919
2019-01-23,2192,2222,2162,2188,108434,0.0022904260192395
2019-01-24,2250,2285,2210,2260,491262,0.0329067641681901
2019-01-25,2260,2280,2240,2275,142980,0.0066371681415928
2019-01-28,2275,2285,2227,2265,140596,-0.0043956043956043
2019-01-29,2305,2317,2225,2278,295984,0.0057395143487859
2019-01-30,2247,2292,2242,2243,185462,-0.0153643546971027
