Date,Open,High,Low,Close,Volume,Change
2017-08-01,10830,11400,8952,9154,1530969,
2017-08-02,8969,8986,8299,8517,252283,-0.0695870657636006
2017-08-03,8718,9388,8433,8735,388330,0.0255958670893508
2017-08-04,8450,8600,7745,7880,219261,-0.0978820835718374
2017-08-07,7913,8466,7762,8282,212195,0.0510152284263958
2017-08-08,8416,9154,8131,8282,208332,0.0
2017-08-09,8366,8382,7947,8048,49538,-0.0282540449166868
2017-08-10,7930,8097,7611,7645,69036,-0.0500745526838966
2017-08-11,7460,7662,7242,7662,32077,0.0022236756049704
2017-08-14,7712,7829,7259,7260,34137,-0.0524667188723571
2017-08-16,7024,7242,6874,6991,111814,-0.0370523415977961
2017-08-17,6991,7192,6874,7092,34295,0.0144471463309969
2017-08-18,6957,7309,6907,7109,29230,0.0023970671178792
2017-08-21,7041,7259,6941,6975,22236,-0.0188493458995638
2017-08-22,6907,7024,6656,6740,61905,-0.0336917562724013
2017-08-23,6773,6790,6672,6723,21792,-0.0025222551928782
2017-08-24,6723,6756,6538,6539,34332,-0.0273687341960434
2017-08-25,6538,6605,6505,6539,15999,0.0
2017-08-28,6639,6806,6538,6656,16297,0.0178926441351887
2017-08-29,6706,6756,6572,6723,21941,0.0100661057692308
2017-08-30,6739,7075,6723,6773,49410,0.0074371560315336
2017-08-31,6874,6874,6605,6606,27909,-0.0246567252325409
2017-09-01,6521,6723,6454,6690,64205,0.0127157129881925
2017-09-04,6371,6639,6371,6572,52407,-0.0176382660687592
2017-09-05,6739,6823,6555,6673,40457,0.0153682288496652
2017-09-06,6588,6706,6354,6472,29723,-0.0301213846845497
2017-09-07,6421,6555,6270,6455,25484,-0.0026266996291718
2017-09-08,6421,6505,6035,6086,73523,-0.0571649883810999
2017-09-11,6236,6270,6069,6187,63374,0.0165954650016431
2017-09-12,6220,6287,6035,6120,22442,-0.0108291579117504
2017-09-13,6136,6153,5868,6120,28609,0.0
2017-09-14,6052,6169,6002,6086,16115,-0.0055555555555555
2017-09-15,6052,6169,5935,6120,12807,0.0055865921787709
2017-09-18,6035,6119,5951,6002,11027,-0.019281045751634
2017-09-19,6052,6203,5800,6002,39783,0.0
2017-09-20,5968,6018,5901,5918,20797,-0.0139953348883705
2017-09-21,5935,5968,5733,5885,20835,-0.0055762081784386
2017-09-22,5868,5918,5448,5583,28343,-0.0513169073916737
2017-09-25,5515,5515,5214,5214,27940,-0.0660934981192906
2017-09-26,4962,5214,4962,5047,64955,-0.0320291522823168
2017-09-27,5163,5281,5063,5164,35878,0.0231820883693283
2017-09-28,5247,5700,5197,5499,38186,0.0648721920991479
2017-09-29,5633,5633,5482,5600,17872,0.0183669758137843
2017-10-10,5599,5717,5465,5566,9355,-0.0060714285714286
2017-10-11,5650,5717,5566,5717,13143,0.0271289974847286
2017-10-12,5750,5935,5700,5801,12977,0.0146930208151128
2017-10-13,5784,5834,5683,5801,8612,0.0
2017-10-16,5767,5884,5599,5885,3893,0.0144802620237889
2017-10-17,5868,5951,5817,5885,15806,0.0
2017-10-18,5884,5935,5817,5851,5839,-0.0057774001699235
2017-10-19,5784,5951,5784,5868,11876,0.0029054862416681
2017-10-20,5935,5951,5834,5885,7108,0.002897068847989
2017-10-23,5951,6438,5951,6304,30742,0.071197960917587
2017-10-24,6371,6387,6136,6287,12509,-0.0026967005076141
2017-10-25,6303,6488,6236,6472,18720,0.0294257992683315
2017-10-26,6471,6605,6404,6589,24210,0.0180778739184177
2017-10-27,6572,7108,6521,7075,86361,0.0737592957960235
2017-10-30,7075,7125,6874,7109,33026,0.0048056537102474
2017-10-31,7125,7326,7041,7327,26141,0.0306653537769026
2017-11-01,7678,7712,7360,7394,110342,0.0091442609526408
2017-11-02,7494,7511,7242,7293,30183,-0.0136597241006221
2017-11-03,7410,7527,6991,7226,35346,-0.0091868915398327
2017-11-06,7226,7477,6572,7226,98740,0.0
2017-11-07,7159,7309,6924,6958,17851,-0.0370882922778854
2017-11-08,7091,7209,6857,7025,14467,0.0096292037941936
2017-11-09,7108,7544,7041,7545,81270,0.0740213523131672
2017-11-10,7578,7662,7410,7545,38395,0.0
2017-11-13,7594,7879,7360,7880,73776,0.0444002650762094
2017-11-14,7980,7980,7544,7578,48053,-0.0383248730964467
2017-11-15,7578,8550,7159,7444,344815,-0.0176827659012932
2017-11-16,7779,7896,7226,7645,85477,0.0270016120365395
2017-11-17,7779,8215,7611,7997,64038,0.0460431654676258
2017-11-20,8064,9053,8064,8769,107589,0.0965362010754031
