Date,Open,High,Low,Close,Volume,Change
2023-04-04,13334,13671,13334,13493,37852,0.0007416747014759
2023-04-05,13404,13582,13344,13434,13488,-0.0043726376639738
2023-04-06,13572,13572,13334,13424,15155,-0.0007443799315169
2023-04-07,13423,13602,13384,13513,11475,0.006629916567342
2023-04-10,13513,13513,13176,13424,11845,-0.0065862502775105
2023-04-11,13374,13423,13205,13305,13217,-0.0088647199046484
2023-04-12,13265,13275,12383,13008,27275,-0.0223224351747463
2023-04-13,13007,13205,12947,13047,10717,0.0029981549815498
2023-04-14,13185,13324,12987,13077,6704,0.0022993791676246
2023-04-17,13017,13136,12839,13077,11962,0.0
2023-04-18,13077,13176,12938,13077,4795,0.0
2023-04-19,13195,13275,12977,13077,7556,0.0
2023-04-20,13077,13314,12710,12780,13353,-0.0227116311080523
2023-04-21,12779,12878,12452,12661,9197,-0.0093114241001565
2023-04-24,12671,14761,12493,13038,252552,0.0297764789511096
2023-04-25,13087,13087,12384,12929,34063,-0.008360177941402
2023-04-26,12730,12968,12641,12879,10646,-0.0038672751179519
2023-04-27,12859,12978,12492,12909,12275,0.0023293733985558
2023-04-28,12908,13077,12631,12780,7774,-0.0099930281199163
2023-05-02,12839,13027,12690,12879,9152,0.0077464788732395
2023-05-03,13255,13255,12819,13028,10485,0.0115692212128271
2023-05-04,13027,13097,12869,12919,6575,-0.0083665950260976
2023-05-08,13096,13176,12769,12978,4677,0.0045669169440358
2023-05-09,12938,13156,12819,12859,5224,-0.0091693635382955
2023-05-10,12829,12938,12730,12929,5027,0.0054436581382688
2023-05-11,13117,13117,12820,12929,2664,0.0
2023-05-12,12928,13295,12800,12919,2800,-0.0007734550235903
2023-05-15,12997,12997,12433,12562,37363,-0.0276337177800138
2023-05-16,12562,12661,12284,12483,31000,-0.0062888075147269
2023-05-17,12284,12482,12066,12364,48113,-0.0095329648321718
2023-05-18,12294,12512,12274,12433,13210,0.0055807182141702
2023-05-19,12432,12551,12343,12423,11570,-0.0008043111075364
2023-05-22,12384,12582,12294,12503,17267,0.0064396683570795
2023-05-23,12373,12551,12353,12433,4618,-0.0055986563224825
2023-05-24,12433,12571,12314,12542,3640,0.0087669910721466
2023-05-25,12502,12670,12422,12522,4669,-0.0015946420028704
2023-05-26,12670,12670,12393,12562,3278,0.003194377894905
2023-05-30,12869,12869,12482,12671,11245,0.0086769622671549
2023-05-31,12769,12769,12462,12512,7987,-0.0125483387262251
2023-06-01,12442,12631,12383,12532,9464,0.0015984654731457
2023-06-02,12503,12542,12334,12503,13494,-0.0023140759655282
2023-06-05,12858,12858,12482,12621,13768,0.0094377349436134
2023-06-07,12631,12770,12532,12612,5979,-0.0007130972189208
2023-06-08,12621,12621,12284,12532,21907,-0.0063431652394544
2023-06-09,12383,12640,12383,12621,12378,0.0071018193424832
2023-06-12,12918,12918,12561,12651,8514,0.0023769907297361
2023-06-13,12650,12938,12591,12859,21446,0.0164413880325666
2023-06-14,12799,13077,12631,12780,6848,-0.0061435570417606
2023-06-15,12780,13037,12671,12998,21018,0.0170579029733959
2023-06-16,12997,13066,12799,12938,6176,-0.0046160947838128
2023-06-19,12898,12937,12749,12829,3551,-0.008424795176998
2023-06-20,13046,13046,12640,12829,8766,0.0
2023-06-21,12829,12879,12631,12820,10102,-0.0007015355834437
2023-06-22,12779,12848,12630,12839,1953,0.0014820592823712
2023-06-23,12839,12899,12641,12820,5566,-0.0014798660331801
2023-06-26,12868,12868,12680,12829,2289,0.0007020280811231
2023-06-27,13066,13066,12700,12839,2553,0.0007794839816042
2023-06-28,12720,12869,12681,12800,3802,-0.0030376197523172
2023-06-29,12799,12868,12680,12829,6510,0.0022656249999999
2023-06-30,12829,12869,12631,12869,14290,0.0031179359264166
2023-07-03,12967,12987,12809,12859,15885,-0.0007770611547128
2023-07-04,12859,12958,12760,12869,7141,0.000777665448324
2023-07-05,12868,12957,12730,12948,10169,0.0061387831222317
2023-07-06,13027,13027,12740,12879,6840,-0.0053290083410565
2023-07-07,12849,12879,12562,12820,10854,-0.0045811010171596
2023-07-10,12760,12819,12552,12661,13563,-0.012402496099844
2023-07-11,12660,13413,12640,13364,110969,0.0555248400600267
2023-07-12,13374,13869,13374,13850,110959,0.0363663573780306
2023-07-13,13721,14543,13721,14306,176540,0.0329241877256316
2023-07-14,14513,14711,14225,14543,75640,0.0165664756046413
2023-07-17,14543,14949,14295,14474,79154,-0.004744550642921
2023-07-18,14751,14751,14146,14454,33022,-0.0013817880337155
2023-07-19,14454,14454,14216,14365,26070,-0.0061574650615746
2023-07-20,14226,14513,14167,14494,26310,0.0089801601113819
2023-07-21,14474,15445,14474,15158,138667,0.045812060162826
2023-07-24,15305,15335,14473,14553,70203,-0.0399129172714078
2023-07-25,14355,14405,13761,13890,60246,-0.0455576169861884
2023-07-26,13880,13890,13196,13573,51155,-0.0228221742260619
2023-07-27,13414,14236,13414,13949,29683,0.0277020555514624
2023-07-28,13969,14187,13533,14108,11834,0.0113986665710803
2023-07-31,14246,14612,13582,13850,58775,-0.0182874964559115
2023-08-01,14057,14057,13393,13582,31498,-0.0193501805054151
2023-08-02,13374,13622,13364,13434,14891,-0.0108967751435723
2023-08-03,13314,14355,12997,13404,190244,-0.002233139794551
2023-08-04,13364,13463,13156,13374,34311,-0.0022381378692927
2023-08-07,13473,13770,13453,13503,31635,0.0096455809780171
2023-08-08,13671,13671,13225,13374,17821,-0.0095534325705398
2023-08-09,13473,13473,13146,13374,22947,0.0
2023-08-10,13235,13423,13126,13374,30531,0.0
2023-08-11,13196,13473,13107,13454,9643,0.0059817556452819
2023-08-14,13364,13364,13127,13355,17303,-0.007358406421882
2023-08-16,13275,13275,13086,13176,12997,-0.0134032197678771
2023-08-17,13175,13304,12868,13166,9649,-0.0007589556769884
2023-08-18,12898,13255,12869,12978,9877,-0.0142792040103296
2023-08-21,12967,13364,12967,13067,6235,0.0068577592849436
2023-08-22,13076,13195,12859,12968,12581,-0.0075763373383331
2023-08-23,13007,13186,12780,12998,29025,0.0023133867982727
2023-08-24,12997,13255,12888,13067,3069,0.0053085090013849
2023-08-25,13107,13107,12809,13008,6732,-0.0045151909390066
2023-08-28,12878,13067,12730,12978,21075,-0.0023062730627306
2023-08-29,12978,13126,12869,12998,8950,0.0015410695022346
2023-08-30,12958,13057,12878,12958,16148,-0.0030773965225419
2023-08-31,12888,13027,12868,12948,5503,-0.0007717240314862
2023-09-01,12878,13215,12868,13156,13126,0.0160642570281124
2023-09-04,13176,13255,12987,13077,6811,-0.0060048647005168
2023-09-05,13037,13265,12997,13057,5307,-0.001529402768219
2023-09-06,13057,13067,12859,12929,10007,-0.0098031707130274
2023-09-07,12809,12918,12690,12780,9753,-0.0115244798514966
2023-09-08,12680,12869,12492,12869,27068,0.0069640062597808
2023-09-11,12869,13166,12690,12879,11057,0.0007770611547128
2023-09-12,12908,13116,12690,12859,5585,-0.0015529155990371
2023-09-13,12859,12859,12582,12820,15350,-0.003032895248464
2023-09-14,12820,12938,12671,12929,5483,0.0085023400936037
2023-09-15,13027,13077,12878,13077,12039,0.0114471343491375
2023-09-18,13374,13374,12750,12929,12488,-0.0113175804848206
2023-09-19,12929,13265,12681,12929,5730,0.0
2023-09-20,13146,13146,12760,12929,4972,0.0
2023-09-21,12730,13166,12542,12780,8026,-0.0115244798514966
2023-09-22,12651,12770,12512,12681,3189,-0.0077464788732394
2023-09-25,12681,12978,12463,12681,7923,0.0
2023-09-26,12690,13067,12532,12681,3703,0.0
2023-09-27,12512,13374,12443,12780,26427,0.0078069552874378
2023-10-04,12780,12780,12393,12483,6819,-0.0232394366197182
2023-10-05,12393,12660,12304,12433,5205,-0.0040054474084755
2023-10-06,12463,12869,12383,12582,2936,0.0119842355022923
2023-10-10,12591,13077,12423,12582,7339,0.0
2023-10-11,12601,12690,12482,12621,5028,0.0030996661897948
2023-10-12,12621,12670,12581,12641,3600,0.0015846604864908
2023-10-13,12670,12670,12472,12641,3754,0.0
2023-10-16,12670,12670,12413,12661,4298,0.0015821533106556
2023-10-17,12581,12660,12482,12641,1928,-0.0015796540557617
2023-10-18,12591,12660,12492,12631,2932,-0.0007910766553278
2023-10-19,12601,12601,12294,12463,11380,-0.0133006096112738
2023-10-20,12363,12363,11818,12185,15285,-0.022306025836476
2023-10-23,11887,12125,11887,11987,6859,-0.0162494870742716
2023-10-24,11986,12105,11798,12086,10824,0.0082589471927922
2023-10-25,12096,12176,11898,12176,9589,0.0074466324673174
2023-10-26,12076,12086,11789,12047,11984,-0.0105946123521681
2023-10-27,12047,12066,11789,12057,4879,0.0008300821781357
2023-10-30,12057,12116,11858,12067,870,0.0008293937131955
