Date,Open,High,Low,Close,Volume,Change
2019-06-18,24550,24950,24350,24550,56697,0.0020408163265306367
2019-06-19,25250,25650,24950,25150,155528,0.024439918533604832
2019-06-20,25200,26150,25200,26050,200000,0.035785288270377746
2019-06-21,26300,26500,25650,25700,135593,-0.013435700575815779
2019-06-24,26400,27350,25700,26900,343008,0.04669260700389111
2019-06-25,27200,27200,25500,26000,219884,-0.03345724907063197
2019-06-26,25850,26650,25600,25700,143327,-0.011538461538461497
2019-06-27,25800,26650,25650,26150,101676,0.017509727626459082
2019-06-28,26000,26550,25500,26150,78861,0.0
2019-07-01,26100,26900,25900,26150,114800,0.0
2019-07-02,26350,26900,25900,26550,103520,0.015296367112810794
2019-07-03,26550,26750,26000,26200,124580,-0.013182674199623379
2019-07-04,26200,26800,25950,26450,119102,0.009541984732824416
2019-07-05,26400,26450,25350,25350,152825,-0.041587901701323204
2019-07-08,24800,24850,22700,22750,411555,-0.10256410256410253
2019-07-09,22750,23450,22400,22400,220504,-0.01538461538461533
2019-07-10,22650,23900,22650,23700,178342,0.05803571428571419
2019-07-11,23850,24700,23850,24350,217514,0.02742616033755274
2019-07-12,24850,25600,24050,25200,195927,0.03490759753593431
2019-07-15,25500,25600,24550,25050,99730,-0.005952380952380931
2019-07-16,25100,25750,24900,25050,103120,0.0
2019-07-17,24900,24900,23700,24000,160124,-0.041916167664670656
2019-07-18,24300,26350,24300,26000,602398,0.08333333333333326
2019-07-19,26400,26450,25500,25800,237706,-0.007692307692307665
2019-07-22,25750,26200,25400,25700,186479,-0.003875968992248069
2019-07-23,26150,26450,25600,25850,192030,0.005836575875486361
2019-07-24,25750,25950,24550,24750,175708,-0.04255319148936165
2019-07-25,24400,25500,23950,24650,120539,-0.004040404040404066
2019-07-26,24200,24500,23500,23700,171472,-0.03853955375253548
2019-07-29,23550,23600,22500,22750,176634,-0.04008438818565396
2019-07-30,22000,23400,22000,23000,145195,0.01098901098901095
2019-07-31,22900,23800,22100,23650,212755,0.02826086956521734
2019-08-01,23200,23450,22600,22650,167793,-0.04228329809725162
2019-08-02,22050,23550,22000,23200,162012,0.024282560706401668
2019-08-05,23100,23350,21800,21850,168778,-0.05818965517241381
2019-08-06,21000,22500,20000,20650,259659,-0.05491990846681927
2019-08-07,20000,22300,20000,22200,278034,0.07506053268765123
2019-08-08,22600,23150,22250,23050,146022,0.03828828828828823
2019-08-09,23150,23200,22600,22750,91633,-0.013015184381778733
2019-08-12,22350,24200,21950,24200,271038,0.06373626373626373
2019-08-13,23950,24650,23500,24350,310110,0.006198347107438051
2019-08-14,25050,25600,24650,25000,281878,0.026694045174537884
2019-08-16,24600,26500,24550,26450,452099,0.05800000000000005
2019-08-19,26900,28350,26900,28100,1115211,0.06238185255198481
2019-08-20,27900,28000,26600,26900,1061152,-0.042704626334519546
2019-08-21,26900,27450,26550,26650,361410,-0.009293680297397744
2019-08-22,27000,27250,25850,26250,305265,-0.015009380863039379
2019-08-23,25900,26950,25800,26900,244433,0.024761904761904763
2019-08-26,26200,26450,25350,25700,234783,-0.044609665427509326
2019-08-27,26300,27700,26050,26550,431087,0.0330739299610896
2019-08-28,26500,27500,26100,26950,231649,0.015065913370998052
2019-08-29,27450,27700,25400,26200,416118,-0.0278293135435993
2019-08-30,26800,27050,26300,26600,181014,0.01526717557251911
2019-09-02,26500,27050,26250,27000,138808,0.015037593984962516
2019-09-03,27150,27400,26450,26450,163769,-0.020370370370370372
2019-09-04,26450,27650,26300,27550,293228,0.041587901701323204
2019-09-05,28100,29750,27800,29400,935913,0.06715063520871145
2019-09-06,30150,30750,29100,29350,570158,-0.00170068027210879
2019-09-09,29900,29900,28900,28900,220271,-0.015332197614991494
2019-09-10,29050,29650,28350,28750,215025,-0.00519031141868509
2019-09-11,29100,29350,27600,28550,322125,-0.006956521739130417
2019-09-16,29000,29100,28300,28800,147295,0.008756567425569184
2019-09-17,28700,29300,27950,29300,241281,0.01736111111111116
2019-09-18,29200,29800,28900,29650,210462,0.011945392491467643
2019-09-19,29700,30700,29400,29600,398684,-0.001686340640809414
2019-09-20,29600,30500,29600,29950,232955,0.011824324324324342
2019-09-23,29800,30100,29000,29750,153308,-0.006677796327211993
2019-09-24,30500,31050,28850,28850,613325,-0.030252100840336138
