Date,Open,High,Low,Close,Volume,Change
2024-01-17,6420,6420,5460,5460,1652,
2024-01-18,4650,4650,4650,4650,334,-0.1483516483516483
2024-01-19,3955,3955,3955,3955,154,-0.1494623655913978
2024-01-22,3365,3365,3365,3365,1064,-0.1491782553729456
2024-01-23,2865,2865,2865,2865,2653,-0.1485884101040119
2024-01-24,2440,2600,2440,2600,13370,-0.0924956369982548
2024-01-25,2600,2890,2360,2600,21248,0.0
2024-01-26,2425,2985,2425,2975,14935,0.1442307692307691
2024-01-29,3195,3300,2630,3090,13652,0.038655462184874
2024-01-30,3095,3395,3095,3395,6437,0.098705501618123
2024-01-31,3300,3400,3075,3330,7110,-0.0191458026509573
2024-02-01,3295,3295,3020,3070,7571,-0.0780780780780781
2024-02-02,2950,3200,2950,3200,4501,0.0423452768729641
2024-02-05,3200,3200,3055,3190,1333,-0.003125
2024-02-06,3005,3145,2830,3090,11334,-0.0313479623824451
2024-02-07,3050,3050,2840,2940,2428,-0.0485436893203883
2024-02-08,2940,2940,2835,2900,1747,-0.0136054421768707
2024-02-13,2860,3095,2860,2955,6364,0.0189655172413794
2024-02-14,2945,3100,2900,3050,4258,0.0321489001692048
2024-02-15,3060,3090,3060,3085,532,0.0114754098360656
2024-02-16,2810,3090,2810,3085,133,0.0
2024-02-19,3300,3300,3080,3080,937,-0.0016207455429497
2024-02-20,3540,3540,2950,3095,2196,0.0048701298701299
2024-02-21,3280,3280,3085,3100,5122,0.0016155088852989
2024-02-22,3100,3180,3000,3130,4093,0.0096774193548387
2024-02-23,3130,3130,2950,3095,8252,-0.011182108626198
2024-02-26,3220,3220,2995,3120,971,0.0080775444264944
2024-02-27,3145,3145,2850,2940,3430,-0.0576923076923077
2024-02-28,2940,2995,2865,2995,3365,0.0187074829931972
2024-02-29,3100,3100,2800,2945,3115,-0.01669449081803
2024-03-04,2510,2930,2510,2930,6110,-0.0050933786078098
2024-03-05,2535,2935,2535,2890,3478,-0.0136518771331057
2024-03-06,2810,2885,2460,2485,16202,-0.1401384083044983
2024-03-07,2205,2590,2205,2560,5215,0.0301810865191147
2024-03-08,2695,2695,2310,2450,5494,-0.04296875
2024-03-11,2400,2400,2105,2345,2510,-0.0428571428571428
2024-03-12,2585,2690,2350,2690,2442,0.1471215351812367
2024-03-13,2365,2650,2350,2650,3691,-0.0148698884758364
2024-03-14,2500,2640,2410,2600,176,-0.0188679245283018
2024-03-15,2600,2695,2600,2695,202,0.0365384615384616
2024-03-18,2665,2890,2665,2855,1764,0.059369202226345
2024-03-19,2880,2880,2610,2880,3142,0.0087565674255691
2024-03-20,3220,3220,2650,3090,4694,0.0729166666666667
2024-03-21,3200,3350,3010,3245,7432,0.0501618122977345
2024-03-22,3420,3420,2900,3180,2156,-0.0200308166409861
2024-03-25,3400,3400,3050,3200,1571,0.0062893081761006
2024-03-26,3200,3200,3195,3200,712,0.0
2024-03-27,3200,3200,3020,3200,2378,0.0
2024-03-28,3295,3295,3100,3150,918,-0.015625
2024-03-29,3150,3195,3055,3190,2452,0.0126984126984126
2024-04-01,3110,3210,2980,3195,7284,0.0015673981191222
2024-04-02,3500,3500,3110,3300,2589,0.0328638497652582
2024-04-03,3795,3795,3595,3595,339,0.0893939393939393
2024-04-04,4000,4000,3500,3840,579,0.0681502086230876
2024-04-05,3840,3840,3500,3790,1821,-0.0130208333333333
2024-04-08,3890,3900,3870,3870,503,0.0211081794195251
2024-04-09,3910,3910,3885,3885,366,0.003875968992248
2024-04-11,3950,3995,3515,3650,1410,-0.0604890604890604
2024-04-12,3640,3990,3150,3500,2950,-0.0410958904109589
2024-04-15,4000,4000,3200,3490,2248,-0.0028571428571428
2024-04-16,3395,3995,3220,3490,854,0.0
2024-04-17,3255,3490,3050,3490,2949,0.0
2024-04-18,3485,3485,3385,3385,267,-0.0300859598853868
2024-04-19,2900,3500,2900,3500,11,0.0339734121122599
2024-04-22,3500,3870,3100,3420,1387,-0.0228571428571429
2024-04-23,3180,3180,2965,3150,14,-0.0789473684210526
2024-04-24,3135,3150,2775,3100,372,-0.0158730158730159
2024-04-25,2705,3100,2705,3100,15,0.0
2024-04-26,3100,3100,2820,3095,937,-0.0016129032258064
2024-04-29,3095,3495,3095,3495,162,0.1292407108239095
2024-04-30,3490,3490,3490,3490,1000,-0.0014306151645206
2024-05-02,3485,3485,3450,3485,964,-0.0014326647564469
2024-05-03,3070,3445,3050,3445,1541,-0.0114777618364418
2024-05-07,3345,3345,2930,3335,1551,-0.0319303338171262
2024-05-08,3805,3805,2935,3265,2420,-0.0209895052473763
2024-05-09,3440,3440,2925,3295,2754,0.0091883614088821
2024-05-10,3035,3420,3035,3145,2474,-0.0455235204855841
2024-05-13,2800,3050,2800,3030,329,-0.0365659777424483
2024-05-14,2710,3260,2705,3000,1663,-0.0099009900990099
2024-05-16,3380,3380,2615,2990,214,-0.0033333333333332
2024-05-17,2655,2990,2550,2560,9426,-0.1438127090301003
2024-05-20,2550,2690,2500,2600,8874,0.015625
2024-05-21,2410,2745,2410,2745,1651,0.0557692307692307
2024-05-22,3000,3000,2515,2830,452,0.0309653916211294
2024-05-23,2895,2895,2800,2800,26,-0.0106007067137808
2024-05-24,3115,3115,2500,2800,6383,0.0
2024-05-27,2800,2800,2525,2790,360,-0.0035714285714285
2024-05-28,3065,3065,2500,2900,78,0.039426523297491
2024-05-29,2790,3215,2465,2790,15128,-0.0379310344827585
2024-05-30,2415,2970,2405,2445,2734,-0.1236559139784946
2024-05-31,2440,2755,2430,2745,3150,0.1226993865030674
2024-06-03,2740,3155,2740,3135,1981,0.1420765027322403
2024-06-04,3065,3065,2665,3010,3106,-0.0398724082934609
2024-06-05,2605,2870,2605,2850,1416,-0.053156146179402
2024-06-07,2510,2950,2470,2860,2321,0.0035087719298245
2024-06-10,2655,2780,2560,2750,759,-0.0384615384615384
2024-06-11,3155,3155,2550,2965,241,0.0781818181818181
2024-06-12,2570,2650,2550,2640,2813,-0.1096121416526137
2024-06-13,2640,2995,2530,2880,3077,0.0909090909090908
2024-06-14,2980,2980,2580,2965,14,0.0295138888888888
2024-06-17,2680,2965,2650,2895,5636,-0.0236087689713322
2024-06-18,2880,2880,2650,2795,2848,-0.0345423143350605
2024-06-19,2795,2795,2560,2750,1241,-0.0161001788908765
2024-06-20,3050,3050,2525,2860,24,0.04
2024-06-21,2860,2860,2560,2850,1051,-0.0034965034965035
2024-06-24,2850,3100,2480,2610,4511,-0.0842105263157895
2024-06-25,2610,2890,2605,2775,4017,0.0632183908045977
2024-06-26,2600,2790,2600,2785,3449,0.0036036036036035
2024-06-27,2775,2775,2775,2775,0,-0.0035906642728904
2024-06-28,3050,3050,2600,2800,3290,0.0090090090090089
2024-07-01,2940,2950,2620,2800,2954,0.0
2024-07-02,2940,2940,2505,2800,2782,0.0
2024-07-03,2950,2950,2610,2800,6155,0.0
2024-07-04,2800,2950,2655,2890,4685,0.0321428571428572
2024-07-05,2880,2900,2705,2790,9528,-0.0346020761245674
2024-07-08,2630,2790,2630,2770,5549,-0.0071684587813619
2024-07-09,2745,2755,2745,2745,1007,-0.0090252707581227
2024-07-10,2795,2795,2620,2745,2648,0.0
2024-07-11,2740,2740,2520,2650,2433,-0.0346083788706739
2024-07-12,2695,2695,2590,2690,2616,0.0150943396226415
2024-07-15,2555,2685,2555,2685,130,-0.0018587360594795
2024-07-16,2800,2800,2685,2685,52,0.0
2024-07-17,2845,2845,2500,2775,3,0.0335195530726257
2024-07-18,2690,3075,2690,3075,809,0.1081081081081081
2024-07-19,2945,2945,2800,2800,127,-0.0894308943089431
2024-07-22,3000,3000,3000,3000,442,0.0714285714285714
2024-07-23,2970,2970,2970,2970,0,-0.01
2024-07-24,2600,2995,2600,2845,3967,-0.042087542087542
2024-07-25,2530,2840,2530,2840,1002,-0.0017574692442882
2024-07-26,2600,2785,2600,2780,1041,-0.0211267605633802
2024-07-29,2605,2700,2605,2695,1358,-0.0305755395683453
2024-07-30,2685,2685,2685,2685,301,-0.0037105751391465
2024-07-31,2570,2675,2570,2675,2,-0.0037243947858472
2024-08-01,2800,2800,2510,2670,5,-0.0018691588785046
2024-08-02,2500,2665,2500,2665,1031,-0.0018726591760299
2024-08-05,2665,2825,2350,2645,570,-0.0075046904315196
2024-08-06,2645,2645,2645,2645,1,0.0
2024-08-07,2840,2840,2500,2750,375,0.0396975425330812
2024-08-08,2840,2840,2600,2840,100,0.0327272727272727
2024-08-09,2835,2835,2450,2795,38,-0.0158450704225352
2024-08-12,3095,3095,3095,3095,1,0.1073345259391771
2024-08-13,3095,3295,2635,2865,3303,-0.074313408723748
2024-08-14,2960,2960,2795,2795,6,-0.0244328097731238
2024-08-16,2795,2795,2405,2405,1816,-0.1395348837209302
2024-08-19,2615,2615,2350,2550,706,0.0602910602910602
2024-08-20,2785,2785,2230,2650,31,0.0392156862745098
2024-08-21,2770,2770,2500,2580,1134,-0.0264150943396226
2024-08-22,2730,2730,2500,2670,8,0.0348837209302326
2024-08-23,2725,2725,2405,2425,593,-0.0917602996254681
2024-08-26,2590,2590,2225,2540,710,0.0474226804123711
2024-08-27,2670,2670,2250,2555,75,0.0059055118110236
2024-08-28,2695,2695,2300,2685,862,0.050880626223092
2024-08-29,2755,2755,2300,2590,124,-0.0353817504655493
2024-08-30,2495,2715,2325,2505,1547,-0.0328185328185328
2024-09-02,2800,2800,2300,2750,5,0.0978043912175647
2024-09-03,2795,2795,2340,2575,2081,-0.0636363636363636
2024-09-04,2650,2650,2300,2575,188,0.0
2024-09-05,2570,2570,2305,2460,112,-0.0446601941747573
2024-09-06,2550,2550,2485,2485,8,0.0101626016260163
2024-09-09,2580,2580,2465,2465,125,-0.0080482897384306
2024-09-10,2495,2495,2250,2435,6,-0.0121703853955374
2024-09-11,2545,2545,2445,2445,47,0.0041067761806981
2024-09-12,2545,2545,2080,2425,129,-0.0081799591002045
2024-09-13,2470,2470,2250,2435,207,0.0041237113402061
2024-09-19,2465,2465,2070,2390,50,-0.0184804928131416
2024-09-20,2700,2700,2055,2285,305,-0.0439330543933054
2024-09-23,2550,2550,2050,2550,1318,0.1159737417943107
2024-09-24,2800,2800,2170,2240,5526,-0.1215686274509804
2024-09-25,2450,2450,2030,2230,3045,-0.0044642857142856
2024-09-26,2500,2500,2020,2225,46,-0.0022421524663677
2024-09-27,2445,2445,2000,2425,3394,0.0898876404494382
2024-09-30,2695,2695,2210,2675,11,0.1030927835051547
2024-10-02,2275,3000,2275,2960,112,0.1065420560747663
2024-10-04,2520,2520,2520,2520,41,-0.1486486486486486
2024-10-07,2520,2890,2205,2790,913,0.1071428571428572
2024-10-08,3100,3100,2375,2965,81,0.0627240143369176
2024-10-10,2525,2955,2525,2955,293,-0.0033726812816189
