Date,Open,High,Low,Close,Volume,Change
2017-06-22,1797,1797,1748,1753,748413,
2017-06-23,1748,1770,1744,1771,39574,0.0102681118083285
2017-06-26,1770,1770,1748,1753,91468,-0.010163749294184
2017-06-27,1766,1766,1757,1758,6730,0.0028522532800911
2017-06-28,1757,1766,1753,1758,40310,0.0
2017-06-29,1757,1775,1757,1775,26928,0.0096700796359499
2017-06-30,1784,1999,1784,1847,558659,0.04056338028169
2017-07-03,1887,1923,1793,1811,294211,-0.0194910665944775
2017-07-04,1811,1811,1784,1789,102713,-0.0121479845389287
2017-07-05,1793,1797,1788,1789,60461,0.0
2017-07-06,1811,1824,1779,1793,27056,0.0022358859698154
2017-07-07,1784,1874,1784,1820,47740,0.0150585610708309
2017-07-10,1811,1833,1793,1802,46388,-0.0098901098901098
2017-07-11,1824,1838,1802,1816,62771,0.0077691453940067
2017-07-12,1815,1860,1806,1807,40165,-0.0049559471365638
2017-07-13,1806,1860,1806,1820,21824,0.0071942446043165
2017-07-14,1842,1847,1811,1816,32404,-0.0021978021978021
2017-07-17,1815,1815,1797,1802,47139,-0.0077092511013215
2017-07-18,1824,1824,1797,1811,2495,0.0049944506104329
2017-07-19,1802,1811,1802,1807,6298,-0.0022087244616234
2017-07-20,1820,1820,1797,1798,12277,-0.0049806308799114
2017-07-21,1806,1806,1797,1798,1607,0.0
2017-07-24,1797,1806,1793,1807,2548,0.0050055617352613
2017-07-25,1797,1829,1797,1802,4668,-0.0027670171555063
2017-07-26,1793,1806,1793,1802,2983,0.0
2017-07-27,1802,1806,1797,1802,11352,0.0
2017-07-28,1797,1820,1793,1820,3005,0.0099889012208655
2017-07-31,1829,1829,1793,1820,2147,0.0
2017-08-01,1820,1820,1793,1811,12654,-0.0049450549450549
2017-08-02,1797,1811,1797,1807,719,-0.0022087244616234
2017-08-03,1797,1811,1793,1811,3896,0.002213613724405
2017-08-04,1793,1811,1793,1811,11696,0.0
2017-08-07,1811,1811,1811,1811,145,0.0
2017-08-08,1793,1811,1793,1811,791,0.0
2017-08-09,1793,1820,1793,1798,438,-0.007178354500276
2017-08-10,1815,1815,1815,1816,1,0.0100111234705229
2017-08-11,1811,1811,1793,1793,4435,-0.0126651982378854
2017-08-14,1811,1811,1811,1811,1,0.0100390407138872
2017-08-16,1793,1811,1788,1793,2386,-0.0099392600773053
2017-08-17,1820,1820,1793,1811,12,0.0100390407138872
2017-08-18,1793,1806,1793,1793,30001,-0.0099392600773053
2017-08-21,1815,1815,1788,1811,1652,0.0100390407138872
2017-08-22,1788,1806,1788,1807,4016,-0.0022087244616234
2017-08-23,1793,1806,1788,1807,5326,0.0
2017-08-24,1856,1856,1793,1825,1052,0.0099612617598228
2017-08-25,1793,1829,1793,1829,4346,0.0021917808219178
2017-08-28,1838,1838,1802,1816,7470,-0.0071077091306724
2017-08-29,1811,1833,1811,1834,9685,0.0099118942731277
2017-08-30,1806,1820,1806,1820,3625,-0.0076335877862595
2017-08-31,1829,1829,1802,1816,1303,-0.0021978021978021
2017-09-01,1806,1829,1806,1829,55402,0.0071585903083699
2017-09-04,1806,1820,1802,1820,2854,-0.0049207217058502
2017-09-05,1811,1820,1802,1820,14425,0.0
2017-09-06,1811,1824,1806,1825,5685,0.0027472527472527
2017-09-07,1806,1806,1806,1807,3837,-0.0098630136986301
2017-09-08,1806,1815,1802,1816,11780,0.0049806308799114
2017-09-11,1802,1806,1802,1807,4312,-0.0049559471365638
2017-09-12,1802,1806,1802,1807,26509,0.0
2017-09-13,1802,1806,1802,1802,5872,-0.0027670171555063
2017-09-14,1802,1802,1802,1802,5644,0.0
2017-09-15,1802,1820,1802,1820,185,0.0099889012208655
2017-09-18,1797,1806,1797,1798,18948,-0.012087912087912
2017-09-19,1811,1811,1797,1798,13203,0.0
2017-09-20,1797,1802,1797,1798,3103,0.0
2017-09-21,1797,1815,1797,1816,40565,0.0100111234705229
2017-09-22,1797,1802,1797,1798,3800,-0.0099118942731277
2017-09-25,1797,1802,1797,1802,4418,0.0022246941045607
2017-09-26,1802,1806,1797,1802,6179,0.0
2017-09-27,1802,1802,1797,1802,13972,0.0
2017-09-28,1797,1806,1793,1793,8701,-0.0049944506104327
2017-09-29,1793,1806,1793,1807,4675,0.0078081427774678
2017-10-10,1797,1797,1793,1793,3201,-0.0077476480354178
2017-10-11,1793,1811,1793,1798,23663,0.0027886224205242
2017-10-12,1797,1802,1797,1798,1051,0.0
2017-10-13,1793,1811,1793,1811,1254,0.007230255839822
2017-10-16,1811,1811,1802,1802,8001,-0.0049696300386526
2017-10-17,1811,1811,1802,1802,6712,0.0
2017-10-18,1811,1811,1806,1807,5427,0.0027746947835738
2017-10-19,1811,1815,1811,1811,4408,0.002213613724405
2017-10-20,1802,1806,1797,1802,15493,-0.0049696300386526
2017-10-23,1811,1811,1797,1798,6427,-0.002219755826859
2017-10-24,1811,1811,1802,1802,12490,0.0022246941045607
2017-10-25,1793,1806,1793,1802,5860,0.0
2017-10-26,1793,1811,1793,1807,4736,0.0027746947835738
2017-10-27,1806,1806,1788,1793,42307,-0.0077476480354178
2017-10-30,1793,1811,1793,1802,4108,0.0050195203569436
2017-10-31,1806,1806,1806,1807,347,0.0027746947835738
2017-11-01,1806,1811,1806,1811,2001,0.002213613724405
2017-11-02,1806,1806,1793,1793,16479,-0.0099392600773053
2017-11-03,1806,1806,1802,1802,2230,0.0050195203569436
2017-11-06,1793,1838,1793,1807,14338,0.0027746947835738
2017-11-07,1802,1802,1793,1802,499,-0.0027670171555063
2017-11-08,1806,1806,1802,1802,3126,0.0
2017-11-09,1793,1811,1793,1802,3252,0.0
2017-11-10,1793,1806,1793,1802,3490,0.0
2017-11-13,1793,1806,1793,1802,2553,0.0
2017-11-14,1784,1815,1784,1789,2165,-0.0072142064372918
2017-11-15,1784,1806,1784,1784,2838,-0.0027948574622693
2017-11-16,1784,1802,1784,1798,2974,0.0078475336322869
2017-11-17,1775,1811,1766,1811,3917,0.007230255839822
2017-11-20,1797,1802,1797,1798,22490,-0.007178354500276
2017-11-21,1802,1802,1797,1798,400,0.0
2017-11-22,1762,1806,1762,1793,1977,-0.0027808676307007
2017-11-23,1784,1793,1779,1793,551,0.0
2017-11-24,1788,1797,1784,1798,6031,0.0027886224205242
2017-11-27,1784,1802,1784,1793,4020,-0.0027808676307007
2017-11-28,1766,1802,1766,1802,5841,0.0050195203569436
2017-11-29,1784,1802,1770,1784,18682,-0.0099889012208657
2017-11-30,1802,1802,1766,1802,13494,0.0100896860986547
2017-12-01,1775,1802,1775,1802,513,0.0
2017-12-04,1802,1802,1788,1798,802,-0.002219755826859
2017-12-05,1784,1802,1766,1802,2525,0.0022246941045607
2017-12-06,1784,1802,1766,1802,1016,0.0
2017-12-07,1793,1806,1757,1793,2338,-0.0049944506104327
2017-12-08,1766,1802,1766,1802,1865,0.0050195203569436
2017-12-11,1784,1793,1766,1793,1399,-0.0049944506104327
2017-12-12,1766,1779,1766,1780,1439,-0.007250418293363
2017-12-13,1779,1806,1779,1807,1426,0.0151685393258427
2017-12-14,1762,1797,1762,1789,1903,-0.0099612617598229
2017-12-15,1762,1802,1762,1802,2564,0.0072666294019005
2017-12-18,1775,1797,1775,1775,2133,-0.0149833518312985
2017-12-19,1775,1793,1762,1793,21723,0.0101408450704225
2017-12-20,1788,1793,1766,1766,18041,-0.015058561070831
2017-12-21,1762,1806,1762,1807,14900,0.0232163080407701
2017-12-22,1766,1802,1766,1771,5709,-0.0199225235196458
2017-12-26,1793,1793,1770,1793,2270,0.0124223602484472
2017-12-27,1802,1802,1762,1793,1839,0.0
2017-12-28,1788,1788,1770,1789,364,-0.0022308979364193
2018-01-02,1770,1779,1770,1775,321,-0.0078256008943543
2018-01-03,1770,1802,1770,1775,1251,0.0
2018-01-04,1766,1797,1766,1798,6478,0.0129577464788732
2018-01-05,1797,1802,1775,1802,3814,0.0022246941045607
2018-01-08,1784,1793,1784,1789,3018,-0.0072142064372918
2018-01-09,1770,1793,1770,1793,4401,0.0022358859698154
2018-01-10,1788,1797,1788,1793,4705,0.0
2018-01-11,1793,1797,1788,1793,8132,0.0
