Date,Open,High,Low,Close,Volume,Change
2021-05-26,23947,30260,23947,24549,19830842,
2021-05-27,25299,26752,23796,23897,4521140,-0.0265591266446698
2021-05-28,24573,27003,24097,24949,4610051,0.0440222622086454
2021-05-31,25199,25550,24172,24248,1039958,-0.0280973185298007
2021-06-01,24498,24723,23796,23872,1106833,-0.0155064335202903
2021-06-02,23872,23897,22544,22595,727756,-0.0534936327077748
2021-06-03,22619,22719,21592,21768,553798,-0.0366010179243195
2021-06-04,21592,21692,20915,20966,453708,-0.0368430723998529
2021-06-07,21016,24222,20966,23346,5029540,0.1135171229609843
2021-06-08,23822,23822,22344,23046,865936,-0.0128501670521716
2021-06-09,22644,23471,22043,22269,573224,-0.0337151783389741
2021-06-10,22268,22970,22193,22444,512112,0.0078584579460236
2021-06-11,22820,23747,22519,22645,1013121,0.0089556228836213
2021-06-14,22644,22845,22068,22144,244505,-0.0221240892029145
2021-06-15,22193,22494,21793,22219,190259,0.0033869219653179
2021-06-16,22594,22744,22293,22344,278477,0.0056258157432826
2021-06-17,22544,22719,22368,22444,177558,0.0044754744002863
2021-06-18,22469,22594,22143,22244,134563,-0.0089110675458919
2021-06-21,22143,22168,21742,21818,127995,-0.019151231792843
2021-06-22,21817,22168,21817,21868,102725,0.002291685764048
2021-06-23,21993,21993,21567,21643,120467,-0.01028900676788
2021-06-24,21667,21742,21391,21517,109262,-0.0058217437508663
2021-06-25,21542,22368,21542,21943,242277,0.0197982990193801
2021-06-28,21943,21943,21266,21317,419842,-0.0285284601011712
2021-06-29,21392,21392,21041,21192,251248,-0.005863864521274
2021-06-30,21191,21191,20965,21016,195875,-0.0083050207625519
2021-07-01,21041,21191,20940,21016,154285,0.0
2021-07-02,21016,21116,20940,20991,120984,-0.0011895698515417
2021-07-05,21016,21016,20565,20691,160933,-0.0142918393597255
2021-07-06,20690,20991,20690,20816,116542,0.0060412739838577
2021-07-07,20866,20916,20615,20666,80429,-0.0072059953881629
2021-07-08,20816,20816,20541,20541,103146,-0.0060485822123294
2021-07-09,20465,20465,19613,19839,203372,-0.0341755513363516
2021-07-12,19864,20114,19638,19814,103109,-0.0012601441604919
2021-07-13,19863,20014,19838,19939,66293,0.0063086706369233
2021-07-14,19939,19939,19688,19739,83284,-0.0100305933095942
2021-07-15,19764,23020,19764,20190,3107489,0.022848168600233
2021-07-16,20290,21417,20190,20591,863875,0.0198613174839028
2021-07-19,20690,21417,20315,20791,765608,0.0097129813996406
2021-07-20,20465,21091,20340,20641,330574,-0.0072146601895051
2021-07-21,20691,21818,20691,21042,1139071,0.0194273533259048
2021-07-22,21141,21342,20690,20766,361368,-0.0131166238950669
2021-07-23,20840,20865,20389,20415,205803,-0.0169026292978907
2021-07-26,20414,20489,19988,20014,186148,-0.0196424197893705
2021-07-27,20115,20190,19964,20040,118429,0.0012990906365544
2021-07-28,20139,20314,19938,19989,135142,-0.0025449101796407
2021-07-29,20064,20139,19938,19989,90442,0.0
2021-07-30,20114,20114,19763,19864,126042,-0.0062534393916654
2021-08-02,19864,20014,19638,19739,108376,-0.0062927909786548
2021-08-03,19789,19839,19588,19664,88094,-0.0037995845787527
2021-08-04,19688,20164,19638,19914,136437,0.012713588283157
2021-08-05,19763,20214,19763,19914,123542,0.0
2021-08-06,20089,20089,19763,19764,98709,-0.0075323892738776
2021-08-09,19789,19889,19613,19664,112346,-0.0050597045132564
2021-08-10,19638,19638,19187,19213,167589,-0.0229353132628152
2021-08-11,19238,19263,18636,18712,178346,-0.0260760943111435
2021-08-12,18711,19162,18636,18762,100314,0.0026720820863617
2021-08-13,18762,19012,17910,18086,147496,-0.0360302739580001
2021-08-17,18085,18185,16757,16958,192106,-0.0623686829591949
2021-08-18,16783,17309,16382,17034,112220,0.0044816605731807
2021-08-19,17033,17283,16482,16482,106776,-0.0324057766819302
2021-08-20,16682,16807,15931,15931,107508,-0.0334304089309549
2021-08-23,16232,16307,15931,16132,68462,0.012616910426213
2021-08-24,16131,18110,16131,16808,292092,0.0419042896107115
2021-08-25,16808,16808,16532,16758,45016,-0.0029747739171822
2021-08-26,16708,16808,15881,16032,311960,-0.0433225921947726
2021-08-27,16006,16157,15806,16032,106755,0.0
2021-08-30,16106,16156,15655,15706,199368,-0.0203343313373253
2021-08-31,15881,15906,15455,15581,143043,-0.0079587418820832
2021-09-01,15580,15831,15580,15756,118949,0.0112316282651947
2021-09-02,15806,15806,15505,15581,111176,-0.0111068799187611
2021-09-03,15605,15731,15505,15656,104288,0.0048135549707977
2021-09-06,15656,15656,15480,15556,76975,-0.0063873275421563
2021-09-07,15555,16632,15555,15931,323030,0.0241064541013114
2021-09-08,15956,15956,15605,15631,81984,-0.0188312095913627
2021-09-09,15455,15630,15355,15355,82827,-0.0176572196276629
2021-09-10,15354,15530,15129,15455,60740,0.0065125366330185
2021-09-13,15531,15556,15004,15030,96644,-0.0274991912002587
2021-09-14,15004,15831,14904,15781,179027,0.0499667332002662
2021-09-15,15781,15806,15004,15030,203669,-0.0475888726950129
2021-09-16,15205,15255,15004,15180,68568,0.0099800399201597
2021-09-17,15180,15230,14904,15130,72518,-0.0032938076416337
2021-09-23,15154,15154,14878,14954,83603,-0.0116325181758096
2021-09-24,15079,15179,14928,15004,58772,0.0033435870001337
2021-09-27,15004,15129,14778,15004,84592,0.0
2021-09-28,14853,15004,14728,14929,88489,-0.0049986670221274
2021-09-29,14603,14979,14553,14704,72613,-0.0150713376649473
2021-09-30,14703,14954,14628,14804,45154,0.0068008705114255
2021-10-01,14628,14804,14127,14203,135089,-0.0405971359092137
2021-10-05,14127,14127,13225,13476,130990,-0.0511863690769556
2021-10-06,13701,13776,12874,12900,111477,-0.0427426536064113
2021-10-07,12950,13301,12875,13301,58574,0.0310852713178295
2021-10-08,13250,14453,13250,13877,199948,0.0433050146605518
2021-10-12,13876,13927,13376,13376,36199,-0.0361029040858975
2021-10-13,13351,13702,13351,13627,33866,0.0187649521531101
2021-10-14,13652,14103,13577,14053,55042,0.0312614662067953
2021-10-15,14227,14378,13927,14328,79786,0.0195687753504589
2021-10-18,14377,14528,14077,14403,58955,0.0052345058626466
2021-10-19,14403,16357,14378,15080,1666329,0.047004096368812
2021-10-20,14929,15104,14778,14829,186988,-0.0166445623342175
2021-10-21,14803,14803,14402,14503,127631,-0.021983950367523
2021-10-22,14578,15855,14578,15004,1185061,0.0345445769840722
2021-10-25,14954,15480,14829,15255,487707,0.0167288723007197
2021-10-26,15505,15931,15329,15355,469985,0.0065552277941658
2021-10-27,15430,15655,15104,15405,218072,0.0032562683165093
2021-10-28,15404,15404,14903,14929,132734,-0.03089905874716
2021-10-29,15029,15179,14804,14804,95236,-0.0083729653694152
2021-11-01,14804,14879,14353,14554,95625,-0.0168873277492569
2021-11-02,14503,15004,14503,14979,74297,0.0292015940634877
2021-11-03,15130,15130,14478,14529,83506,-0.0300420588824353
2021-11-04,14528,14753,14277,14378,87716,-0.0103930070892697
2021-11-05,14403,14428,13526,13702,133912,-0.047016274864376
2021-11-08,13627,14053,13602,14028,52915,0.0237921471318056
2021-11-09,13877,14102,13802,13802,40195,-0.0161106358711149
2021-11-10,13801,13826,13300,13351,71015,-0.0326764237067092
2021-11-11,13175,13476,13125,13251,43603,-0.0074900756497641
2021-11-12,13150,13451,13150,13426,39684,0.0132065504490226
2021-11-15,13426,13727,13426,13652,60965,0.0168330105764933
2021-11-16,13601,14027,13501,14002,145653,0.0256372692645765
2021-11-17,14503,14528,13576,13752,121425,-0.017854592201114
2021-11-18,13777,13802,13476,13727,49219,-0.0018179173938336
2021-11-19,13726,13927,13526,13852,49180,0.0091061411816129
2021-11-22,13852,13877,13552,13552,40118,-0.0216575223794397
2021-11-23,13375,13626,13375,13426,39783,-0.009297520661157
2021-11-24,13401,13752,13376,13677,64591,0.0186950692685834
2021-11-25,13551,13676,13376,13376,43540,-0.0220077502376252
2021-11-26,13400,13626,12925,12925,88778,-0.0337171052631578
2021-11-29,12298,12624,12023,12349,97358,-0.0445647969052224
2021-11-30,12449,12524,11572,11598,105664,-0.0608146408616082
2021-12-01,11622,11823,11422,11773,52265,0.015088808415244
2021-12-02,11572,12449,11572,12174,59064,0.0340609870041621
2021-12-03,12199,12675,12199,12675,38500,0.0411532774765894
2021-12-06,12675,12725,12324,12625,25171,-0.0039447731755424
2021-12-07,12599,12950,12574,12900,36634,0.0217821782178218
2021-12-08,12900,13000,12624,12750,39637,-0.0116279069767442
2021-12-09,12749,13000,12749,12800,38399,0.0039215686274509
2021-12-10,12699,12925,12699,12825,22213,0.001953125
2021-12-13,12824,13150,12774,12975,35628,0.0116959064327486
2021-12-14,12975,12975,12874,12925,21805,-0.0038535645472062
2021-12-15,12975,13301,12699,13301,103797,0.029090909090909
2021-12-16,13375,13476,12899,12925,87129,-0.028268551236749
2021-12-17,12875,12875,12499,12525,42794,-0.0309477756286267
2021-12-20,12474,12474,12173,12224,30590,-0.0240319361277444
2021-12-21,12123,12274,11998,12199,34096,-0.0020451570680628
2021-12-22,12198,12324,12098,12249,21009,0.0040986966144767
2021-12-23,12148,12974,12148,12975,112242,0.0592701445015919
2021-12-24,13126,13126,12550,12550,72431,-0.0327552986512523
2021-12-27,12574,12599,12124,12124,62326,-0.0339442231075697
2021-12-28,12224,12274,12123,12149,35706,0.002062025734081
2021-12-29,12098,12499,12098,12374,41718,0.0185200428018768
2021-12-30,12374,13526,12274,12675,154093,0.0243251979957976
2022-01-03,12725,12775,12624,12700,25902,0.0019723865877712
2022-01-04,12725,12875,12599,12675,34066,-0.0019685039370078
2022-01-05,12675,12925,12499,12550,66877,-0.009861932938856
2022-01-06,12449,12775,12399,12600,49467,0.0039840637450199
2022-01-07,12474,12775,12474,12675,31948,0.0059523809523809
2022-01-10,12749,12875,12549,12800,54161,0.009861932938856
2022-01-11,12800,13000,12574,12600,57621,-0.015625
2022-01-12,12674,12800,12649,12750,47859,0.0119047619047618
2022-01-13,12925,13176,12599,12625,72785,-0.0098039215686274
2022-01-14,12549,12624,12298,12324,44511,-0.0238415841584158
2022-01-17,12525,12525,12024,12024,34669,-0.0243427458617332
2022-01-18,12023,12223,11748,11748,40704,-0.0229540918163673
2022-01-19,11497,11973,11497,11598,33039,-0.0127681307456588
2022-01-20,11597,11848,11572,11723,25509,0.0107777202966028
2022-01-21,11547,11848,11547,11723,23690,0.0
2022-01-24,11672,11697,11296,11322,48662,-0.0342062611959396
2022-01-25,11272,11372,10545,10571,83325,-0.0663310369192722
2022-01-26,10470,10746,10470,10571,39223,0.0
2022-01-27,10570,10645,9793,9919,71723,-0.061678176142276
2022-01-28,9894,10420,9819,10270,39575,0.0353866317169069
2022-02-03,10520,10646,10395,10596,38684,0.0317429406037002
2022-02-04,10545,13226,10470,12174,1910619,0.1489241223103057
2022-02-07,11898,13476,11548,12550,1291305,0.0308854936750451
2022-02-08,12449,12850,12073,12199,265080,-0.0279681274900398
2022-02-09,12224,12524,12073,12124,119096,-0.0061480449217149
2022-02-10,12123,15756,12073,15756,8009350,0.299571098647311
2022-02-11,15906,17459,15105,15581,11106752,-0.0111068799187611
2022-02-14,15180,15806,14854,15080,3774991,-0.032154547204929
2022-02-15,14828,16782,13601,14378,12964332,-0.046551724137931
2022-02-16,14628,15104,14152,14829,3168801,0.0313673668104048
2022-02-17,14903,15404,13726,14453,2424537,-0.0253557218962843
2022-02-18,14252,15630,14177,14954,3777900,0.0346640835812634
2022-02-21,14779,15705,14678,15280,2026437,0.0218001872408719
2022-02-22,14879,15981,14779,15706,2622357,0.0278795811518324
2022-02-23,15781,15856,15179,15255,998567,-0.0287151407105564
2022-02-24,14954,15430,14153,14153,712927,-0.0722386102917076
2022-02-25,14728,15705,14703,15305,2112193,0.0813961704232317
2022-02-28,15179,16131,15079,15881,2465141,0.0376347598823914
2022-03-02,15630,16657,15580,16207,3204653,0.0205276745796865
2022-03-03,16231,17383,15580,15931,3426476,-0.0170296785339667
2022-03-04,16131,16883,15956,16182,1619004,0.0157554453581068
2022-03-07,16006,16006,15404,15430,423153,-0.046471387961933
2022-03-08,15029,15655,14879,15155,450589,-0.0178224238496435
2022-03-10,15630,16883,15380,16883,2684522,0.1140217749917518
2022-03-11,16808,17159,16282,16533,1622546,-0.0207309127524728
2022-03-14,16407,16507,15731,16132,591071,-0.0242545212605093
2022-03-15,15956,17033,15956,16983,3107550,0.0527522935779816
2022-03-16,16832,17083,16431,17008,1117219,0.0014720602955897
2022-03-17,17008,17133,16682,16758,746786,-0.0146989651928504
2022-03-18,16682,16807,16081,16332,364226,-0.0254206945936269
2022-03-21,16432,16532,15906,16107,299363,-0.0137766348273328
2022-03-22,16082,16407,15956,16032,258871,-0.004656360588564
2022-03-23,16056,16106,15179,15455,540536,-0.0359905189620758
2022-03-24,15455,15630,15179,15330,224628,-0.0080879974118408
2022-03-25,15505,15505,15229,15305,146341,-0.0016307893020222
2022-03-28,15530,15956,15405,15831,493809,0.0343678536426004
2022-03-29,15930,16331,15655,15956,419567,0.007895900448487
2022-03-30,16181,16206,15630,15831,306709,-0.0078340436199548
2022-03-31,15931,17259,15856,17209,4890542,0.0870444065441222
