Date,Open,High,Low,Close,Volume,Change
2017-10-31,3595,3595,3595,3595,0,
2017-11-01,3595,3595,3595,3595,0,0.0
2017-11-02,3595,3595,3595,3595,0,0.0
2017-11-03,3595,3595,3595,3595,0,0.0
2017-11-06,3595,3595,3595,3595,0,0.0
2017-11-07,3595,3595,3595,3595,0,0.0
2017-11-08,3595,3595,3595,3595,0,0.0
2017-11-09,3595,3595,3595,3595,0,0.0
2017-11-10,3595,3595,3595,3595,0,0.0
2017-11-13,3595,3595,3595,3595,0,0.0
2017-11-14,3595,3595,3595,3595,0,0.0
2017-11-15,3595,3595,3595,3595,0,0.0
2017-11-16,3595,3595,3595,3595,0,0.0
2017-11-17,3595,3595,3595,3595,0,0.0
2017-11-20,3595,3595,3595,3595,0,0.0
2017-11-21,3595,3595,3595,3595,0,0.0
2017-11-22,3595,3595,3595,3595,0,0.0
2017-11-23,3595,3595,3595,3595,0,0.0
2017-11-24,3595,3595,3595,3595,0,0.0
2017-11-27,3595,3595,3595,3595,0,0.0
2017-11-28,3595,3595,3595,3595,0,0.0
2017-11-29,3595,3595,3595,3595,0,0.0
2017-11-30,3595,3595,3595,3595,0,0.0
2017-12-01,3595,3595,3595,3595,0,0.0
2017-12-04,3595,3595,3595,3595,0,0.0
2017-12-05,3595,3595,3595,3595,0,0.0
2017-12-06,3595,3595,3595,3595,0,0.0
2017-12-07,3595,3595,3595,3595,0,0.0
2017-12-08,3595,3595,3595,3595,0,0.0
2017-12-11,3595,3595,3595,3595,0,0.0
2017-12-12,3595,3595,3595,3595,0,0.0
2017-12-13,3595,3595,3595,3595,0,0.0
2017-12-14,3595,3595,3595,3595,0,0.0
2017-12-15,3595,3595,3595,3595,0,0.0
2017-12-18,3595,3595,3595,3595,0,0.0
2017-12-19,3595,3595,3595,3595,0,0.0
2017-12-20,3595,3595,3595,3595,0,0.0
2017-12-21,3595,3595,3595,3595,0,0.0
2017-12-22,3595,3595,3595,3595,0,0.0
2017-12-26,3595,3595,3595,3595,0,0.0
2017-12-27,3595,3595,3595,3595,0,0.0
2017-12-28,3595,3595,3595,3595,0,0.0
2018-01-02,3595,3595,3595,3595,0,0.0
2018-01-03,3595,3595,3595,3595,0,0.0
2018-01-04,3595,3595,3595,3595,0,0.0
2018-01-05,3595,3595,3595,3595,0,0.0
2018-01-08,3595,3595,3595,3595,0,0.0
2018-01-09,3595,3595,3595,3595,0,0.0
2018-01-10,3595,3595,3595,3595,0,0.0
2018-01-11,3595,3595,3595,3595,0,0.0
2018-01-12,3595,3595,3595,3595,0,0.0
2018-01-15,3595,3595,3595,3595,0,0.0
2018-01-16,3595,3595,3595,3595,0,0.0
2018-01-17,3595,3595,3595,3595,0,0.0
2018-01-18,3595,3595,3595,3595,0,0.0
2018-01-19,3595,3595,3595,3595,0,0.0
2018-01-22,3595,3595,3595,3595,0,0.0
2018-01-23,3595,3595,3595,3595,0,0.0
2018-01-24,3595,3595,3595,3595,0,0.0
2018-01-25,3595,3595,3595,3595,0,0.0
2018-01-26,3595,3595,3595,3595,0,0.0
2018-01-29,3595,3595,3595,3595,0,0.0
2018-01-30,3595,3595,3595,3595,0,0.0
2018-01-31,3595,3595,3595,3595,0,0.0
2018-02-01,3595,3595,3595,3595,0,0.0
2018-02-02,3595,3595,3595,3595,0,0.0
2018-02-05,3595,3595,3595,3595,0,0.0
2018-02-06,3595,3595,3595,3595,0,0.0
2018-02-07,3595,3595,3595,3595,0,0.0
2018-02-08,3595,3595,3595,3595,0,0.0
2018-02-09,3595,3595,3595,3595,0,0.0
2018-02-12,3595,3595,3595,3595,0,0.0
2018-02-13,3595,3595,3595,3595,0,0.0
2018-02-14,3595,3595,3595,3595,0,0.0
2018-02-19,3595,3595,3595,3595,0,0.0
2018-02-20,3595,3595,3595,3595,0,0.0
2018-02-21,3595,3595,3595,3595,0,0.0
2018-02-22,3595,3595,3595,3595,0,0.0
2018-02-23,3595,3595,3595,3595,0,0.0
2018-02-26,4100,4100,4100,4100,0,0.1404728789986091
2018-02-27,4100,4100,4100,4100,0,0.0
2018-02-28,4100,4100,4100,4100,0,0.0
2018-03-02,4100,4100,4100,4100,0,0.0
2018-03-05,4100,4100,4100,4100,0,0.0
2018-03-06,4100,4100,4100,4100,0,0.0
2018-03-07,4100,4100,4100,4100,0,0.0
2018-03-08,4100,4100,4100,4100,0,0.0
2018-03-09,4100,4100,4100,4100,0,0.0
2018-03-12,4100,4100,4100,4100,0,0.0
2018-03-13,4100,4100,4100,4100,0,0.0
2018-03-14,4100,4100,4100,4100,0,0.0
2018-03-15,4100,4100,4100,4100,0,0.0
2018-03-16,4100,4100,4100,4100,0,0.0
2018-03-19,4100,4100,4100,4100,0,0.0
2018-03-20,4100,4100,4100,4100,0,0.0
2018-03-21,4100,4100,4100,4100,0,0.0
2018-03-22,4100,4100,4100,4100,0,0.0
2018-03-23,4100,4100,4100,4100,0,0.0
2018-03-26,4100,4100,4100,4100,0,0.0
2018-03-27,4100,4100,4100,4100,0,0.0
2018-03-28,4100,4100,4100,4100,0,0.0
2018-03-29,4100,4100,4100,4100,0,0.0
2018-03-30,4100,4100,4100,4100,0,0.0
2018-04-02,4100,4100,4100,4100,0,0.0
2018-04-03,4100,4100,4100,4100,0,0.0
2018-04-04,4100,4100,4100,4100,0,0.0
2018-04-05,4100,4100,4100,4100,0,0.0
