Date,Open,High,Low,Close,Volume,Change
2018-10-15,32150,39944,32150,32881,4132966,
2018-10-16,31955,32004,26889,28205,981428,-0.1422097868069706
2018-10-17,28448,29471,24502,27864,785516,-0.0120900549547952
2018-10-18,27522,28009,26304,26597,296238,-0.0454708584553545
2018-10-19,25817,28350,25379,26743,634859,0.0054893409031093
2018-10-22,28009,29422,26743,26743,616798,0.0
2018-10-23,26889,26889,24551,24649,221557,-0.078300863777437
2018-10-24,24989,25233,22505,23139,273033,-0.0612600916872895
2018-10-25,22456,24210,22115,23187,215560,0.0020744198107092
2018-10-26,23576,23723,19923,21921,366092,-0.054599560098331
2018-10-29,21920,22505,20118,20946,143956,-0.0444778979061174
2018-10-30,20215,21287,19728,20459,117682,-0.0232502625799675
2018-10-31,20849,23430,20361,22749,357663,0.1119311794320347
2018-11-01,23382,23625,21823,21872,129073,-0.0385511451052793
2018-11-02,22261,23966,22066,23236,188037,0.0623628383321142
2018-11-05,23187,23284,22407,22749,46909,-0.0209588569461181
2018-11-06,23284,24258,23041,24064,138195,0.0578047386698317
2018-11-07,24112,25671,23723,25574,159302,0.062749335106383
2018-11-08,25817,26645,25233,25282,104552,-0.0114178462500977
2018-11-09,24940,26499,24746,26013,124730,0.0289138517522347
2018-11-12,25476,25769,22894,23382,159993,-0.1011417368238957
2018-11-13,22700,23771,21579,23480,95064,0.0041912582328287
2018-11-14,23333,24551,22894,23382,57636,-0.0041737649063032
2018-11-15,22115,23235,21579,23090,246972,-0.0124882388161834
2018-11-16,22797,23430,22553,22603,60647,-0.0210913815504547
2018-11-19,22846,23041,22213,22457,54448,-0.0064593195593505
2018-11-20,22115,22505,20897,20898,71524,-0.06942156120586
2018-11-21,20556,25233,20167,21434,482916,0.0256483874054933
2018-11-22,21190,21384,20459,20459,112955,-0.0454884762526827
2018-11-23,20459,20946,19972,20313,55187,-0.0071362236668458
2018-11-26,20118,20605,19972,20264,46358,-0.0024122483138876
2018-11-27,20702,21872,20313,21239,129986,0.0481148835373075
2018-11-28,21190,21628,20654,20654,62045,-0.0275436696642967
2018-11-29,20995,21287,20264,20264,47573,-0.018882540912172
2018-11-30,20410,20556,20215,20362,21549,0.0048361626529807
2018-12-03,20702,21092,20556,20995,28716,0.0310873195167469
2018-12-04,20800,21531,20654,20995,36568,0.0
2018-12-05,20459,20897,20215,20264,50512,-0.0348178137651822
2018-12-06,20167,20556,18900,18901,52981,-0.0672621397552309
2018-12-07,19192,19533,18754,18998,30077,0.0051320035976931
2018-12-10,18900,20849,18851,19729,127078,0.0384777344983682
2018-12-11,19485,20751,18656,20070,110018,0.0172842009224998
2018-12-12,20605,23382,20605,21434,498131,0.0679621325361234
2018-12-13,21141,21384,20459,20459,89916,-0.0454884762526827
2018-12-14,20167,20313,19290,19388,99113,-0.0523485996383009
2018-12-17,19290,20751,18997,20605,112899,0.0627707860532287
2018-12-18,21872,26743,21872,26743,1761575,0.2978888619267168
2018-12-19,30396,33270,27473,29374,1878844,0.098380884717496
2018-12-20,29325,31371,28789,30835,609853,0.049737863416627
2018-12-21,30299,31224,29373,31176,308879,0.0110588616831521
2018-12-24,30396,31468,26792,26889,409797,-0.137509622786759
2018-12-26,26402,28691,26012,27669,374005,0.0290081445944438
2018-12-27,28253,28496,26792,27961,200242,0.0105533268278579
2018-12-28,27863,30201,27717,29910,343242,0.0697042308930295
2019-01-02,30640,31565,29130,29910,454452,0.0
2019-01-03,30396,33709,30201,31274,765108,0.0456034770979605
2019-01-04,31663,32978,30201,32832,302062,0.0498177399756987
2019-01-07,33514,34586,31955,32686,496543,-0.0044468810916179
2019-01-08,32393,32588,30494,31274,340013,-0.0431989230863366
2019-01-09,31273,31760,30396,30397,165719,-0.0280424633881178
2019-01-10,30494,31517,29227,29228,265673,-0.0384577425403822
2019-01-11,30201,30494,28984,29325,146675,0.0033187354591488
2019-01-14,29276,31955,28984,31322,276249,0.0680988917306053
2019-01-15,29860,30542,29666,30056,430657,-0.0404188749122023
2019-01-16,30201,31663,30007,31079,379395,0.034036465264839
2019-01-17,31468,38239,30104,38240,1773782,0.2304128189452685
2019-01-18,37801,42380,35901,38240,1481797,0.0
2019-01-21,38970,42818,37606,39555,791461,0.0343880753138075
2019-01-22,38726,38970,35462,35609,512908,-0.0997598280874731
2019-01-23,35365,36534,34634,35658,276215,0.0013760566149008
2019-01-24,35657,36680,34829,35609,224237,-0.0013741656851197
2019-01-25,35121,37752,34878,35755,501114,0.0041000870566429
2019-01-28,36583,36729,35365,35365,154646,-0.0109075653754719
2019-01-29,35609,37849,35316,36145,477666,0.0220557047928742
2019-01-30,36485,36485,34196,34391,215388,-0.048526767187716
