Date,Open,High,Low,Close,Volume,Change
2023-04-04,19550,19920,19550,19720,127027,0.00203252032520318
2023-04-05,19700,20200,19630,19780,117635,0.0030425963488844854
2023-04-06,19710,19750,19000,19060,221797,-0.03640040444893833
2023-04-07,19070,19210,18810,19020,124978,-0.0020986358866736943
2023-04-10,19060,19070,18500,18600,194148,-0.02208201892744477
2023-04-11,18510,18620,18220,18500,139554,-0.005376344086021501
2023-04-12,18370,18500,18100,18350,158167,-0.008108108108108136
2023-04-13,18390,20300,18230,20300,580889,0.10626702997275195
2023-04-14,20450,20500,19750,20300,275377,0.0
2023-04-17,20300,20300,19800,19990,119492,-0.015270935960591148
2023-04-18,19960,19960,19300,19310,158855,-0.034017008504252155
2023-04-19,20000,20300,19420,19490,162157,0.009321595028482621
2023-04-20,19420,19480,18870,18900,113904,-0.03027193432529507
2023-04-21,18860,19000,18520,18530,107096,-0.01957671957671958
2023-04-24,18530,19950,18400,18820,206757,0.015650296815974185
2023-04-25,19020,19490,18220,18300,154692,-0.02763018065887357
2023-04-26,18300,18580,18020,18140,76055,-0.008743169398907069
2023-04-27,18490,18600,18000,18170,79130,0.001653803748621785
2023-04-28,18500,19250,18100,18200,191482,0.001651073197578512
2023-05-02,18230,18470,18210,18370,66834,0.009340659340659307
2023-05-03,18370,18580,18110,18130,78003,-0.013064779531845372
2023-05-04,18020,18200,17810,17910,76647,-0.012134583563155
2023-05-08,17920,18550,17920,18170,86638,0.014517029592406416
2023-05-09,17980,18250,17370,17840,95563,-0.018161805173362633
2023-05-10,17840,18000,17650,17710,48222,-0.007286995515695116
2023-05-11,18030,18420,17750,18000,87617,0.01637492941840768
2023-05-12,17830,18300,17760,17850,40850,-0.008333333333333304
2023-05-15,17770,17850,17050,17250,104312,-0.03361344537815125
2023-05-16,17000,17600,16990,17080,67924,-0.009855072463768155
2023-05-17,16950,17410,16910,17270,53738,0.011124121779859442
2023-05-18,17380,17720,17380,17410,59179,0.00810654313839021
2023-05-19,17650,17900,17510,17710,66228,0.017231476163124704
2023-05-22,17710,17830,17510,17750,47272,0.0022586109542630517
2023-05-23,17750,18140,17750,17850,56773,0.005633802816901401
2023-05-24,17850,17990,17350,17360,80763,-0.027450980392156876
2023-05-25,17360,17520,17150,17150,62062,-0.012096774193548376
2023-05-26,17300,17310,17030,17100,49822,-0.002915451895043719
2023-05-30,17170,17440,17100,17440,43460,0.019883040935672502
2023-05-31,17440,17770,17300,17310,53580,-0.007454128440366969
2023-06-01,17250,17620,17250,17550,38405,0.013864818024263537
