Date,Open,High,Low,Close,Volume,Change
2018-08-02,7500,9750,7250,8175,8699875,
2018-08-03,8600,8800,7000,7250,1983728,-0.1131498470948012
2018-08-06,7449,7700,6725,7025,1127146,-0.0310344827586206
2018-08-07,7075,7175,6824,6850,730443,-0.0249110320284697
2018-08-08,6874,7100,6600,6750,705303,-0.0145985401459853
2018-08-09,6775,7049,6700,6925,513946,0.0259259259259259
2018-08-10,6825,6875,6249,6325,723070,-0.0866425992779783
2018-08-13,6200,6274,5500,5550,563931,-0.1225296442687746
2018-08-14,5625,5900,5550,5700,469675,0.0270270270270269
2018-08-16,5700,5875,5600,5775,371980,0.013157894736842
2018-08-17,5950,7425,5950,6725,4243993,0.1645021645021644
2018-08-20,6650,6800,6225,6400,768390,-0.0483271375464684
2018-08-21,6475,7075,6450,6600,1439210,0.03125
2018-08-22,6725,6875,6450,6700,670927,0.0151515151515151
2018-08-23,7200,7375,6575,6575,1055500,-0.0186567164179104
2018-08-24,6500,6575,6300,6575,329308,0.0
2018-08-27,6550,6775,6475,6725,330292,0.0228136882129277
2018-08-28,6650,6724,6450,6450,226676,-0.0408921933085502
2018-08-29,6450,6500,6325,6500,154229,0.0077519379844961
2018-08-30,6600,6625,6300,6300,170040,-0.0307692307692307
2018-08-31,6250,6350,6024,6050,212227,-0.0396825396825396
2018-09-03,6025,6125,5900,6100,101646,0.0082644628099173
2018-09-04,6075,6275,6050,6250,176417,0.0245901639344261
2018-09-05,6200,6225,6000,6225,216499,-0.004
2018-09-06,6475,6800,6325,6525,687098,0.0481927710843372
2018-09-07,6375,6475,6275,6300,133950,-0.0344827586206896
2018-09-10,6300,6300,6000,6025,105032,-0.0436507936507936
2018-09-11,6050,6100,5725,5950,339808,-0.0124481327800829
2018-09-12,6325,6350,6000,6100,358046,0.0252100840336133
2018-09-13,6025,6075,5925,6000,105735,-0.0163934426229508
2018-09-14,6050,6075,5875,5900,85703,-0.0166666666666667
2018-09-17,5849,5950,5825,5825,73378,-0.0127118644067796
2018-09-18,5850,6200,5749,6175,159515,0.0600858369098713
2018-09-19,6100,6125,5850,5900,160150,-0.0445344129554655
2018-09-20,5900,6075,5825,5975,143314,0.0127118644067796
2018-09-21,5975,5975,5850,5875,65435,-0.0167364016736402
2018-09-27,5900,5925,5750,5750,59910,-0.0212765957446808
2018-09-28,5775,5800,5550,5700,56533,-0.0086956521739129
2018-10-01,5750,6100,5600,6100,184070,0.0701754385964912
2018-10-02,6025,6350,6025,6125,193143,0.0040983606557376
2018-10-04,6200,6225,5875,5975,45827,-0.0244897959183673
2018-10-05,5925,6025,5775,5775,31982,-0.0334728033472803
2018-10-08,5725,6450,5725,6175,299426,0.0692640692640693
2018-10-10,6224,6900,6200,6850,844010,0.1093117408906882
2018-10-11,6550,7175,6450,6450,623729,-0.0583941605839416
2018-10-12,6450,6875,6450,6800,180897,0.0542635658914729
2018-10-15,6875,7050,6675,6975,266560,0.0257352941176469
2018-10-16,7000,7175,6575,6775,184411,-0.028673835125448
2018-10-17,6775,6850,6425,6600,107149,-0.025830258302583
2018-10-18,6625,6675,6400,6475,77035,-0.0189393939393939
2018-10-19,6350,6575,6325,6525,64449,0.0077220077220077
2018-10-22,6500,6825,6400,6750,87258,0.0344827586206897
2018-10-23,6750,6825,6500,6600,49374,-0.0222222222222222
2018-10-24,6725,6750,6100,6200,84768,-0.0606060606060605
2018-10-25,5900,6200,5775,5900,51593,-0.0483870967741935
2018-10-26,6000,6100,5450,5700,81706,-0.0338983050847457
2018-10-29,5600,5600,4990,4990,67654,-0.1245614035087719
2018-10-30,4560,5000,4560,4900,64537,-0.0180360721442885
2018-10-31,4905,5750,4905,5150,60295,0.0510204081632652
2018-11-01,5200,5550,5175,5325,37157,0.0339805825242718
2018-11-02,5300,5425,5250,5300,58232,-0.0046948356807511
2018-11-05,5225,5350,5100,5225,23659,-0.0141509433962264
2018-11-06,5375,5400,5125,5250,27727,0.0047846889952152
2018-11-07,5200,5325,4955,5025,71974,-0.0428571428571428
2018-11-08,5150,5150,5025,5100,25013,0.0149253731343284
2018-11-09,5050,5900,4980,5325,239156,0.0441176470588235
2018-11-12,5250,5275,5025,5075,47265,-0.0469483568075117
2018-11-13,4955,4995,4850,4940,48161,-0.0266009852216748
2018-11-14,4925,5100,4925,5025,27263,0.0172064777327936
2018-11-15,4955,5050,4920,4975,13724,-0.0099502487562188
2018-11-16,4980,5050,4980,5050,15487,0.015075376884422
2018-11-19,5050,5125,4975,5000,47448,-0.0099009900990099
2018-11-20,4965,4965,4750,4750,41088,-0.05
2018-11-21,4705,4835,4610,4750,14857,0.0
2018-11-22,4750,4830,4705,4730,9850,-0.0042105263157894
2018-11-23,4780,5600,4620,4620,349057,-0.0232558139534884
2018-11-26,4675,4720,4580,4650,28550,0.0064935064935065
2018-11-27,4685,4700,4610,4620,27198,-0.0064516129032258
2018-11-28,4620,4685,4525,4565,29599,-0.0119047619047618
2018-11-29,4645,4645,4520,4545,25728,-0.004381161007667
2018-11-30,4530,4825,4530,4550,24266,0.001100110011001
2018-12-03,4550,4620,4500,4590,19712,0.0087912087912087
2018-12-04,4595,4600,4525,4575,11891,-0.0032679738562091
2018-12-05,4480,4575,4450,4500,15344,-0.0163934426229508
2018-12-06,4475,4500,4375,4395,23953,-0.0233333333333333
2018-12-07,4400,4470,4250,4280,25806,-0.0261660978384528
2018-12-10,4200,4450,4200,4330,12873,0.0116822429906542
2018-12-11,4250,4330,4030,4040,34568,-0.0669745958429561
2018-12-12,4040,4135,3950,3995,43435,-0.0111386138613861
2018-12-13,4055,4125,3955,3975,28425,-0.0050062578222778
2018-12-14,4040,4040,3815,3875,33819,-0.0251572327044025
2018-12-17,3925,3925,3675,3685,29187,-0.0490322580645161
2018-12-18,3675,3720,3525,3575,44212,-0.0298507462686566
2018-12-19,3575,3665,3555,3605,18189,0.0083916083916084
2018-12-20,3615,3640,3535,3545,23447,-0.0166435506241331
2018-12-21,3530,3650,3510,3645,22638,0.0282087447108603
2018-12-24,3695,3695,3585,3595,14361,-0.0137174211248285
2018-12-26,3435,3640,3375,3600,27333,0.0013908205841446
2018-12-27,3800,3800,3555,3555,19859,-0.0124999999999999
2018-12-28,3575,3680,3550,3585,16924,0.0084388185654007
2019-01-02,3635,3645,3500,3525,15390,-0.0167364016736402
2019-01-03,3565,3565,3400,3400,25878,-0.0354609929078014
2019-01-04,3430,3475,3325,3405,26179,0.0014705882352941
2019-01-07,3440,3715,3440,3585,62181,0.0528634361233479
2019-01-08,3605,3665,3560,3665,24384,0.0223152022315202
2019-01-09,3805,4180,3710,3735,120199,0.019099590723056
2019-01-10,3735,3770,3650,3690,18259,-0.0120481927710843
2019-01-11,3730,3730,3665,3705,15489,0.0040650406504065
2019-01-14,3705,3745,3550,3550,13235,-0.0418353576248312
2019-01-15,3560,3665,3540,3600,18261,0.0140845070422535
2019-01-16,3600,3650,3585,3635,23932,0.0097222222222221
2019-01-17,3635,3670,3615,3630,16553,-0.0013755158184318
2019-01-18,3680,3680,3585,3660,10352,0.0082644628099173
2019-01-21,3725,3725,3575,3615,12807,-0.012295081967213
2019-01-22,3615,3640,3555,3575,22906,-0.0110650069156292
2019-01-23,3575,3680,3575,3650,12706,0.020979020979021
2019-01-24,3690,3745,3575,3730,29014,0.0219178082191779
2019-01-25,3800,3925,3690,3690,42881,-0.0107238605898123
2019-01-28,3730,3775,3680,3680,14594,-0.002710027100271
2019-01-29,3750,3785,3645,3685,24184,0.0013586956521738
2019-01-30,3685,3765,3650,3745,32500,0.016282225237449
2019-01-31,3760,3900,3695,3720,32574,-0.0066755674232309
2019-02-01,3845,3845,3650,3680,28141,-0.010752688172043
2019-02-07,3680,3750,3650,3655,28242,-0.0067934782608695
2019-02-08,3620,3690,3565,3600,35538,-0.015047879616963
2019-02-11,3625,3625,3530,3565,23036,-0.0097222222222221
2019-02-12,3565,3600,3530,3565,19850,0.0
2019-02-13,3570,3645,3495,3545,45068,-0.005610098176718
2019-02-14,3570,3625,3485,3565,62204,0.005641748942172
2019-02-15,3575,3590,3495,3565,25589,0.0
2019-02-18,3555,3910,3550,3870,377808,0.0855539971949508
2019-02-19,3965,4080,3795,3880,214594,0.0025839793281654
2019-02-20,3875,3900,3645,3780,72024,-0.0257731958762886
2019-02-21,3840,4910,3840,4910,1900776,0.2989417989417988
2019-02-22,5200,5275,4410,4440,1524009,-0.0957230142566191
2019-02-25,4500,4640,4440,4500,488102,0.0135135135135135
2019-02-26,5125,5850,5075,5250,4081041,0.1666666666666667
2019-02-27,5150,5150,4950,5025,808465,-0.0428571428571428
2019-02-28,5000,5575,4590,4625,1496239,-0.0796019900497512
2019-03-04,4625,5400,4625,5175,889594,0.1189189189189188
2019-03-05,5075,5200,4990,5150,297733,-0.0048309178743961
2019-03-06,5150,5675,5075,5250,1208344,0.0194174757281553
2019-03-07,5250,5400,5125,5350,409046,0.0190476190476189
2019-03-08,5350,5500,5100,5100,416432,-0.0467289719626168
2019-03-11,5250,5325,5050,5175,270969,0.0147058823529411
2019-03-12,5200,5350,5050,5325,250367,0.0289855072463767
2019-03-13,5275,5300,4915,5000,406303,-0.0610328638497652
2019-03-14,5025,5125,4985,5000,111287,0.0
2019-03-15,5075,5075,4960,4960,104234,-0.008
2019-03-18,4965,5225,4850,5075,241600,0.0231854838709677
2019-03-19,5150,5150,4985,5000,110889,-0.0147783251231526
2019-03-20,5000,5150,4680,4845,254902,-0.031
2019-03-21,4990,4990,4725,4750,85708,-0.0196078431372549
2019-03-22,4750,4795,4525,4535,89493,-0.0452631578947368
2019-03-25,4370,4500,4260,4340,70378,-0.0429988974641676
2019-03-26,4340,4470,4275,4395,64593,0.0126728110599079
2019-03-27,4465,4465,4400,4450,56869,0.012514220705347
2019-03-28,4490,4490,4325,4325,33406,-0.0280898876404493
