Date,Open,High,Low,Close,Volume,Change
2023-04-04,125300,125300,121900,123100,31630,-0.008856682769726287
2023-04-05,123100,124000,119800,120300,31484,-0.022745735174654724
2023-04-06,120300,120300,116100,116300,36377,-0.03325020781379884
2023-04-07,116500,117400,114900,115400,30085,-0.007738607050730817
2023-04-10,115400,118200,112200,118000,48739,0.022530329289428108
2023-04-11,118000,120900,115800,118500,36577,0.004237288135593209
2023-04-12,118400,118400,115800,116700,24513,-0.015189873417721489
2023-04-13,116900,117800,115000,115900,19422,-0.006855184233076295
2023-04-14,115900,117900,115700,116700,22270,0.00690250215703192
2023-04-17,116600,120400,115100,118000,32009,0.011139674378748854
2023-04-18,118600,119100,116200,116700,20708,-0.011016949152542366
2023-04-19,116500,117200,115300,115600,22084,-0.009425878320479808
2023-04-20,115900,115900,112100,112100,31478,-0.030276816608996504
2023-04-21,110600,112000,110300,110500,19865,-0.014272970561998166
2023-04-24,110000,110500,106300,107000,21052,-0.03167420814479638
2023-04-25,105700,110100,105600,107000,14935,0.0
2023-04-26,107500,111900,106800,108800,20093,0.016822429906542036
2023-04-27,111700,111700,103000,106400,16376,-0.022058823529411797
2023-04-28,106400,108800,106400,106500,7933,0.0009398496240602405
2023-05-02,108500,111500,107900,111200,19439,0.04413145539906105
2023-05-03,111200,111500,107100,107900,14456,-0.029676258992805793
2023-05-04,107600,108400,105700,107200,11897,-0.006487488415199305
2023-05-08,107100,109100,105900,107600,15520,0.003731343283582156
2023-05-09,108500,108500,105200,106000,11596,-0.014869888475836479
2023-05-10,105800,108500,104100,104900,13098,-0.010377358490566091
2023-05-11,104900,107300,103300,103400,14731,-0.014299332697807476
2023-05-12,102600,103300,101200,102300,14885,-0.010638297872340385
2023-05-15,102100,102100,99500,101100,22929,-0.011730205278592365
2023-05-16,101400,101800,99800,100000,9748,-0.010880316518298683
2023-05-17,99000,102000,99000,100400,9127,0.0040000000000000036
2023-05-18,100400,102000,99900,100600,10232,0.0019920318725099584
2023-05-19,100600,101600,100200,100800,10263,0.001988071570576455
2023-05-22,100800,103000,99900,102400,13239,0.015873015873015817
2023-05-23,102400,103500,101400,103300,8696,0.0087890625
2023-05-24,101300,103300,101100,101300,8986,-0.019361084220716362
2023-05-25,101000,101500,100200,100300,6006,-0.009871668311944748
2023-05-26,100400,101700,100000,100500,5698,0.001994017946161497
2023-05-30,100500,101300,100100,100200,6991,-0.0029850746268657025
2023-05-31,100400,100900,99500,99500,7312,-0.006986027944111739
2023-06-01,100000,100000,98900,99900,9624,0.004020100502512669
2023-06-02,99900,102400,99100,101300,11407,0.01401401401401392
2023-06-05,102500,109100,102300,106000,37256,0.04639684106614017
2023-06-07,107000,109300,106600,106600,18027,0.005660377358490676
2023-06-08,105100,108000,105000,105400,11401,-0.011257035647279534
2023-06-09,105500,106000,103200,104000,13520,-0.013282732447817858
2023-06-12,103700,106000,102700,103700,8487,-0.0028846153846153744
2023-06-13,104100,109400,103700,105600,36110,0.018322082931533368
2023-06-14,105600,106100,103700,104300,15402,-0.012310606060606077
2023-06-15,103700,104100,100000,101000,18699,-0.03163950143815919
2023-06-16,101000,103000,100300,101900,8946,0.008910891089108919
2023-06-19,101000,103000,101000,101300,6649,-0.0058881256133463955
2023-06-20,101500,108000,101500,105200,32541,0.038499506416584506
2023-06-21,105800,106900,101400,102800,20155,-0.02281368821292773
2023-06-22,102700,105300,101400,102200,12557,-0.005836575875486361
2023-06-23,102900,102900,100500,100600,19315,-0.015655577299412915
2023-06-26,100600,101200,99600,100100,11040,-0.00497017892644136
2023-06-27,100100,100500,99600,100400,7973,0.0029970029970030065
2023-06-28,100400,102900,99000,99100,17543,-0.01294820717131473
2023-06-29,98500,98500,94500,94500,27038,-0.0464177598385469
2023-06-30,94100,94900,93000,93800,11588,-0.007407407407407418
2023-07-03,93800,94400,91800,91800,23430,-0.021321961620469065
2023-07-04,90600,91700,86100,87000,43602,-0.05228758169934644
2023-07-05,85100,85800,80400,80800,71828,-0.07126436781609191
2023-07-06,80500,83200,77000,81700,55954,0.011138613861386037
2023-07-07,80700,81200,77600,81200,27794,-0.006119951040391647
2023-07-10,80900,102900,80200,93400,236331,0.1502463054187193
2023-07-11,92400,100000,88500,98000,98881,0.04925053533190571
2023-07-12,97300,99400,94000,94700,28856,-0.03367346938775506
2023-07-13,94100,94700,90000,90400,32120,-0.04540654699049629
2023-07-14,90400,90600,88400,89500,18285,-0.009955752212389424
2023-07-17,88200,91000,86900,90400,15021,0.010055865921787754
2023-07-18,89500,91000,88200,89400,12578,-0.011061946902654829
2023-07-19,89400,90000,87500,88100,12868,-0.014541387024608499
2023-07-20,87800,88400,85100,86000,13847,-0.023836549375709448
2023-07-21,85200,90200,85100,89200,18643,0.037209302325581506
2023-07-24,89200,89200,83800,84200,34369,-0.056053811659192876
2023-07-25,83800,85600,81800,84100,20839,-0.001187648456057011
2023-07-26,82400,83900,80000,81500,25356,-0.030915576694411362
2023-07-27,80000,82100,78000,80900,19847,-0.007361963190184007
2023-07-28,80800,81900,78000,81400,21925,0.006180469715698411
2023-07-31,81400,93600,80900,89700,61482,0.10196560196560189
2023-08-01,91800,91800,87100,88700,25004,-0.01114827201783719
2023-08-02,90300,108500,89500,101900,219404,0.14881623449830883
2023-08-03,100000,110500,96600,110500,154114,0.084396467124632
2023-08-04,107200,109500,101300,105800,52062,-0.04253393665158367
2023-08-07,107000,108500,103100,106800,22768,0.00945179584120992
2023-08-08,106900,107700,101100,102600,29138,-0.0393258426966292
2023-08-09,102000,104000,99500,101900,25449,-0.006822612085769952
2023-08-10,100100,104100,99500,101800,13317,-0.0009813542688911214
2023-08-11,102700,106200,100100,104800,14928,0.02946954813359537
2023-08-14,104500,107000,99900,100200,15139,-0.043893129770992356
2023-08-16,99600,100700,95800,97400,17258,-0.027944111776447067
2023-08-17,95200,98000,94000,95900,18754,-0.015400410677618104
2023-08-18,94000,98000,94000,95500,20172,-0.004171011470281538
2023-08-21,95300,112100,95300,108400,123223,0.13507853403141357
2023-08-22,108200,109800,102200,102300,43897,-0.056273062730627266
2023-08-23,102400,108500,102100,103700,29564,0.013685239491691092
2023-08-24,104000,110000,100100,108600,34670,0.047251687560269984
2023-08-25,107600,109400,104200,108000,25835,-0.0055248618784530246
2023-08-28,109000,109500,106200,106900,13404,-0.010185185185185186
2023-08-29,106000,108700,103600,106500,23752,-0.003741814780168329
2023-08-30,106300,111300,105500,110100,37627,0.033802816901408406
2023-08-31,111600,117000,104800,105500,62563,-0.04178019981834691
2023-09-01,107300,107300,99600,100800,35082,-0.04454976303317537
2023-09-04,99200,102800,99200,100800,17099,0.0
2023-09-05,102000,103400,99400,99500,18670,-0.012896825396825351
2023-09-06,99500,100800,99000,99000,9298,-0.005025125628140725
2023-09-07,99000,99600,96800,96800,13803,-0.022222222222222254
2023-09-08,96800,98900,96000,96400,9772,-0.004132231404958664
2023-09-11,97400,100000,96200,97000,15689,0.006224066390041472
2023-09-12,98000,98800,95500,95500,11204,-0.015463917525773141
2023-09-13,95500,96000,94000,94100,7300,-0.014659685863874339
2023-09-14,94100,97000,94100,95000,6161,0.009564293304994642
2023-09-15,94500,97500,94500,97500,6509,0.026315789473684292
2023-09-18,97400,98100,95900,96100,5489,-0.014358974358974375
2023-09-19,98700,100600,97000,97900,14775,0.018730489073881307
2023-09-20,98700,98700,95900,96300,6592,-0.01634320735444328
2023-09-21,96300,100700,96000,97000,24837,0.007268951194184803
2023-09-22,95500,97500,94500,97100,7335,0.0010309278350515427
2023-09-25,94600,96900,89900,91700,26326,-0.05561277033985579
2023-09-26,91200,92400,85200,85500,27297,-0.06761177753544168
2023-09-27,84200,86800,84200,86300,10104,0.009356725146198785
2023-10-04,86100,86900,84200,84500,11046,-0.02085747392815762
2023-10-05,84600,86500,83500,84300,5948,-0.002366863905325478
2023-10-06,82400,85000,82400,83200,4687,-0.013048635824436494
2023-10-10,82400,85700,81400,82000,7589,-0.014423076923076872
2023-10-11,81800,84800,81800,83600,10963,0.019512195121951237
