Date,Open,High,Low,Close,Volume,Change
2023-04-04,15910,16130,15520,15850,44679,-0.0037712130735386706
2023-04-05,15800,16200,15530,16180,53699,0.020820189274447953
2023-04-06,16020,16090,15700,16010,34613,-0.010506798516687232
2023-04-07,16180,16320,15540,15720,66953,-0.018113678950655854
2023-04-10,15740,16170,15510,15920,51066,0.012722646310432628
2023-04-11,15900,16220,15720,16160,76845,0.015075376884422065
2023-04-12,16150,16150,15560,15790,54175,-0.02289603960396036
2023-04-13,15860,15860,15110,15190,48748,-0.03799873337555415
2023-04-14,15200,15410,15120,15240,24097,0.003291639236339794
2023-04-17,15110,15280,14820,15120,38197,-0.007874015748031482
2023-04-18,15400,16500,14850,16500,121281,0.09126984126984117
2023-04-19,16980,17270,16520,17120,239874,0.037575757575757596
2023-04-20,17270,17270,16000,16000,110958,-0.06542056074766356
2023-04-21,16340,16550,15500,15750,86022,-0.015625
2023-04-24,15700,15700,14910,15040,58210,-0.04507936507936505
2023-04-25,14880,15040,14150,14630,48206,-0.027260638297872286
2023-04-26,14630,14630,14000,14020,37011,-0.041695146958304896
2023-04-27,13960,14600,13810,14540,26423,0.03708987161198296
2023-04-28,14870,14870,14100,14210,22945,-0.02269601100412655
2023-05-02,14250,14860,14250,14830,21969,0.04363124560168896
2023-05-03,14820,14820,14400,14760,14731,-0.004720161834120051
2023-05-04,14470,14640,14400,14540,8054,-0.01490514905149054
2023-05-08,14540,14680,14320,14560,13765,0.0013755158184318717
2023-05-09,14580,14580,14100,14360,12596,-0.013736263736263687
2023-05-10,14360,14360,14120,14340,8076,-0.0013927576601671099
2023-05-11,14470,14700,14200,14340,13101,0.0
2023-05-12,14420,14420,14110,14270,9596,-0.004881450488145034
2023-05-15,14500,14500,13720,14120,24281,-0.010511562718990897
2023-05-16,13980,14270,13960,14190,21248,0.004957507082153034
2023-05-17,14190,14390,13950,14390,14323,0.014094432699083947
2023-05-18,14450,14690,14320,14650,14195,0.018068102849200907
2023-05-19,14650,14760,14410,14650,8957,0.0
2023-05-22,14980,14980,14500,14800,15643,0.010238907849829282
2023-05-23,15690,16440,15100,15210,131867,0.02770270270270281
2023-05-24,15340,15340,14630,14780,22387,-0.028270874424720538
2023-05-25,14780,14780,14470,14570,15831,-0.01420838971583216
2023-05-26,14570,14570,14290,14480,14670,-0.006177076183939589
2023-05-30,14420,14690,14210,14540,17052,0.004143646408839796
2023-05-31,14550,14900,14370,14720,24323,0.012379642365887289
2023-06-01,14720,14720,14400,14410,19143,-0.021059782608695676
2023-06-02,14420,14650,14370,14430,14358,0.001387925052047212
2023-06-05,14360,14670,14360,14430,14002,0.0
2023-06-07,14510,14630,14440,14630,14231,0.013860013860013787
2023-06-08,14620,14620,14370,14420,14805,-0.014354066985645897
2023-06-09,14430,14650,14420,14570,15075,0.010402219140083213
2023-06-12,14650,14790,14360,14720,27204,0.01029512697323276
2023-06-13,15050,17900,15050,16340,818019,0.11005434782608692
2023-06-14,16400,16710,15750,15800,118690,-0.033047735618115026
2023-06-15,15770,16180,15350,15640,90512,-0.010126582278481067
2023-06-16,15150,15700,15150,15470,86773,-0.010869565217391353
2023-06-19,15440,15530,15140,15490,35650,0.0012928248222365823
2023-06-20,15580,15780,15150,15760,55317,0.017430600387346784
2023-06-21,15760,15760,15250,15330,45551,-0.027284263959390875
2023-06-22,15150,15600,15050,15480,28182,0.009784735812133016
2023-06-23,15700,15700,15240,15470,18838,-0.0006459948320413078
2023-06-26,15380,15440,15130,15430,20905,-0.0025856496444731647
2023-06-27,15300,15420,15120,15280,14839,-0.009721322099805585
2023-06-28,15280,15750,15200,15320,42041,0.002617801047120505
2023-06-29,15290,15450,15160,15320,15010,0.0
2023-06-30,15510,15600,15120,15600,25773,0.018276762402088753
2023-07-03,15800,16000,15510,16000,56243,0.02564102564102555
2023-07-04,16000,16240,15620,15790,53554,-0.013125000000000053
2023-07-05,15890,15890,15150,15290,45566,-0.03166561114629507
2023-07-06,15360,15370,14740,14950,35992,-0.022236756049705653
2023-07-07,14750,15110,14750,15030,18701,0.005351170568561825
2023-07-10,14900,15970,14850,15590,64700,0.03725881570192957
2023-07-11,15890,17000,15870,16850,200198,0.08082103912764582
