Date,Open,High,Low,Close,Volume,Change
2023-04-04,3995,4110,3960,4055,528191,0.01629072681704269
2023-04-05,4040,4060,3905,3985,895312,-0.01726263871763256
2023-04-06,4000,4000,3810,3885,717728,-0.025094102885821812
2023-04-07,3870,4000,3845,3905,507572,0.005148005148005064
2023-04-10,3920,3925,3710,3795,916621,-0.028169014084507005
2023-04-11,3790,3870,3715,3810,365890,0.0039525691699604515
2023-04-12,3820,3820,3615,3725,825741,-0.022309711286089273
2023-04-13,3700,3895,3660,3855,593892,0.03489932885906044
2023-04-14,3835,4420,3835,4215,5821615,0.09338521400778199
2023-04-17,4185,4550,4185,4495,2594341,0.06642941874258601
2023-04-18,4560,4650,4415,4490,1474162,-0.0011123470522803602
2023-04-19,4490,4555,4285,4445,1295402,-0.010022271714922093
2023-04-20,4390,4540,4235,4255,1021547,-0.042744656917885315
2023-04-21,4535,4630,4030,4250,4758658,-0.001175088131609825
2023-04-24,4350,4350,4035,4055,1081380,-0.045882352941176485
2023-04-25,4050,4160,3865,3945,1167146,-0.027127003699136898
2023-04-26,3890,4115,3870,3995,607893,0.012674271229404344
2023-04-27,3995,4020,3845,3915,480206,-0.020025031289111372
2023-04-28,3915,4025,3885,4000,535743,0.02171136653895278
2023-05-02,4000,4090,3955,4070,314635,0.01750000000000007
2023-05-03,4030,4140,3935,3995,469538,-0.01842751842751844
2023-05-04,3960,4240,3930,4205,962805,0.052565707133917394
2023-05-08,4215,4285,4065,4155,574235,-0.01189060642092743
2023-05-09,4215,4295,4115,4275,1274912,0.028880866425992746
2023-05-10,4275,4390,4200,4270,896844,-0.0011695906432748204
2023-05-11,4220,4325,4065,4200,1006429,-0.016393442622950838
2023-05-12,4205,4275,4075,4090,550236,-0.02619047619047621
2023-05-15,4070,4075,3905,3945,782146,-0.03545232273838628
2023-05-16,3945,4100,3945,4030,406200,0.02154626108998725
2023-05-17,4020,4230,3985,4200,495184,0.042183622828784184
2023-05-18,4200,4340,4180,4190,536740,-0.0023809523809523725
2023-05-19,4195,4250,4060,4060,486416,-0.031026252983293534
2023-05-22,4055,4095,3995,4005,320091,-0.013546798029556606
