Date,Open,High,Low,Close,Volume,Change
2023-04-04,1876,1914,1868,1908,307378,0.0170575692963752
2023-04-05,1899,1924,1892,1896,131930,-0.0062893081761006
2023-04-06,1896,1933,1861,1888,171911,-0.0042194092827003
2023-04-07,1878,1919,1878,1894,157661,0.0031779661016948
2023-04-10,1894,1909,1820,1845,131051,-0.0258711721224921
2023-04-11,1845,1901,1786,1885,224330,0.0216802168021679
2023-04-12,1887,1940,1886,1900,260608,0.0079575596816976
2023-04-13,1900,1900,1872,1874,115995,-0.0136842105263157
2023-04-14,1877,1905,1863,1869,120315,-0.0026680896478121
2023-04-17,1869,1947,1824,1932,287651,0.0337078651685394
2023-04-18,1932,1932,1886,1898,221079,-0.0175983436853002
2023-04-19,1897,1920,1875,1904,165638,0.0031612223393044
2023-04-20,1904,1925,1838,1838,220320,-0.0346638655462184
2023-04-21,1819,1837,1751,1780,233651,-0.0315560391730141
2023-04-24,1780,1805,1723,1725,175164,-0.0308988764044944
2023-04-25,1726,2055,1726,2055,3168678,0.1913043478260869
2023-04-26,1987,2000,1899,1910,773816,-0.0705596107055961
2023-04-27,1910,2015,1877,1974,733551,0.0335078534031414
2023-04-28,1997,2005,1888,1978,504961,0.0020263424518742
2023-05-02,1959,1978,1901,1931,323191,-0.0237613751263903
2023-05-03,1931,2015,1912,1990,540463,0.0305541170378043
2023-05-04,1956,2190,1956,2105,2232884,0.0577889447236181
2023-05-08,2105,2190,2040,2080,696237,-0.0118764845605701
2023-05-09,2085,2095,1970,2070,527370,-0.0048076923076922
2023-05-10,2035,2165,1994,2070,513362,0.0
2023-05-11,2060,2185,2050,2130,515235,0.0289855072463767
2023-05-12,2110,2200,2065,2140,504216,0.0046948356807512
2023-05-15,2120,2120,1954,1974,802374,-0.0775700934579439
2023-05-16,1975,2010,1902,1917,454975,-0.0288753799392097
2023-05-17,1943,2180,1937,2155,1519155,0.1241523213354198
2023-05-18,2145,2190,2075,2095,550350,-0.0278422273781903
2023-05-19,2105,2105,2025,2060,305640,-0.0167064439140811
2023-05-22,2040,2060,1994,2020,343214,-0.0194174757281553
2023-05-23,2025,2070,2000,2025,184689,0.0024752475247524
2023-05-24,2025,2110,1995,2070,248270,0.0222222222222221
