Date,Open,High,Low,Close,Volume,Change
2023-04-04,14900,15140,14500,14500,923724,-0.0460526315789473
2023-04-05,14420,14720,14300,14640,651797,0.0096551724137932
2023-04-06,14490,14560,13790,13850,538195,-0.0539617486338798
2023-04-07,13930,15710,13790,14180,4318335,0.0238267148014439
2023-04-10,14190,14190,13350,13510,578723,-0.0472496473906911
2023-04-11,13450,15600,13150,15000,5777381,0.1102886750555145
2023-04-12,14690,17900,14500,16500,8755818,0.1
2023-04-13,16540,16790,15240,15240,1497788,-0.0763636363636364
2023-04-14,15250,16440,15000,15150,1951633,-0.0059055118110236
2023-04-17,15150,16630,15100,16240,2516341,0.0719471947194718
2023-04-18,15830,15830,15150,15380,814338,-0.0529556650246305
2023-04-19,15380,19300,15260,17560,9380947,0.1417425227568269
2023-04-20,16940,17050,15690,15900,1418376,-0.0945330296127562
2023-04-21,16310,16850,14900,14900,1282943,-0.0628930817610062
2023-04-24,15070,15450,13610,13810,828979,-0.0731543624161074
2023-04-25,13790,15160,13510,14070,1077545,0.0188269370021723
2023-04-26,13850,14200,13350,13440,338356,-0.044776119402985
2023-04-27,13450,13860,12910,13290,612270,-0.0111607142857143
2023-04-28,14100,14100,12300,12410,592916,-0.0662151993980436
2023-05-02,12640,13160,12470,12880,342981,0.0378726833199032
2023-05-03,12820,13280,12470,12890,363176,0.0007763975155279
2023-05-04,12720,13390,12720,13230,297199,0.0263770364623738
2023-05-08,13110,13420,13100,13360,243045,0.0098261526832954
2023-05-09,13380,15450,13020,14910,3587782,0.1160179640718563
2023-05-10,14560,15500,14300,14720,1827287,-0.0127431254191817
2023-05-11,15650,16580,14670,14990,5016050,0.0183423913043478
2023-05-12,14960,15420,14610,15350,827985,0.0240160106737825
2023-05-15,15500,15940,15080,15080,1227067,-0.0175895765472312
2023-05-16,14530,14780,13420,13600,671824,-0.0981432360742705
2023-05-17,13400,13750,13280,13690,200857,0.0066176470588235
2023-05-18,13750,14560,13740,14450,629617,0.0555149744338934
2023-05-19,14340,14960,14140,14910,389951,0.0318339100346021
2023-05-22,14950,14960,14450,14700,262679,-0.0140845070422535
2023-05-23,14580,14970,14580,14970,319172,0.0183673469387755
2023-05-24,14990,14990,14320,14380,216706,-0.0394121576486306
2023-05-25,14110,14660,14100,14130,187883,-0.017385257301808
2023-05-26,14190,14300,13550,13720,150028,-0.0290162774239207
2023-05-30,14150,14850,14070,14540,607471,0.0597667638483965
2023-05-31,14540,14920,14310,14600,316385,0.0041265474552958
2023-06-01,14550,14790,14420,14480,172988,-0.0082191780821917
2023-06-02,14550,15480,14520,15480,885371,0.0690607734806629
2023-06-05,15500,15510,15090,15450,378544,-0.001937984496124
2023-06-07,15550,15930,15250,15850,828007,0.0258899676375403
2023-06-08,15670,15770,14550,15570,441306,-0.0176656151419558
2023-06-09,15850,15900,15240,15250,297720,-0.0205523442517662
2023-06-12,15050,15100,14700,14750,259233,-0.0327868852459016
2023-06-13,14740,14940,14600,14930,169736,0.0122033898305085
2023-06-14,15060,15330,14390,14630,276835,-0.0200937709310113
2023-06-15,14900,14970,14170,14590,186494,-0.0027341079972659
2023-06-16,14650,14870,14560,14680,105969,0.0061686086360521
2023-06-19,14750,15220,14480,14900,307229,0.0149863760217983
2023-06-20,14750,17020,14680,16290,2534093,0.0932885906040268
2023-06-21,15730,16400,15450,15510,1291138,-0.0478821362799263
2023-06-22,15220,15790,15100,15160,374139,-0.0225660863958736
2023-06-23,15180,15590,14980,15050,287609,-0.0072559366754617
2023-06-26,15050,15600,15040,15200,394626,0.0099667774086378
2023-06-27,15210,16420,15170,15420,1295779,0.0144736842105264
2023-06-28,15530,15580,15240,15360,239699,-0.0038910505836575
2023-06-29,15470,16200,15400,16120,1075883,0.0494791666666667
2023-06-30,16070,16140,15570,16050,474513,-0.0043424317617866
2023-07-03,16110,16270,15800,16200,523945,0.0093457943925232
2023-07-04,16270,16270,15800,16010,307493,-0.0117283950617284
2023-07-05,16170,16170,15510,15550,350490,-0.028732042473454
2023-07-06,15840,16140,15410,15450,540902,-0.0064308681672026
2023-07-07,15050,15620,14800,15140,234235,-0.0200647249190938
2023-07-10,15210,15240,13650,13750,491254,-0.0918097754293263
2023-07-11,13790,14510,13750,14170,304454,0.0305454545454546
2023-07-12,14260,14300,13580,13700,187861,-0.033168666196189
2023-07-13,13720,13930,13680,13810,116925,0.0080291970802919
2023-07-14,13820,14460,13250,14440,331918,0.0456191165821868
2023-07-17,14940,16090,14680,15890,1542876,0.100415512465374
2023-07-18,15870,16320,15700,16210,895211,0.0201384518565135
2023-07-19,16180,17650,15850,17190,1904399,0.0604565083281924
2023-07-20,17090,17880,16320,17630,1263957,0.0255962769051774
2023-07-21,17300,18190,17020,17520,888966,-0.0062393647192285
2023-07-24,17650,17900,16100,16730,794983,-0.0450913242009132
2023-07-25,16410,16650,15310,15500,616542,-0.0735206216377764
2023-07-26,15500,15500,12600,13080,1010616,-0.1561290322580645
2023-07-27,13100,14000,12950,13500,441198,0.0321100917431191
2023-07-28,13350,15200,13350,15130,728386,0.1207407407407408
2023-07-31,15290,15820,14750,15780,427905,0.0429610046265698
2023-08-01,16000,16900,15820,16480,576139,0.0443599493029149
2023-08-02,16590,16800,15360,15480,504203,-0.0606796116504854
2023-08-03,15130,15550,14480,14800,388925,-0.0439276485788113
2023-08-04,15100,15230,13960,14970,805584,0.0114864864864865
2023-08-07,14980,15500,14300,14600,547044,-0.0247160988643954
2023-08-08,14700,14980,14140,14280,306251,-0.0219178082191781
2023-08-09,14100,14870,14100,14470,220479,0.0133053221288514
2023-08-10,14470,14540,14050,14090,139175,-0.0262612301313061
2023-08-11,14200,14740,14080,14430,218238,0.0241305890702625
2023-08-14,14440,14740,14200,14240,135609,-0.0131670131670131
2023-08-16,14230,14240,13160,13200,208715,-0.0730337078651685
2023-08-17,13300,13730,13100,13480,149326,0.0212121212121212
2023-08-18,13230,13420,13000,13190,131029,-0.0215133531157269
2023-08-21,12910,13090,12350,12380,268820,-0.0614101592115239
2023-08-22,12400,12520,11930,11930,157091,-0.0363489499192245
2023-08-23,11940,12340,11820,11920,143461,-0.0008382229673092
2023-08-24,12130,13340,12120,12750,438303,0.0696308724832215
2023-08-25,12470,12690,12280,12380,81507,-0.0290196078431372
2023-08-28,12530,13650,12530,13150,278454,0.0621970920840064
2023-08-29,13900,14200,13360,13600,328150,0.0342205323193915
2023-08-30,13770,14100,13600,13750,180693,0.0110294117647058
2023-08-31,13800,14310,13460,14250,381695,0.0363636363636363
2023-09-01,14230,14270,13830,13850,191561,-0.0280701754385964
2023-09-04,14020,15380,14000,14350,1159291,0.036101083032491
2023-09-05,14400,14900,13970,14730,366843,0.0264808362369337
2023-09-06,14630,16240,14260,15500,1762234,0.052274270196877
2023-09-07,15510,16110,15250,15660,856324,0.0103225806451612
2023-09-08,15690,15700,15030,15100,338563,-0.0357598978288633
2023-09-11,15320,19630,15270,19630,7789198,0.3
2023-09-12,19140,19400,16980,17140,3866913,-0.1268466632705043
2023-09-13,17370,17840,15640,16090,1714502,-0.0612602100350058
2023-09-14,16650,17020,16000,16440,1072762,0.0217526413921691
2023-09-15,16600,17750,16400,16710,1610874,0.0164233576642336
2023-09-18,16550,17000,16200,16260,398345,-0.0269299820466786
2023-09-19,15900,16090,15010,15430,613463,-0.0510455104551045
2023-09-20,16500,17100,15460,15840,1485021,0.0265716137394684
2023-09-21,15410,15590,12020,12260,2717514,-0.226010101010101
2023-09-22,11890,13700,11340,12550,2546364,0.0236541598694943
2023-09-25,12250,12880,11890,11980,447539,-0.045418326693227
2023-09-26,12010,12530,11760,11970,412134,-0.0008347245409014
2023-09-27,11770,12790,11750,12790,519363,0.0685045948203844
2023-10-04,12800,12800,12010,12660,249542,-0.0101641907740421
2023-10-05,12820,12890,10540,10800,965094,-0.1469194312796208
2023-10-06,10520,10900,10410,10560,281020,-0.0222222222222222
2023-10-10,10580,10860,10020,10130,344104,-0.040719696969697
2023-10-11,10300,10520,10130,10170,190318,0.0039486673247779
2023-10-12,10250,10830,10250,10750,299042,0.0570304818092428
2023-10-13,10660,10660,10250,10360,179088,-0.0362790697674418
2023-10-16,10180,10240,9730,9950,191854,-0.0395752895752895
2023-10-17,10040,10390,9950,10050,146203,0.0100502512562814
2023-10-18,10050,10230,9900,9900,108577,-0.0149253731343284
2023-10-19,9770,9870,9340,9400,153431,-0.0505050505050505
2023-10-20,9300,9440,8930,9020,158991,-0.0404255319148936
2023-10-23,8920,9480,8910,9070,180860,0.0055432372505543
2023-10-24,9120,9410,8700,9400,152413,0.0363836824696801
