Date,Open,High,Low,Close,Volume,Change
2019-10-31,8032,10332,6316,6883,15090099,
2019-11-01,6700,7366,6316,6550,5253582,-0.0483800668313235
2019-11-04,6665,6765,6049,6066,1916478,-0.0738931297709923
2019-11-05,6082,6132,5616,5666,1266012,-0.0659413122321134
2019-11-06,5649,5866,5499,5733,1106256,0.0118249205788916
2019-11-07,5700,5700,5316,5350,894654,-0.0668062096633524
2019-11-08,5532,6932,5449,6216,10743111,0.1618691588785046
2019-11-11,6283,7599,6183,6733,8191056,0.0831724581724582
2019-11-12,6599,6649,6149,6233,1668894,-0.0742611020347542
2019-11-13,6233,7250,6233,6600,5424468,0.0588801540189314
2019-11-14,6565,6765,6249,6366,942870,-0.0354545454545454
2019-11-15,6399,6516,6183,6183,979116,-0.028746465598492
2019-11-18,6183,6300,5816,5850,822930,-0.0538573508005822
2019-11-19,5816,5850,5583,5700,389655,-0.0256410256410256
2019-11-20,5650,5783,5466,5500,314337,-0.0350877192982456
2019-11-21,5565,5715,5332,5366,325734,-0.0243636363636363
2019-11-22,5382,5516,5183,5233,271737,-0.0247856876630637
2019-11-25,5299,5399,5266,5266,130005,0.0063061341486718
2019-11-26,5300,5650,5283,5500,540096,0.0444360045575389
2019-11-27,5533,5833,5450,5600,649824,0.018181818181818
2019-11-28,5666,5666,5333,5400,241206,-0.0357142857142857
2019-11-29,5365,5399,5132,5166,181518,-0.0433333333333333
2019-12-02,5165,5249,4799,4816,323580,-0.0677506775067751
2019-12-03,4816,4816,4416,4600,364350,-0.0448504983388704
2019-12-04,4566,4699,4499,4666,154587,0.0143478260869565
2019-12-05,4683,4733,4366,4550,281364,-0.0248606943849121
2019-12-06,4533,4616,4433,4500,150699,-0.0109890109890109
2019-12-09,4566,4749,4516,4683,231834,0.0406666666666666
2019-12-10,4683,5466,4666,4900,1243254,0.046337817638266
2019-12-11,4882,5099,4699,4716,349587,-0.0375510204081632
2019-12-12,4766,4966,4733,4850,185244,0.0284139100932994
2019-12-13,4949,5049,4833,4933,231990,0.0171134020618557
2019-12-16,4965,5132,4866,4916,295854,-0.0034461787958646
2019-12-17,5000,5183,4950,5000,292011,0.0170870626525629
2019-12-18,5083,5250,5033,5100,225528,0.02
2019-12-19,5249,5632,5082,5166,1292910,0.0129411764705882
2019-12-20,5166,5183,4916,4950,201762,-0.0418118466898954
2019-12-23,4949,5032,4733,4733,131310,-0.0438383838383837
2019-12-24,4716,4865,4632,4816,113979,0.0175364462286076
