Date,Open,High,Low,Close,Volume,Change
2023-04-04,2300,2345,2255,2315,105511,0.0065217391304348
2023-04-05,2315,2340,2250,2330,142923,0.0064794816414686
2023-04-06,2330,2330,2200,2200,246128,-0.055793991416309
2023-04-07,2220,2235,2170,2190,91915,-0.0045454545454545
2023-04-10,2190,2190,2115,2140,147529,-0.0228310502283105
2023-04-11,2130,2170,2085,2160,102613,0.0093457943925232
2023-04-12,2160,2260,2140,2250,246588,0.0416666666666667
2023-04-13,2230,2265,2175,2245,103862,-0.0022222222222222
2023-04-14,2245,2260,2220,2255,131733,0.0044543429844097
2023-04-17,2245,2265,2205,2235,109079,-0.0088691796008869
2023-04-18,2235,2295,2190,2265,197486,0.0134228187919462
2023-04-19,2230,2255,2205,2220,134659,-0.0198675496688741
2023-04-20,2220,2230,2125,2130,125864,-0.0405405405405405
2023-04-21,2130,2140,2045,2045,176559,-0.039906103286385
2023-04-24,2045,2060,1995,2000,171598,-0.0220048899755501
2023-04-25,1992,2020,1947,1969,136375,-0.0154999999999999
2023-04-26,1969,1999,1952,1955,75045,-0.0071102082275266
2023-04-27,1979,1979,1929,1955,56841,0.0
2023-04-28,1975,1994,1941,1943,88593,-0.0061381074168798
2023-05-02,1944,1995,1943,1991,52820,0.024704065877509
2023-05-03,1991,2015,1974,2010,61160,0.0095429432446008
2023-05-04,1989,2080,1984,2035,73228,0.0124378109452736
2023-05-08,2060,2085,2025,2025,39317,-0.0049140049140049
2023-05-09,2045,2045,1992,2005,79517,-0.0098765432098765
2023-05-10,2020,2025,1993,2010,72885,0.0024937655860348
2023-05-11,2030,2050,2005,2010,55442,0.0
2023-05-12,2010,2015,1985,1997,73183,-0.0064676616915423
2023-05-15,1997,1999,1965,1993,57361,-0.0020030045067601
2023-05-16,1993,2125,1993,2090,201784,0.048670346211741
2023-05-17,2105,2185,2040,2155,222021,0.0311004784688995
2023-05-18,2160,2180,2140,2145,65127,-0.0046403712296984
2023-05-19,2145,2145,2085,2105,110316,-0.0186480186480186
2023-05-22,2125,2245,2110,2160,169661,0.0261282660332542
2023-05-23,2160,2235,2150,2180,129127,0.0092592592592593
2023-05-24,2155,2195,2140,2175,106428,-0.0022935779816514
2023-05-25,2145,2225,2145,2170,77776,-0.0022988505747126
2023-05-26,2160,2230,2160,2190,88049,0.0092165898617511
2023-05-30,2190,2235,2175,2195,71598,0.0022831050228311
2023-05-31,2195,2225,2160,2205,65561,0.0045558086560364
2023-06-01,2205,2240,2200,2230,43990,0.0113378684807257
2023-06-02,2215,2235,2200,2225,36113,-0.0022421524663677
2023-06-05,2225,2225,2190,2215,66192,-0.0044943820224718
2023-06-07,2215,2285,2200,2245,74603,0.0135440180586907
2023-06-08,2245,2245,2215,2245,40375,0.0
2023-06-09,2210,2255,2210,2245,48958,0.0
2023-06-12,2245,2255,2235,2245,49919,0.0
2023-06-13,2245,2260,2215,2220,48584,-0.0111358574610245
2023-06-14,2220,2230,2155,2160,70561,-0.0270270270270269
2023-06-15,2160,2225,2160,2220,59681,0.0277777777777776
2023-06-16,2205,2265,2205,2260,74319,0.018018018018018
2023-06-19,2285,2285,2220,2265,62276,0.002212389380531
2023-06-20,2235,2245,2200,2205,90580,-0.0264900662251655
2023-06-21,2205,2220,2165,2180,69002,-0.0113378684807256
2023-06-22,2155,2485,2140,2380,1543597,0.0917431192660549
2023-06-23,2335,2370,2270,2330,207355,-0.0210084033613445
2023-06-26,2330,2370,2290,2340,132797,0.0042918454935623
2023-06-27,2315,2410,2300,2400,275476,0.0256410256410255
2023-06-28,2380,2480,2345,2420,241061,0.0083333333333333
2023-06-29,2420,2490,2330,2380,202413,-0.0165289256198346
2023-06-30,2355,2370,2305,2320,114008,-0.0252100840336134
2023-07-03,2340,2420,2340,2400,114335,0.0344827586206897
2023-07-04,2405,2450,2385,2420,96697,0.0083333333333333
2023-07-05,2420,3145,2410,3145,32265043,0.2995867768595042
2023-07-06,3080,3260,2780,2850,10836837,-0.0937996820349761
2023-07-07,2825,2850,2645,2710,3363291,-0.0491228070175439
2023-07-10,2780,2800,2610,2615,3150723,-0.0350553505535055
2023-07-11,2620,2690,2605,2650,1141148,0.0133843212237094
2023-07-12,2650,2690,2560,2625,1053098,-0.0094339622641509
2023-07-13,2630,2725,2615,2670,1280058,0.0171428571428571
2023-07-14,2665,2685,2550,2610,699487,-0.0224719101123596
2023-07-17,2610,2635,2525,2610,538493,0.0
2023-07-18,2595,2695,2560,2600,954780,-0.0038314176245211
2023-07-19,2610,2690,2555,2555,674635,-0.0173076923076923
2023-07-20,2580,2580,2445,2535,679995,-0.0078277886497064
2023-07-21,2495,2570,2485,2510,239287,-0.009861932938856
2023-07-24,2550,2610,2440,2510,563732,0.0
2023-07-25,2510,2540,2460,2530,308815,0.0079681274900398
