Date,Open,High,Low,Close,Volume,Change
2023-04-04,12300,12300,12050,12180,4533,-0.0049019607843137
2023-04-05,12170,12280,12020,12070,1558,-0.0090311986863711
2023-04-06,12050,12060,11800,11990,4149,-0.0066280033140017
2023-04-07,11930,12000,11890,11970,1972,-0.0016680567139282
2023-04-10,11900,11900,11730,11850,4065,-0.0100250626566416
2023-04-11,11850,11930,11610,11820,4770,-0.0025316455696202
2023-04-12,11820,12040,11820,12020,5531,0.0169204737732655
2023-04-13,12020,12080,11850,12000,2956,-0.0016638935108153
2023-04-14,12040,12140,11910,12030,4437,0.0024999999999999
2023-04-17,12030,12450,11730,12440,11286,0.0340814630091437
2023-04-18,12440,12500,12130,12300,5070,-0.0112540192926045
2023-04-19,12500,12500,12200,12310,6190,0.0008130081300812
2023-04-20,12200,12320,12150,12210,1294,-0.008123476848091
2023-04-21,12210,12500,11810,12030,4063,-0.0147420147420147
2023-04-24,12120,12240,11930,11960,1891,-0.0058187863674148
2023-04-25,11770,12040,11660,11780,2979,-0.0150501672240802
2023-04-26,11820,11880,11560,11590,3223,-0.0161290322580645
2023-04-27,11600,11650,11390,11500,2417,-0.0077653149266608
2023-04-28,11580,11580,11350,11430,3128,-0.0060869565217391
2023-05-02,11430,11700,11270,11350,4832,-0.0069991251093612
2023-05-03,11280,11340,11180,11190,5766,-0.0140969162995594
2023-05-04,11190,11280,11140,11270,1673,0.0071492403932083
2023-05-08,11270,11290,11180,11200,2147,-0.0062111801242236
2023-05-09,11230,11270,11090,11250,1307,0.0044642857142858
2023-05-10,11450,11450,11130,11130,1140,-0.0106666666666667
2023-05-11,11100,11240,10860,11120,4832,-0.0008984725965858
2023-05-12,11120,11120,10950,11120,1305,0.0
2023-05-15,11160,11350,11050,11340,2980,0.0197841726618706
2023-05-16,11170,11330,11140,11240,1630,-0.0088183421516755
2023-05-17,11310,11310,11200,11210,987,-0.0026690391459074
2023-05-18,11220,11250,11130,11220,888,0.0008920606601248
2023-05-19,11250,11350,11200,11330,2023,0.0098039215686274
2023-05-22,11330,11340,11230,11290,1514,-0.0035304501323918
2023-05-23,11350,11470,11270,11300,3745,0.0008857395925598
2023-05-24,11220,11330,11220,11240,2459,-0.0053097345132743
2023-05-25,11290,11470,11020,11270,2299,0.0026690391459074
2023-05-26,11270,11350,11070,11180,2719,-0.0079858030168589
2023-05-30,11180,11370,11050,11050,3270,-0.0116279069767442
2023-05-31,11050,11120,10720,11020,7173,-0.0027149321266968
2023-06-01,11000,11050,10930,10950,1605,-0.0063520871143375
2023-06-02,10950,11230,10930,11110,2099,0.0146118721461188
2023-06-05,11120,11140,10970,11100,3219,-0.0009000900090009
2023-06-07,11110,11190,11020,11180,4345,0.0072072072072071
2023-06-08,11300,11300,11000,11130,2453,-0.0044722719141323
2023-06-09,11100,11200,11060,11080,3095,-0.0044923629829289
2023-06-12,11100,11110,10960,11030,2875,-0.0045126353790613
2023-06-13,11040,11190,10960,10960,2605,-0.0063463281958295
2023-06-14,10970,10990,10860,10950,2760,-0.0009124087591241
2023-06-15,11010,11010,10820,10870,2240,-0.0073059360730594
2023-06-16,10910,11000,10860,11000,3576,0.0119595216191352
2023-06-19,11300,11300,10940,11000,3742,0.0
2023-06-20,10940,11050,10940,10950,2137,-0.0045454545454545
2023-06-21,10950,10970,10850,10970,1602,0.0018264840182649
2023-06-22,10950,11040,10870,10890,1796,-0.0072926162260711
2023-06-23,10840,10900,10700,10740,2233,-0.0137741046831956
2023-06-26,10740,10770,10590,10770,2295,0.0027932960893854
2023-06-27,10770,10800,10660,10750,1176,-0.0018570102135562
2023-06-28,10770,10770,10600,10640,484,-0.0102325581395348
2023-06-29,10650,10690,10450,10490,2078,-0.0140977443609022
2023-06-30,10570,10710,10450,10500,477,0.0009532888465204
2023-07-03,10800,11300,10350,10560,9223,0.0057142857142857
2023-07-04,10500,10560,10400,10400,1348,-0.0151515151515151
2023-07-05,10350,10370,10090,10120,4120,-0.0269230769230769
2023-07-06,10190,10190,9950,9950,3204,-0.016798418972332
2023-07-07,10000,10010,9820,9830,3062,-0.0120603015075376
2023-07-10,9950,10000,9780,9800,5574,-0.0030518819938962
2023-07-11,9810,9910,9810,9810,1983,0.0010204081632652
2023-07-12,9880,9900,9750,9820,1094,0.001019367991845
2023-07-13,9820,9930,9800,9830,3772,0.0010183299389001
2023-07-14,9960,10020,9790,9800,2879,-0.0030518819938962
2023-07-17,9830,9830,9740,9740,2070,-0.0061224489795917
2023-07-18,9750,9840,9500,9530,5806,-0.0215605749486652
2023-07-19,9530,9600,9000,9000,6037,-0.055613850996852
2023-07-20,9020,9450,9000,9190,7905,0.021111111111111
2023-07-21,9290,9290,9140,9160,679,-0.0032644178454842
2023-07-24,9150,9300,8830,9160,8100,0.0
2023-07-25,9160,9160,8970,8970,5657,-0.0207423580786025
2023-07-26,8980,9020,8230,8420,4533,-0.0613154960981048
2023-07-27,8490,8490,8140,8240,13152,-0.021377672209026
2023-07-28,8320,8430,8240,8430,2084,0.0230582524271845
2023-07-31,8430,10780,8430,9300,69812,0.1032028469750889
2023-08-01,9320,9530,9020,9400,12754,0.010752688172043
2023-08-02,9210,9440,9190,9320,5103,-0.0085106382978723
2023-08-03,9320,9320,8750,9050,6263,-0.028969957081545
2023-08-04,8750,9100,8750,9080,1502,0.0033149171270718
2023-08-07,9000,10820,8840,9990,65234,0.1002202643171805
2023-08-08,10470,10510,9430,9980,11992,-0.0010010010010009
2023-08-09,9980,10040,9600,10020,2510,0.0040080160320641
2023-08-10,9910,10160,9910,10120,2528,0.0099800399201597
2023-08-11,9880,10160,9710,9980,2545,-0.0138339920948616
2023-08-14,9980,9980,9750,9880,1217,-0.0100200400801603
2023-08-16,9560,9760,9510,9690,2343,-0.0192307692307692
2023-08-17,9760,9760,9300,9480,2518,-0.021671826625387
2023-08-18,9490,11900,9100,9920,246524,0.0464135021097047
