Date,Open,High,Low,Close,Volume,Change
2019-11-28,10000,11500,8500,9000,24703,
2019-11-29,8900,10000,8850,9900,4854,0.1
2019-12-02,10450,10450,10200,10200,284,0.0303030303030302
2019-12-03,10200,10200,8710,8710,2269,-0.146078431372549
2019-12-04,8790,8790,7450,8400,2930,-0.0355912743972445
2019-12-05,9500,9500,7140,7900,775,-0.0595238095238095
2019-12-06,7900,9000,7450,8500,406,0.0759493670886075
2019-12-09,7500,8200,7500,7800,1023,-0.0823529411764706
2019-12-10,7500,7500,7500,7500,0,-0.0384615384615384
2019-12-11,7800,7800,7500,7700,14,0.0266666666666666
2019-12-12,7700,8800,6600,7450,7719,-0.0324675324675324
2019-12-13,7450,7450,7450,7450,581,0.0
2019-12-16,6660,7400,6660,7400,5,-0.0067114093959731
2019-12-17,8500,8500,7050,7400,503,0.0
2019-12-18,7400,7400,7400,7400,1,0.0
2019-12-19,7000,7500,7000,7000,2022,-0.054054054054054
2019-12-20,7400,7400,6660,7000,862,0.0
2019-12-23,7400,7400,6790,7390,5,0.0557142857142856
2019-12-24,7300,8480,7290,7350,747,-0.0054127198917456
2019-12-26,8440,8440,6800,7350,2333,0.0
2019-12-27,7350,8440,7220,7400,4935,0.0068027210884353
2019-12-30,8470,8470,8000,8300,1401,0.1216216216216217
2020-01-02,9470,9470,8000,9100,1407,0.0963855421686747
2020-01-03,10350,10350,8600,9900,334,0.0879120879120878
2020-01-06,11100,11100,8470,10450,325,0.0555555555555555
2020-01-07,9410,10450,8920,9950,2351,-0.0478468899521531
2020-01-08,10200,10200,8460,9800,714,-0.015075376884422
2020-01-09,10250,10250,8600,9780,236,-0.0020408163265306
2020-01-10,10300,10300,8730,9780,1110,0.0
2020-01-13,8350,9730,8350,8350,1380,-0.1462167689161554
2020-01-14,9520,9600,9000,9580,1316,0.1473053892215567
2020-01-15,10200,10200,9800,9900,3701,0.033402922755741
2020-01-16,8560,9410,8420,8500,4041,-0.1414141414141414
2020-01-17,9000,9000,8000,8100,3136,-0.0470588235294118
2020-01-20,9310,9310,8100,8500,34,0.0493827160493827
2020-01-21,9710,9710,7720,8200,277,-0.0352941176470588
2020-01-22,8500,9430,8500,9000,675,0.0975609756097561
2020-01-23,9830,9830,8500,8990,36,-0.001111111111111
2020-01-28,9980,9990,8000,9000,2012,0.0011123470522802
2020-01-29,9960,9960,8800,9490,504,0.0544444444444445
2020-01-30,10000,10000,8180,9000,3,-0.0516332982086407
2020-01-31,9900,9900,8170,9000,229,0.0
2020-02-03,9000,9980,8150,9490,578,0.0544444444444445
2020-02-04,9300,9300,9300,9300,1,-0.0200210748155953
2020-02-05,10400,10400,9000,9000,466,-0.032258064516129
2020-02-06,9290,9290,9290,9290,105,0.0322222222222221
2020-02-07,9000,9280,9000,9280,210,-0.0010764262648008
2020-02-10,9980,9980,9980,9980,1,0.0754310344827586
2020-02-11,9940,9940,9940,9940,1,-0.0040080160320641
2020-02-12,9590,9590,9590,9590,0,-0.0352112676056337
2020-02-13,10750,10750,9000,10150,5,0.0583941605839415
2020-02-14,10950,10950,8650,9200,697,-0.0935960591133004
2020-02-17,9400,9400,9000,9000,60,-0.0217391304347825
2020-02-18,9000,9000,9000,9000,1,0.0
2020-02-19,8800,9390,8800,9390,264,0.0433333333333332
2020-02-20,8800,9000,8800,9000,3,-0.0415335463258785
2020-02-21,9390,9390,9000,9000,4,0.0
2020-02-24,8500,9980,8160,9000,417,0.0
2020-02-25,8700,9980,8200,9980,125,0.1088888888888888
2020-02-26,9600,9970,8510,9800,354,-0.0180360721442885
2020-02-27,9600,9770,9000,9000,36,-0.0816326530612244
2020-02-28,8800,8990,8200,8900,275,-0.011111111111111
2020-03-02,8800,8800,8300,8400,174,-0.0561797752808989
2020-03-03,8400,8600,8400,8400,4104,0.0
2020-03-04,8400,8600,8300,8600,721,0.0238095238095237
2020-03-05,8600,8600,8600,8600,1,0.0
2020-03-06,8600,8600,8400,8500,61,-0.0116279069767442
2020-03-09,8200,9500,8200,8700,66,0.0235294117647058
2020-03-10,8800,8800,8600,8800,3,0.0114942528735633
2020-03-11,8000,8500,8000,8500,501,-0.034090909090909
2020-03-12,8390,8400,8390,8400,17,-0.0117647058823529
2020-03-13,8100,8400,8100,8400,175,0.0
2020-03-16,8400,9170,8400,8990,15,0.0702380952380952
2020-03-17,8600,8600,8600,8600,341,-0.0433815350389321
2020-03-18,8800,9180,8400,8600,7,0.0
2020-03-19,8400,8590,8000,8580,7,-0.0023255813953488
2020-03-20,9490,9490,8500,8500,2,-0.0093240093240093
2020-03-23,8590,8590,8590,8590,2,0.0105882352941175
2020-03-24,8600,8990,8600,8600,4,0.0011641443538998
2020-03-25,8790,8790,8400,8590,5,-0.0011627906976744
2020-03-26,8590,8590,8000,8000,6,-0.0686845168800931
2020-03-27,8190,8600,8190,8600,120,0.0749999999999999
2020-03-30,8800,8990,8800,8990,2,0.0453488372093022
2020-03-31,9000,9500,8000,9200,31,0.0233592880978865
2020-04-01,9200,9500,8000,9500,966,0.0326086956521738
2020-04-02,8600,9590,8100,8600,906,-0.0947368421052631
2020-04-03,8800,9000,8800,8800,933,0.0232558139534884
2020-04-06,9000,9000,8600,8990,261,0.0215909090909089
2020-04-07,8400,8990,8400,8990,2003,0.0
2020-04-08,8600,9000,8600,9000,3,0.0011123470522802
2020-04-09,8800,9200,8800,9200,203,0.0222222222222221
2020-04-10,9000,9090,8600,9090,391,-0.0119565217391304
2020-04-13,8800,9140,8800,9140,3,0.0055005500550056
2020-04-14,8800,8800,8800,8800,1,-0.037199124726477
2020-04-16,9000,9000,8600,8790,34,-0.0011363636363636
2020-04-17,8800,9200,8800,9200,111,0.0466439135381115
2020-04-20,9000,9290,8800,9290,230,0.0097826086956522
2020-04-21,9000,10500,8600,9990,1331,0.0753498385360602
2020-04-22,10000,10000,10000,10000,207,0.001001001001001
2020-04-23,9800,10000,9200,9990,959,-0.001
2020-04-24,9600,9890,9200,9890,418,-0.01001001001001
2020-04-27,9600,9900,9000,9000,2574,-0.089989888776542
2020-04-28,9200,9750,9200,9600,811,0.0666666666666666
2020-04-29,9400,9600,9400,9400,3,-0.0208333333333333
2020-05-04,9600,9600,9200,9590,105,0.0202127659574467
2020-05-06,9200,9400,8850,9400,1403,-0.0198123044838373
2020-05-07,9200,9400,9200,9390,1903,-0.001063829787234
2020-05-08,9400,9600,9000,9400,4637,0.0010649627263046
2020-05-11,9600,9600,9200,9340,1557,-0.0063829787234042
2020-05-12,9200,9350,8400,8400,3305,-0.1006423982869378
2020-05-13,8600,9400,8600,9300,916,0.1071428571428572
2020-05-14,9300,9300,9100,9200,2100,-0.010752688172043
2020-05-15,9200,9500,9200,9500,54,0.0326086956521738
2020-05-18,9000,9300,8600,9300,176,-0.0210526315789473
2020-05-19,9300,9300,9100,9250,316,-0.0053763440860215
2020-05-20,9250,9250,9250,9250,0,0.0
2020-05-21,9250,9800,9250,9600,71,0.0378378378378378
2020-05-22,9400,9400,9000,9200,754,-0.0416666666666666
2020-05-25,9000,9150,9000,9150,201,-0.0054347826086956
2020-05-26,9000,9100,8500,9100,508,-0.0054644808743169
2020-05-27,9000,9100,9000,9100,233,0.0
2020-05-28,9000,9000,9000,9000,11,-0.0109890109890109
2020-05-29,9000,9200,8610,9200,188,0.0222222222222221
2020-06-01,9200,9400,9200,9350,503,0.0163043478260869
2020-06-02,8600,9000,8600,9000,839,-0.0374331550802139
2020-06-03,8990,9000,8600,9000,718,0.0
2020-06-04,9000,9000,9000,9000,392,0.0
2020-06-05,9200,9400,8900,9400,3,0.0444444444444445
2020-06-08,9500,9500,9400,9400,15,0.0
2020-06-09,9400,9400,9400,9400,0,0.0
2020-06-10,9600,9600,9400,9500,153,0.0106382978723404
2020-06-11,9600,9600,9500,9500,131,0.0
2020-06-12,9800,9800,9000,9400,765,-0.0105263157894737
2020-06-15,9400,9400,9400,9400,0,0.0
2020-06-16,9200,9200,9200,9200,0,-0.0212765957446808
2020-06-17,9100,9100,9100,9100,0,-0.0108695652173913
2020-06-18,9000,9000,8700,9000,2072,-0.0109890109890109
2020-06-19,9000,9000,8900,9000,478,0.0
2020-06-22,9400,9800,9300,9500,706,0.0555555555555555
2020-06-23,9400,9400,9400,9400,5,-0.0105263157894737
2020-06-24,9200,9200,8500,9200,36,-0.0212765957446808
2020-06-25,8800,9200,8800,9200,15,0.0
2020-06-26,9400,9500,9400,9500,522,0.0326086956521738
2020-06-29,9400,9400,9100,9100,581,-0.0421052631578947
2020-06-30,9100,9300,9000,9000,83,-0.0109890109890109
2020-07-01,9200,9200,9200,9200,1,0.0222222222222221
2020-07-02,9300,9300,9200,9200,306,0.0
2020-07-03,9300,9300,9300,9300,300,0.0108695652173913
2020-07-06,8600,9000,8450,9000,207,-0.032258064516129
2020-07-07,8800,9000,8800,9000,211,0.0
2020-07-08,9000,9000,8900,8900,8,-0.011111111111111
2020-07-09,8900,8900,8900,8900,1,0.0
2020-07-10,9000,9190,8900,9000,497,0.0112359550561798
2020-07-13,9090,9090,8400,8800,20443,-0.0222222222222222
2020-07-14,8800,9200,8700,9200,672,0.0454545454545454
2020-07-15,9300,9300,8800,9300,528,0.0108695652173913
2020-07-16,9100,9100,9100,9100,0,-0.021505376344086
2020-07-17,8800,9200,8700,9200,575,0.0109890109890109
2020-07-20,9400,9400,9200,9350,64,0.0163043478260869
