Date,Open,High,Low,Close,Volume,Change
2023-04-04,2115,2140,2075,2095,147734,-0.0141176470588235
2023-04-05,2085,2125,2085,2095,162429,0.0
2023-04-06,2095,2095,2000,2020,191836,-0.0357995226730309
2023-04-07,2025,2040,1995,1999,157521,-0.0103960396039604
2023-04-10,2005,2005,1919,1940,152105,-0.0295147573786893
2023-04-11,1940,1983,1910,1979,147877,0.020103092783505
2023-04-12,1960,1988,1957,1977,111839,-0.0010106114199089
2023-04-13,1957,2020,1946,2020,138964,0.0217501264542234
2023-04-14,2025,2080,2020,2065,168772,0.0222772277227722
2023-04-17,2080,2080,2035,2080,123903,0.0072639225181598
2023-04-18,2065,2090,2045,2060,138957,-0.0096153846153845
2023-04-19,2065,2200,2030,2130,460205,0.0339805825242718
2023-04-20,2105,2120,2060,2065,97669,-0.0305164319248826
2023-04-21,2065,2065,1881,2005,156387,-0.0290556900726391
2023-04-24,1975,1992,1936,1961,134691,-0.0219451371571072
2023-04-25,1949,1988,1933,1943,106526,-0.0091789903110658
2023-04-26,1938,2015,1920,1984,125837,0.0211013896037055
2023-04-27,1984,2050,1984,2050,137541,0.033266129032258
2023-04-28,2080,2090,1950,2030,138655,-0.0097560975609756
2023-05-02,2020,2060,1994,2055,127887,0.0123152709359606
2023-05-03,2025,2070,2025,2040,82965,-0.0072992700729926
2023-05-04,2010,2040,2000,2030,99464,-0.0049019607843137
2023-05-08,2020,2070,2020,2055,108457,0.0123152709359606
2023-05-09,2055,2070,1998,2010,132513,-0.021897810218978
2023-05-10,2000,2025,1993,2010,89325,0.0
2023-05-11,2010,2055,2000,2005,130043,-0.0024875621890547
2023-05-12,1990,2010,1963,1978,109107,-0.0134663341645885
2023-05-15,1978,1984,1925,1935,83301,-0.0217391304347825
2023-05-16,1935,2000,1910,1950,67763,0.0077519379844961
2023-05-17,1932,1953,1925,1926,122818,-0.0123076923076923
2023-05-18,1940,1998,1930,1991,138368,0.0337487019730009
2023-05-19,1994,2025,1983,1994,62699,0.0015067805123054
2023-05-22,1994,2030,1984,2030,162397,0.0180541624874623
2023-05-23,2015,2060,2015,2030,72776,0.0
2023-05-24,2030,2040,2015,2030,69626,0.0
2023-05-25,2025,2040,2000,2005,71335,-0.0123152709359606
2023-05-26,2000,2020,1991,2010,91229,0.0024937655860348
2023-05-30,2025,2025,1990,2000,93564,-0.0049751243781094
2023-05-31,1991,2065,1990,2065,193693,0.0324999999999999
2023-06-01,2040,2065,1995,2055,222289,-0.0048426150121065
2023-06-02,2040,2065,2025,2050,90010,-0.0024330900243308
2023-06-05,2045,2050,2010,2015,59616,-0.0170731707317073
2023-06-07,2015,2040,2005,2025,72338,0.0049627791563275
2023-06-08,2005,2050,2000,2020,106121,-0.0024691358024691
2023-06-09,2020,2045,2005,2020,94566,0.0
2023-06-12,2025,2030,2000,2010,99607,-0.0049504950495049
2023-06-13,1992,2030,1992,2015,49534,0.0024875621890547
2023-06-14,2010,2030,1972,2005,96324,-0.0049627791563275
2023-06-15,1993,2010,1966,1982,52713,-0.0114713216957605
2023-06-16,1988,2020,1988,2010,105094,0.0141271442986881
2023-06-19,1991,2010,1991,2005,51926,-0.0024875621890547
2023-06-20,1980,2005,1972,1990,54942,-0.0074812967581047
2023-06-21,1990,2480,1979,2345,16992564,0.1783919597989949
2023-06-22,2275,2745,2270,2345,27015124,0.0
2023-06-23,2295,2315,2200,2215,1662643,-0.0554371002132195
2023-06-26,2200,2485,2130,2230,9415923,0.0067720090293452
2023-06-27,2200,2400,2200,2265,3868976,0.0156950672645739
2023-06-28,2300,2350,2240,2270,1254300,0.0022075055187638
2023-06-29,2230,2230,2130,2185,723617,-0.0374449339207048
2023-06-30,2155,2170,2080,2090,467841,-0.0434782608695651
2023-07-03,2100,2210,2095,2195,733723,0.0502392344497608
2023-07-04,2195,2210,2100,2150,474937,-0.0205011389521639
2023-07-05,2170,2170,2065,2085,216964,-0.0302325581395348
2023-07-06,2120,2120,2010,2025,239454,-0.0287769784172662
2023-07-07,2025,2045,2000,2040,113283,0.0074074074074073
2023-07-10,2035,2045,1991,2035,167472,-0.0024509803921568
2023-07-11,2030,2095,2025,2090,326147,0.0270270270270269
2023-07-12,2090,2090,2020,2025,207692,-0.0311004784688995
2023-07-13,2020,2090,2015,2080,279803,0.0271604938271605
2023-07-14,2075,2105,2025,2025,187282,-0.0264423076923077
2023-07-17,2045,2055,2010,2055,149053,0.0148148148148148
2023-07-18,2045,2070,1958,1962,465693,-0.0452554744525547
2023-07-19,1962,1974,1909,1910,263820,-0.0265035677879714
2023-07-20,1910,1990,1890,1932,192952,0.0115183246073298
2023-07-21,1930,1996,1908,1935,316307,0.0015527950310558
2023-07-24,1940,1940,1800,1841,276289,-0.048578811369509
2023-07-25,1841,1869,1743,1800,183498,-0.0222705051602389
2023-07-26,1775,1797,1669,1742,471489,-0.0322222222222222
2023-07-27,1735,1837,1735,1822,219181,0.0459242250287026
2023-07-28,1805,1866,1805,1850,182416,0.0153677277716794
2023-07-31,1833,1891,1833,1889,139057,0.021081081081081
2023-08-01,1872,1932,1872,1898,243662,0.0047644256220222
2023-08-02,1888,1910,1864,1870,83031,-0.0147523709167545
2023-08-03,1870,1880,1740,1870,80985,0.0
2023-08-04,1841,1907,1840,1884,101321,0.0074866310160428
2023-08-07,1884,1913,1872,1908,83450,0.0127388535031847
2023-08-08,1899,1915,1834,1855,88957,-0.0277777777777777
2023-08-09,1854,1869,1814,1853,74032,-0.0010781671159029
2023-08-10,1853,1895,1840,1894,68106,0.0221262817053427
2023-08-11,1894,1935,1880,1925,120429,0.0163674762407604
2023-08-14,1925,1935,1880,1904,77195,-0.0109090909090908
2023-08-16,1900,1903,1836,1857,90500,-0.0246848739495798
2023-08-17,1839,1865,1790,1838,126977,-0.0102315562735595
2023-08-18,1826,1859,1740,1843,154579,0.0027203482045701
2023-08-21,1825,1850,1803,1803,53869,-0.021703743895822
2023-08-22,1803,1815,1755,1797,54192,-0.0033277870216306
2023-08-23,1756,1840,1756,1824,134522,0.0150250417362269
2023-08-24,1806,1841,1783,1810,110804,-0.0076754385964912
2023-08-25,1804,1813,1763,1770,87716,-0.0220994475138122
2023-08-28,1770,1835,1770,1830,119666,0.0338983050847456
2023-08-29,1830,2155,1828,1928,5512556,0.0535519125683059
2023-08-30,1910,1931,1874,1913,310989,-0.0077800829875518
2023-08-31,1911,1993,1910,1912,895396,-0.0005227391531625
2023-09-01,1900,1917,1865,1875,145104,-0.0193514644351464
2023-09-04,1882,1882,1830,1830,134764,-0.024
2023-09-05,1820,1911,1795,1850,352504,0.0109289617486338
2023-09-06,1850,1885,1818,1861,143017,0.0059459459459458
2023-09-07,1861,1880,1798,1823,130207,-0.0204191295002686
2023-09-08,1811,1823,1799,1808,68949,-0.0082281952825014
2023-09-11,1810,1843,1797,1805,105800,-0.0016592920353982
2023-09-12,1820,1844,1800,1801,94543,-0.0022160664819944
2023-09-13,1792,1825,1792,1807,101170,0.0033314825097168
2023-09-14,1839,1867,1807,1836,149691,0.0160486995019368
2023-09-15,1836,1855,1821,1834,52978,-0.0010893246187363
2023-09-18,1837,1875,1825,1830,136499,-0.0021810250817884
2023-09-19,1820,1843,1803,1807,55120,-0.0125683060109289
2023-09-20,1809,1817,1799,1800,50614,-0.0038738240177088
