Date,Open,High,Low,Close,Volume,Change
2020-04-24,10150,11300,8650,8650,19439,
2020-04-27,7900,9680,7900,9210,319,0.0647398843930635
2020-04-28,9900,9900,8300,8970,29,-0.0260586319218241
2020-04-29,8890,8890,8880,8880,9,-0.0100334448160535
2020-05-04,8870,8870,8000,8000,276,-0.099099099099099
2020-05-06,9170,9170,6900,8870,44,0.1087499999999999
2020-05-07,8950,8950,7600,8880,469,0.0011273957158963
2020-05-08,8850,9680,7600,9090,447,0.0236486486486486
2020-05-11,8780,8780,8760,8760,111,-0.0363036303630363
2020-05-12,8600,9990,7800,8900,182,0.0159817351598172
2020-05-13,8900,9900,7800,8900,318,0.0
2020-05-14,9800,9800,7700,8850,14,-0.0056179775280899
2020-05-15,8850,9590,8020,8790,155,-0.0067796610169491
2020-05-18,8740,8740,8740,8740,641,-0.0056882821387941
2020-05-19,8720,8720,8720,8720,13,-0.0022883295194507
2020-05-20,8640,9500,8030,9370,807,0.0745412844036697
2020-05-21,9400,9400,8710,9400,291,0.0032017075773747
2020-05-22,9100,9110,7990,8400,3699,-0.1063829787234043
2020-05-25,9100,9100,7230,7690,8481,-0.0845238095238095
2020-05-26,7990,8700,7000,8690,306,0.130039011703511
2020-05-27,8740,8740,7390,7390,9058,-0.1495972382048331
2020-05-28,7900,7900,6370,7390,875,0.0
2020-05-29,8100,8100,6310,7700,291,0.0419485791610283
2020-06-01,8110,8110,6700,7490,6428,-0.0272727272727272
2020-06-02,7490,7490,6400,6680,11272,-0.1081441922563417
2020-06-03,6680,6990,6670,6900,2304,0.032934131736527
2020-06-04,7350,7350,6170,6980,2741,0.0115942028985507
2020-06-05,6060,6980,6060,6970,1633,-0.0014326647564469
2020-06-08,6350,7350,6000,6500,1426,-0.067431850789096
2020-06-09,5580,6500,5580,6000,11063,-0.0769230769230768
2020-06-10,6860,6860,5810,6290,137,0.0483333333333333
2020-06-11,6290,6290,5820,5850,743,-0.0699523052464229
2020-06-12,6550,6550,5300,5900,10997,0.0085470085470085
2020-06-15,6090,6090,5200,5970,14697,0.0118644067796609
2020-06-16,6490,6490,5500,5700,41155,-0.0452261306532663
2020-06-17,5700,6000,5550,5880,740,0.0315789473684211
2020-06-18,5880,6480,5000,5600,13327,-0.0476190476190476
2020-06-19,5750,5750,5500,5500,36,-0.0178571428571429
2020-06-22,5620,5620,5500,5500,554,0.0
2020-06-23,6000,6000,5430,5940,292,0.08
2020-06-24,6000,6000,5050,5490,7915,-0.0757575757575758
2020-06-25,5490,5690,5470,5670,4143,0.0327868852459016
2020-06-26,5670,5670,5480,5640,997,-0.0052910052910053
2020-06-29,5640,6000,5420,5560,301,-0.0141843971631205
2020-06-30,5600,5600,5470,5470,850,-0.0161870503597122
2020-07-01,5500,5500,5500,5500,332,0.0054844606946984
2020-07-02,5500,5500,5500,5500,526,0.0
2020-07-03,5500,5500,5430,5490,514,-0.0018181818181818
2020-07-06,5490,5500,5390,5490,2946,0.0
2020-07-07,5500,5500,5480,5480,682,-0.0018214936247723
2020-07-08,5460,5460,5300,5450,1248,-0.0054744525547445
