Date,Open,High,Low,Close,Volume,Change
2023-04-04,40500,40650,40000,40350,21802,0.006234413965087171
2023-04-05,40350,40350,39650,40000,25909,-0.008674101610904539
2023-04-06,40000,40000,39150,39600,21814,-0.010000000000000009
2023-04-07,39750,39750,39350,39400,12863,-0.005050505050505083
2023-04-10,39200,39500,38850,39100,21444,-0.0076142131979695105
2023-04-11,39300,40250,38900,40000,26237,0.023017902813299296
2023-04-12,40500,41800,40050,41750,59033,0.043749999999999956
2023-04-13,41750,42900,41200,42850,49785,0.026347305389221587
2023-04-14,42850,44100,42800,43800,77485,0.022170361726954413
2023-04-17,43900,44350,42900,43750,50435,-0.0011415525114155667
2023-04-18,43650,44300,43350,44300,36819,0.012571428571428678
2023-04-19,44300,46100,43800,45050,88606,0.016930022573363512
2023-04-20,44850,45550,44350,45000,40649,-0.0011098779134295356
2023-04-21,44900,45400,44150,44800,64387,-0.004444444444444473
2023-04-24,44950,45300,44100,44200,55430,-0.013392857142857095
2023-04-25,44600,44950,44100,44500,50248,0.006787330316742057
2023-04-26,44900,45900,43850,44050,66495,-0.010112359550561778
2023-04-27,44200,44450,43400,44300,31688,0.00567536889897835
2023-04-28,44400,46500,44400,45950,90228,0.03724604966139955
2023-05-02,46400,47300,46050,46750,48242,0.017410228509249226
2023-05-03,46750,47700,46500,47000,41382,0.005347593582887722
2023-05-04,47000,49200,43000,43850,193981,-0.06702127659574464
2023-05-08,43900,44600,41600,41600,166008,-0.05131128848346633
2023-05-09,41600,41750,40600,41450,74442,-0.0036057692307692735
2023-05-10,41050,41750,41050,41400,31461,-0.0012062726176115257
2023-05-11,41950,41950,40800,40950,34310,-0.010869565217391353
2023-05-12,41300,41300,40600,41050,29779,0.0024420024420024333
2023-05-15,41000,41350,40650,40750,20681,-0.0073081607795371095
2023-05-16,40750,41100,40750,40900,22176,0.0036809815950920033
2023-05-17,40900,41500,40900,41450,13013,0.01344743276283622
2023-05-18,41750,42400,41500,42200,27787,0.018094089264173663
2023-05-19,42650,42650,42050,42350,26836,0.0035545023696681444
2023-05-22,42800,43150,42500,42750,36023,0.009445100354191327
2023-05-23,42450,42900,42450,42750,13776,0.0
2023-05-24,42750,46000,42500,45200,100883,0.057309941520467866
2023-05-25,45450,45550,42100,43650,98982,-0.034292035398230114
2023-05-26,43650,44350,42600,43100,61710,-0.012600229095074411
2023-05-30,43100,43650,43000,43550,21715,0.010440835266821269
2023-05-31,43550,43850,42650,43100,38496,-0.010332950631458115
2023-06-01,43250,43250,42850,43200,9872,0.002320185614849146
2023-06-02,43300,43700,42700,43250,17528,0.0011574074074074403
2023-06-05,43700,44050,43450,43850,22636,0.01387283236994219
2023-06-07,44200,44200,43300,43400,13541,-0.010262257696693311
2023-06-08,43500,44000,43150,43650,11222,0.005760368663594528
2023-06-09,43400,44550,43400,44550,29302,0.020618556701030855
2023-06-12,44400,45100,44000,45100,42048,0.012345679012345734
2023-06-13,45200,47500,45150,47100,104783,0.04434589800443467
2023-06-14,46900,47350,45650,45900,57904,-0.02547770700636942
2023-06-15,45700,46100,44350,44850,33184,-0.022875816993464082
2023-06-16,44650,45550,44650,45550,20820,0.015607580824972045
2023-06-19,45550,45550,44850,45500,14880,-0.001097694840834218
2023-06-20,45500,45500,44600,45200,33848,-0.00659340659340657
2023-06-21,45100,45150,44400,44800,32921,-0.008849557522123908
2023-06-22,45000,45150,44300,44700,13877,-0.0022321428571429047
2023-06-23,45000,45000,44350,44500,15634,-0.004474272930648726
2023-06-26,45100,46000,44500,45700,22546,0.026966292134831482
2023-06-27,45900,46450,45300,46000,30385,0.006564551422319376
2023-06-28,45950,46800,45850,46000,33232,0.0
2023-06-29,46000,46000,44500,44700,34011,-0.02826086956521734
2023-06-30,44250,45100,44050,44450,20207,-0.005592841163310935
2023-07-03,44150,44500,43750,43800,51205,-0.01462317210348707
2023-07-04,44200,44250,43800,43850,13398,0.0011415525114155667
2023-07-05,43850,44100,43550,43700,22179,-0.0034207525655644
2023-07-06,43500,43950,43100,43850,24038,0.003432494279176135
2023-07-07,43850,43850,43050,43700,22220,-0.0034207525655644
2023-07-10,43400,43800,43200,43750,13854,0.0011441647597254523
2023-07-11,44000,44100,43600,44050,24645,0.006857142857142895
2023-07-12,43700,44300,43600,43750,15606,-0.006810442678774176
2023-07-13,43750,43850,43400,43800,26388,0.0011428571428571122
2023-07-14,43800,44550,43600,44550,26600,0.017123287671232834
2023-07-17,44550,46000,44300,44800,39494,0.0056116722783390305
2023-07-18,45100,45500,43300,43500,40907,-0.029017857142857095
2023-07-19,43100,43750,42900,43400,19361,-0.0022988505747126853
2023-07-20,43900,44000,43100,44000,20260,0.01382488479262678
2023-07-21,44200,44200,43350,43550,21206,-0.010227272727272751
2023-07-24,43550,43550,42900,42900,29650,-0.014925373134328401
2023-07-25,42900,42900,41850,42500,66590,-0.009324009324009341
2023-07-26,41950,42150,40600,40900,63605,-0.03764705882352937
2023-07-27,41400,41650,40900,41350,16606,0.011002444987775029
2023-07-28,41150,42800,41150,42600,25067,0.030229746070133068
2023-07-31,42600,43900,42300,43200,27939,0.014084507042253502
2023-08-01,43100,43800,42950,43350,12790,0.003472222222222321
